"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","영업내용",
"11","옥외광고업","04_15_01_P","3150000","2024315012708500007","2023-12-21","","01","영업/정상","20","정상","","","","","","","","서울특별시 강서구 등촌동 ***-*","서울특별시 강서구 양천로 ***, **층 ****호 (등촌동)","07549","(주)디스글로벌","2026-04-01 12:00:14","U","2026-04-03 02:40:00","","187381.316533948","450751.226503557","옥외광고물 제작",
"12","옥외광고업","04_15_01_P","5330000","2010533010608500001","2015-09-30","","01","영업/정상","20","정상","","","","","055 648 2828","","","경상남도 통영시 광도면 죽림리 ***-*","경상남도 통영시 광도면 향교옆길 **","53021","인디자인 주식회사","2026-04-01 09:38:54","U","2026-04-03 02:40:00","","328996.63336739","153862.404422356","광고물 제작 및 광고",
"13","옥외광고업","04_15_01_P","3680000","2026368025908500004","2016-03-14","","01","영업/정상","20","정상","","","","","","","","대전광역시 대덕구 읍내동 ***-* 대전 플랫폼시티 지식산업센터 ***, ***호","대전광역시 대덕구 대전로****번길 **, 대전 플랫폼시티 지식산업센터 ***, ***호 (읍내동)","34363","주식회사 디자인아이","2026-04-01 11:18:04","U","2026-04-03 02:40:00","","237482.876790209","319292.244561627","간판 및 광고물 제조",
"14","옥외광고업","04_15_01_P","3150000","2026315012708500002","2026-01-19","","01","영업/정상","20","정상","","","","","","","","","서울특별시 강서구 등촌로 ***, *층 (등촌동)","07668","혜성광고","2026-04-01 10:18:33","U","2026-04-03 02:40:00","","187790.004229728","449420.364199143","간판제작 및 수리",
"15","옥외광고업","04_15_01_P","3340000","2023334011308500001","2023-03-27","","03","폐업","40","폐업","2025-02-28","","","","","","","부산광역시 사하구 장림동 ***-**","부산광역시 사하구 장림로 **-* (장림동)","49479","가로세로간판","2026-04-01 11:20:41","U","2026-04-03 02:40:00","","378742.16837037","177443.710761792","옥외광고업",
"16","옥외광고업","04_15_01_P","4390000","2024439023008500003","2024-03-25","","01","영업/정상","20","정상","","","","","0438529618","","","충청북도 충주시 연수동 ***-*","충청북도 충주시 갱고개로 ***, *층 *호 (연수동)","27344","성원광고기획","2026-04-01 11:18:07","U","2026-04-03 02:40:00","","283545.235567192","388052.081932091","인쇄, 안전시설물, 현수막, 간판, 안내판",
"17","옥외광고업","04_15_01_P","3150000","2023315012708500001","2023-02-16","","01","영업/정상","20","정상","","","","","02 780 2323","","","서울특별시 강서구 등촌동 ***-* 가양역 더스카이밸리*차 지식산업센터","서울특별시 강서구 화곡로 ***, 가양역 더스카이밸리*차 지식산업센터 B***호 (등촌동)","07548","(주)가이드삼정","2026-04-01 10:51:52","U","2026-04-03 02:40:00","","187160.665637183","450873.017067141","간판 및 광고물 제조업, LED 안내전광판",
"18","옥외광고업","04_15_01_P","3200000","2003320008408200007","2026-03-27","","04","취소/말소/만료/정지/중지","50","영업정지","","","","","","","","서울특별시 관악구 신림동 ***-**","서울특별시 관악구 남부순환로***길 **-* (신림동)","08762","우리기획","2026-04-01 11:18:10","U","2026-04-03 02:40:00","","192532.131207817","442398.080567588","광고물제작",
"19","옥외광고업","04_15_01_P","3180000","2020318021808500013","2020-10-21","","03","폐업","40","폐업","2026-04-01","","","","0313794237","","","서울특별시 영등포구 여의도동 ** 쓰리아이에프씨동 **층","서울특별시 영등포구 국제금융로 **, 쓰리아이에프씨동  **층 (여의도동)","07326","금호전기주식회사","2026-04-01 13:49:58","U","2026-04-03 02:40:00","","193326.931018911","446973.914570276","디자인용역, 옥외광고 디자인, 제조, 판매, 도매, 소매",
"20","옥외광고업","04_15_01_P","3780000","2005379003108200002","2021-05-06","","03","폐업","40","폐업","2026-04-01","","","","031 735 6611","","","경기도 성남시 수정구 태평동 ****-* 엘지빌리지","경기도 성남시 수정구 수정북로 *** (태평동, 엘지빌리지)","13282","월드디자인","2026-04-01 17:56:38","U","2026-04-03 02:40:00","","212593.446193503","438130.902241737","옥외광고물제작설치",
"21","옥외광고업","04_15_01_P","3150000","2024315012708500011","2024-12-04","","01","영업/정상","20","정상","","","","","0260910677","","","서울특별시 강서구 마곡동 ***-* 문영 퀸즈파크**차","서울특별시 강서구 공항대로 ***, 문영 퀸즈파크**차 *층 ***호 (마곡동)","07631","(주)마케팅디자인공장","2026-04-01 10:51:35","U","2026-04-03 02:40:00","","184825.676320005","450763.336622561","광고물 제작 및 광고 대행",
"22","옥외광고업","04_15_01_P","3150000","2025315012708500001","2025-01-02","","01","영업/정상","20","정상","","","","","0226922241","","","","서울특별시 강서구 국회대로 **, 환영빌딩 ***-*호 (화곡동)","07780","주식회사 에브라임커뮤니케이션","2026-04-01 10:19:01","U","2026-04-03 02:40:00","","185971.199047374","447221.528520716","간판디자인, 현수막디자인 및 출력",
"23","옥외광고업","04_15_01_P","3310000","2026331013808500002","1994-05-10","","01","영업/정상","20","정상","","","","","051 756 4472","","","부산광역시 남구 용호동 ***-**","부산광역시 남구 동명로***번길 ** (용호동)","48587","성경종합광고사","2026-04-02 17:28:11","I","2026-04-04 00:20:02","","392561.084468605","181690.581804395","광고제작",
"24","옥외광고업","04_15_01_P","3310000","2026331013808500003","2026-04-02","","01","영업/정상","20","정상","","","","","","","","부산광역시 남구 대연동 ***-*","부산광역시 남구 황령대로 ***-** (대연동)","48428","한길기획","2026-04-02 17:27:36","I","2026-04-04 00:20:02","","391073.791128333","185088.264104196","현수막 디자인, 제작, 설치",
"25","옥외광고업","04_15_01_P","3940000","2026395006708500005","2026-04-02","","01","영업/정상","20","정상","","","","","","","","경기도 고양시 덕양구 원흥동 *** 고양 아크비즈 지식산업센터 F***호","경기도 고양시 덕양구 삼원로 **, 고양 아크비즈 지식산업센터 F***호 (원흥동)","10550","온빛사인랩","2026-04-02 16:53:31","I","2026-04-04 00:20:02","","188933.474448866","459742.00830928","옥외광고물 제작, 설치,시공 및 광고디자인",
"26","옥외광고업","04_15_01_P","5310000","2026531034908500002","2026-03-26","","01","영업/정상","20","정상","","","","","","","","경상남도 진주시 내동면 독산리 ***-**","경상남도 진주시 내동면 내동로 *, *층","52849","테일러앤유","2026-04-02 14:16:45","I","2026-04-04 00:20:02","","297456.348235619","184852.191839927","광고, 디자인",
"27","옥외광고업","04_15_01_P","4341000","2026434102208500001","2026-04-02","","01","영업/정상","20","정상","","","","","","","","강원특별자치도 고성군 죽왕면 향목리 ***-*","강원특별자치도 고성군 죽왕면 향목서길 *","24743","싸인뱅크","2026-04-02 10:06:28","I","2026-04-04 00:20:02","","329490.223265252","542581.326946015","간판 및 광고물 제작",
"28","옥외광고업","04_15_01_P","3460000","1998346008508500022","1998-06-20","","01","영업/정상","20","정상","","","","","","","","대구광역시 수성구 두산동 ***-*","대구광역시 수성구 용학로**길 ** (지산동)","42205","영진광고","2026-04-02 09:06:02","U","2026-04-04 02:40:00","","346771.229399989","259348.820395025","옥외광고물등제작",
"29","옥외광고업","04_15_01_P","4281000","2009428008808500002","2020-07-31","","01","영업/정상","20","정상","","","","","","","","강원특별자치도 평창군 대화면 대화리 ****","강원특별자치도 평창군 대화면 대화*길 **","25359","대광광고","2026-04-02 17:30:11","U","2026-04-04 02:40:00","","328546.241411583","445058.714557925","광고물 제작",
"30","옥외광고업","04_15_01_P","3460000","2026346011808500001","2026-03-30","","01","영업/정상","20","정상","","","","","","","","","대구광역시 수성구 만촌로*길 **-* (만촌동)","42059","봄사인(Bomsign)","2026-04-02 17:58:04","U","2026-04-04 02:40:00","","348684.284166092","263706.407688652","옥외광고물 제작, 시공, 설치, 수리",
"31","옥외광고업","04_15_01_P","4271000","2026427104308500001","2026-03-26","","01","영업/정상","20","정상","","","","","","","","강원특별자치도 영월군 영월읍 덕포리 ***-*","강원특별자치도 영월군 영월읍 덕포시장길 *","26229","덕포광고","2026-04-02 11:34:40","U","2026-04-04 02:40:00","","331051.998584155","409854.170216198","옥외광고물 제작, 설치",
"32","옥외광고업","04_15_01_P","3300000","2018330009508500002","2018-04-03","","03","폐업","40","폐업","2026-04-02","","","","","","","부산광역시 동래구 사직동 ***-**","부산광역시 동래구 여고로***번길 **-* (사직동)","47831","광고디자인 비상","2026-04-02 10:02:24","U","2026-04-04 02:40:00","","388871.161010673","190984.946906471","옥외광고업",
"33","옥외광고업","04_15_01_P","4860000","2009486008108500001","2026-03-24","","01","영업/정상","20","정상","","","","","0613622888","","","전라남도 곡성군 오곡면 오지리 ****-*","전라남도 곡성군 오곡면 기차마을로 ***","57544","유한회사 여도","2026-04-02 14:13:36","U","2026-04-04 02:40:00","","227799.342375924","197628.182873607","판촉물인쇄, 상패제작대행, 간판제작",
"34","옥외광고업","04_15_01_P","4010000","2009401017308500012","2009-08-10","","03","폐업","40","폐업","2026-04-01","","","","031 499 7720","","","경기도 시흥시 정왕동 ****-**","경기도 시흥시 정왕천로***번길 ** (정왕동)","","두루기획","2026-04-02 13:25:58","U","2026-04-04 02:40:00","","178024.86","426718.376","현수막, 간판 제작 및 인쇄",
"35","옥외광고업","04_15_01_P","5540000","2026554034108500007","2026-04-03","","01","영업/정상","20","정상","","","","","","","","경기도 광주시 고산동 ***-*","경기도 광주시 양촌길 *-** (고산동)","12790","더하다","2026-04-03 14:42:31","I","2026-04-05 00:20:22","","","","간판",
"36","옥외광고업","04_15_01_P","3160000","2026316028708500004","2020-10-21","","01","영업/정상","20","정상","","","","","0313794237","","","서울특별시 영등포구 여의도동 ** 쓰리아이에프씨동 **층","서울특별시 영등포구 국제금융로 **, 쓰리아이에프씨동  **층 (여의도동)","07326","금호전기주식회사","2026-04-03 14:03:03","I","2026-04-05 00:20:22","","193326.931018911","446973.914570276","디자인용역, 옥외광고 디자인, 제조, 판매, 도매, 소매",
"37","옥외광고업","04_15_01_P","3670000","2026367012408500001","2026-01-23","","01","영업/정상","20","정상","","","","","","","","대전광역시 유성구 봉명동 ***-* 한진오피스텔","대전광역시 유성구 계룡로***번길 **, 한진오피스텔 *층 ***-S***호 (봉명동)","34187","하늘기획","2026-04-03 17:08:38","U","2026-04-05 02:40:00","","230674.332483699","317108.585084676","광고물 제작",
"38","옥외광고업","04_15_01_P","5670000","2014567050008500005","2024-04-24","","01","영업/정상","20","정상","","","","","0552377552","","","경상남도 창원시 의창구 도계동 ***-*","경상남도 창원시 의창구 태복산로*번길 ** (도계동)","51166","해광디앤아이","2026-04-03 08:59:14","U","2026-04-05 02:40:00","","348907.60320422","196308.16793337","간판 시안 및 제작",
"39","옥외광고업","04_15_01_P","3820000","2025382035408500008","2025-11-28","","03","폐업","40","폐업","2026-04-03","","","","","","","경기도 의정부시 의정부동 ***-** 신한주택*차","경기도 의정부시 경의로**번길 **-**, ***호 (의정부동, 신한주택*차)","11655","라인","2026-04-03 09:30:01","U","2026-04-05 02:40:00","","203967.883162807","469917.335042714","옥외광고업",
"40","옥외광고업","04_15_01_P","5700000","2025570014208500001","2025-11-19","","01","영업/정상","20","정상","","","","","4565858","","","경기도 여주시 세종대왕면 오계리 ***","경기도 여주시 세종대왕면 여주남로 ***-**","12646","(주)GIG기업","2026-04-03 17:03:42","U","2026-04-05 02:40:00","","252859.032041657","417351.876281895","옥외광고물제작",
"41","옥외광고업","04_15_01_P","3540000","2024354017608500001","2024-01-31","","01","영업/정상","20","정상","","","","","","","","인천광역시 부평구 청천동 ***-* 부평 제이타워*차 지식산업센터","인천광역시 부평구 부평대로 ***, 부평 제이타워*차 지식산업센터 ***~***호 (청천동)","21315","주식회사 유브이디에스","2026-04-03 14:31:09","U","2026-04-05 02:40:00","","175285.39719887","446652.103596373","옥외광고업",
"42","옥외광고업","04_15_01_P","4791000","2021479011708500001","2021-11-19","","01","영업/정상","20","정상","","","","","063 582 4285","","","전북특별자치도 부안군 부안읍 동중리 * *동 *호","전북특별자치도 부안군 부안읍 석정로 ***, *동 *호","56306","부령광고기획","2026-04-02 16:57:22","U","2026-04-05 02:40:00","","175732.404520518","247918.430879493","광고물 제작 및 설치",
"43","옥외광고업","04_15_01_P","4490000","2023566003208500009","2023-11-16","","03","폐업","40","폐업","2025-09-30","","","","","","","충청남도 천안시 서북구 백석동 ****","충청남도 천안시 서북구 한들*로 ***, 마치애비뉴*차 *층 C***호 (백석동)","31087","본테디자인","2026-04-04 11:23:47","U","2026-04-06 02:40:00","","210651.628780305","370693.982276435","간판 제작",
