"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"16","수영장업","10_35_01_P","3990000","CDFH3301012019000004","2019-11-14","","03","폐업","03","폐업","2024-07-01","","","","0315942345","","","경기도 남양주시 호평동 231-1","경기도 남양주시 천마산로 21, 지하1층 (호평동)","12141","씨몬 어린이 수영장","2026-02-11 10:49:28","U","2026-02-13 02:40:00","","221765.222594362","462375.51600982","수영장업","사립","","2","0","0","0","","",
"17","수영장업","10_35_01_P","4231000","CDFH3301012024000001","2024-05-29","","01","영업/정상","13","영업중","","","","","033-638-8888","","","강원특별자치도 속초시 대포동 937","강원특별자치도 속초시 대포항희망길 120, 카시아속초 4층 (대포동)","24901","Cassia Sokcho Pool","2026-02-11 12:25:35","U","2026-02-13 02:40:00","","341006.503840998","520449.969876936","수영장업","사립","Y","1","0","4208.6","0","","",
"18","수영장업","10_35_01_P","6520000","CDFH3301012023000001","2023-01-16","","01","영업/정상","13","영업중","","","","","","","","제주특별자치도 서귀포시 색달동 3039-1","제주특별자치도 서귀포시 중문관광로72번길 100, 1층 (색달동)","63535","파르나스 호텔 제주 에스츄어리","2026-02-11 10:59:15","U","2026-02-13 02:40:00","","144526.980069587","-27679.2210345386","수영장업","사립","","2","0","11124.23","0","","",
"19","수영장업","10_35_01_P","3210000","CDFH3301012002000002","2002-07-10","","02","휴업","02","휴업","","2022-01-01","2027-02-28","","3019-8132","","137-825","서울특별시 서초구 방배동 630","서울특별시 서초구 남부순환로 2248 (방배동)","","서울특별시교육청 교육연수원","2026-02-12 15:25:01","U","2026-02-14 02:40:00","","199693.06999443","441141.610110838","수영장업","사립","Y","0","0","0","0","","",
"20","수영장업","10_35_01_P","3420000","CDFH3301012024000001","2024-12-19","","01","영업/정상","13","영업중","","","","","053-962-7600","","","대구광역시 동구 각산동 1174 대구혁신도시 복합혁신센터","대구광역시 동구 이노밸리로 180, 대구혁신도시 복합혁신센터 (각산동)","41067","대구복합혁신센터","2026-02-12 11:01:06","U","2026-02-14 02:40:00","","354962.486395059","265609.521430758","수영장업","사립","","2","0","6982.36","0","","",
"21","수영장업","10_35_01_P","4170000","CDFH3301012026000001","2026-02-13","","01","영업/정상","13","영업중","","","","","031-771-0224","","","경기도 양평군 양평읍 도곡리 1031","경기도 양평군 양평읍 종합운동장로 5, 양평군체육센터","12564","양평군체육센터","2026-02-13 13:10:51","I","2026-02-15 00:20:02","","246199.575511166","443244.787482896","수영장업","사립","","2","1","8245.02","0","","",
"22","수영장업","10_35_01_P","3860000","CDFH3301012026000002","2026-02-13","","01","영업/정상","13","영업중","","","","","032-684-1009","","","경기도 부천시 오정구 여월동 44-75 콜라보랩","경기도 부천시 오정구 성곡로 39, 콜라보랩 지하1층 (여월동)","14484","그린카메 수영장","2026-02-13 11:19:51","I","2026-02-15 00:20:02","","182214.27912311","446183.373966861","수영장업","사립","","1","0","0","0","","",
"23","수영장업","10_35_01_P","3600000","CDFH3301012019000001","2019-06-10","","01","영업/정상","13","영업중","","","","","062-384-6002","","","광주광역시 서구 금호동 244-3 만호빌딩","광주광역시 서구 금화로 45, 만호빌딩 B03호 (금호동)","62008","리틀아너스 스위밍클럽","2026-02-19 13:29:05","U","2026-02-21 02:40:00","","186600.063240947","181472.591894833","수영장업","사립","Y","1","0","0","0","","",
"24","수영장업","10_35_01_P","5690000","CDFH3301012024000003","2024-09-06","","01","영업/정상","13","영업중","","","","","","","","세종특별자치시 조치원읍 침산리 89 욱일아파트","세종특별자치시 조치원읍 충현로 159, 상가동 B101호 (욱일아파트)","30021","블루마린","2026-02-19 13:08:30","U","2026-02-21 02:40:00","","226143.154114418","344640.28554246","수영장업","사립","","0","0","0","0","","",
"25","수영장업","10_35_01_P","3140000","CDFH3301011989000002","1989-11-18","","01","영업/정상","13","영업중","","","","","2646-6819","","158-050","서울특별시 양천구 목동 918 6블럭","서울특별시 양천구 목동서로 143 (목동,6블럭)","07991","시립목동청소년센터","2026-02-19 08:45:05","U","2026-02-21 02:40:00","","188924.253025894","447617.64711448","수영장업","사립","1","4","0","794.83","0","","",
"26","수영장업","10_35_01_P","5690000","CDFH3301012022000001","2022-01-06","","03","폐업","03","폐업","2026-02-19","","","","","","","세종특별자치시 연서면 와촌리 806-2 조치원청소년수련원","세종특별자치시 연서면 기와말1길 20, 조치원청소년수련원 1동 1층","30046","블루마린 세종점","2026-02-19 16:59:49","U","2026-02-21 02:40:00","","222368.019493536","339747.089602838","수영장업","사립","","0","0","0","0","","",
"27","수영장업","10_35_01_P","6520000","CDFH3301012007000001","2007-05-30","","01","영업/정상","13","영업중","","","","","780-8221","","699-914","제주특별자치도 서귀포시 표선면 표선리 40-69","제주특별자치도 서귀포시 표선면 민속해안로 537","","해비치리조트 야외수영장","2026-02-23 17:54:31","U","2026-02-25 02:40:00","","185469.623691025","-19182.3494617918","수영장업","사립","Y","0","0","0","0","","",
"28","수영장업","10_35_01_P","6520000","CDFH3301012007000002","2007-06-29","","01","영업/정상","13","영업중","","","","","","","699-914","제주특별자치도 서귀포시 표선면 표선리 40-69","제주특별자치도 서귀포시 표선면 민속해안로 537","","해비치호텔 야외 수영장","2026-02-23 17:50:12","U","2026-02-25 02:40:00","","185469.623691025","-19182.3494617918","수영장업","사립","Y","0","0","0","0","","",
"29","수영장업","10_35_01_P","5350000","CDFH3301012018000002","2018-06-01","","01","영업/정상","13","영업중","","","","","055-313-9701","","","경상남도 김해시 관동동 539","경상남도 김해시 덕정로77번길 21 (관동동)","50996","훈스 스위밍 아카데미","2026-02-23 13:49:48","U","2026-02-25 02:40:00","","363498.906475478","188264.911439473","수영장업","사립","Y","1","0","870","0","","",
"30","수영장업","10_35_01_P","3900000","CDFH3301012026000001","2026-02-24","","01","영업/정상","13","영업중","","","","","","","","경기도 광명시 광명동 352-14 로얄프라자","경기도 광명시 광화로 22, 로얄프라자 지하2층 (광명동)","14294","노블스위밍랩by키즈라이프","2026-02-24 13:50:24","I","2026-02-26 00:20:08","","186568.489283325","441275.956646855","수영장업","사립","","1","0","0","0","","",
"31","수영장업","10_35_01_P","6510000","CDFH3301012011000001","2011-12-19","","01","영업/정상","13","영업중","","","","","064-795-3235","","695-934","제주특별자치도 제주시 한림읍 협재리 2842","제주특별자치도 제주시 한림읍 금능남로 127","63015","라온 아쿠아풀","2026-02-24 15:19:11","U","2026-02-26 02:40:00","","129292.556928497","-12932.3664050412","수영장업","사립","Y","1","1","1767.03","0","","",
"32","수영장업","10_35_01_P","3060000","CDFH3301012018000001","2018-02-28","","01","영업/정상","13","영업중","","","","","02-3423-0308","","","서울특별시 중랑구 신내동 656 화성,두산아파트","서울특별시 중랑구 신내로17길 13, 지하1층 B01호 (신내동, 화성,두산아파트)","02025","아이누리","2026-02-24 11:14:47","U","2026-02-26 02:40:00","","208330.35418254","456814.922480529","수영장업","사립","","2","0","1418.83","0","","",
"33","수영장업","10_35_01_P","3860000","CDFH3301012026000001","2026-01-08","","01","영업/정상","13","영업중","","","","","0507-1318-7098","","","경기도 부천시 소사구 옥길동 508-5 옥길킹 2층","경기도 부천시 소사구 연동로 159, 옥길킹 2층 (옥길동)","14785","라이크스윔","2026-02-24 11:18:17","U","2026-02-26 02:40:00","","184299.275575576","441455.565919104","수영장업","사립","Y","1","0","0","0","","",
"34","수영장업","10_35_01_P","3860000","CDFH3301012016000001","2016-07-13","","01","영업/정상","13","영업중","","","","","","","","경기도 부천시 소사구 괴안동 86-4 그린홈프라자","경기도 부천시 소사구 범안로 54, 그린홈프라자 지층 101호 (괴안동)","14697","빅스마일 스위밍풀 소사점","2026-02-24 14:27:42","U","2026-02-26 02:40:00","","182909.965706674","441668.062967069","수영장업","사립","","0","0","0","0","","",
"35","수영장업","10_35_01_P","3860000","CDFH3301012022000002","2022-09-29","","01","영업/정상","13","영업중","","","","","032-348-1236","","","경기도 부천시 소사구 옥길동 775-2","경기도 부천시 소사구 범안로219번길 95, 1층 101호 (옥길동)","14789","마스터키즈(옥길점)","2026-02-24 11:33:55","U","2026-02-26 02:40:00","","183381.053047655","440489.360535218","수영장업","사립","","1","0","0","0","","",
"36","수영장업","10_35_01_P","4400000","CDFH3301012003000002","2003-05-07","","02","휴업","02","휴업","","2026-02-24","2026-08-31","","640-7190","","390-832","충청북도 제천시 청풍면 교리 33","충청북도 제천시 청풍면 청풍호로 1763","27215","청풍리조트수영장","2026-02-24 20:42:36","U","2026-02-26 02:40:00","","304887.488905311","391501.880947449","수영장업","사립","Y","1","1","21196.43","0","","",
"37","수영장업","10_35_01_P","4040000","CDFH3301012026000001","2026-02-25","","01","영업/정상","13","영업중","","","","","02-477-4094","","","경기도 하남시 감이동 462 스윗컬쳐","경기도 하남시 신우실로 83, 스윗컬쳐 105~110호 (감이동)","12995","풀런키즈스윔 하남감일점","2026-02-25 14:50:26","I","2026-02-27 00:20:02","","214423.505858735","445217.604045269","수영장업","사립","","2","0","0","0","","",
"38","수영장업","10_35_01_P","4820000","CDFH3301012000000001","2000-12-27","","01","영업/정상","13","영업중","","","","","725-5001","","","전라남도 순천시 조례동 1833-1","전라남도 순천시 왕궁길 11 (조례동, 유심천)","57971","유심천건강랜드수영장","2026-02-25 09:11:15","U","2026-02-27 02:40:00","","248499.630823737","161794.838474812","수영장업","사립","Y","0","0","960","0","","",
"39","수영장업","10_35_01_P","5710000","CDFH3301012000000001","2000-02-24","","01","영업/정상","13","영업중","","","","","216-0031","","","충청북도 청주시 청원구 사천동 623-5 외 3필지","충청북도 청주시 청원구 토성로 21 (사천동, 곰두리체육관 수영장)","28354","충청북도곰두리체육관","2026-02-25 10:27:17","U","2026-02-27 02:40:00","","241521.334639523","352082.324545272","수영장업","사립","Y","0","0","2434.92","0","","",
"40","수영장업","10_35_01_P","4020000","CDFH3301012007000001","2007-03-22","","01","영업/정상","13","영업중","","","","","","","435-010","경기도 군포시 당동 981","경기도 군포시 용호1로21번길 14 (당동)","","군포시노동종합복지관","2026-02-26 15:39:18","U","2026-02-28 02:40:00","","194290.130924746","427008.355762582","수영장업","사립","","0","1","6334.41","0","","",
