"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","관광숙박업상세명",
"17","관광숙박업","03_11_01_P","3350000","CDFI2260032014000001","2014-10-29","","01","영업/정상","13","영업중","","","","","051-518-8899","","609-853","부산광역시 금정구 구서동 420-40","부산광역시 금정구 금정로 242 (구서동)","46274","(주)덴바스타호텔구서점","2026-03-04 19:53:29","U","2026-03-06 02:40:00","","390347.549734077","195952.674076618","관광숙박업","","일반상업지역","10","기타","","수협","","10","1","51","0","","","0","0","","0","0","","0","2615","","0","","","","","","","0","","","","2615","관광호텔업",
"18","관광숙박업","03_11_01_P","3900000","CDFI2260032021000001","2021-10-15","","01","영업/정상","13","영업중","","","","","","","","경기도 광명시 일직동 512-3","경기도 광명시 신기로 22 (일직동)","14345","(주)호텔롯데 L7광명","2026-03-04 13:46:42","U","2026-03-06 02:40:00","","189541.850018502","435187.738812827","관광숙박업","","일반상업지역","0","","","","숙박시설","27","8","228","32121","","","0","0","","0","0","","0","32120.61","","0","","","","","","","3500000000","","","","32121","관광호텔업",
"19","관광숙박업","03_11_01_P","3290000","CDFI2260032026000005","2026-02-02","","01","영업/정상","13","영업중","","","","","","","","부산광역시 부산진구 부전동 466-15","부산광역시 부산진구 부전로 89, 3층 (부전동)","47258","시재료칸 부산서면점","2026-03-04 16:19:33","U","2026-03-06 02:40:00","","387136.793044667","186263.633261374","관광숙박업","","","0","","","","","0","0","0","698","","","0","0","","0","0","","0","129.49","","0","","","","","","","20000000","","","","129","호스텔업",
"20","관광숙박업","03_11_01_P","3220000","CDFI2260032003000005","2003-10-13","","01","영업/정상","13","영업중","","","","","3454-1101","","135-840","서울특별시 강남구 대치동 893-1","서울특별시 강남구 삼성로 431 (대치동)","","이비스 스타일 앰배서더 강남","2026-03-04 15:19:17","U","2026-03-06 02:40:00","","204976.284445723","444767.617235233","관광숙박업","관광사업","일반주거지역","20","기타","","","호텔","14","6","0","0","","","0","0","","0","0","","0","17842.04","","0","","","","","","","0","","","","17842","관광호텔업",
"21","관광숙박업","03_11_01_P","5060000","CDFI2260031998000001","1998-01-12","","03","폐업","03","폐업","2026-03-03","","","","054-437-8000","","740-812","경상북도 김천시 대항면 향천리 327-3","경상북도 김천시 대항면 황학동길 35-23","39565","김천파크관광호텔","2026-03-04 10:21:29","U","2026-03-06 02:40:00","","291482.732670887","291098.427573369","관광숙박업","관광사업","","4","","","","","4","0","40","6086","","","0","0","","0","0","","0","1897.42","","0","","","","","","","0","","","","1897","관광호텔업",
"22","관광숙박업","03_11_01_P","4711000","CDFI2260032026000001","2026-03-05","","01","영업/정상","13","영업중","","","","","","","","전북특별자치도 김제시 죽산면 홍산리 835-3 , 837-1","전북특별자치도 김제시 죽산면 해학로 16-13","54419","유한회사 죽산스테이","2026-03-05 13:05:51","I","2026-03-07 00:20:02","","183385.184685049","252434.127087605","관광숙박업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","호스텔업",
"23","관광숙박업","03_11_01_P","3120000","CDFI2260032026000001","2026-03-05","","01","영업/정상","13","영업중","","","","","","","","서울특별시 서대문구 연희동 218-23 루프서울 연희점","서울특별시 서대문구 동교로 294 (연희동, 루프서울 연희점)","03716","루프서울 연희점","2026-03-05 11:20:39","I","2026-03-07 00:20:02","","193545.864809438","451418.938439457","관광숙박업","","일반주거지역","7","기타","","","숙박시설","5","2","0","0","","","0","0","","0","0","","0","1424.29","","0","","","","","","","8433310200","","","","1424","호스텔업",
"24","관광숙박업","03_11_01_P","3010000","CDFI2260032026000015","2026-03-04","","01","영업/정상","13","영업중","","","","","070-7780-3650","","","서울특별시 중구 신당동 775 신한빌딩","서울특별시 중구 마장로 11, 신한빌딩 3층 (신당동)","04567","케이그랜드호텔 DDP","2026-03-05 09:24:10","I","2026-03-07 00:20:02","","200938.52813687","451798.00308625","관광숙박업","","상업지역","1","","","","숙박시설","3","0","13","0","","","0","0","","0","0","","0","294.39","","0","","","","","","","170000000","","","","294","호스텔업",
"25","관광숙박업","03_11_01_P","3010000","CDFI2260032026000016","2026-03-05","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 주교동 122-3 브라더빌딩","서울특별시 중구 창경궁로 64, 브라더빌딩 지상2층 (주교동)","04546","zip 1972 hostel","2026-03-05 13:26:56","I","2026-03-07 00:20:02","","199776.8998987","451757.911311507","관광숙박업","","","3","","","","","2","1","8","0","","","0","0","","0","0","","0","178.84","","0","","","","","","","0","","","","179","호스텔업",
"26","관광숙박업","03_11_01_P","3000000","CDFI2260032026000013","2026-03-05","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 숭인동 1049","서울특별시 종로구 숭인동길 1-3, 2, 3층 (숭인동)","03112","더온재","2026-03-05 17:09:50","I","2026-03-07 00:20:02","","201801.300137307","452526.951324552","관광숙박업","","","0","","","","","0","0","0","0","The Onjae","Tourist Accommodation Business(Hostel)","0","0","","0","0","","0","152.3","","0","","","","","","","20000000","","","","152","호스텔업",
"27","관광숙박업","03_11_01_P","3000000","CDFI2260032026000014","2026-03-05","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 숭인동 1049","서울특별시 종로구 숭인동길 1-3, 4층 (숭인동)","03112","VERANDA11","2026-03-05 17:12:30","I","2026-03-07 00:20:02","","201801.300137307","452526.951324552","관광숙박업","","","0","","","","","0","0","0","0","VERANDA11","Tourist Accommodation Business(Hostel)","0","0","","0","0","","0","51.28","","0","","","","","","","25000000","","","","51","호스텔업",
"28","관광숙박업","03_11_01_P","3380000","CDFI2260032019000008","2019-05-03","","01","영업/정상","13","영업중","","","","","","","","부산광역시 수영구 광안동 200-4","부산광역시 수영구 광안해변로 179, 7층 (광안동)","48303","H7L 호스텔","2026-03-05 19:44:05","U","2026-03-07 02:40:00","","392732.161638137","185542.452702234","관광숙박업","","일반상업지역","0","","","","","0","0","7","0","","","0","0","","0","0","","0","218.85","","0","","","","","","","100000000","","","","219","호스텔업",
"29","관광숙박업","03_11_01_P","6510000","CDFI2260032013001064","2013-09-16","","01","영업/정상","13","영업중","","","","","064726-0061","","","제주특별자치도 제주시 해안동 2131-1","제주특별자치도 제주시 노형로 79","","호텔 펄리","2026-03-05 11:51:17","U","2026-03-07 02:40:00","","149246.024249337","-3472.7089396268","관광숙박업","","자연녹지지역","5","","","","숙박시설","4","1","124","5655","","","0","0","","0","0","","0","5654.8","","0","","","","","","","650000000","","","","5655","가족호텔업",
"30","관광숙박업","03_11_01_P","3010000","CDFI2260032026000010","2026-02-12","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 을지로3가 282-7","서울특별시 중구 을지로16길 2-1, 지상3층 (을지로3가)","04549","로스터블록","2026-03-05 09:20:34","U","2026-03-07 02:40:00","","199353.972647661","451539.691052825","관광숙박업","","","0","","","","","0","0","1","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","호스텔업",
"31","관광숙박업","03_11_01_P","3010000","CDFI2260032026000014","2026-02-25","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 충무로4가 15-16 금사과빌딩","서울특별시 중구 마른내로4가길 41, 금사과빌딩 지상2층 (충무로4가)","04556","제이빌스","2026-03-05 09:22:31","U","2026-03-07 02:40:00","","199444.847152847","451149.7429042","관광숙박업","","","7","","","","숙박시설","6","1","3","0","","","0","0","","0","0","","0","99.98","","0","","","","","","","0","","","","100","호스텔업",
"32","관광숙박업","03_11_01_P","3220000","CDFI2260032020000002","2020-08-12","","01","영업/정상","13","영업중","","","","","02-539-6360","","","서울특별시 강남구 신사동 561-19","서울특별시 강남구 도산대로 153 (신사동)","06037","호텔 안테룸 서울","2026-03-05 09:33:02","U","2026-03-07 02:40:00","","202159.749483028","446291.277157107","관광숙박업","","","23","","","","","19","4","0","0","","","0","0","","0","0","","0","3670","","0","","","","","","","0","","","","3670","관광호텔업",
"33","관광숙박업","03_11_01_P","3380000","CDFI2260032025000015","2025-07-28","","01","영업/정상","13","영업중","","","","","","","","부산광역시 수영구 광안동 169-36","부산광역시 수영구 수영로540번길 36, 2층 (광안동)","48300","숨스테이광안","2026-03-05 11:50:48","U","2026-03-07 02:40:00","","392571.817786463","185856.687264226","관광숙박업","","일반주거지역","0","","","","","0","0","2","0","","","0","0","","0","0","","0","70.98","","0","","","","","","","50000000","","","","71","호스텔업",
"34","관광숙박업","03_11_01_P","5050000","CDFI2260032025000006","2025-09-05","","01","영업/정상","13","영업중","","","","","","","","경상북도 경주시 노동동 199-1","경상북도 경주시 동성로 93, 2층 (노동동)","38154","스테이피치스 경주점","2026-03-05 14:05:21","U","2026-03-07 02:40:00","","399648.532447409","262622.316235412","관광숙박업","","일반상업지역","2","학교정화(상대)","","","숙박시설","2","0","3","98","","","0","0","","0","0","","0","98.27","","0","","","","","","","50000000","","","","98","호스텔업",
"35","관광숙박업","03_11_01_P","4160000","CDFI2260032022000011","2022-12-26","","01","영업/정상","13","영업중","","","","","","","","경기도 가평군 청평면 호명리 179","경기도 가평군 청평면 호명리길 58-28","12455","풀스쿼드가평 주식회사","2026-03-05 14:18:43","U","2026-03-07 02:40:00","","240754.084515888","468765.114641135","관광숙박업","","관리지역","4","기타","","","기타","4","1","7","0","","","0","0","","0","0","","0","727","","0","","","","","","","50000000","","","","727","호스텔업",
"36","관광숙박업","03_11_01_P","3010000","CDFI2260032026000011","2026-02-23","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 명동2가 53-9","서울특별시 중구 명동4길 35, 5,6층 (명동2가)","04536","MOK HOSTEL","2026-03-05 09:21:13","U","2026-03-07 02:40:00","","198526.809718956","451090.607143509","관광숙박업","","","0","","","","","0","0","18","0","","","0","0","","0","0","","0","0","","0","","","","","","","450000000","","","","0","호스텔업",
"37","관광숙박업","03_11_01_P","3120000","CDFI2260032014000001","2014-12-23","","01","영업/정상","13","영업중","","","","","02-364-0807","","","서울특별시 서대문구 대현동 104-5 신촌푸르지오시티","서울특별시 서대문구 신촌역로 7, 신촌푸르지오시티 14,15,22층 (대현동)","03780","신촌 EVER8 레지던스 호텔","2026-03-05 16:48:29","U","2026-03-07 02:40:00","","194855.910937446","450573.690449065","관광숙박업","","일반상업지역","27","","","","호텔","22","7","47","709","SINCHON EVER8 RESIDENCE HOTEL","TOURIST ACCOMMODATION BUSINESS","0","0","","0","0","","0","3229.53","","0","","","","","","","0","","","","3230","가족호텔업",
"38","관광숙박업","03_11_01_P","3010000","CDFI2260032026000013","2026-02-24","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 남산동2가 37-2 JEJARI STAY","서울특별시 중구 소공로6길 35, JEJARI STAY (남산동2가)","04631","JEJARI STAY","2026-03-05 09:21:49","U","2026-03-07 02:40:00","","198608.927223501","450707.580510567","관광숙박업","","","0","","","","","0","0","20","0","","","0","0","","0","0","","0","0","","0","","","","","","","1500000000","","","","0","호스텔업",
