"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","사무실면적","소독차량차고면적","초미립자살포기수","휴대용소독기수","동력분무기수","수동식분무기수","방독면수","보호안경수","보호용의복수","진공청소기수",
"11","소독업","09_30_11_P","4671000","PHMB520094670076042500007","2009-05-08","","01","영업/정상","13","영업중","","","","","","","","전북특별자치도 군산시 명산동 10-14","전북특별자치도 군산시 명산길 6 (명산동)","54025","유한회사 군산방역","2026-04-01 17:54:02","U","2026-04-03 02:40:00","","173846.48086994","275940.731694605","0","0","2","2","1","5","5","5","5","1",
"12","소독업","09_30_11_P","5590000","PHMB520255590021042500004","2025-03-26","","01","영업/정상","13","영업중","","","","","","","","경기도 양주시 광사동 688-3","경기도 양주시 고읍남로39번길 129-32, 1층 103호 (광사동)","11491","키즈아머 동부지점","2026-04-01 17:16:07","U","2026-04-03 02:40:00","","207155.397733746","476263.75096743","12","6","1","2","0","3","5","5","5","6",
"13","소독업","09_30_11_P","4620000","PHMB520174620040042500001","2017-12-27","","01","영업/정상","13","영업중","","","","","","","","","충청남도 태안군 태안읍 마당산길 88-14","32139","제일방역","2026-04-01 17:46:33","U","2026-04-03 02:40:00","","140230.094635771","362963.012241406","45","45","1","2","0","3","5","5","5","1",
"14","소독업","09_30_11_P","4490000","PHMB520214490261042500004","2021-02-03","","01","영업/정상","13","영업중","","","","","041-558-0112","","","충청남도 천안시 동남구 원성동 579-10 한성빌딩","충청남도 천안시 동남구 충무로 505, 한성빌딩 4층 일부호 (원성동)","31187","알오케이클린","2026-04-01 15:49:33","U","2026-04-03 02:40:00","","214348.096925862","366415.725484053","63.2","15.19","1","2","0","3","5","5","5","1",
"15","소독업","09_30_11_P","3070000","PHMB520243070034042500004","2024-11-20","","01","영업/정상","13","영업중","","","","","02-921-1201","","","서울특별시 성북구 동소문동5가 15 성신여대역솔하임","서울특별시 성북구 보문로40길 11, 5층 506호 (동소문동5가, 성신여대역솔하임)","02846","주식회사 꿈터","2026-04-01 18:05:41","U","2026-04-03 02:40:00","","201169.222981659","454397.181151468","47.2","12","1","2","0","3","5","5","5","1",
"16","소독업","09_30_11_P","3860000","PHMB520263860384042500005","2026-04-02","","01","영업/정상","13","영업중","","","","","02-2952-9186","","","경기도 부천시 소사구 옥길동 794-3 골든IT타워","경기도 부천시 소사구 양지로 229, 골든IT타워 9층 929호 (옥길동)","14786","(주)서부엘시드","2026-04-02 14:33:09","I","2026-04-04 00:20:02","","184592.83170206","440538.408421706","36.63","16.03","1","2","0","3","5","5","5","1",
"17","소독업","09_30_11_P","3330000","PHMB520263330024042500002","2020-02-24","","01","영업/정상","13","영업중","","","","","","","","부산광역시 해운대구 우동 1454 벽산이센텀클래스원2차 501호","부산광역시 해운대구 센텀동로 71, 벽산이센텀클래스원2차 501호 (우동)","48059","(주)에스시스템","2026-04-02 16:31:10","I","2026-04-04 00:20:02","","393790.344709358","188235.889521484","52.56","14.37","2","2","0","3","5","5","5","1",
"18","소독업","09_30_11_P","3680000","PHMB520263680022042500001","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","대전광역시 대덕구 대화동 289-1 대전산업용재유통상가 지원상가 2동 12호","대전광역시 대덕구 대화로 160, 대전산업용재유통상가 지원상가 2동 지하층 12호 (대화동)","34368","그린파트너스","2026-04-02 11:39:31","I","2026-04-04 00:20:02","","236019.893489066","318423.179224484","32.02","3.58","1","2","0","4","7","7","5","1",
"19","소독업","09_30_11_P","5350000","PHMB520115350029042500005","2011-12-06","","01","영업/정상","13","영업중","","","","","","","621-831","경상남도 김해시 장유면 삼문리 67번지 1호  5층","경상남도 김해시 장유면 번화1로 171, 5층","50986","경상환경","2026-04-02 13:19:32","U","2026-04-04 02:40:00","","363283.088042921","190207.1473328","24","8.25","1","2","1","5","5","5","5","1",
"20","소독업","09_30_11_P","4241000","PHMB520214240025042500001","2021-01-27","","01","영업/정상","13","영업중","","","","","033-574-5828","","","강원특별자치도 삼척시 갈천동 138-3","강원특별자치도 삼척시 새천년도로 622, 203호 (갈천동)","25909","주식회사워머스","2026-04-02 08:52:07","U","2026-04-04 02:40:00","","391191.085124222","442556.654284794","40","20","1","2","0","3","5","5","5","1",
"21","소독업","09_30_11_P","5530000","PHMB520175530021042500007","2017-07-12","","01","영업/정상","13","영업중","","","","","031-227-3391","","","경기도 화성시 효행구 봉담읍 동화리 252","경기도 화성시 효행구 봉담읍 낭내기길 55-24","18298","주식회사 크린씨티화성","2026-04-02 11:47:59","U","2026-04-04 02:40:00","","196703.321141606","413136.961949683","487.19","49.5","1","3","0","3","5","5","5","1",
"22","소독업","09_30_11_P","3980000","PHMB520243980021042500005","2024-08-29","","03","폐업","03","폐업","2026-04-02","","","","","","","경기도 구리시 교문동 798-15","경기도 구리시 장자대로1번길 78 (교문동)","11938","그린플레이스","2026-04-02 12:58:11","U","2026-04-04 02:40:00","","211573.468553192","454326.568174452","34","7.2","1","2","0","3","5","5","5","1",
"23","소독업","09_30_11_P","5080000","PHMB520075080035042500010","2007-09-11","","01","영업/정상","13","영업중","","","","","457-0046","","","","경상북도 구미시 송정대로 164, 2층 (송정동, 새로넷빌딩)","39272","(주)태웅","2026-04-02 10:47:19","U","2026-04-04 02:40:00","","321997.751405305","291805.229662957","50","50","1","2","1","5","5","5","5","1",
"24","소독업","09_30_11_P","3930000","PHMB519993930162042500001","1999-02-28","","01","영업/정상","13","영업중","","","","","438-3012","","","경기도 안산시 상록구 본오동 880번지 12호 201호","경기도 안산시 상록구 샘골로 117, 201호 (본오동, 굿모닝리빙프라자 II)","15540","(주)선우종합관리","2026-04-02 10:09:07","U","2026-04-04 02:40:00","","187755.16","421384.815","86.95","40.33","3","2","2","10","5","5","10","2",
"25","소독업","09_30_11_P","3000000","PHMB520153000034042500002","2015-07-02","","03","폐업","03","폐업","2026-04-01","","","","02-2263-3042","","110-125","서울특별시 종로구 종로5가 138번지 19호","서울특별시 종로구 동호로 403 (종로5가)","03195","동서종합관리","2026-04-02 10:53:20","U","2026-04-04 02:40:00","","200077.144414946","452023.159595412","41.89","24.78","1","2","0","3","5","5","5","1",
"26","소독업","09_30_11_P","4241000","PHMB520264241036042500001","2026-01-13","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 삼척시 남양동 55-117 한흥프라자 216호","강원특별자치도 삼척시 중앙로 176, 2층 216호 (남양동, 한흥프라자)","25929","스튜디오 바이비","2026-04-02 08:50:33","U","2026-04-04 02:40:00","","391824.809010989","439622.96324834","20.88","20.88","1","2","0","3","7","14","6","1",
"27","소독업","09_30_11_P","3300000","PHMB520133300024042500005","2013-07-30","","01","영업/정상","13","영업중","","","","","051-528-0172","","607-830","부산광역시 동래구 안락2동 449번지 58호","부산광역시 동래구 명안로18번길 11 (안락동)","47790","해피콤","2026-04-02 13:01:56","U","2026-04-04 02:40:00","","391632.704355879","190803.93360261","0","0","1","2","1","5","5","5","5","1",
"28","소독업","09_30_11_P","3300000","PHMB520143300024042500005","2014-10-21","","01","영업/정상","13","영업중","","","","","051-552-1253","","607-822","부산광역시 동래구 수안동 6번지 1호","부산광역시 동래구 명륜로75번길 31 (수안동)","47819","뉴이엠방역","2026-04-02 15:15:18","U","2026-04-04 02:40:00","","389551.579403622","190976.286069305","0","0","1","2","1","5","5","5","5","1",
"29","소독업","09_30_11_P","5710000","PHMB520255710106042500001","2025-09-04","","01","영업/정상","13","영업중","","","","","","","","충청북도 청주시 상당구 서문동 6-6 서울성형외과","충청북도 청주시 상당구 사직대로350번길 11-2, 서울성형외과 2층 (서문동)","28525","(주)제이앤케이인터네셔널","2026-04-02 10:22:34","U","2026-04-04 02:40:00","","243451.676079548","348432.740334032","26.1","83","1","2","0","3","5","5","20","1",
"30","소독업","09_30_11_P","3360000","PHMB520233360024042500001","2023-01-13","","03","폐업","03","폐업","2026-04-02","","","","","","","부산광역시 강서구 봉림동 427","부산광역시 강서구 가락대로1397번길 212, 1층 (봉림동)","46708","이상크린닥터","2026-04-02 10:03:48","U","2026-04-04 02:40:00","","372562.473161752","190005.707838052","59","13","1","2","0","3","5","5","5","1",
"31","소독업","09_30_11_P","4520000","PHMB520254520031042500006","2025-07-08","","01","영업/정상","13","영업중","","","","","","","","","충청남도 아산시 번영로 177, 2층 (권곡동)","31519","크렉스 충남","2026-04-02 13:41:58","U","2026-04-04 02:40:00","","200850.748358264","364885.866771323","15","3","1","2","0","3","5","5","5","1",
"32","소독업","09_30_11_P","3210000","PHMB520253210034042500002","2025-03-10","","01","영업/정상","13","영업중","","","","","","","","서울특별시 서초구 양재동 12-10 양재한신휴플러스 지하층 에이-19호","서울특별시 서초구 강남대로 224, 지하층 에이-19호 (양재동, 양재한신휴플러스)","06736","윤재네 올케어","2026-04-02 09:02:06","U","2026-04-04 02:40:00","","203028.682900549","442441.155976003","4.8","7.1","1","2","0","3","4","4","4","1",
"33","소독업","09_30_11_P","3930000","PHMB520243930154042500013","2024-12-10","","03","폐업","03","폐업","2025-09-05","","","","","","","경기도 안산시 단원구 고잔동 739-2","경기도 안산시 단원구 이삭2길 55-5, 숲속애 2층 202호 (고잔동)","15466","자연이랑","2026-04-02 16:08:04","U","2026-04-04 02:40:00","","185488.555","423438.35","33.1","5","1","2","0","3","5","5","5","1",
"34","소독업","09_30_11_P","4800000","PHMB520264800026042500001","2026-04-03","","01","영업/정상","13","영업중","","","","","","","","","전라남도 목포시 양을로143번길 23-1, 1층 (산정동)","58634","미미프레쉬 목포점","2026-04-03 14:04:56","I","2026-04-05 00:20:22","","143719.500463343","146020.735052559","0","0","1","2","0","3","5","5","5","2",
"35","소독업","09_30_11_P","3600000","PHMB520263600020042500004","2026-04-03","","01","영업/정상","13","영업중","","","","","","","","광주광역시 서구 매월동 948 광주산업용재유통센터","광주광역시 서구 매월2로 53, 광주산업용재유통센터 21동 2층 235호 (매월동)","62074","아린에코케어","2026-04-03 15:37:13","I","2026-04-05 00:20:22","","187425.334383555","179652.08783167","10","3","1","2","1","3","5","5","5","2",
"36","소독업","09_30_11_P","3860000","PHMB520263860384042500006","2026-04-03","","01","영업/정상","13","영업중","","","","","032-345-1216","","","경기도 부천시 소사구 옥길동 794-1 우성테크노파크Ⅰ","경기도 부천시 소사구 부광로 220, 우성테크노파크Ⅰ 5층 517호 일부호 (옥길동)","14786","주식회사 다온리데코","2026-04-03 11:38:00","I","2026-04-05 00:20:22","","184472.227024617","440620.766829376","25.02","37.92","1","2","0","3","5","5","5","1",
"37","소독업","09_30_11_P","4600000","PHMB520264600019042500001","2026-03-30","","01","영업/정상","13","영업중","","","","","","","","충청남도 홍성군 홍북읍 내덕리 779-4","충청남도 홍성군 홍북읍 내용길 158, 101호","32278","은하수 종합환경","2026-04-03 09:18:23","I","2026-04-05 00:20:22","","171422.17741343","346490.01665227","0","0","1","2","0","3","5","5","5","1",
"38","소독업","09_30_11_P","5350000","PHMB520165350029042500004","2016-06-07","","01","영업/정상","13","영업중","","","","","055-326-2678","","","경상남도 김해시 외동 1261번지 9호","경상남도 김해시 함박로 120, 525호 (외동, 한국아파트 상가)","50958","경남시설관리","2026-04-03 16:09:20","U","2026-04-05 02:40:00","","369944.304167536","194002.332570651","0","0","1","2","0","3","5","5","5","1",
"39","소독업","09_30_11_P","4610000","PHMB520174610020042500003","2017-12-26","","01","영업/정상","13","영업중","","","","","041-337-1512","","","충청남도 예산군 삽교읍 평촌리 195","충청남도 예산군 삽교읍 수평로 317","32416","그린씨앤엠(주)","2026-04-03 16:58:10","U","2026-04-05 02:40:00","","174221.05716271","353783.597282214","20","16","1","2","0","3","5","5","5","1",
"40","소독업","09_30_11_P","5530000","PHMB520255530507042500006","2025-11-15","","01","영업/정상","13","영업중","","","","","031-366-2390","","","경기도 화성시 효행구 정남면 괘랑리 114-1","경기도 화성시 효행구 정남면 만년로 793, 정남프라자 A동 2층","18516","스카이스텔스 주식회사","2026-04-03 14:41:57","U","2026-04-05 02:40:00","","199988.969662672","409055.236430073","0","0","1","2","0","3","5","5","5","1",
"41","소독업","09_30_11_P","5080000","PHMB520175080035042500002","2017-06-05","","01","영업/정상","13","영업중","","","","","054-457-7599","","","","경상북도 구미시 신시로7길 6 (형곡동)","39294","삼성청결사","2026-04-03 16:46:02","U","2026-04-05 02:40:00","","320453.701625203","291124.783050132","12.5","33","1","2","0","3","5","5","5","1",
"42","소독업","09_30_11_P","4820000","PHMB520164820026042500003","2016-05-10","","01","영업/정상","13","영업중","","","","","061-908-1000","","","전라남도 순천시 연향동 1384번지 3호","전라남도 순천시 연향1로 55, 상가2동 2층 201호 (연향동, 부영1차아파트)","57981","(주)다린컴퍼니","2026-04-03 18:08:12","U","2026-04-05 02:40:00","","247547.624301348","160909.278932482","33","49.5","1","2","0","3","5","5","5","1",
"43","소독업","09_30_11_P","3060000","PHMB520053060034042500001","2005-09-15","","01","영업/정상","13","영업중","","","","","02-495-0967","","","서울특별시 중랑구 신내동 262-1","서울특별시 중랑구 신내역로3길 40-36, A동 909호 (신내동)","02055","(주)람보씨엠개발","2026-04-03 18:12:43","U","2026-04-05 02:40:00","","209085.926142332","457283.215342184","12.7","17","2","2","1","5","5","5","5","1",
"44","소독업","09_30_11_P","3720000","PHMB520223720017042500001","2022-01-28","","01","영업/정상","13","영업중","","","","","052-294-8588","","","울산광역시 북구 호계동 254-12 지상1층","울산광역시 북구 동대5길 36, 지상1층 (호계동)","44227","굿프렌즈보호작업장","2026-04-03 09:03:13","U","2026-04-05 02:40:00","","413066.009833591","239222.039980888","17.64","8.68","5","2","0","10","5","5","20","1",
"45","소독업","09_30_11_P","3930000","PHMB520263930154042500005","2021-03-08","","01","영업/정상","13","영업중","","","","","","","","경기도 안산시 단원구 고잔동 537-7 힐스테이트 에코","경기도 안산시 단원구 중앙대로 885, 힐스테이트 에코 103동 1408호 (고잔동)","15360","주식회사 뉴하나회","2026-04-03 17:22:42","U","2026-04-05 02:40:00","","185321.795090665","423926.38394496","20.54","20.54","1","2","0","3","5","5","5","2",
"46","소독업","09_30_11_P","3990000","PHMB520243990310042500009","2024-03-22","","01","영업/정상","13","영업중","","","","","","","","경기도 남양주시 별내동 1079-3","경기도 남양주시 별내5로5번길 57, 101호 (별내동)","12102","토탈빌딩케어 똑똑","2026-04-03 11:02:45","U","2026-04-05 02:40:00","","210141.551803563","461122.073994472","46.35","8.65","1","2","0","3","5","5","5","1",
"47","소독업","09_30_11_P","4920000","PHMB520254920011042500001","2025-12-19","","03","폐업","03","폐업","2026-04-03","","","","","","","전라남도 강진군 강진읍 동성리 195-1","전라남도 강진군 강진읍 동성로 27","59231","비치움쎄니크린","2026-04-03 17:36:47","U","2026-04-05 02:40:00","","179183.447758525","126986.193202826","22","20.27","1","2","0","3","5","5","5","1",
"48","소독업","09_30_11_P","4090000","PHMB520234090023042500005","2023-03-13","","01","영업/정상","13","영업중","","","","","031-981-7433","","","경기도 김포시 북변동 217-1 행운빌딩","경기도 김포시 중봉1로 59, 행운빌딩 가동 지하1층 B103호 (북변동)","10102","토탈 클린 솔루션","2026-04-03 11:46:23","U","2026-04-05 02:40:00","","173769.589026656","458148.114026335","0","0","1","2","0","3","5","5","5","1",
"49","소독업","09_30_11_P","4450000","PHMB520234450014042500002","2023-03-16","","01","영업/정상","13","영업중","","","","","","","","충청북도 진천군 진천읍 성석리 733-190","충청북도 진천군 진천읍 대촌길 19","27849","제이더블유 청소전문회사","2026-04-03 17:02:29","U","2026-04-05 02:40:00","","239840.9378233","373367.42696739","47.7","15","1","2","0","5","5","5","5","1",
"50","소독업","09_30_11_P","4620000","PHMB520234620040042500001","2023-03-28","","01","영업/정상","13","영업중","","","","","","","","충청남도 태안군 태안읍 남문리 714-2","충청남도 태안군 태안읍 군청로 6, 1층 2호","32144","태안 통합 방역","2026-04-03 16:06:05","U","2026-04-05 02:40:00","","137362.333878634","360795.659629496","0","0","2","2","0","3","5","5","5","1",
"51","소독업","09_30_11_P","3300000","PHMB520063300024042500007","2006-02-14","","01","영업/정상","13","영업중","","","","","051-531-0655","","607-101","부산광역시 동래구 안락1동 1224번지 1호","부산광역시 동래구 명안로46번길 10 (안락동)","","늘푸른환경","2026-04-03 10:05:38","U","2026-04-05 02:40:00","","391636.606830949","191073.926205336","24","30.8","1","2","1","5","5","5","5","1",
"52","소독업","09_30_11_P","5350000","PHMB520205350029042500027","2020-08-19","","03","폐업","03","폐업","2025-12-30","","","","","","","경상남도 김해시 진영읍 본산리 산 3-10","경상남도 김해시 진영읍 장방로 136-200","50856","SKY클린","2026-04-03 09:42:42","U","2026-04-05 02:40:00","","361386.555166993","203383.170734363","57.89","11.58","1","2","0","3","5","5","5","1",
"53","소독업","09_30_11_P","4090000","PHMB520214090023042500014","2021-04-02","","01","영업/정상","13","영업중","","","","","","","","경기도 김포시 풍무동 1-20 길훈상가","경기도 김포시 장릉로 60, 길훈상가 2층 (풍무동)","10110","K.O 생활환경","2026-04-03 13:43:26","U","2026-04-05 02:40:00","","175109.376477391","456721.770105412","0","0","1","2","0","3","5","5","5","1",
"54","소독업","09_30_11_P","4090000","PHMB520214090023042500006","2021-02-03","","01","영업/정상","13","영업중","","","","","031-1544-2837","","","경기도 김포시 감정동 659 삼환아파트 상가동 지층9호","경기도 김포시 봉화로181번길 36, 삼환아파트 상가동 지층9호 (감정동)","10102","주식회사 흰소","2026-04-03 13:45:33","U","2026-04-05 02:40:00","","173418.444486411","458381.226210813","0","0","1","2","0","3","5","5","5","1",
"55","소독업","09_30_11_P","3060000","PHMB520223060034042500006","2022-06-14","","01","영업/정상","13","영업중","","","","","02-6339-9414","","","서울특별시 중랑구 신내동 479-1 중앙하이츠아파트","서울특별시 중랑구 봉화산로56길 143-10, B동 상가 202호 (신내동)","02071","제이엔케어","2026-04-03 17:31:50","U","2026-04-05 02:40:00","","208543.327358667","455535.39598378","0","0","1","2","0","3","5","5","5","1",
"56","소독업","09_30_11_P","3420000","PHMB520093420023042500002","2009-04-23","","01","영업/정상","13","영업중","","","","","985-5459","","","대구광역시 동구 방촌동 1084번지 30호 우방강촌마을","대구광역시 동구 화랑로80길 8, 205호 (방촌동, 우방강촌마을)","41147","주식회사 유원비즈","2026-04-04 17:48:10","U","2026-04-06 02:40:00","","350354.422142115","265300.046611177","40","23.75","1","2","1","5","5","5","5","1",
"57","소독업","09_30_11_P","3610000","PHMB520263610019042500001","2026-04-03","","01","영업/정상","13","영업중","","","","","","","","광주광역시 남구 주월동 22-12","광주광역시 남구 회재로1200번길 15-2, 2층 (주월동)","61717","주식회사 현성기술","2026-04-05 12:00:54","I","2026-04-07 00:20:01","","190297.503896431","181503.539749398","0","0","1","2","0","3","5","2","5","1",
