번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),자산규모,부채총액,자본금,판매방식명,Unnamed: 32,record_key
3767,통신판매업,08_26_04_P,5670000,2026567056630200099,2026-03-06,,1,영업/정상,1,정상영업,,,,,,,,경상남도 창원시 의창구 동읍 용잠리 ***-* 원창호수아파트,"경상남도 창원시 의창구 동읍 의창대로 ***, ***동 ****호 (원창호수아파트)",51132,마이네임이스마켓(B),2026-03-05 10:50:30,I,2026-03-07 00:20:02,종합몰,353243.418652728,198813.122884581,0,0,0,인터넷,,마이네임이스마켓(B)_경상남도창원시의창구동읍용잠리***-*원창호수아파트
4515,통신판매업,08_26_04_P,3010000,2026301024430200378,2026-03-06,,1,영업/정상,1,정상영업,,,,,,,,서울특별시 중구 을지로*가 *** 에이피엠플레이스패션몰,"서울특별시 중구 을지로 ***, 에이피엠플레이스패션몰 *층 **호 (을지로*가)",04565,아에르(aer),2026-03-05 14:21:23,I,2026-03-07 00:20:02,의류/패션/잡화/뷰티,200673.011457453,451443.279894262,0,0,0,인터넷,,아에르(aer)_서울특별시중구을지로*가***에이피엠플레이스패션몰
4241,통신판매업,08_26_04_P,3560000,2026356028530200999,2026-03-06,,1,영업/정상,1,정상영업,,,,,,,,인천광역시 서구 왕길동 ***-* 제이원검단메디컬프라자,"인천광역시 서구 완정로 ***, 제이원검단메디컬프라자 ***-***호 (왕길동)",22616,주식회사 와이브로스,2026-03-05 15:46:43,I,2026-03-07 00:20:02,종합몰 자동차/자동차용품,169589.976023258,455611.117427815,0,0,0,인터넷,,주식회사와이브로스_인천광역시서구왕길동***-*제이원검단메디컬프라자
4516,통신판매업,08_26_04_P,3010000,2026301024430200379,2026-03-06,,1,영업/정상,1,정상영업,,,,,,,,서울특별시 중구 을지로*가 **-** 동대문패션TV,"서울특별시 중구 을지로 ***, 동대문패션TV ****-**호 (을지로*가)",04561,마음나인,2026-03-05 14:28:37,I,2026-03-07 00:20:02,종합몰 가구/수납용품 건강/식품,200548.038848161,451497.626572161,0,0,0,인터넷,,마음나인_서울특별시중구을지로*가**-**동대문패션TV
3802,통신판매업,08_26_04_P,3140000,2026314027230200303,2026-03-05,,1,영업/정상,1,정상영업,,,,,,,,서울특별시 양천구 목동 *** 목동신시가지아파트*단지,"서울특별시 양천구 목동서로 ***, ***동 ****호 (목동, 목동신시가지아파트*단지)",07982,코코연,2026-03-05 08:58:09,I,2026-03-07 00:20:02,종합몰,188700.851169641,448020.090999138,0,0,0,인터넷,,코코연_서울특별시양천구목동***목동신시가지아파트*단지
3813,통신판매업,08_26_04_P,4050000,2026564001830201070,2026-03-05,,1,영업/정상,1,정상영업,,,,,,,,경기도 용인시 수지구 풍덕천동 **** 래미안수지이스트파크,"경기도 용인시 수지구 신수로***번길 **, ***동 ***호 (풍덕천동, 래미안수지이스트파크)",16831,핑크만다린(PinkMandarin),2026-03-05 13:25:05,I,2026-03-07 00:20:02,기타,208790.478880109,425234.832861281,0,0,0,인터넷,,핑크만다린(PinkMandarin)_경기도용인시수지구풍덕천동****래미안수지이스트파크
3801,통신판매업,08_26_04_P,3140000,2026314027230200302,2026-03-05,,1,영업/정상,1,정상영업,,,,,,,,서울특별시 양천구 신월동 **-*,"서울특별시 양천구 월정로 ***, *층 (신월동)",07903,아모레비노,2026-03-05 08:54:59,I,2026-03-07 00:20:02,의류/패션/잡화/뷰티,185101.687149296,448686.64189183,0,0,0,인터넷,,아모레비노_서울특별시양천구신월동**-*
3800,통신판매업,08_26_04_P,5590000,2026559032130200972,2026-03-05,,1,영업/정상,1,정상영업,,,,,,,,경기도 양주시 옥정동 ***-* 폴리프라자Ⅱ,"경기도 양주시 옥정동로*다길 **-**, 폴리프라자Ⅱ ***호 B** (옥정동)",11473,임머(four),2026-03-05 15:26:20,I,2026-03-07 00:20:02,종합몰,208153.74,479703.91,0,0,0,인터넷,,임머(four)_경기도양주시옥정동***-*폴리프라자Ⅱ
3796,통신판매업,08_26_04_P,5670000,2026567056830200099,2026-03-05,,1,영업/정상,1,정상영업,,,,,,,,경상남도 창원시 성산구 성주동 *** 프리빌리지 *차,"경상남도 창원시 성산구 창원대로****번길 **, ***동 ***호 (성주동, 프리빌리지 *차)",51475,박민성,2026-03-05 15:55:38,I,2026-03-07 00:20:02,종합몰 건강/식품,356368.572118268,189731.492144108,0,0,0,인터넷,,박민성_경상남도창원시성산구성주동***프리빌리지*차
3799,통신판매업,08_26_04_P,5590000,2026559032130200971,2026-03-05,,1,영업/정상,1,정상영업,,,,,,,,경기도 양주시 옥정동 *** 양주옥정 더 원 파크빌리지,"경기도 양주시 독바위로***번길 **, ****동 ***호 (옥정동, 양주옥정 더 원 파크빌리지)",11470,민씨네스토어,2026-03-05 15:24:41,I,2026-03-07 00:20:02,종합몰,206407.649649421,479947.364251333,0,0,0,인터넷,,민씨네스토어_경기도양주시옥정동***양주옥정더원파크빌리지
3797,통신판매업,08_26_04_P,4490000,2026449050830200605,2026-03-05,,1,영업/정상,1,정상영업,,,,,,,,충청남도 천안시 동남구 신부동 ***-*,"충청남도 천안시 동남구 먹거리*길 **, *층 (신부동)",31123,가챠노리,2026-03-05 09:55:33,I,2026-03-07 00:20:02,교육/도서/완구/오락,213848.978011282,368482.437900645,0,0,0,인터넷,,가챠노리_충청남도천안시동남구신부동***-*
3803,통신판매업,08_26_04_P,3140000,2026314027230200304,2026-03-05,,1,영업/정상,1,정상영업,,,,,,,,서울특별시 양천구 목동 ***-* 행복자아파트,"서울특별시 양천구 목동중앙북로*가길 **, ***호 (목동, 행복자아파트)",07950,율스토리(YulStory),2026-03-05 09:01:36,I,2026-03-07 00:20:02,종합몰,188089.414936526,449382.820509048,0,0,0,인터넷,,율스토리(YulStory)_서울특별시양천구목동***-*행복자아파트
3805,통신판매업,08_26_04_P,3940000,2026395005230200591,2026-03-05,,1,영업/정상,1,정상영업,,,,,,,,경기도 고양시 덕양구 도내동 **** 도래울파크뷰(PARK VIEW),"경기도 고양시 덕양구 도래울로 **, ***동 ***호 (도내동, 도래울파크뷰(PARK VIEW))",10551,보팅스쿨,2026-03-05 14:20:52,I,2026-03-07 00:20:02,종합몰 레져/여행/공연 의류/패션/잡화/뷰티 자동차/자동차용품,188340.255006744,458302.786872877,0,0,0,인터넷,,보팅스쿨_경기도고양시덕양구도내동****도래울파크뷰(PARKVIEW)
3806,통신판매업,08_26_04_P,3940000,2026395005230200592,2026-03-05,,1,영업/정상,1,정상영업,,,,,,,,경기도 고양시 덕양구 내유동 ***-**,경기도 고양시 덕양구 내유길**번길 **-** (내유동),10264,슬로스랩,2026-03-05 14:28:45,I,2026-03-07 00:20:02,종합몰 의류/패션/잡화/뷰티 건강/식품,187409.23228955,468606.876392268,0,0,0,"인터넷, 기타",,슬로스랩_경기도고양시덕양구내유동***-**
3809,통신판매업,08_26_04_P,3820000,2026382023930200176,2026-03-05,,1,영업/정상,1,정상영업,,,,,,,,경기도 의정부시 호원동 ***-* 한주*차아파트,"경기도 의정부시 평화로***번길 **, 한주*차아파트 상가동 *층 ***호 (호원동)",11706,림스네일(RIMS NAIL),2026-03-05 10:59:25,I,2026-03-07 00:20:02,의류/패션/잡화/뷰티,204174.706704508,468782.142676575,0,0,0,인터넷,,림스네일(RIMSNAIL)_경기도의정부시호원동***-*한주*차아파트
3810,통신판매업,08_26_04_P,3820000,2026382023930200177,2026-03-05,,1,영업/정상,1,정상영업,,,,,,,,경기도 의정부시 의정부동 **-* 유홈즈,"경기도 의정부시 호국로****번길 *-*, 유홈즈 ***호 (의정부동)",11693,슐리벤토리,2026-03-05 14:26:07,I,2026-03-07 00:20:02,종합몰,204601.983811164,471278.295592618,0,0,0,인터넷,,슐리벤토리_경기도의정부시의정부동**-*유홈즈
3795,통신판매업,08_26_04_P,5670000,2026567056830200098,2026-03-05,,1,영업/정상,1,정상영업,,,,,,,,경상남도 창원시 성산구 대원동 ** 힐스테이트마크로엔,"경상남도 창원시 성산구 창원천로 **, ***동 ****호 (대원동, 힐스테이트마크로엔)",51414,로로로,2026-03-05 15:01:25,I,2026-03-07 00:20:02,교육/도서/완구/오락 의류/패션/잡화/뷰티,350128.216340038,194222.591064299,0,0,0,"인터넷, 기타",,로로로_경상남도창원시성산구대원동**힐스테이트마크로엔
3811,통신판매업,08_26_04_P,3820000,2026382023930200178,2026-03-05,,1,영업/정상,1,정상영업,,,,,,,,경기도 의정부시 의정부동 ***-*,"경기도 의정부시 경의로 **, *층 ****호 (의정부동)",11654,스마트통신모바일,2026-03-05 17:29:12,I,2026-03-07 00:20:02,기타,203733.371996516,470033.651232914,0,0,0,인터넷,,스마트통신모바일_경기도의정부시의정부동***-*
3812,통신판매업,08_26_04_P,3820000,2026382023930200179,2026-03-05,,1,영업/정상,1,정상영업,,,,,,,,경기도 의정부시 의정부동 *** 의정부역센트럴자이&위브캐슬,"경기도 의정부시 경의로 ***, ***동 ****호 (의정부동, 의정부역센트럴자이&위브캐슬)",11699,라라온,2026-03-05 17:35:01,I,2026-03-07 00:20:02,종합몰,204368.427119001,469951.268772564,0,0,0,인터넷,,라라온_경기도의정부시의정부동***의정부역센트럴자이&위브캐슬
4429,통신판매업,08_26_04_P,3930000,2026393048230200543,2026-03-05,,1,영업/정상,1,정상영업,,,,,,,,경기도 안산시 상록구 본오동 ***-* ***호,"경기도 안산시 상록구 본오로*길 **-*, ***호 (본오동)",15555,더브릿지,2026-03-05 21:40:31,I,2026-03-07 00:20:02,종합몰,188251.780432619,421150.937579277,0,0,0,인터넷,,더브릿지_경기도안산시상록구본오동***-****호
4237,통신판매업,08_26_04_P,3370000,2026337015030200128,2026-03-05,,1,영업/정상,1,정상영업,,,,,,,,부산광역시 연제구 거제동 **-*,"부산광역시 연제구 거제대로 ***, *층 ***호 (거제동)",47512,직폰,2026-03-05 10:04:03,I,2026-03-07 00:20:02,기타,389200.806587619,190119.772747657,0,0,0,인터넷,,직폰_부산광역시연제구거제동**-*
3814,통신판매업,08_26_04_P,4050000,2026564001830201071,2026-03-05,,1,영업/정상,1,정상영업,,,,,,,,경기도 용인시 수지구 죽전동 ***-*,"경기도 용인시 수지구 대지로 **, *층 ***-Q**호 (죽전동)",16873,브이파트너(V PARTNER),2026-03-05 14:25:39,I,2026-03-07 00:20:02,종합몰 가구/수납용품 기타,210009.059030465,425096.423013189,0,0,0,"TV홈쇼핑, 인터넷, 기타",,브이파트너(VPARTNER)_경기도용인시수지구죽전동***-*
3815,통신판매업,08_26_04_P,4050000,2026564001830201072,2026-03-05,,1,영업/정상,1,정상영업,,,,,,,,경기도 용인시 수지구 죽전동 ***-*,"경기도 용인시 수지구 대지로 **, *층 ***호 (죽전동)",16873,아우라샵,2026-03-05 14:31:01,I,2026-03-07 00:20:02,종합몰,210009.059030465,425096.423013189,0,0,0,인터넷,,아우라샵_경기도용인시수지구죽전동***-*
3835,통신판매업,08_26_04_P,3820000,2026382031430200244,2026-03-05,,1,영업/정상,1,정상영업,,,,,,,,경기도 의정부시 금오동 ***-**,경기도 의정부시 금신로***번길 **-* (금오동),11759,에리토,2026-03-05 18:29:38,I,2026-03-07 00:20:02,의류/패션/잡화/뷰티,204898.86110171,471886.753735854,0,0,0,인터넷,,에리토_경기도의정부시금오동***-**
3834,통신판매업,08_26_04_P,3820000,2026382031430200243,2026-03-05,,1,영업/정상,1,정상영업,,,,,,,,경기도 의정부시 민락동 ***-* ***동 ***호,"경기도 의정부시 천보로 **, ***동 *층 (민락동)",11813,1프로쇼핑몰,2026-03-05 16:27:32,I,2026-03-07 00:20:02,종합몰,208700.849744616,471202.493218682,0,0,0,인터넷,,1프로쇼핑몰_경기도의정부시민락동***-****동***호
4422,통신판매업,08_26_04_P,4520000,2026452038330200242,2026-03-05,,1,영업/정상,1,정상영업,,,,,,,,충청남도 아산시 신창면 궁화리 ***-**,충청남도 아산시 신창면 서부남로 ***-**,31544,(주)아로마뉴텍,2026-03-05 13:56:28,I,2026-03-07 00:20:02,의류/패션/잡화/뷰티,191802.870896828,365158.381031928,0,0,0,인터넷,,(주)아로마뉴텍_충청남도아산시신창면궁화리***-**
3832,통신판매업,08_26_04_P,4980000,2026498014130200018,2026-03-05,,1,영업/정상,1,정상영업,,,,,,,,전라남도 장성군 장성읍 용강리 **-**,,,장북맑은물 협동조합,2026-03-05 17:14:19,I,2026-03-07 00:20:02,레져/여행/공연,183333.017039486,205695.761935736,0,0,0,인터넷,,장북맑은물협동조합_전라남도장성군장성읍용강리**-**
4423,통신판매업,08_26_04_P,4520000,2026452038330200244,2026-03-05,,1,영업/정상,1,정상영업,,,,,,,,충청남도 아산시 염치읍 곡교리 ***-** 영진빌라,"충청남도 아산시 염치읍 곡교리길**번길 **-**, *층 ***호 (영진빌라)",31447,원일유통,2026-03-05 14:46:11,I,2026-03-07 00:20:02,의류/패션/잡화/뷰티,198248.264408582,367282.890037751,0,0,0,인터넷,,원일유통_충청남도아산시염치읍곡교리***-**영진빌라
3831,통신판매업,08_26_04_P,3530000,2026353017930200418,2026-03-05,,1,영업/정상,1,정상영업,,,,,,,,인천광역시 남동구 구월동 ** 롯데캐슬골드 ****동 ****호,"인천광역시 남동구 호구포로 ***, ****동 ****호 (구월동, 롯데캐슬골드)",21562,모노데이,2026-03-05 13:30:21,I,2026-03-07 00:20:02,종합몰,174879.339472652,439126.109849944,0,0,0,인터넷,,모노데이_인천광역시남동구구월동**롯데캐슬골드****동****호
3830,통신판매업,08_26_04_P,3530000,2026353017930200417,2026-03-05,,1,영업/정상,1,정상영업,,,,,,,,인천광역시 남동구 논현동 ***-*,"인천광역시 남동구 논고개로 **, **층 ****호, ****호 (논현동)",21679,재현통상,2026-03-05 11:41:36,I,2026-03-07 00:20:02,종합몰,175691.221680537,432960.613122686,0,0,0,인터넷,,재현통상_인천광역시남동구논현동***-*
3829,통신판매업,08_26_04_P,3530000,2026353017930200416,2026-03-05,,1,영업/정상,1,정상영업,,,,,,,,인천광역시 남동구 간석동 **-* ***호,"인천광역시 남동구 간석로**번길 *, ***호 (간석동)",21511,모노블룸,2026-03-05 11:31:25,I,2026-03-07 00:20:02,종합몰 가구/수납용품 의류/패션/잡화/뷰티 자동차/자동차용품,174753.894434388,440470.342515332,0,0,0,인터넷,,모노블룸_인천광역시남동구간석동**-****호
3828,통신판매업,08_26_04_P,3190000,2026319027130200328,2026-03-05,,1,영업/정상,1,정상영업,,,,,,,,서울특별시 동작구 사당동 *** 극동아파트,"서울특별시 동작구 동작대로**길 ***, 제***상가동 *층 ***호 B**호 (사당동, 극동아파트)",06990,이츠온4,2026-03-05 09:19:31,I,2026-03-07 00:20:02,종합몰,197802.436613024,443049.214038897,0,0,0,인터넷,,이츠온4_서울특별시동작구사당동***극동아파트
3827,통신판매업,08_26_04_P,3190000,2026319027130200329,2026-03-05,,1,영업/정상,1,정상영업,,,,,,,,서울특별시 동작구 사당동 *** 극동아파트,"서울특별시 동작구 동작대로**길 ***, 제***상가동 *층 ***호 B***호 (사당동, 극동아파트)",06990,아윤컴퍼니,2026-03-05 11:18:13,I,2026-03-07 00:20:02,종합몰,197802.436613024,443049.214038897,0,0,0,인터넷,,아윤컴퍼니_서울특별시동작구사당동***극동아파트
3825,통신판매업,08_26_04_P,3460000,2026346019730200234,2026-03-05,,1,영업/정상,1,정상영업,,,,,,,,대구광역시 수성구 만촌동 ***-* 구세빌딩 ***호,"대구광역시 수성구 화랑로 **, 구세빌딩 *층 ***호 (만촌동)",42039,루미가든,2026-03-05 09:20:18,I,2026-03-07 00:20:02,종합몰 의류/패션/잡화/뷰티,347276.588823926,264364.958462224,0,0,0,기타,,루미가든_대구광역시수성구만촌동***-*구세빌딩***호
3824,통신판매업,08_26_04_P,3460000,2026346019730200233,2026-03-05,,1,영업/정상,1,정상영업,,,,,,,,대구광역시 수성구 지산동 ****-** *층 ***호,"대구광역시 수성구 용학로**길 ***, *층 ***호 (지산동)",42219,신선담다,2026-03-05 09:04:41,I,2026-03-07 00:20:02,종합몰 건강/식품,347347.741072865,259124.221152219,0,0,0,"TV홈쇼핑, 인터넷, 카다로그, 신문잡지, 기타",,신선담다_대구광역시수성구지산동****-***층***호
3823,통신판매업,08_26_04_P,4490000,2026449050830200606,2026-03-05,,1,영업/정상,1,정상영업,,,,,,,,충청남도 천안시 동남구 청당동 *** 청당마을신도브래뉴아파트,"충청남도 천안시 동남구 풍세로 ***, ***동 ****호 (청당동, 청당마을신도브래뉴아파트)",31202,인화,2026-03-05 09:58:41,I,2026-03-07 00:20:02,건강/식품,212555.154518362,364153.833710862,0,0,0,인터넷,,인화_충청남도천안시동남구청당동***청당마을신도브래뉴아파트
4428,통신판매업,08_26_04_P,3930000,2026393048230200542,2026-03-05,,1,영업/정상,1,정상영업,,,,,,,,경기도 안산시 상록구 사동 **** 푸른마을*단지 ***동 ***호,"경기도 안산시 상록구 광덕*로 ***, ***동 ***호 (사동, 푸른마을*단지)",15502,교토직구전문,2026-03-05 21:30:38,I,2026-03-07 00:20:02,종합몰,187136.009514412,422384.557429755,0,0,0,인터넷,,교토직구전문_경기도안산시상록구사동****푸른마을*단지***동***호
3822,통신판매업,08_26_04_P,4080000,2026408026230200195,2026-03-05,,1,영업/정상,1,정상영업,,,,,,,,경기도 안성시 공도읍 승두리 *** 쌍용더플래티넘프리미어 ***동 ****호,"경기도 안성시 공도읍 공도로 **-**, ***동 ****호 (쌍용더플래티넘프리미어)",17562,밍키 몰,2026-03-05 15:35:32,I,2026-03-07 00:20:02,종합몰,,,0,0,0,인터넷,,밍키몰_경기도안성시공도읍승두리***쌍용더플래티넘프리미어***동****호
3821,통신판매업,08_26_04_P,4080000,2026408026230200194,2026-03-05,,1,영업/정상,1,정상영업,,,,,,,,경기도 안성시 원곡면 내가천리 **-*,경기도 안성시 원곡면 지문로 **,17556,네오메디컬솝,2026-03-05 15:35:09,I,2026-03-07 00:20:02,종합몰 의류/패션/잡화/뷰티,211618.330897281,393623.251679151,0,0,0,"인터넷, 기타",,네오메디컬솝_경기도안성시원곡면내가천리**-*
3820,통신판매업,08_26_04_P,4080000,2026408026230200193,2026-03-05,,1,영업/정상,1,정상영업,,,,,,,,경기도 안성시 석정동 ***-*,경기도 안성시 아양*로 *** (석정동),17578,석정당,2026-03-05 09:46:27,I,2026-03-07 00:20:02,건강/식품,222866.10997859,390017.770013689,0,0,0,"인터넷, 기타",,석정당_경기도안성시석정동***-*
3818,통신판매업,08_26_04_P,4470000,2026447014530200067,2026-03-05,,1,영업/정상,1,정상영업,,,,,043-878-2330,,,충청북도 음성군 감곡면 오향리 ***-**,"충청북도 음성군 감곡면 북부로**번길 *, ***호",27610,주식회사 미노멀,2026-03-05 16:24:20,I,2026-03-07 00:20:02,가구/수납용품,257279.300011406,401643.597150597,0,0,0,인터넷,,주식회사미노멀_충청북도음성군감곡면오향리***-**
3816,통신판매업,08_26_04_P,3420000,2026342020730200225,2026-03-05,,1,영업/정상,1,정상영업,,,,,,,,대구광역시 동구 효목동 ***-**,"대구광역시 동구 효신로**길 *, ***-지*호 (효목동)",41230,유한회사 코즈키아,2026-03-05 18:44:25,I,2026-03-07 00:20:02,종합몰,347240.434395042,265489.240656922,0,0,0,인터넷,,유한회사코즈키아_대구광역시동구효목동***-**
3817,통신판매업,08_26_04_P,4470000,2026447014530200066,2026-03-05,,1,영업/정상,1,정상영업,,,,,,,,충청북도 음성군 대소면 성본리 *** 음성푸르지오 더퍼스트,"충청북도 음성군 대소면 성본산단*로 **, ***동 ****호 (음성푸르지오 더퍼스트)",27741,루엘라인,2026-03-05 16:23:38,I,2026-03-07 00:20:02,의류/패션/잡화/뷰티,,,0,0,0,인터넷,,루엘라인_충청북도음성군대소면성본리***음성푸르지오더퍼스트
3791,통신판매업,08_26_04_P,5130000,2026513018030200183,2026-03-05,,1,영업/정상,1,정상영업,,,,,,,,경상북도 경산시 중방동 *** 중방 e-편한세상 *단지,"경상북도 경산시 경안로**길 **, ***동 ****호 (중방동, 중방 e-편한세상 *단지)",38612,주주커머스,2026-03-05 16:21:28,I,2026-03-07 00:20:02,종합몰,356842.684079091,260410.975350971,0,0,0,인터넷,,주주커머스_경상북도경산시중방동***중방e-편한세상*단지
3794,통신판매업,08_26_04_P,5670000,2026567056830200095,2026-03-05,,1,영업/정상,1,정상영업,,,,,,,,경상남도 창원시 성산구 신월동 **-*,"경상남도 창원시 성산구 신월로 **, *층 (신월동)",51441,연인제,2026-03-05 14:35:28,I,2026-03-07 00:20:02,기타,354217.574352475,193181.040382458,0,0,0,인터넷,,연인제_경상남도창원시성산구신월동**-*
3775,통신판매업,08_26_04_P,3540000,2026354016130200441,2026-03-05,,1,영업/정상,1,정상영업,,,,,,,,인천광역시 부평구 청천동 *** e편한세상부평그랑힐스,"인천광역시 부평구 산청로 **, ***동 ***호 (청천동, e편한세상부평그랑힐스)",21303,어베이스,2026-03-05 13:04:33,I,2026-03-07 00:20:02,종합몰 가전 컴퓨터/사무용품,,,0,0,0,인터넷,,어베이스_인천광역시부평구청천동***e편한세상부평그랑힐스
3772,통신판매업,08_26_04_P,5670000,2026567057430200067,2026-03-05,,1,영업/정상,1,정상영업,,,,,,,,경상남도 창원시 진해구 이동 ***-* 새이동포차,경상남도 창원시 진해구 이동로**번길 * (이동),51655,해날,2026-03-05 14:18:17,I,2026-03-07 00:20:02,건강/식품,354435.369242742,184883.49684968,0,0,0,인터넷,,해날_경상남도창원시진해구이동***-*새이동포차
3771,통신판매업,08_26_04_P,5670000,2026567057430200066,2026-03-05,,1,영업/정상,1,정상영업,,,,,,,,경상남도 창원시 진해구 안골동 ***-* ***호,"경상남도 창원시 진해구 안골로**번길 **-*, ***호 (안골동)",51609,트럭메카,2026-03-05 09:31:38,I,2026-03-07 00:20:02,종합몰,363009.456013191,178416.106056096,0,0,0,인터넷,,트럭메카_경상남도창원시진해구안골동***-****호
3770,통신판매업,08_26_04_P,5670000,2026567057030200073,2026-03-05,,1,영업/정상,1,정상영업,,,,,,,,경상남도 창원시 마산합포구 오동동 *** 중앙마린파이브아파트,"경상남도 창원시 마산합포구 오동동**길 **, ***동 ****호 (오동동, 중앙마린파이브아파트)",51722,스텝바이,2026-03-05 17:39:55,I,2026-03-07 00:20:02,종합몰,344075.983245382,190856.239504583,0,0,0,인터넷,,스텝바이_경상남도창원시마산합포구오동동***중앙마린파이브아파트
