"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","시력표수","표본렌즈수","측정의자수","동공거리측정기수","정점굴절계기수","조제용연마기수","렌즈절단기수","가열기수","안경세척기수","총면적",
"11","안경업","01_02_01_P","3180000","PHMB220263180034082200002","2026-04-02","","01","영업/정상","13","영업중","","","","","02-2088-5528","","","서울특별시 영등포구 신길동 255-9 신길 AK 푸르지오","서울특별시 영등포구 가마산로 483, 근생A동 제1층 1A05호 (신길동, 신길 AK 푸르지오)","07387","으뜸플러스안경 서울신길뉴타운점","2026-04-02 15:39:37","I","2026-04-04 00:20:02","","191994.505086626","444933.158731651","1","0","0","1","1","0","0","0","0","43.45",
"12","안경업","01_02_01_P","3110000","PHMB220093110032082200006","2009-11-03","","03","폐업","03","폐업","2026-03-31","","","","02-304-7030","","122-873","서울특별시 은평구 수색동 75번지","서울특별시 은평구 수색로 217 (수색동)","03504","수색이마트안경","2026-04-02 09:55:56","U","2026-04-04 02:40:00","","190977.850603548","453037.787995874","1","1","1","5","2","1","1","1","1","39.6",
"13","안경업","01_02_01_P","5350000","PHMB220195350029082200002","2019-04-29","","01","영업/정상","13","영업중","","","","","055-346-2234","","","경상남도 김해시 진영읍 여래리 683번지 3호","경상남도 김해시 진영읍 김해대로 428, 1층","50864","더존안경","2026-04-02 15:24:34","U","2026-04-04 02:40:00","","357873.805753105","202083.059717807","2","1","1","1","1","1","1","1","1","152.28",
"14","안경업","01_02_01_P","6510000","PHMB219966510096082200001","1996-01-12","","03","폐업","03","폐업","2026-03-31","","","","064-712-0507","","690-803","제주특별자치도 제주시 노형동 1043번지 5호","제주특별자치도 제주시 월랑로 40 (노형동)","63096","내안경 보청기","2026-04-02 11:13:20","U","2026-04-04 02:40:00","","151235.919528637","-678.062524134867","1","1","1","1","1","1","1","1","1","0",
"15","안경업","01_02_01_P","5350000","PHMB220225350029082200006","2022-11-15","","01","영업/정상","13","영업중","","","","","055-314-2234","","","경상남도 김해시 신문동 366-1","경상남도 김해시 무계로 4, 1층 일부호 (신문동)","51008","더존안경 김해신문점","2026-04-02 15:26:24","U","2026-04-04 02:40:00","","365550.252870722","189994.896064264","2","0","0","1","1","0","0","0","0","169",
"16","안경업","01_02_01_P","3130000","PHMB220263130033082200003","2026-04-03","","01","영업/정상","13","영업중","","","","","","","","서울특별시 마포구 대흥동 248-1","서울특별시 마포구 대흥로 80 (대흥동)","04149","헬로비버대흥점","2026-04-03 17:33:02","I","2026-04-05 00:20:22","","194758.094623788","449431.955461253","1","0","0","1","1","0","0","0","0","54.44",
"17","안경업","01_02_01_P","3020000","PHMB220263020033082200002","2026-04-03","","01","영업/정상","13","영업중","","","","","","","","서울특별시 용산구 동자동 12 게이트웨이타워","서울특별시 용산구 후암로 107, 게이트웨이타워 B2층 (동자동)","04323","라운즈 안경원 서울역게이트웨이타워점","2026-04-03 17:39:19","I","2026-04-05 00:20:22","","197593.304078325","450126.951675139","1","0","0","1","1","0","0","0","0","37.22",
"18","안경업","01_02_01_P","5690000","PHMB220265690045082200001","2026-04-03","","01","영업/정상","13","영업중","","","","","","","","세종특별자치시 종촌동 673 몰리브(Mallive)","세종특별자치시 도움1로 108, 몰리브(Mallive) 1층 106호 (종촌동)","30064","이노티안경원 종촌점","2026-04-03 16:40:06","I","2026-04-05 00:20:22","","222107.601859617","333536.037476275","1","0","0","1","1","0","0","0","0","71.22",
"19","안경업","01_02_01_P","3230000","PHMB220133230034082200006","2013-04-23","","01","영업/정상","13","영업중","","","","","02-420-7907","","","서울특별시 송파구 잠실동 19-9 잠실파인애플상가","서울특별시 송파구 올림픽로 119, 잠실파인애플상가 2층 A58,A59호 (잠실동)","05501","잠실 알루카 안경원","2026-04-03 09:38:16","U","2026-04-05 02:40:00","","207373.50021477","445545.656024061","1","1","1","1","1","1","1","1","1","30.49",
"20","안경업","01_02_01_P","5350000","PHMB220175350029082200003","2017-05-31","","01","영업/정상","13","영업중","","","","","055-333-5250","","","경상남도 김해시 외동 1252번지 3호 혜민빌딩 206호","경상남도 김해시 함박로101번길 20, 206호 (외동, 혜민빌딩)","50948","으뜸플러스안경 김해점","2026-04-03 13:54:41","U","2026-04-05 02:40:00","","369774.739573874","194340.890960067","1","1","1","1","2","1","1","1","1","62.75",
"21","안경업","01_02_01_P","3930000","PHMB220123930162082200001","2012-02-13","","01","영업/정상","13","영업중","","","","","031-409-4098","","","경기도 안산시 상록구 본오동 877-8 올림포스보노피아","경기도 안산시 상록구 상록수로 28, 올림포스보노피아 108호,109호,110호일부,111호일부,112호호 (본오동)","15532","다비치안경 안산상록수역점","2026-04-03 11:01:13","U","2026-04-05 02:40:00","","187781.607816964","422247.184696796","2","1","2","1","1","1","1","1","3","159.4",
