번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),위생업태명,건물지상층수,건물지하층수,사용시작지상층,사용끝지상층,사용시작지하층,사용끝지하층,욕실수,발한실여부,조건부허가신고사유,조건부허가시작일자,조건부허가종료일자,건물소유구분명,여성종사자수,남성종사자수,다중이용업소여부,Unnamed: 44,record_key
162,목욕장업,11_44_01_P,3490000,3490000-202-2025-00003,2025-12-24,,1,영업/정상,1,영업,,,,,032 751 0902,3762.52,400-440,인천광역시 중구 남북동 923,"인천광역시 중구 용유서로 30, 인천조탕 1~4층 (남북동)",22384.0,인천조탕,2026-02-25 14:35:49,U,2026-02-27 02:40:00,공동탕업+찜질시설서비스영업,147227.596102079,438185.994794712,공동탕업+찜질시설서비스영업,4,0,0,0,0,0,2,Y,,,,,0,0,Y,,인천조탕_인천광역시중구남북동923
149,목욕장업,11_44_01_P,4791000,4791000-202-2025-00001,2025-10-27,,1,영업/정상,1,영업,,,,,063 5805700,273.56,,전북특별자치도 부안군 변산면 도청리 1119 NH보험 변산연수원,"전북특별자치도 부안군 변산면 궁항로 72, NH보험 변산연수원 2층",56340.0,농협생명 변산수련원 사우나,2026-02-23 11:09:49,U,2026-02-25 02:40:00,목욕장업 기타,152551.349729136,234033.179537527,목욕장업 기타,0,0,0,0,0,0,0,Y,,,,,0,0,N,,농협생명변산수련원사우나_전북특별자치도부안군변산면도청리1119NH보험변산연수원
88,목욕장업,11_44_01_P,5080000,5080000-202-2025-00001,2025-09-08,,1,영업/정상,1,영업,,,,,054 4815100,189.42,730-832,경상북도 구미시 옥성면 주아리 965-35 1층,"경상북도 구미시 옥성면 주아령로 389, 1층",39102.0,옥성찜질방,2026-02-02 11:23:06,U,2026-02-04 02:40:00,찜질시설서비스영업,314631.326053479,311139.142195679,찜질시설서비스영업,1,0,1,1,0,0,2,N,운영 위탁 협약기간,20250908.0,20300526.0,,0,0,Y,,옥성찜질방_경상북도구미시옥성면주아리965-351층
28,목욕장업,11_44_01_P,5530000,5770000-202-2025-00001,2025-09-03,,1,영업/정상,1,영업,,,,,031 373 0737,666.51,,경기도 화성시 동탄구 송동  717-6,"경기도 화성시 동탄구 동탄순환대로 15, DK프라자 2,4층 201,202,203,204,205,401호 (송동)",,호수사우나,2025-09-03 17:00:00,I,2026-02-04 01:35:23,공동탕업+찜질시설서비스영업,208383.649971522,407038.468651543,공동탕업+찜질시설서비스영업,0,0,0,0,0,0,6,Y,,,,,0,0,N,,호수사우나_경기도화성시동탄구송동717-6
96,목욕장업,11_44_01_P,5540000,5540000-202-2025-00002,2025-08-05,,1,영업/정상,1,영업,,,,,,67.95,464-010,경기도 광주시 경안동 447 경기광주역 금호리첸시아,"경기도 광주시 경안로41번길 6, 2층 C218호 (경안동, 경기광주역 금호리첸시아)",12760.0,라파세신샵,2026-01-30 17:24:44,U,2026-02-04 11:04:37,목욕장업 기타,222618.188936667,434045.266636268,목욕장업 기타,0,0,2,2,0,0,3,N,,,,임대,0,0,N,,라파세신샵_경기도광주시경안동447경기광주역금호리첸시아
163,목욕장업,11_44_01_P,5540000,5540000-202-2025-00001,2025-07-23,,1,영업/정상,1,영업,,,,,,109.5,,경기도 광주시 능평동 261-1,"경기도 광주시 능평로 117, 1층 (능평동)",12773.0,온기,2026-02-25 10:49:28,U,2026-02-27 02:40:00,목욕장업 기타,,,목욕장업 기타,2,0,1,1,0,0,3,N,,,,임대,0,0,N,,온기_경기도광주시능평동261-1
112,목욕장업,11_44_01_P,5430000,5430000-202-2025-00001,2025-06-24,,1,영업/정상,1,영업,,,,,055  8122030,671.0,668-834,경상남도 남해군 미조면 송정리 1564 쏠비치 리조트,"경상남도 남해군 미조면 쏠비치길 21, 쏠비치 리조트",52441.0,쏠비치 남해 사우나,2026-02-03 16:28:54,U,2026-02-06 02:40:00,공동탕업,293833.708474541,134335.347558194,공동탕업,14,2,1,1,0,0,2,Y,,,,자가,0,0,Y,,쏠비치남해사우나_경상남도남해군미조면송정리1564쏠비치리조트
83,목욕장업,11_44_01_P,3110000,3110000-202-2024-00004,2024-09-20,,1,영업/정상,1,영업,,,,,,236.57,122-200,서울특별시 은평구 진관동 70 메트로프라자,"서울특별시 은평구 진관2로 15-46, 메트로프라자 804호 (진관동)",3306.0,썬 사우나,2026-02-02 16:58:08,U,2026-02-04 02:40:00,공동탕업+찜질시설서비스영업,,,공동탕업+찜질시설서비스영업,0,0,8,0,0,0,2,N,,,,임대,1,1,N,,썬사우나_서울특별시은평구진관동70메트로프라자
11,목욕장업,11_44_01_P,5530000,5760000-202-2024-00002,2024-07-22,,1,영업/정상,1,영업,,,,,,429.31,,"경기도 화성시 병점구 안녕동  180-141 지하1층일부, 1층전부","경기도 화성시 병점구 세자로442번길 34, 지하1층일부, 1층전부 (안녕동)",,황토불한증막,2025-06-05 15:53:30,I,2026-02-04 01:35:23,한증막업,198733.037443438,411420.2198418,한증막업,0,0,1,1,1,1,0,N,,,,,0,0,Y,,"황토불한증막_경기도화성시병점구안녕동180-141지하1층일부,1층전부"
9,목욕장업,11_44_01_P,5530000,5740000-202-2024-00001,2024-07-19,,1,영업/정상,1,영업,,,,,,1863.39,,"경기도 화성시 만세구 향남읍 하길리 1466-3 8,9,10층","경기도 화성시 만세구 향남읍 상신하길로328번길 20, 8,9,10층",,스카이사우나,2024-07-19 14:52:55,I,2026-02-04 01:35:23,공동탕업+찜질시설서비스영업,192190.585454696,401648.714565483,공동탕업+찜질시설서비스영업,0,0,0,0,0,0,4,N,,,,,0,0,N,,"스카이사우나_경기도화성시만세구향남읍하길리1466-38,9,10층"
85,목욕장업,11_44_01_P,4231000,4231000-202-2024-00001,2024-05-31,,1,영업/정상,1,영업,,,,,,773.77,,강원특별자치도 속초시 대포동 937,강원특별자치도 속초시 대포항희망길 120 (대포동),24901.0,사우나,2026-02-02 15:00:05,U,2026-02-04 02:40:00,공동탕업,341006.503840998,520449.969876936,공동탕업,0,0,0,0,0,0,6,N,,,,,0,0,N,,사우나_강원특별자치도속초시대포동937
106,목욕장업,11_44_01_P,3050000,3050000-202-2024-00001,2024-02-02,,3,폐업,2,폐업,2026-02-03,,,,,356.89,130-817,서울특별시 동대문구 용두동 39-1 청량리역한양수자인그라시엘,"서울특별시 동대문구 고산자로32길 78, B1층 (용두동, 청량리역한양수자인그라시엘)",2561.0,소울 트레이닝 청량리,2026-02-03 09:08:47,U,2026-02-06 02:40:00,공동탕업,203728.022004023,452778.965235022,공동탕업,0,0,0,0,0,0,2,N,,,,임대,0,0,N,,소울트레이닝청량리_서울특별시동대문구용두동39-1청량리역한양수자인그라시엘
113,목욕장업,11_44_01_P,4500000,4500000-202-2023-00001,2023-12-22,,1,영업/정상,1,영업,,,,,,520.0,314-804,충청남도 공주시 옥룡동 26-6 옥룡동행정복지센터,"충청남도 공주시 무령로 335, 옥룡동행정복지센터 2층 (옥룡동)",32556.0,어울림목욕탕,2026-02-04 09:46:55,U,2026-02-06 02:40:00,공동탕업,212117.152056914,328533.055342698,공동탕업,2,1,2,2,0,0,1,N,,,,,0,0,N,,어울림목욕탕_충청남도공주시옥룡동26-6옥룡동행정복지센터
10,목욕장업,11_44_01_P,5530000,5770000-202-2023-00005,2023-11-22,,1,영업/정상,1,영업,,,,,,63.75,,경기도 화성시 동탄구 반송동  86-4 위너스타,"경기도 화성시 동탄구 동탄원천로 163, 위너스타 10층 1001호 (반송동)",,마노아,2025-09-08 11:53:22,I,2026-02-04 01:35:23,목욕장업 기타,206471.194103481,411723.937975842,목욕장업 기타,0,0,10,10,0,0,1,N,,,,임대,0,0,N,,마노아_경기도화성시동탄구반송동86-4위너스타
6,목욕장업,11_44_01_P,5530000,5770000-202-2023-00006,2023-11-22,,1,영업/정상,1,영업,,,,,031 376 5188,316.1,,경기도 화성시 동탄구 금곡동  473-1,"경기도 화성시 동탄구 금곡로163번길 12, 1층 일부 (금곡동)",,동탄한증막,2024-01-18 14:25:52,I,2026-02-04 01:35:23,한증막업,206962.889471431,408114.363030603,한증막업,0,0,1,1,0,0,1,N,,,,임대,0,0,N,,동탄한증막_경기도화성시동탄구금곡동473-1
29,목욕장업,11_44_01_P,5530000,5770000-202-2023-00004,2023-11-03,,1,영업/정상,1,영업,,,,,031 80438044,236.96,,경기도 화성시 동탄구 반송동  86-4 위너스타,"경기도 화성시 동탄구 동탄원천로 163, 위너스타 8층 807호, 808호, 809호 (반송동)",,동탄사우나,2023-12-20 13:25:00,I,2026-02-04 01:35:23,공동탕업,206471.194103481,411723.937975842,공동탕업,0,0,8,8,0,0,0,N,,,,임대,0,0,N,,동탄사우나_경기도화성시동탄구반송동86-4위너스타
13,목욕장업,11_44_01_P,5530000,5770000-202-2023-00003,2023-08-11,,1,영업/정상,1,영업,,,,,,1438.3,,경기도 화성시 동탄구 목동  497-1,"경기도 화성시 동탄구 왕배산길 11, DK골드타워II 4층 (목동)",,DK찜질방,2023-08-11 10:32:50,I,2026-02-04 01:35:23,찜질시설서비스영업,210903.455875022,408880.438725047,찜질시설서비스영업,0,0,4,4,0,0,0,Y,,,,,0,0,Y,,DK찜질방_경기도화성시동탄구목동497-1
27,목욕장업,11_44_01_P,5530000,5740000-202-2023-00002,2023-05-23,,1,영업/정상,1,영업,,,,,,144.0,,경기도 화성시 만세구 새솔동 76-2,"경기도 화성시 만세구 수노을2로 7, 메인프라자 1동 6층 601호 (새솔동)",,세신샵여율,2023-05-23 14:58:58,I,2026-02-04 01:35:23,목욕장업 기타,183669.734420028,420409.481151629,목욕장업 기타,0,0,6,6,0,0,3,N,,,,,0,0,N,,세신샵여율_경기도화성시만세구새솔동76-2
12,목욕장업,11_44_01_P,5530000,5770000-202-2023-00001,2023-03-15,,1,영업/정상,1,영업,,,,,,113.6,,경기도 화성시 동탄구 오산동  968-2 802호,"경기도 화성시 동탄구 동탄오산로 82, 802호 (오산동)",,스파 드고아,2023-05-25 11:24:05,I,2026-02-04 01:35:23,공동탕업,208551.373220185,410701.52419273,공동탕업,0,0,8,8,0,0,3,N,,,,,0,0,N,,스파드고아_경기도화성시동탄구오산동968-2802호
131,목욕장업,11_44_01_P,5150000,5150000-202-2022-00001,2022-12-20,,1,영업/정상,1,영업,,,,,054 862 7770,156.0,769-963,경상북도 의성군 단밀면 주선리 48-3 단밀면복지회관,"경상북도 의성군 단밀면 도안로 1674-7, 단밀면복지회관",37374.0,단밀면 주민자치회 협동조합,2026-02-10 15:53:58,U,2026-02-12 02:40:00,찜질시설서비스영업,324004.454983386,320128.938887249,찜질시설서비스영업,1,0,1,1,0,0,2,N,,,,,0,0,N,,단밀면주민자치회협동조합_경상북도의성군단밀면주선리48-3단밀면복지회관
8,목욕장업,11_44_01_P,5530000,5770000-202-2022-00001,2022-10-17,,1,영업/정상,1,영업,,,,,,1159.09,,"경기도 화성시 동탄구 목동  254 DK골드타워Ⅱ 3층 301호, 303호","경기도 화성시 동탄구 왕배산길 11, DK골드타워Ⅱ 3층 301호, 303호 (목동)",,디케이사우나,2024-05-07 14:03:47,I,2026-02-04 01:35:23,목욕장업 기타,210903.455875022,408880.438725047,목욕장업 기타,0,0,3,3,0,0,10,N,,,,,0,0,N,,"디케이사우나_경기도화성시동탄구목동254DK골드타워Ⅱ3층301호,303호"
139,목욕장업,11_44_01_P,4890000,4890000-202-2022-00001,2022-09-30,,1,영업/정상,1,영업,,,,,,392.2,546-913,전라남도 보성군 조성면 조성리 880-5,전라남도 보성군 조성면 조성로 106-6,59441.0,조성면 공중목욕장,2026-02-13 14:03:24,U,2026-02-15 02:40:00,공동탕업,222453.69680687,145413.150096972,공동탕업,0,0,0,0,0,0,0,N,,,,,0,0,N,,조성면공중목욕장_전라남도보성군조성면조성리880-5
137,목욕장업,11_44_01_P,4090000,4090000-202-2022-00002,2022-08-05,,1,영업/정상,1,영업,,,,,,98.94,415-060,경기도 김포시 장기동 1607 승문프라자 1동 301호,"경기도 김포시 김포한강4로 119, 승문프라자 1동 3층 301호 (장기동)",10083.0,"피부,희다 장기점",2026-02-12 13:37:28,U,2026-02-14 02:40:00,공동탕업,170608.880032241,460270.015647485,공동탕업,0,0,0,0,0,0,3,N,,,,자가,1,0,N,,"피부,희다장기점_경기도김포시장기동1607승문프라자1동301호"
87,목욕장업,11_44_01_P,3940000,4100100-202-2021-00001,2021-11-17,,1,영업/정상,1,영업,,,,,031 923 2285,1944.47,411-839,경기도 고양시 일산서구 탄현동 98-6 다영프라자 지하1층 B101호,"경기도 고양시 일산서구 탄현로 144-103, 다영프라자 지하1층 B101호 (탄현동)",10248.0,로얄자연에스파,2026-02-02 09:58:59,U,2026-02-04 02:40:00,공동탕업+찜질시설서비스영업,179335.779457754,467129.048981022,공동탕업+찜질시설서비스영업,0,0,0,0,0,0,2,N,,,,자가,0,0,Y,,로얄자연에스파_경기도고양시일산서구탄현동98-6다영프라자지하1층B101호
7,목욕장업,11_44_01_P,5530000,5750000-202-2021-00001,2021-10-27,,1,영업/정상,1,영업,,,,,031 295 1432,2033.08,,경기도 화성시 효행구 봉담읍 왕림리 86-1 지하1층 일부호,"경기도 화성시 효행구 봉담읍 삼천병마로 998-9, 지하1층 일부호",,(주)유성골프사우나,2021-10-27 16:50:10,I,2026-02-04 01:35:23,목욕장업 기타,194759.60267776,410675.858867349,목욕장업 기타,0,0,0,0,1,1,2,Y,,,,,0,0,Y,,(주)유성골프사우나_경기도화성시효행구봉담읍왕림리86-1지하1층일부호
108,목욕장업,11_44_01_P,3220000,3220000-202-2021-00005,2021-06-25,,3,폐업,2,폐업,2026-01-27,,,,,423.74,135-819,서울특별시 강남구 논현동 98-6,"서울특별시 강남구 언주로148길 6, 지하1층,2층 (논현동)",6057.0,케렌시아사우나,2026-02-03 10:07:47,U,2026-02-06 02:40:00,찜질시설서비스영업,203034.658805791,446445.535888377,찜질시설서비스영업,0,0,0,0,1,2,1,N,,,,,0,0,N,,케렌시아사우나_서울특별시강남구논현동98-6
127,목욕장업,11_44_01_P,6510000,6510000-202-2020-00001,2020-10-22,,3,폐업,2,폐업,2026-02-09,,,,064 725 3650,294.58,690-809,제주특별자치도 제주시 삼도이동 1241-14 동인스파월드빌,"제주특별자치도 제주시 중앙로26길 2, 4층 501호 (삼도이동, 동인스파월드빌)",63179.0,생생생공화국힐링테라피,2026-02-09 13:43:01,U,2026-02-11 02:40:00,찜질시설서비스영업,155770.596738232,1157.40918982799,찜질시설서비스영업,0,0,0,0,0,0,2,N,,,,,0,0,N,,생생생공화국힐링테라피_제주특별자치도제주시삼도이동1241-14동인스파월드빌
156,목욕장업,11_44_01_P,3170000,3170000-202-2020-00001,2020-10-06,,1,영업/정상,1,영업,,,,,0221045683,510.6,153-862,서울특별시 금천구 시흥동 961-5 남부도로사업소,"서울특별시 금천구 시흥대로12길 10-5, 남부도로사업소 (시흥동)",8654.0,동네방네 사우나,2026-02-24 13:43:23,U,2026-02-26 02:40:00,공동탕업+찜질시설서비스영업,191475.368493928,437401.591082059,공동탕업+찜질시설서비스영업,1,0,1,0,0,0,2,Y,,,,,0,0,N,,동네방네사우나_서울특별시금천구시흥동961-5남부도로사업소
58,목욕장업,11_44_01_P,5530000,5770000-202-2020-00007,2020-09-22,,1,영업/정상,1,영업,,,,,031 80478000,415.16,,경기도 화성시 동탄구 청계동  510-405 후문동 2층 일부,,,(주)관악 후문동 사우나,2022-10-19 15:44:38,I,2026-02-04 01:35:23,공동탕업+찜질시설서비스영업,209584.086325693,409193.783045075,공동탕업+찜질시설서비스영업,0,0,2,2,0,0,2,Y,,,,,0,0,N,,(주)관악후문동사우나_경기도화성시동탄구청계동510-405후문동2층일부
56,목욕장업,11_44_01_P,5530000,5770000-202-2020-00006,2020-09-22,,1,영업/정상,1,영업,,,,,031 80478000,266.45,,경기도 화성시 동탄구 청계동  510-390 정문동 2층 일부,,,(주)관악 정문동 사우나,2024-10-15 17:36:40,I,2026-02-04 01:35:23,공동탕업+찜질시설서비스영업,210164.257872404,409820.920178716,공동탕업+찜질시설서비스영업,0,0,2,2,0,0,2,Y,,,,,0,0,N,,(주)관악정문동사우나_경기도화성시동탄구청계동510-390정문동2층일부
81,목욕장업,11_44_01_P,5530000,5750000-202-2020-00005,2020-05-14,,3,폐업,2,폐업,2023-10-26,,,,,280.0,,경기도 화성시 효행구 기안동  338-3 남수원씨티프라자 B01호,"경기도 화성시 효행구 효행로 241, 남수원씨티프라자 지하1층 B01호 (기안동)",,화성스파사우나,2023-10-26 16:25:19,I,2026-02-04 01:35:23,공동탕업,197477.250805128,413796.17534958,공동탕업,0,0,0,0,1,1,2,N,,,,,0,0,N,,화성스파사우나_경기도화성시효행구기안동338-3남수원씨티프라자B01호
4,목욕장업,11_44_01_P,5530000,5770000-202-2020-00004,2020-04-24,,1,영업/정상,1,영업,,,,,,121.5,,경기도 화성시 동탄구 영천동  738-6 1층,"경기도 화성시 동탄구 동탄치동천로3길 6-7, 1층 (영천동)",,물들임,2025-11-03 16:40:51,I,2026-02-04 01:35:23,찜질시설서비스영업,210858.16481015,411413.605240051,찜질시설서비스영업,0,0,1,1,0,0,0,Y,,,,,0,0,Y,,물들임_경기도화성시동탄구영천동738-61층
55,목욕장업,11_44_01_P,5530000,5740000-202-2020-00003,2020-02-10,,3,폐업,2,폐업,2024-04-29,,,,,449.1,,경기도 화성시 만세구 향남읍 하길리 1466-3,"경기도 화성시 만세구 향남읍 상신하길로328번길 20, 스카이프라자2 10층",,스카이사우나,2024-05-01 15:51:55,I,2026-02-04 01:35:23,공동탕업,192190.585454696,401648.714565483,공동탕업,0,0,10,10,0,0,2,N,,,,,0,0,N,,스카이사우나_경기도화성시만세구향남읍하길리1466-3
138,목욕장업,11_44_01_P,4400000,4400000-202-2019-00001,2019-12-10,,1,영업/정상,1,영업,,,,,043 647 1771,260.16,390-814,충청북도 제천시 송학면 입석리 333-3,"충청북도 제천시 송학면 입석중앙로4길 29, 1층",27125.0,백아목욕탕,2026-02-13 10:45:11,U,2026-02-15 02:40:00,공동탕업,315289.705269568,411916.506778502,공동탕업,2,0,1,1,0,0,2,Y,,,,,0,0,N,,백아목욕탕_충청북도제천시송학면입석리333-3
117,목욕장업,11_44_01_P,3470000,3470000-202-2019-00002,2019-12-03,,1,영업/정상,1,영업,,,,,053 6440007,301.86,704-834,대구광역시 달서구 진천동 508 진천역대성스카이렉스아파트,"대구광역시 달서구 월배로 80, 401동 2층 208,209호 (진천동, 진천역대성스카이렉스아파트)",42773.0,비전휘트니스 진천점,2026-02-05 15:55:11,U,2026-02-07 02:40:00,목욕장업 기타,337646.464781066,258084.52153149,목욕장업 기타,2,0,2,2,0,0,2,N,,,,임대,0,0,N,,비전휘트니스진천점_대구광역시달서구진천동508진천역대성스카이렉스아파트
146,목욕장업,11_44_01_P,3420000,3420000-202-2019-00001,2019-09-02,,1,영업/정상,1,영업,,,,,053 955 8896,1274.13,701-170,대구광역시 동구 봉무동 1553-1,"대구광역시 동구 팔공로50길 10, 5층 501호 (봉무동)",41027.0,엠투피 이시아점,2026-02-23 11:34:15,U,2026-02-25 02:40:00,공동탕업,348156.615889894,270211.392226803,공동탕업,5,2,5,5,0,0,10,N,,,,자가,0,0,N,,엠투피이시아점_대구광역시동구봉무동1553-1
123,목욕장업,11_44_01_P,3100000,3100000-202-2019-00001,2019-01-04,,3,폐업,2,폐업,2026-02-06,,,,02 9527184,379.26,139-865,서울특별시 노원구 중계동 514-3 목련아파트상가 지하1층 30호,"서울특별시 노원구 노원로 333, 목련아파트상가 지층 30호 (중계동)",1786.0,행복나눔목욕탕,2026-02-06 11:09:03,U,2026-02-08 02:40:00,공동탕업,206020.891240505,460461.895023472,공동탕업,0,0,0,0,0,0,0,N,,,,,0,0,N,,행복나눔목욕탕_서울특별시노원구중계동514-3목련아파트상가지하1층30호
144,목욕장업,11_44_01_P,4390000,4390000-202-2018-00002,2018-10-30,,1,영업/정상,1,영업,,,,,043 854 5554,245.44,380-080,충청북도 충주시 봉방동 855,충청북도 충주시 중원대로 3496 (봉방동),27429.0,그랜드호텔사우나,2026-02-20 16:32:22,U,2026-02-22 02:40:00,공동탕업,281453.201054868,385815.39198977,공동탕업,0,0,0,0,0,0,1,N,,,,임대,0,0,N,,그랜드호텔사우나_충청북도충주시봉방동855
89,목욕장업,11_44_01_P,5530000,5770000-202-2018-00001,2018-10-25,,1,영업/정상,1,영업,,,,,,87.6,,경기도 화성시 동탄구 능동 1168-5 1층(102호) 일부호,"경기도 화성시 동탄구 남여울1길 26-8, 1층 일부호 (능동)",,솔트힐링 SDT,2026-02-02 18:26:57,U,2026-02-04 02:40:00,찜질시설서비스영업,204391.417528135,410699.998065017,찜질시설서비스영업,0,0,1,1,0,0,1,N,,,,,0,0,Y,,솔트힐링SDT_경기도화성시동탄구능동1168-51층(102호)일부호
