"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","약국영업면적","지정일자",
"23","약국","01_01_06_P","5700000","PHMD119774110016084000001","1977-11-08","","02","휴업","02","휴업","","2026-04-01","2026-06-30","","0318828939","","","경기도 여주시 대신면 율촌리 338번지 11호 삼인한의원","경기도 여주시 대신면 여양로 1457, 삼인한의원","12610","신화당약국","2026-04-02 11:34:40","U","2026-04-04 02:40:00","","251874.005663018","430388.500283931","39.67","19771108",
"24","약국","01_01_06_P","3700000","PHMD120193700018084000013","2019-11-28","","01","영업/정상","13","영업중","","","","","052-256-0416","","","울산광역시 남구 야음동 789번지 14호","울산광역시 남구 수암로 138, 타임스퀘어 1층 122호 (야음동)","44750","타임약국","2026-04-02 12:09:46","U","2026-04-04 02:40:00","","410542.477354439","227733.249408478","103.38","20191128",
"25","약국","01_01_06_P","3030000","PHMD120263030033084000005","2026-02-13","","02","휴업","02","휴업","","2026-04-02","2026-10-01","","","","","서울특별시 성동구 성수동2가 278-30 4층 401호","서울특별시 성동구 아차산로11가길 3, 4층 401호 (성수동2가)","04796","지킴랩약국","2026-04-02 15:21:40","U","2026-04-04 02:40:00","","205299.19831082","449367.043438351","30.36","20260213",
"26","약국","01_01_06_P","3820000","PHMD120263820050084000003","2026-03-22","","01","영업/정상","13","영업중","","","","","070-4214-3902","","","경기도 의정부시 장암동 38-10 롯데마트장암점","경기도 의정부시 장곡로 224, 롯데마트장암점 2층 (장암동)","11722","소나무약국","2026-04-02 10:26:37","U","2026-04-04 02:40:00","","204630.543411273","469034.163890834","33.4","20260322",
"27","약국","01_01_06_P","5130000","PHMD120265130030084000003","2026-03-31","","01","영업/정상","13","영업중","","","","","053-000-0000","","","경상북도 경산시 압량읍 신대리 475","경상북도 경산시 압량읍 압독3로 15, 103호","38536","모아약국","2026-04-02 13:52:45","U","2026-04-04 02:40:00","","359309.731102263","261548.386764846","50","20260331",
"28","약국","01_01_06_P","4201000","PHMD120034200028084000003","2003-04-21","","03","폐업","03","폐업","2026-04-02","","","","033-644-7820","","210-852","강원특별자치도 강릉시 사천면 미노리 386번지 7호","강원특별자치도 강릉시 사천면 덕실길 2","25439","사천우리약국","2026-04-02 18:19:33","U","2026-04-04 02:40:00","","362730.298769365","481658.41618354","33","20030421",
"29","약국","01_01_06_P","3730000","PHMD120053730017084000001","2005-01-31","","01","영업/정상","13","영업중","","","","","238-0380","","689-903","울산광역시 울주군 온양읍 대안리 401번지 17호","울산광역시 울주군 온양읍 온양로 102","44979","튼튼온누리약국","2026-04-02 16:32:13","U","2026-04-04 02:40:00","","407291.988627918","214658.961907234","44.18","20050131",
"30","약국","01_01_06_P","6510000","PHMD120206510096084000003","2020-02-03","","01","영업/정상","13","영업중","","","","","070-4100-6333","","","제주특별자치도 제주시 아라일동 6091번지 7호","제주특별자치도 제주시 아란9길 6, 1층 (아라일동)","63237","도담약국","2026-04-02 11:22:12","U","2026-04-04 02:40:00","","157634.962631899","-2547.13398166557","72.24","20200203",
"31","약국","01_01_06_P","3240000","PHMD120213240033084000022","2021-12-30","","03","폐업","03","폐업","2026-04-02","","","","02-478-9710","","","서울특별시 강동구 천호동 432-7 아스하임","서울특별시 강동구 올림픽로 663, 아스하임 102호 (천호동)","05248","새봄약국","2026-04-02 17:37:14","U","2026-04-04 02:40:00","","210876.75889205","448729.741021421","18.9","20211230",
"32","약국","01_01_06_P","3370000","PHMD120183370022084000003","2018-02-20","","03","폐업","03","폐업","2026-04-02","","","","051-868-2293","","","부산광역시 연제구 연산동 1330번지 9호","부산광역시 연제구 중앙대로 1043, 1층 (연산동)","47542","감사약국","2026-04-02 09:38:59","U","2026-04-04 02:40:00","","389206.183108627","188927.158883672","52","20180220",
"33","약국","01_01_06_P","3370000","PHMD120133370022084000024","2013-12-26","","01","영업/정상","13","영업중","","","","","862-7526","","611-825","부산광역시 연제구 연산동 686번지 4호","부산광역시 연제구 월드컵대로 54 (연산동)","47590","새대한약국","2026-04-02 18:11:05","U","2026-04-04 02:40:00","","389852.490818346","188678.214346665","59.11","20131226",
"34","약국","01_01_06_P","3380000","PHMD120053380023084000002","2005-04-04","","03","폐업","03","폐업","2026-04-01","","","","051-752-5223","","613-810","부산광역시 수영구 광안3동 1038-4","부산광역시 수영구 연수로 378-2 (광안동)","48242","이화약국","2026-04-02 09:27:18","U","2026-04-04 02:40:00","","392264.095892125","187672.731351893","29.37","20050404",
"35","약국","01_01_06_P","3370000","PHMD120253370022084000011","2025-11-13","","03","폐업","03","폐업","2026-04-01","","","","051-863-3800","","","부산광역시 연제구 연산동 603-8","부산광역시 연제구 고분로13번길 15, 1층 일부호 (연산동)","47549","세연약국","2026-04-02 09:32:32","U","2026-04-04 02:40:00","","389762.986134543","189486.317748469","67.51","20251113",
"36","약국","01_01_06_P","3560000","PHMD120243560021084000002","2024-02-05","","01","영업/정상","13","영업중","","","","","","","","인천광역시 서구 석남동 223-38 인천테크피아 가동 113 일부호","인천광역시 서구 거북로 17, 인천테크피아 가동 113 일부호 (석남동)","22793","고릴라약국","2026-04-02 14:38:12","U","2026-04-04 02:40:00","","170219.292567482","444750.971495686","33","20240205",
"37","약국","01_01_06_P","4711000","PHMD120244711034084000002","2024-02-05","","01","영업/정상","13","영업중","","","","","","","","전북특별자치도 김제시 백구면 유강리 271-2","전북특별자치도 김제시 백구면 번영로 2132","54327","민생약국","2026-04-02 18:03:09","U","2026-04-04 02:40:00","","193981.278448587","267546.275555525","103.02","20240205",
"38","약국","01_01_06_P","3930000","PHMD120213930162084000002","2021-06-28","","01","영업/정상","13","영업중","","","","","031-415-7755","","","경기도 안산시 상록구 이동 714-3 데코스포텔","경기도 안산시 상록구 광덕1로 355, 데코스포텔 101,102호 (이동)","15494","보세온누리약국","2026-04-02 14:14:19","U","2026-04-04 02:40:00","","186549.925105847","422820.866954737","102.08","20210628",
"39","약국","01_01_06_P","3930000","PHMD120073930162084000001","2007-01-02","","01","영업/정상","13","영업중","","","","","031-409-8844","","426-160","경기도 안산시 상록구 이동 716-9 한대프라자 108,109호","경기도 안산시 상록구 광덕1로 376, 108,109호 (이동, 한대프라자)","15495","한대큰사랑약국","2026-04-02 15:48:26","U","2026-04-04 02:40:00","","186763.014967958","422892.124895277","85.56","20070102",
"40","약국","01_01_06_P","6510000","PHMD120266510096084000003","2026-02-20","","01","영업/정상","13","영업중","","","","","0647443623","","","제주특별자치도 제주시 노형동 3787","제주특별자치도 제주시 노형9길 1, 101호 (노형동)","63083","조이약국","2026-04-02 11:23:45","U","2026-04-04 02:40:00","","151380.626734897","-1243.44956463874","80.63","20260220",
"41","약국","01_01_06_P","3310000","PHMD120253310024084000005","2025-06-30","","01","영업/정상","13","영업중","","","","","051-990-9138","","","부산광역시 남구 대연동 1171-40","부산광역시 남구 석포로 69-1, 1층 (대연동)","48487","한사랑약국","2026-04-02 13:05:12","U","2026-04-04 02:40:00","","390254.907549712","182579.167358119","66.78","20250630",
"42","약국","01_01_06_P","5350000","PHMD120125350029084000019","2012-08-29","","03","폐업","03","폐업","2026-04-02","","","","323-2303","","621-180","경상남도 김해시 삼정동 348번지","경상남도 김해시 김해대로2492번길 20 (삼정동)","50935","누리팜약국","2026-04-02 14:29:48","U","2026-04-04 02:40:00","","373083.363425066","193560.453881394","20.16","20120829",
"43","약국","01_01_06_P","3940000","PHMD119953940138084000343","1995-05-09","","03","폐업","03","폐업","2026-04-01","","","","031-970-8338","","412-818","경기도 고양시 덕양구 토당동 27번지 18호","경기도 고양시 덕양구 지도로 107 (토당동)","10507","중앙약국","2026-04-01 16:23:22","U","2026-04-04 02:40:00","","184342.233379152","458274.471171529","77.26","19950509",
"44","약국","01_01_06_P","4261000","PHMD120264261024084000001","2026-04-03","","01","영업/정상","13","영업중","","","","","033-961-9810","","","강원특별자치도 횡성군 횡성읍 읍하리 601 횡성벨라시티 114호","강원특별자치도 횡성군 횡성읍 횡성로 371, 114호 (횡성벨라시티)","25234","횡성백세약국","2026-04-03 13:49:25","I","2026-04-05 00:20:22","","286952.510132655","443159.181340829","79.96","20260403",
"45","약국","01_01_06_P","5680000","PHMD120265680060084000003","2026-04-03","","01","영업/정상","13","영업중","","","","","041-362-0703","","","충청남도 당진시 합덕읍 운산리 275-7","충청남도 당진시 합덕읍 합우로 104","31812","성지약국","2026-04-03 17:18:50","I","2026-04-05 00:20:22","","179556.360614176","367573.445878072","89","20260403",
"46","약국","01_01_06_P","4050000","PHMD120264050147084000004","2026-04-03","","01","영업/정상","13","영업중","","","","","031-333-0135","","","경기도 용인시 처인구 김량장동 324-10","경기도 용인시 처인구 금령로39번길 8-5 (김량장동)","17050","한가람약국","2026-04-03 17:17:16","I","2026-04-05 00:20:22","","217790.211088877","414890.392427226","165.07","20260403",
"47","약국","01_01_06_P","3380000","PHMD120263380023084000005","2026-03-31","","01","영업/정상","13","영업중","","","","","","","","부산광역시 수영구 남천동 3-35","부산광역시 수영구 남천바다로 38 (남천동)","48304","블루랩약국","2026-04-03 15:47:35","I","2026-04-05 00:20:22","","392592.438139068","185285.301088937","297","20260331",
"48","약국","01_01_06_P","4000000","PHMD120264000018084000003","2026-03-27","","01","영업/정상","13","영업중","","","","","0313723060","","","경기도 오산시 궐동 819-6","경기도 오산시 죽담1로 29, 108호,109호 (궐동)","18124","매일여는365약국","2026-04-03 11:46:26","I","2026-04-05 00:20:22","","","","62.2","20260327",
"49","약국","01_01_06_P","3710000","PHMD120263710033084000001","2026-04-03","","01","영업/정상","13","영업중","","","","","","","","울산광역시 동구 화정동 849-1","울산광역시 동구 대학길 30, 1층 (화정동)","44074","휴베이스 알찬약국","2026-04-03 17:40:06","I","2026-04-05 00:20:22","","419479.171665252","224760.554638586","27.8","20260403",
"50","약국","01_01_06_P","4490000","PHMD120194490261084000008","2019-03-28","","01","영업/정상","13","영업중","","","","","041-566-7301","","","충청남도 천안시 서북구 불당동 1534","충청남도 천안시 서북구 불당25로 176, 144,145,146호 (불당동)","31156","청춘약국","2026-04-03 17:28:56","U","2026-04-05 02:40:00","","209665.080510471","368317.230536408","123.32","20190328",
"51","약국","01_01_06_P","3000000","PHMD120193000034084000014","2019-05-24","","01","영업/정상","13","영업중","","","","","02-394-3949","","","서울특별시 종로구 신영동 105번지 30호 1층","서울특별시 종로구 세검정로6길 104, 1층 (신영동)","03019","세검정약국","2026-04-03 17:28:55","U","2026-04-05 02:40:00","","196557.462118676","455479.388346619","68.9","20190524",
"52","약국","01_01_06_P","3540000","PHMD120183540021084000007","2018-05-21","","03","폐업","03","폐업","2026-03-31","","","","032-330-7571","","","","인천광역시 부평구 경원대로 1400-1 (부평동)","21404","노벨약국","2026-04-03 16:26:31","U","2026-04-05 02:40:00","","175577.515135668","443246.797122903","76.58","20180521",
"53","약국","01_01_06_P","4050000","PHMD120264050147084000003","2026-03-19","","01","영업/정상","13","영업중","","","","","031-338-8746","","","경기도 용인시 처인구 삼가동 197-8","경기도 용인시 처인구 중부대로 1138, 1층 104호 (삼가동)","17091","용인새봄약국","2026-04-03 09:35:11","U","2026-04-05 02:40:00","","215171.92747641","415351.880897524","69.29","20260319",
"54","약국","01_01_06_P","4241000","PHMD120194240025084000001","2019-01-14","","01","영업/정상","13","영업중","","","","","033-574-0119","","","강원특별자치도 삼척시 남양동 342-11","강원특별자치도 삼척시 봉황로 3, 다호 (남양동)","25929","삼척백두산약국","2026-04-03 15:53:55","U","2026-04-05 02:40:00","","391919.645124804","439714.22054779","38.7","20190114",
"55","약국","01_01_06_P","6510000","PHMD119836510096084000004","1983-06-04","","01","영업/정상","13","영업중","","","","","064-746-3983","","690-170","제주특별자치도 제주시 연동 274번지 22호 1층","제주특별자치도 제주시 연동8길 7 (연동,1층)","","신세계약국","2026-04-03 15:50:06","U","2026-04-05 02:40:00","","152601.295606462","-1132.93848275329","39.6","19830604",
"56","약국","01_01_06_P","3780000","PHMD120233780062084000002","2023-05-01","","01","영업/정상","13","영업중","","","","","031-758-3650","","","경기도 성남시 수정구 수진동 18 1층 일부","경기도 성남시 수정구 수정로 128, 1층 일부호 (수진동)","13327","365수정메디약국","2026-04-03 13:45:28","U","2026-04-05 02:40:00","","211840.164949381","437707.488506328","91.64","20230501",
"57","약국","01_01_06_P","4040000","PHMD120234040023084000004","2023-04-04","","01","영업/정상","13","영업중","","","","","070-8869-5850","","","경기도 하남시 감이동 512 현대타워","경기도 하남시 감일백제로 169, 현대타워 1층 115,116호 (감이동)","13003","감일드림약국","2026-04-03 14:01:13","U","2026-04-05 02:40:00","","213626.321165845","445022.753828606","62","20230404",
"58","약국","01_01_06_P","4470000","PHMD120254470017084000001","2025-11-26","","01","영업/정상","13","영업중","","","","","043-877-0532","","","충청북도 음성군 맹동면 두성리 1429","충청북도 음성군 맹동면 용두5길 5, 112,113호","27739","가까운소망약국","2026-04-03 17:16:31","U","2026-04-05 02:40:00","","249188.040055178","378527.92505648","132.38","20251126",
"59","약국","01_01_06_P","5330000","PHMD120175330023084000005","2017-09-25","","01","영업/정상","13","영업중","","","","","055-646-8113","","","","경상남도 통영시 중앙로 334-1, 201호 (무전동)","53037","통영서울약국","2026-04-03 14:51:36","U","2026-04-05 02:40:00","","330622.098011822","152195.384262326","128.67","20170925",
"60","약국","01_01_06_P","4641000","PHMD120254641050084000004","2025-09-29","","01","영업/정상","13","영업중","","","","","063-222-2012","","","전북특별자치도 전주시 완산구 효자동2가 231-8","전북특별자치도 전주시 완산구 쑥고개로 390, 1층~3층 (효자동2가)","55079","메가타운약국","2026-04-03 11:18:09","U","2026-04-05 02:40:00","","209660.605537291","256001.598736271","1222.65","20250929",
"61","약국","01_01_06_P","3550000","PHMD120103550020084000010","2010-12-17","","03","폐업","03","폐업","2026-03-15","","","","032-546-4111","","","인천광역시 계양구 병방동 136번지 6호 제일빌딩","인천광역시 계양구 병방로 17, 제일빌딩 (병방동)","21028","중앙약국","2026-04-03 17:03:56","U","2026-04-05 02:40:00","","177172.371232602","449417.462942869","68","20101217",
"62","약국","01_01_06_P","5410000","PHMD120005410012084000001","2000-09-02","","01","영업/정상","13","영업중","","","","","055-533-3090","","","경상남도 창녕군 대지면 모산리 547-25","경상남도 창녕군 대지면 우포2로 984","50316","대지경남약국","2026-04-03 15:50:10","U","2026-04-05 02:40:00","","333098.566235545","229331.307724616","33","20000902",
"63","약국","01_01_06_P","3110000","PHMD120253110032084000006","2025-04-25","","03","폐업","03","폐업","2026-04-02","","","","02-355-0628","","","서울특별시 은평구 구산동 1-24 상원빌딩 1층","서울특별시 은평구 서오릉로 145, 상원빌딩 1층 (구산동)","03412","이룸약국","2026-04-03 13:52:55","U","2026-04-05 02:40:00","","192563.874496397","456570.084566278","24.9","20250425",
"64","약국","01_01_06_P","3700000","PHMD120223700018084000001","2022-05-17","","01","영업/정상","13","영업중","","","","","052-256-1240","","","울산광역시 남구 삼산동 1525-8 소망빌딩","울산광역시 남구 삼산로 283, 소망빌딩 1층 (삼산동)","44705","삼산보령약국","2026-04-03 17:59:39","U","2026-04-05 02:40:00","","411965.043538516","229180.889176563","0","20220517",
"65","약국","01_01_06_P","3110000","PHMD120243110032084000012","2024-08-20","","01","영업/정상","13","영업중","","","","","070-4419-1616","","","","서울특별시 은평구 연서로 223, 1층 (갈현동)","03331","연신내로데오약국","2026-04-04 10:52:39","U","2026-04-06 02:40:00","","192854.59038994","457354.039483693","43","20240820",
"66","약국","01_01_06_P","3940000","PHMD120233940140084000006","2023-10-30","","01","영업/정상","13","영업중","","","","","031-911-8288","","","경기도 고양시 일산서구 주엽동 18-2 서현프라자","경기도 고양시 일산서구 중앙로 1456, 서현프라자 108호 (주엽동)","10387","오아시스약국","2026-04-05 10:37:47","U","2026-04-07 02:40:00","","178668.321119565","463267.005753621","42.84","20231030",
