"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","휴게실면적","사무실면적","탈의실면적","회원모집총인원","세부업종명","법인명",
"12","체력단련장업","10_42_01_P","3520000","CDFH3301062019000002","2019-03-04","","01","영업/정상","13","영업중","","","","","","262","","인천광역시 연수구 송도동 21-49 송도 J.BLOCK","인천광역시 연수구 해돋이로 160-14, 송도 J.BLOCK 704-705호 (송도동)","22002","하이키즈 스포츠 아카데미","2026-02-02 16:40:19","U","2026-02-04 02:40:00","","168690.314560204","432668.996788459","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"13","체력단련장업","10_42_01_P","3120000","CDFH3301062024000007","2024-08-27","","01","영업/정상","13","영업중","","","","","","101.22","","서울특별시 서대문구 남가좌동 324-35","서울특별시 서대문구 거북골로 33 (남가좌동)","03665","새로피티","2026-02-02 14:55:21","U","2026-02-04 02:40:00","","193224.910587162","453018.478353222","체력단련장업","사립","","0","0","520.67","0","0","0","0","","",
"14","체력단련장업","10_42_01_P","3780000","CDFH3301062015000008","2015-09-02","","01","영업/정상","13","영업중","","","","","031-757-2772","471.53","","경기도 성남시 수정구 태평동 7288-13","경기도 성남시 수정구 수정로 179 (태평동)","13290","코코휘트니스","2026-02-02 10:11:48","U","2026-02-04 02:40:00","","212287.099518343","437939.489370754","체력단련장업","사립","","2","0","0","0","0","0","0","","",
"15","체력단련장업","10_42_01_P","3980000","CDFH3301062019000006","2019-10-11","","01","영업/정상","13","영업중","","","","","","452.8","","경기도 구리시 인창동 412-14 중앙빌딩 501, 502호","경기도 구리시 건원대로 91, 중앙빌딩 501, 502호 (인창동)","11918","수아PT&헬스","2026-02-02 09:36:17","U","2026-02-04 02:40:00","","212132.35632428","456311.537956127","체력단련장업","사립","","2","0","0","0","0","0","0","","",
"16","체력단련장업","10_42_01_P","3860000","CDFH3301062019000001","2019-01-23","","01","영업/정상","13","영업중","","","","","032-678-5558","","","경기도 부천시 오정구 오정동 576-1","경기도 부천시 오정구 오정로 226-1, 2~5층 (오정동)","14437","안녕휘트니스 오정점","2026-02-02 17:13:05","U","2026-02-04 02:40:00","","180901.528454719","447348.001308976","체력단련장업","사립","","1","0","0","0","0","0","0","","",
"17","체력단련장업","10_42_01_P","3980000","CDFH3301062009000001","2009-04-23","","01","영업/정상","13","영업중","","","","","031-553-9977","","","경기도 구리시 수택동 526-3 우진빌딩 지층","경기도 구리시 검배로 5, 지하층 (수택동, 우진빌딩)","11929","디에이짐 헬스&PT 구리역점","2026-02-02 09:38:03","U","2026-02-04 02:40:00","","212475.288367927","455377.857052032","체력단련장업","사립","","1","0","0","0","0","0","250","","",
"18","체력단련장업","10_42_01_P","3110000","CDFH3301062012000001","2012-01-12","","01","영업/정상","13","영업중","","","","","02-358-9999","725","","서울특별시 은평구 불광동 311-13 메트로타워","서울특별시 은평구 통일로 856, 메트로타워 5층 (불광동)","03345","주식회사 바운드짐 연신내역점","2026-02-02 17:52:35","U","2026-02-04 02:40:00","","192998.202204135","457479.99522553","체력단련장업","사립","","2","0","39286.64","0","0","0","0","","",
"19","체력단련장업","10_42_01_P","3110000","CDFH3301061992000006","1992-12-26","","03","폐업","03","폐업","2026-02-02","","","","02-387-6718","","","서울특별시 은평구 구산동 202-13","서울특별시 은평구 서오릉로 205 (구산동)","03426","구산헬쓰","2026-02-02 13:54:23","U","2026-02-04 02:40:00","","192043.812506334","456839.220080805","체력단련장업","사립","","0","0","490.65","0","0","0","0","","",
"20","체력단련장업","10_42_01_P","3140000","CDFH3301062013000004","2013-05-30","","01","영업/정상","13","영업중","","","","","02-2652-3006","171.93","158-050","서울특별시 양천구 목동 808-7 4층","서울특별시 양천구 목동로 218, 4층 (목동)","07993","히트앤록스","2026-02-02 15:21:49","U","2026-02-04 02:40:00","","187948.538264517","447308.27945586","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"21","체력단련장업","10_42_01_P","5670000","CDFH3301062022000002","2022-01-11","","03","폐업","03","폐업","2026-02-02","","","","","277.1","","경상남도 창원시 마산회원구 양덕동 60-3 메트로엠","경상남도 창원시 마산회원구 율림교로 13, 메트로엠 4층 401호 (양덕동)","51366","팀터틀랫 마산양덕점","2026-02-02 14:48:41","U","2026-02-04 02:40:00","","344170.098424983","193444.678596367","체력단련장업","사립","","1","0","514.31","0","0","0","0","","",
"22","체력단련장업","10_42_01_P","5380000","CDFH3301062023000005","2023-05-03","","01","영업/정상","13","영업중","","","","","","235.35","","경상남도 양산시 북정동 885-9 대림초경","경상남도 양산시 북정로 31, 2층 (북정동)","50572","피티박스 북정점","2026-02-02 12:58:52","U","2026-02-04 02:40:00","","385687.839297849","208532.152400852","체력단련장업","사립","","1","1","903.24","0","0","0","0","","",
"23","체력단련장업","10_42_01_P","4010000","CDFH3301062023000005","2023-03-15","","03","폐업","03","폐업","2026-01-30","","","","031-314-9690","318.49","","경기도 시흥시 장곡동 895-5","경기도 시흥시 황고개로 531, 401~403호 (장곡동)","15002","스트롱거 짐","2026-02-02 13:23:35","U","2026-02-04 02:40:00","","181169.740102257","430726.162195521","체력단련장업","사립","","1","0","0","0","0","0","0","","",
"24","체력단련장업","10_42_01_P","3210000","CDFH3301062021000016","2021-05-18","","01","영업/정상","13","영업중","","","","","02-586-2369","115.36","","서울특별시 서초구 서초동 1330-20 강남애니타워","서울특별시 서초구 강남대로53길 7, 강남애니타워 3층 301호 (서초동)","06626","바디스펙트럼2","2026-02-02 09:13:59","U","2026-02-04 02:40:00","","202427.025843099","443561.16260823","체력단련장업","사립","","1","0","803.6","0","0","0","0","","",
"25","체력단련장업","10_42_01_P","5380000","CDFH3301062017000008","2017-12-05","","01","영업/정상","13","영업중","","","","","055-365-5533","801.78","","경상남도 양산시 명동 1080-6 명곡하와이","경상남도 양산시 대운로 172, 명곡하와이 (명동)","50535","힐링온천스포렉스","2026-02-02 15:43:14","U","2026-02-04 02:40:00","","397232.588811795","213680.965178297","체력단련장업","사립","","2","0","0","0","0","0","0","","",
"26","체력단련장업","10_42_01_P","3420000","CDFH3301062022000010","2022-07-11","","04","취소/말소/만료/정지/중지","35","직권말소","2026-02-02","","","","0507-1478-2513","50","","대구광역시 동구 율하동 1369","대구광역시 동구 율하서로 86, 3층 303호 (율하동)","41109","나홀로짐","2026-02-02 13:16:54","U","2026-02-04 02:40:00","","352491.498027664","263782.041851932","체력단련장업","사립","","1","0","0","0","0","0","0","","",
"27","체력단련장업","10_42_01_P","5120000","CDFH3301062001000002","2001-07-28","","01","영업/정상","13","영업중","","","","","","489.48","","경상북도 문경시 모전동 943-5","경상북도 문경시 당교7길 31 (모전동)","36984","뉴골드헬스","2026-02-02 15:18:57","U","2026-02-04 02:40:00","","305736.262500482","342948.401681835","체력단련장업","사립","","2","1","780.64","0","0","0","0","","",
"28","체력단련장업","10_42_01_P","3230000","CDFH3301062021000002","2021-01-27","","01","영업/정상","13","영업중","","","","","","425.84","","서울특별시 송파구 오금동 150-4 영재사관학원","서울특별시 송파구 동남로 286, 3층 (오금동)","05740","플랜비휘트니스","2026-02-02 19:32:54","U","2026-02-04 02:40:00","","212093.504345528","444324.297234108","체력단련장업","사립","","0","1","0","0","0","0","0","","",
"29","체력단련장업","10_42_01_P","4490000","CDFH3301062015000021","2015-12-31","","03","폐업","03","폐업","2026-01-30","","","","","445","","충청남도 천안시 서북구 백석동 150-2 정석프라자 603-605호","충청남도 천안시 서북구 한들2로 8, 6층 603-605호 (백석동, 정석프라자)","31097","수퍼바디 짐","2026-01-30 13:41:03","U","2026-02-04 11:04:37","","210536.795965313","369135.568951334","체력단련장업","사립","","2","0","0","0","0","0","0","","",
"30","체력단련장업","10_42_01_P","4010000","CDFH3301062019000001","2019-01-23","","01","영업/정상","13","영업중","","","","","","686.28","","경기도 시흥시 은행동 611 우평 라비엔빌딩","경기도 시흥시 은계로 260, 우평 라비엔빌딩 6층 604~609호 (은행동)","14923","짐리치 은계호수점","2026-01-30 16:44:17","U","2026-02-04 11:04:37","","182509.841143539","438098.221788795","체력단련장업","사립","","2","0","14495.41","0","0","0","0","","",
"31","체력단련장업","10_42_01_P","3900000","CDFH3301062003000015","2003-05-26","","01","영업/정상","13","영업중","","","","","02-2612-0620","","423-815","경기도 광명시 광명동 720-5 4층","경기도 광명시 도덕로 63 (광명동)","14276","비타민휘트니스클럽","2026-01-30 15:14:47","U","2026-02-04 11:04:37","","187035.348891876","440871.235518745","체력단련장업","사립","","0","0","0","0","5.91","0","0","","",
"32","체력단련장업","10_42_01_P","3940000","CDFH3301062013000019","2013-09-12","","01","영업/정상","13","영업중","","","","","914-3999","1269.2","411-841","경기도 고양시 일산서구 탄현동 142-66","경기도 고양시 일산서구 일현로 107, 4층 (탄현동)","10241","버클다운짐 탄현점","2026-01-30 10:23:04","U","2026-02-04 11:04:37","","179194.119673271","466027.840481833","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"33","체력단련장업","10_42_01_P","3780000","CDFH3301062024000029","2024-08-16","","01","영업/정상","13","영업중","","","","","","930.81","","경기도 성남시 수정구 신흥동 5180 샤르망","경기도 성남시 수정구 시민로 165, 지하1층 (신흥동, 샤르망)","13340","스카이피트니스 GX골프","2026-01-30 15:46:11","U","2026-02-04 11:04:37","","212561.009230373","437854.68450541","체력단련장업","사립","","2","0","0","0","0","0","0","","",
"34","체력단련장업","10_42_01_P","5710000","CDFH3301062023000018","2023-04-07","","01","영업/정상","13","영업중","","","","","","408.71","","충청북도 청주시 청원구 우암동 236-5","충청북도 청주시 청원구 직지대로 886, 4층 (우암동)","28536","휘트니스 오름 우암점","2026-01-30 14:50:11","U","2026-02-04 11:04:37","","243568.683472623","350089.214594707","체력단련장업","사립","","2","0","2535.32","0","0","0","0","","",
"35","체력단련장업","10_42_01_P","4050000","CDFH3301062021000036","2021-11-12","","01","영업/정상","13","영업중","","","","","031-274-6060","488.4","","경기도 용인시 기흥구 언남동 412-2 (주)시간과공간 지하1층","경기도 용인시 기흥구 구성로 88 (주)시간과공간 지하1층 (언남동)","16919","레전드 짐","2026-01-30 16:52:58","U","2026-02-04 11:04:37","","210477.031591564","421360.498868516","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"36","체력단련장업","10_42_01_P","3610000","CDFH3301062025000008","2025-12-23","","01","영업/정상","13","영업중","","","","","","837.22","","광주광역시 남구 주월동 1109-3","광주광역시 남구 봉선로 50 (주월동)","61698","24시 평생헬스 봉선주월점","2026-01-30 11:33:17","U","2026-02-04 11:04:37","","191172.520603552","181087.695214083","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"37","체력단련장업","10_42_01_P","3780000","CDFH3301062025000024","2025-07-25","","01","영업/정상","13","영업중","","","","","","339.3","","경기도 성남시 분당구 야탑동 272-5 야탑조합상가","경기도 성남시 분당구 벌말로40번길 5-1, 야탑조합상가 지하1층 (야탑동)","13503","와이피트니스 헬스&PT 분당야탑점","2026-01-30 15:03:19","U","2026-02-04 11:04:37","","212217.816054937","434394.93438444","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"38","체력단련장업","10_42_01_P","4050000","CDFH3301062015000013","2015-09-01","","01","영업/정상","13","영업중","","","","","","1373.77","","경기도 용인시 수지구 상현동 254-14 원희캐슬프라자","경기도 용인시 수지구 만현로 110, 원희캐슬프라자 제지층 B101, B102호 (상현동)","16930","노아 휘트니스","2026-01-30 09:27:44","U","2026-02-04 11:04:37","","207423.63432336","422761.143603176","체력단련장업","사립","","2","0","0","0","0","0","0","","",
"39","체력단련장업","10_42_01_P","3320000","CDFH3301062020000007","2020-11-17","","03","폐업","03","폐업","2026-01-30","","","","051-333-5151","296.14","","부산광역시 북구 덕천동 400-7","부산광역시 북구 만덕대로 16, 10층 (덕천동)","46576","바디로운피트니스 덕천점","2026-01-30 13:39:39","U","2026-02-04 11:04:37","","382673.894318083","191954.6863817","체력단련장업","사립","","1","0","3893.39","0","0","0","0","","",
"40","체력단련장업","10_42_01_P","3100000","CDFH3301062025000006","2025-05-13","","03","폐업","03","폐업","2026-01-30","","","","","","","서울특별시 노원구 상계동 630 청수빌딩","서울특별시 노원구 동일로228길 35, 청수빌딩 4층 401호 (상계동)","01669","에이치투짐PT 마들역점","2026-01-30 17:52:30","U","2026-02-04 11:04:37","","205138.926439441","462840.104436782","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"41","체력단련장업","10_42_01_P","3070000","CDFH3301062022000009","2022-10-17","","01","영업/정상","13","영업중","","","","","","64.04","","서울특별시 성북구 성북동 176-2","서울특별시 성북구 성북로 42, 2층 (성북동)","02835","유니버설 피트니스","2026-01-30 14:36:55","U","2026-02-04 11:04:37","","200245.196471866","454373.510257978","체력단련장업","사립","","1","0","0","0","0","0","0","","",
"42","체력단련장업","10_42_01_P","3080000","CDFH3301062026000001","2026-02-04","","01","영업/정상","13","영업중","","","","","","141.18","","서울특별시 강북구 번동 418-10 동국빌딩","서울특별시 강북구 한천로131길 36, 동국빌딩 4층 (번동)","01063","라이프 리턴","2026-02-04 17:50:42","I","2026-02-06 00:20:02","","202281.830934622","459505.068724709","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"43","체력단련장업","10_42_01_P","3640000","CDFH3301062026000001","2026-02-04","","01","영업/정상","13","영업중","","","","","","328.55","","대전광역시 동구 가양동 402-7","대전광역시 동구 동대전로 270 (가양동)","34508","오트짐","2026-02-04 09:33:35","I","2026-02-06 00:20:02","","239999.313875614","316137.848633118","체력단련장업","사립","","2","0","1983.34","0","0","0","0","","",
"44","체력단련장업","10_42_01_P","3740000","CDFH3301062026000005","2026-02-04","","01","영업/정상","13","영업중","","","","","031-235-2253","102","","경기도 수원시 장안구 정자동 111-14","경기도 수원시 장안구 수성로 175, 수원스타필드 7층 (정자동)","16318","레이업 리컨디셔닝 센터 수원스타필드점","2026-02-04 13:41:43","I","2026-02-06 00:20:02","","199161.380909543","420620.351156652","체력단련장업","사립","","1","0","0","0","0","0","0","","",
"45","체력단련장업","10_42_01_P","3780000","CDFH3301062026000004","2026-02-03","","01","영업/정상","13","영업중","","","","","","360","","경기도 성남시 수정구 복정동 584-6","경기도 성남시 수정구 성남대로1375번길 18, 지층 (복정동)","13108","에슬레틱플로우","2026-02-03 09:11:42","I","2026-02-06 00:20:02","","210947.833778146","438961.380154692","체력단련장업","사립","","3","0","0","0","0","0","0","","",
"46","체력단련장업","10_42_01_P","3460000","CDFH3301062026000001","2026-02-04","","01","영업/정상","13","영업중","","","","","","242.7","","대구광역시 수성구 신매동 156-4","대구광역시 수성구 달구벌대로652길 11-4, 지하1층 (신매동)","42277","럭키핏","2026-02-04 11:15:18","I","2026-02-06 00:20:02","","354633.109983151","261014.61404815","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"47","체력단련장업","10_42_01_P","4050000","CDFH3301062026000003","2026-02-04","","01","영업/정상","13","영업중","","","","","031-272-5801","110.4","","경기도 용인시 기흥구 보정동 1277 지젤스포츠클럽 201호","경기도 용인시 기흥구 보정로 32, 지젤스포츠클럽 201호 (보정동)","16903","온마음 재활PT&필라테스 보정점","2026-02-04 16:32:09","I","2026-02-06 00:20:02","","209787.252955929","423563.214492078","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"48","체력단련장업","10_42_01_P","3670000","CDFH3301062026000003","2026-02-03","","01","영업/정상","13","영업중","","","","","","563.09","","대전광역시 유성구 용산동 744 호반그랜드프라자","대전광역시 유성구 용산1로 80, 호반그랜드프라자 6층 (용산동)","34040","온피트니스","2026-02-03 11:21:49","I","2026-02-06 00:20:02","","","","체력단련장업","사립","","2","0","5621.19","0","0","0","0","","",
"49","체력단련장업","10_42_01_P","4671000","CDFH3301062026000001","2026-02-03","","01","영업/정상","13","영업중","","","","","","714.15","","전북특별자치도 군산시 조촌동 2-22","전북특별자치도 군산시 궁포3로 13, 4층 406호 (조촌동)","54072","루키짐","2026-02-03 18:00:42","I","2026-02-06 00:20:02","","176574.133354944","275173.212701162","체력단련장업","사립","","2","0","0","0","0","0","0","","",
"50","체력단련장업","10_42_01_P","3780000","CDFH3301062026000005","2026-02-04","","01","영업/정상","13","영업중","","","","","070-7585-6944","41.09","","경기도 성남시 분당구 백현동 540 B2086호","경기도 성남시 분당구 판교역로 136, B2층 B2086호 (백현동)","13529","이상해GYM PT 판교역점","2026-02-04 15:55:03","I","2026-02-06 00:20:02","","209711.48509119","432271.963293607","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"51","체력단련장업","10_42_01_P","3180000","CDFH3301062026000001","2026-02-03","","01","영업/정상","13","영업중","","","","","","949.51","","서울특별시 영등포구 여의도동 28-1 에프케이아이타워","서울특별시 영등포구 여의대로 24, 에프케이아이타워 4층 (여의도동)","07320","ORBIT FITNESS CENTER","2026-02-03 16:24:26","I","2026-02-06 00:20:02","","192880.946054063","446664.78738442","체력단련장업","사립","","2","0","0","0","0","0","0","","",
"52","체력단련장업","10_42_01_P","3040000","CDFH3301061994000002","1994-08-01","","01","영업/정상","13","영업중","","","","","","269.58","","서울특별시 광진구 자양동 216-9","서울특별시 광진구 아차산로 380, 세화빌딩 4, 5층 (자양동)","05051","휘트니스피플우먼 구의점","2026-02-04 16:32:59","U","2026-02-06 02:40:00","","207444.54897561","448263.89528182","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"53","체력단련장업","10_42_01_P","6510000","CDFH3301062011000005","2011-12-19","","01","영업/정상","13","영업중","","","","","064-795-3235","180.52","695-934","제주특별자치도 제주시 한림읍 협재리 2842","제주특별자치도 제주시 한림읍 금능남로 127","63015","라온 휘트니스","2026-02-04 11:44:52","U","2026-02-06 02:40:00","","129292.556928497","-12932.3664050412","체력단련장업","사립","","0","1","180.52","0","0","0","0","","",
"54","체력단련장업","10_42_01_P","3060000","CDFH3301062019000002","2019-03-07","","01","영업/정상","13","영업중","","","","","02-491-1282","239.35","","서울특별시 중랑구 면목동 359-2","서울특별시 중랑구 면목로 398, 8층 (면목동)","02197","비버스 짐","2026-02-03 14:25:12","U","2026-02-06 02:40:00","","207709.270930577","453910.467739777","체력단련장업","사립","","1","1","1807.44","0","0","0","0","","",
"55","체력단련장업","10_42_01_P","3030000","CDFH3301062023000007","2023-06-27","","01","영업/정상","13","영업중","","","","","","49.2","","서울특별시 성동구 하왕십리동 959-2","서울특별시 성동구 왕십리로 347, 2층 (하왕십리동)","04710","리피티 여성전용 PT 왕십리점","2026-02-03 15:10:49","U","2026-02-06 02:40:00","","202689.659481846","451231.738578721","체력단련장업","사립","","0","0","304.94","0","0","0","0","","",
"56","체력단련장업","10_42_01_P","3230000","CDFH3301062019000019","2019-09-20","","03","폐업","03","폐업","2026-02-04","","","","","180.89","","서울특별시 송파구 문정동 150-32 청기와빌딩","서울특별시 송파구 중대로 60-13, 청기와빌딩 3층 (문정동)","05833","위메이트핏","2026-02-04 15:06:03","U","2026-02-06 02:40:00","","210152.595873327","443206.48469995","체력단련장업","사립","","0","0","1348","0","0","0","0","","",
"57","체력단련장업","10_42_01_P","3290000","CDFH3301062022000002","2022-02-11","","03","폐업","03","폐업","2026-02-03","","","","051-803-9888","272.05","","부산광역시 부산진구 부전동 466-4 서면동양빌","부산광역시 부산진구 부전로 91, 지하1층 (부전동, 서면동양빌)","47258","피티가치3","2026-02-03 15:37:34","U","2026-02-06 02:40:00","","387128.349528554","186281.396137859","체력단련장업","사립","","1","0","4750.08","0","0","0","0","","",
"58","체력단련장업","10_42_01_P","4090000","CDFH3301062017000007","2017-09-07","","03","폐업","03","폐업","2026-02-03","","","","","185.27","","","경기도 김포시 김포한강1로97번길 64-9 (장기동)","10080","리폼드크로스핏","2026-02-03 18:07:32","U","2026-02-06 02:40:00","","170964.617883506","460767.868179416","체력단련장업","사립","","1","0","656.87","0","0","0","0","","",
"59","체력단련장업","10_42_01_P","3210000","CDFH3301062015000017","2015-12-28","","01","영업/정상","13","영업중","","","","","","178.5","","서울특별시 서초구 방배동 917-1 부림빌딩","서울특별시 서초구 방배중앙로 6, 부림빌딩 2층 (방배동)","06687","대한퍼스널트레이너협회","2026-02-04 09:14:33","U","2026-02-06 02:40:00","","199354.34750604","442060.454357668","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"60","체력단련장업","10_42_01_P","5310000","CDFH3301062026000002","2026-01-15","","01","영업/정상","13","영업중","","","","","070-4450-1861","487.14","","경상남도 진주시 평거동 902 7층","경상남도 진주시 순환로 541, 7층 (평거동)","52703","어반짐","2026-02-03 15:49:33","U","2026-02-06 02:40:00","","296532.352595073","186413.41432766","체력단련장업","사립","","2","0","4030.78","0","0","0","0","","",
"61","체력단련장업","10_42_01_P","5020000","CDFH3301062012000006","2012-11-20","","01","영업/정상","13","영업중","","","","","054-278-0888","584.79","790-330","경상북도 포항시 남구 효자동 573-1","경상북도 포항시 남구 효성로15번길 19 (효자동)","37836","효자웰빙 스포렉스","2026-02-03 09:50:30","U","2026-02-06 02:40:00","","410668.499395564","281034.547188906","체력단련장업","사립","","2","0","0","0","0","0","0","","",
"62","체력단련장업","10_42_01_P","3030000","CDFH3301062021000008","2021-11-16","","01","영업/정상","13","영업중","","","","","","105.84","","서울특별시 성동구 도선동 289","서울특별시 성동구 왕십리로 348, 5층 (도선동)","04707","모티브짐","2026-02-03 14:22:05","U","2026-02-06 02:40:00","","202727.017018553","451267.516899022","체력단련장업","사립","","0","0","1919.5","0","0","0","0","","",
"63","체력단련장업","10_42_01_P","4020000","CDFH3301062025000004","2025-12-02","","01","영업/정상","13","영업중","","","","","031-393-0777","269.6","","경기도 군포시 산본동 1133 삼정빌딩","경기도 군포시 산본로323번길 16-36, 삼정빌딩 7층 (산본동)","15865","어니언짐 산본 헬스PT","2026-02-03 16:17:02","U","2026-02-06 02:40:00","","193858.296093102","428701.095271071","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"64","체력단련장업","10_42_01_P","5310000","CDFH3301062024000005","2024-03-12","","03","폐업","03","폐업","2026-02-04","","","","","142.93","","경상남도 진주시 가좌동 2068-2 신진주역세권 줌시티","경상남도 진주시 개양로 114, 신진주역세권 줌시티 2층 (가좌동)","52860","올드짐 신진주역점","2026-02-04 15:36:43","U","2026-02-06 02:40:00","","301855.659180497","184473.026701588","체력단련장업","사립","","0","0","0","0","0","0","0","","",
