번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),영업내용,Unnamed: 29,record_key
250,옥외광고업,04_15_01_P,3530000,2010353007708500023,2026-02-25,,1,영업/정상,20,정상,,,,,,,,인천광역시 남동구 고잔동 ***-*,"인천광역시 남동구 호구포로 ***, ***호 (고잔동)",21644,비앤비커뮤니케이션,2026-02-25 09:14:36,U,2026-02-27 02:40:00,,174018.961572155,433142.465091199,"디자인 및 현수막 제작, 옥외광고물 설치",,비앤비커뮤니케이션_인천광역시남동구고잔동***-*
261,옥외광고업,04_15_01_P,5670000,2021567050008500008,2026-02-25,,1,영업/정상,20,정상,,,,,,,,경상남도 창원시 마산합포구 진동면 인곡리 ***,경상남도 창원시 마산합포구 진동면 입곡길 **,51789,(주)바름,2026-02-26 09:01:18,U,2026-02-28 02:40:00,,337338.729011576,183369.31153705,옥외광고업,,(주)바름_경상남도창원시마산합포구진동면인곡리***
225,옥외광고업,04_15_01_P,3170000,2026317023108500003,2026-02-24,,1,영업/정상,20,정상,,,,,,,,서울특별시 금천구 가산동 ***-* 월드메르디앙*차,"서울특별시 금천구 가산디지털*로 ***, 월드메르디앙*차 ****호 (가산동)",08505,(주)씨디컴,2026-02-24 15:20:08,I,2026-02-26 00:20:08,,189202.600232089,441848.24299943,옥외광고업,,(주)씨디컴_서울특별시금천구가산동***-*월드메르디앙*차
230,옥외광고업,04_15_01_P,3990000,2026399052208500004,2026-02-24,,1,영업/정상,20,정상,,,,,,,,경기도 남양주시 별내면 청학리 ***-* *층,"경기도 남양주시 별내면 청학로**번길 **, *층",12077,꿈다,2026-02-24 15:35:12,U,2026-02-26 02:40:00,,210900.112702272,467529.997668354,"간판,현수막 제작 및 설치",,꿈다_경기도남양주시별내면청학리***-**층
238,옥외광고업,04_15_01_P,5380000,2021538027808500001,2026-02-24,,1,영업/정상,20,정상,,,,,,,,경상남도 양산시 삼호동 ***-*,경상남도 양산시 서창동*길 * (삼호동),50527,양산시직업재활센터,2026-02-24 13:07:41,U,2026-02-26 02:40:00,,397449.731165966,215314.917578369,광고업,,양산시직업재활센터_경상남도양산시삼호동***-*
226,옥외광고업,04_15_01_P,3990000,2026399052208500006,2026-02-24,,1,영업/정상,20,정상,,,,,,,,경기도 남양주시 별내동 *** *동 *층 비*-****호,"경기도 남양주시 순화궁로 ***, 현대그리너리캠퍼스 *동 *층 비*-****호 (별내동)",12096,디자인공작소,2026-02-24 15:37:53,I,2026-02-26 00:20:08,,210755.703831856,462357.841535324,간판 및 내외부 사인물 제작,,디자인공작소_경기도남양주시별내동****동*층비*-****호
227,옥외광고업,04_15_01_P,4691000,2026469102808500001,2026-02-24,,1,영업/정상,20,정상,,,,,,,,,전북특별자치도 정읍시 벚꽃로 *** (상동),56187,레이어블 유한회사,2026-02-24 15:39:34,I,2026-02-26 00:20:08,,187470.256975862,228750.376917443,디자인 사업 등,,레이어블유한회사_
224,옥외광고업,04_15_01_P,3990000,2026399052208500007,2026-02-24,,1,영업/정상,20,정상,,,,,,,,경기도 남양주시 수동면 송천리 ***-* *동,"경기도 남양주시 수동면 소래비로 ***-**, *동",12034,(주)서진기업,2026-02-24 15:39:36,I,2026-02-26 00:20:08,,229213.437289597,464675.542399782,안내판 제작,,(주)서진기업_경기도남양주시수동면송천리***-**동
216,옥외광고업,04_15_01_P,3010000,2026301021808500002,2026-02-23,,1,영업/정상,20,정상,,,,,,,,서울특별시 중구 신당동 ***-*,"서울특별시 중구 퇴계로 ***, 대승빌딩 *층 (신당동)",04612,상윤애드,2026-02-23 14:19:18,I,2026-02-25 00:20:01,,200893.119043422,451354.677273034,옥외광고물 제작 및 대행,,상윤애드_서울특별시중구신당동***-*
218,옥외광고업,04_15_01_P,3530000,2010353007708500010,2026-02-23,,1,영업/정상,20,정상,,,,,,,,인천광역시 남동구 고잔동 *** (주)한국볼타,인천광역시 남동구 남동서로 *** (주)한국볼타 *층 (고잔동),21633,(주)마리아트,2026-02-23 16:45:31,U,2026-02-25 02:40:00,,172620.550093935,433868.393629335,광고물제작 및 대행,,(주)마리아트_인천광역시남동구고잔동***(주)한국볼타
213,옥외광고업,04_15_01_P,3000000,2026300028108500002,2026-02-23,,1,영업/정상,20,정상,,,,,,,,,"서울특별시 종로구 평창문화로 ***, *층 (평창동)",03010,주식회사 선우,2026-02-23 10:31:13,I,2026-02-25 00:20:01,,197536.599364928,456178.428174823,옥외광고사업,,주식회사선우_
244,옥외광고업,04_15_01_P,3940000,2026395006708500001,2026-02-21,,1,영업/정상,20,정상,,,,,,,,경기도 고양시 덕양구 동산동 ***,"경기도 고양시 덕양구 동축로 **, 현대프리미어캠퍼스 제비에이**-**호 (동산동)",10594,주식회사 솔림프린팅,2026-02-25 16:23:01,I,2026-02-27 00:20:02,,192051.385343101,460456.083031534,"옥외광고물 제작, 설치 등",,주식회사솔림프린팅_경기도고양시덕양구동산동***
206,옥외광고업,04_15_01_P,4810000,2010481018908500003,2026-02-20,,1,영업/정상,20,정상,,,,,061 685 1538,,,전라남도 여수시 여천동 ***,"전라남도 여수시 좌수영로 ***, *층 (여천동)",59635,담장디자인,2026-02-20 13:51:32,U,2026-02-22 02:40:00,,261399.392019522,142747.651735993,"옥외광고물 제작 및 표시·설치, 옥외광고 대행",,담장디자인_전라남도여수시여천동***
193,옥외광고업,04_15_01_P,3380000,2026338010508500003,2026-02-19,,1,영업/정상,20,정상,,,,,,,,부산광역시 수영구 민락동 ***-** 동남빌딩,"부산광역시 수영구 광안해변로***번길 *-**, 동남빌딩 *층 (민락동)",48280,참빛아트웍스 주식회사,2026-02-19 14:27:06,I,2026-02-21 00:20:05,,394134.385492286,186117.073678994,간판제조 등,,참빛아트웍스주식회사_부산광역시수영구민락동***-**동남빌딩
188,옥외광고업,04_15_01_P,3680000,2026368025908500003,2026-02-19,,1,영업/정상,20,정상,,,,,,,,대전광역시 대덕구 오정동 ***-*,대전광역시 대덕구 대전로****번길 **-** (오정동),34435,수림ENG,2026-02-19 16:06:19,I,2026-02-21 00:20:05,,237658.951672272,316568.688867135,옥외광고물 제조 등,,수림ENG_대전광역시대덕구오정동***-*
210,옥외광고업,04_15_01_P,3200000,2003320008408200007,2026-02-19,,4,취소/말소/만료/정지/중지,50,영업정지,,,,,,,,서울특별시 관악구 신림동 ***-**,서울특별시 관악구 남부순환로***길 **-* (신림동),08762,우리기획,2026-02-20 17:46:31,U,2026-02-22 02:40:00,,192532.131207817,442398.080567588,광고물제작,,우리기획_서울특별시관악구신림동***-**
212,옥외광고업,04_15_01_P,5340000,2026534025808500003,2026-02-19,,1,영업/정상,20,정상,,,,,,,,경상남도 사천시 벌리동 ***-**,"경상남도 사천시 벌리*길 **-**, ***호 (벌리동)",52559,(주)디자인리움,2026-02-23 13:24:22,I,2026-02-25 00:20:01,,298799.229856192,160691.808600233,옥외광고물 제작·설치 및 옥외광고 대행,,(주)디자인리움_경상남도사천시벌리동***-**
190,옥외광고업,04_15_01_P,3740000,2026374040908500004,2026-02-19,,1,영업/정상,20,정상,,,,,,,,경기도 수원시 영통구 하동 *** 원희캐슬 광교,"경기도 수원시 영통구 광교중앙로***번길 *-*, 원희캐슬 광교 C동 ***호 (하동)",16512,디온에이싸인,2026-02-19 17:20:14,I,2026-02-21 00:20:05,,205823.568119412,421057.602005781,간판제작 및 시공,,디온에이싸인_경기도수원시영통구하동***원희캐슬광교
192,옥외광고업,04_15_01_P,4641000,2026466100908500003,2026-02-19,,1,영업/정상,20,정상,,,,,,,,,"전북특별자치도 전주시 덕진구 만성북로 **-**, 스페이스온 지식산업센터 ****호 (만성동)",54858,앤투앤,2026-02-19 21:30:06,I,2026-02-21 00:20:05,,207392.029276292,260992.916630393,산업디자인 전반,,앤투앤_
191,옥외광고업,04_15_01_P,3740000,2026374040908500003,2026-02-19,,1,영업/정상,20,정상,,,,,,,,경기도 수원시 장안구 이목동 ***-*,"경기도 수원시 장안구 이목로 **, 우성테크노파크 ****호 (이목동)",16342,드림광고,2026-02-19 17:21:50,I,2026-02-21 00:20:05,,198459.659511707,423178.312122611,"간판, 현수막, 실사출력",,드림광고_경기도수원시장안구이목동***-*
194,옥외광고업,04_15_01_P,3220000,2026322017408500001,2026-02-19,,1,영업/정상,20,정상,,,,,,,,서울특별시 강남구 논현동 *** The Pinnacle Gangnam,"서울특별시 강남구 학동로 ***, The Pinnacle Gangnam *층 *호 (논현동)",06060,주식회사 리브이엔씨,2026-02-19 09:55:47,I,2026-02-21 00:20:05,,203522.611749323,446136.224971923,"광고대행, 광고기획 및 컨설팅",,주식회사리브이엔씨_서울특별시강남구논현동***ThePinnacleGangnam
195,옥외광고업,04_15_01_P,5080000,2015508016208500001,2026-02-19,,1,영업/정상,20,정상,,,,,0544566789,,,경상북도 구미시 형곡동 ***-*,"경상북도 구미시 경은로 **, 금강애드 (형곡동)",39291,금강애드,2026-02-19 18:06:41,U,2026-02-21 02:40:00,,320179.663909941,291324.803945019,"인쇄, 기획, 출판, 광고물 제작",,금강애드_경상북도구미시형곡동***-*
204,옥외광고업,04_15_01_P,4181000,2023418110008500005,2026-02-19,,1,영업/정상,20,정상,,,,,,,,강원특별자치도 춘천시 후평동 ***-*,"강원특별자치도 춘천시 후석로***번길 *, 춘천하이테크타워 ***호 (후평동)",24232,협동조합 가시광선,2026-02-20 11:23:23,U,2026-02-22 02:40:00,,265474.842593179,487512.552718902,"옥외광고 디자인 제작 설치,영상디자인사업",,협동조합가시광선_강원특별자치도춘천시후평동***-*
214,옥외광고업,04_15_01_P,5100000,2026510025808500001,2026-02-19,,1,영업/정상,20,정상,,,,,,,,경상북도 영천시 완산동 ****-**,경상북도 영천시 구읍*길 ** (완산동),38891,주식회사 무한,2026-02-23 13:43:03,I,2026-02-25 00:20:01,,374521.187328169,275155.883144985,옥외광고물 제작 및 설치업 등,,주식회사무한_경상북도영천시완산동****-**
176,옥외광고업,04_15_01_P,4191000,2023419103808500001,2026-02-13,,1,영업/정상,20,정상,,,,,,,,강원특별자치도 원주시 봉산동 ***-**,"강원특별자치도 원주시 동부순환로 ***, *동 *층 (봉산동)",26454,거성간판자재,2026-02-13 09:43:07,U,2026-02-15 02:40:00,,286354.73540446,427636.680193033,"간판제작, 광고물 인쇄",,거성간판자재_강원특별자치도원주시봉산동***-**
172,옥외광고업,04_15_01_P,5530000,2026553069508500003,2026-02-13,,1,영업/정상,20,정상,,,,,,,,경기도 화성시 만세구 향남읍 평리 **-** *동 ***호,"경기도 화성시 만세구 향남읍 평*길 **-*, 경원텔 *동 ***호",18593,청산현수막,2026-02-13 10:38:17,I,2026-02-15 00:20:02,,191935.221494549,403467.255848953,현수막 설치,,청산현수막_경기도화성시만세구향남읍평리**-***동***호
174,옥외광고업,04_15_01_P,3130000,2026313026808500002,2026-02-12,,1,영업/정상,20,정상,,,,,,,,서울특별시 마포구 합정동 ***-* 서림빌딩 ***호,"서울특별시 마포구 토정로 **, 서림빌딩 *층 ***호 (합정동)",04085,주식회사 아레스크리에이트,2026-02-13 09:18:25,I,2026-02-15 00:20:02,,192478.420136261,449243.510424893,옥외광고사업,,주식회사아레스크리에이트_서울특별시마포구합정동***-*서림빌딩***호
156,옥외광고업,04_15_01_P,5710000,2026571028608500003,2026-02-12,,1,영업/정상,20,정상,,,,,,,,충청북도 청주시 청원구 오창읍 양청리 ***-* 엘파크,"충청북도 청주시 청원구 오창읍 오창공원로 ***, 엘파크 *층 ***호",28120,주나디자인,2026-02-12 10:45:16,I,2026-02-14 00:20:02,,238066.903031404,356831.715118424,옥외광고업,,주나디자인_충청북도청주시청원구오창읍양청리***-*엘파크
153,옥외광고업,04_15_01_P,3990000,2026399052208500005,2026-02-12,,1,영업/정상,20,정상,,,,,,,,경기도 남양주시 별내동 ***-* ***호,"경기도 남양주시 덕송*로 **-*, 미래타워 ***호 (별내동)",12097,더조은간판,2026-02-12 15:09:28,I,2026-02-14 00:20:02,,210396.174605099,462826.523405145,간판설치 시공(제작 제외),,더조은간판_경기도남양주시별내동***-****호
184,옥외광고업,04_15_01_P,3130000,2025313026808500006,2026-02-12,,1,영업/정상,20,정상,,,,,,,,서울특별시 마포구 상암동 **** 중앙일보빌딩,"서울특별시 마포구 상암산로 **-*, 중앙일보빌딩 (상암동)",03909,타운보드중앙 주식회사,2026-02-13 10:15:08,U,2026-02-15 02:40:00,,190221.187884898,452753.974615352,옥외광고사업,,타운보드중앙주식회사_서울특별시마포구상암동****중앙일보빌딩
154,옥외광고업,04_15_01_P,4060000,2026406047208500007,2026-02-12,,1,영업/정상,20,정상,,,,,,,,,"경기도 파주시 파주읍 봉서산로 ***, *동",10838,리엔에프 주식회사,2026-02-12 11:24:04,I,2026-02-14 00:20:02,,182268.053353847,481094.025267763,"옥외광고물 제작, 설치, 광고대행",,리엔에프주식회사_
183,옥외광고업,04_15_01_P,5670000,2016567050008500005,2026-02-12,,1,영업/정상,20,정상,,,,,,,,경상남도 창원시 의창구 도계동 ***-* 서전빌라 ***호,"경상남도 창원시 의창구 태복산로*번길 **, ***호 (도계동, 서전빌라)",51166,아이엠,2026-02-13 11:00:20,U,2026-02-15 02:40:00,,348968.323898922,196256.494851329,간판제작 및 시공,,아이엠_경상남도창원시의창구도계동***-*서전빌라***호
186,옥외광고업,04_15_01_P,5590000,2026559033608500003,2026-02-12,,3,폐업,40,폐업,2026-02-12,,,,,,,경기도 양주시 옥정동 *** 세영리첼 레이크파크,"경기도 양주시 옥정동로 ***, ****동 **층 ****호 (옥정동, 세영리첼 레이크파크)",11473,히스토리,2026-02-13 09:19:25,U,2026-02-15 02:40:00,,208825.928424534,479607.915899454,옥외광고물 제작,,히스토리_경기도양주시옥정동***세영리첼레이크파크
173,옥외광고업,04_15_01_P,3570000,2026357021008500001,2026-02-11,,1,영업/정상,20,정상,,,,,,,,인천광역시 강화군 길상면 선두리 ****-*,"인천광역시 강화군 길상면 해안남로 ***, ***호",23051,네이쳐홀릭㈜,2026-02-13 14:05:26,I,2026-02-15 00:20:02,,155445.611578236,455567.989126212,,,네이쳐홀릭㈜_인천광역시강화군길상면선두리****-*
144,옥외광고업,04_15_01_P,3210000,2023321014008500009,2026-02-11,,1,영업/정상,20,정상,,,,,,,,서울특별시 서초구 우면동 **-* 대화프라자 ***호,"서울특별시 서초구 바우뫼로*길 **, 한일프라자 ***호 ***호 (우면동)",06762,서초구장애인연합회,2026-02-11 10:35:19,U,2026-02-13 02:40:00,,202150.523779604,440990.104205604,광고물제작,,서초구장애인연합회_서울특별시서초구우면동**-*대화프라자***호
189,옥외광고업,04_15_01_P,4520000,2026452041808500003,2026-02-11,,1,영업/정상,20,정상,,,,,,,,,"충청남도 아산시 탕정면 용머리길 **, 더콜럼버스*차 ***호",31457,우리디자인,2026-02-19 11:14:52,I,2026-02-21 00:20:05,,,,카탈로그 / 현수막 / 명함 제작 등,,우리디자인_
158,옥외광고업,04_15_01_P,4050000,2026405051008500004,2026-02-10,,1,영업/정상,20,정상,,,,,,,,경기도 용인시 기흥구 영덕동 **** 힉스유타워,"경기도 용인시 기흥구 중부대로 ***, 힉스유타워 A동 *층 ***-*호 (영덕동)",17095,주식회사 청림테크,2026-02-12 13:51:20,I,2026-02-14 00:20:02,,207954.10748572,418552.765838324,"옥외광고물 제작, 시공, 디자인",,주식회사청림테크_경기도용인시기흥구영덕동****힉스유타워
157,옥외광고업,04_15_01_P,4040000,2026404026808500001,2026-02-10,,1,영업/정상,20,정상,,,,,,,,경기도 하남시 풍산동 *** 미사센텀비즈,"경기도 하남시 조정대로 **, 미사센텀비즈 **층 **호 (풍산동)",12918,(주)미래루체,2026-02-12 13:28:55,I,2026-02-14 00:20:02,,216197.552708918,449829.801875259,,,(주)미래루체_경기도하남시풍산동***미사센텀비즈
125,옥외광고업,04_15_01_P,4000000,2026400020708500001,2026-02-10,,1,영업/정상,20,정상,,,,,,,,인천광역시 연수구 송도동 *** 송도아메리칸타운아이파크,"경기도 오산시 경기대로***번길 **, 지식산업센터 AA동 **층 **호 (세교동)",18112,챕터원,2026-02-10 17:34:42,I,2026-02-12 00:20:02,,170015.390865756,431495.248140507,광고물 영업,,챕터원_인천광역시연수구송도동***송도아메리칸타운아이파크
127,옥외광고업,04_15_01_P,5530000,2026553069508500001,2026-02-10,,1,영업/정상,20,정상,,,,,,,,경기도 화성시 동탄구 반송동  **-* ***호,"경기도 화성시 동탄구 동탄공원로*길 **, ***호 (반송동)",18435,파란종합기획,2026-02-10 17:35:21,I,2026-02-12 00:20:02,,205360.488097977,411822.860408199,"인쇄물, 현수막 등",,파란종합기획_경기도화성시동탄구반송동**-****호
128,옥외광고업,04_15_01_P,5530000,2026553069508500002,2026-02-10,,1,영업/정상,20,정상,,,,,,,,경기도 화성시 만세구 우정읍 매향리 ***-** 성원이엔지(주),"경기도 화성시 만세구 우정읍 고온리안길 **-**, 성원이엔지(주)",18570,(주)유성디앤디,2026-02-10 17:37:00,I,2026-02-12 00:20:02,,178315.746696684,393291.41672265,인명구조함 및 경고표지판 제작 및 납품,,(주)유성디앤디_경기도화성시만세구우정읍매향리***-**성원이엔지(주)
130,옥외광고업,04_15_01_P,5670000,2026567050108500002,2026-02-10,,1,영업/정상,20,정상,,,,,,,,,"경상남도 창원시 성산구 마디미로 **, 상남재래시장 C동 ***호 (상남동)",51496,무드사인,2026-02-10 17:56:00,I,2026-02-12 00:20:02,,353189.423782494,192735.097969597,옥외광고대행업,,무드사인_
131,옥외광고업,04_15_01_P,5540000,2026554034108500005,2026-02-10,,1,영업/정상,20,정상,,,,,,,,경기도 광주시 태전동 ***-**,"경기도 광주시 고불로***번길 **-**, *층 (태전동)",12782,(주)디마기획,2026-02-10 13:26:03,I,2026-02-12 00:20:02,,218523.827747749,432452.779110817,광고물 제작,,(주)디마기획_경기도광주시태전동***-**
112,옥외광고업,04_15_01_P,3630000,2026363036308500005,2026-02-09,,1,영업/정상,20,정상,,,,,,,,광주광역시 광산구 비아동 ***-**,"광주광역시 광산구 비아로**번길 **, *층 (비아동)",62237,어반스케치,2026-02-09 11:19:52,I,2026-02-11 00:20:41,,183519.854369591,191277.106490028,옥외광고물 제작,,어반스케치_광주광역시광산구비아동***-**
113,옥외광고업,04_15_01_P,3420000,2026342017808500004,2026-02-09,,1,영업/정상,20,정상,,,,,,,,,"대구광역시 동구 동부로**길 **, *층 (신천동)",41248,지아이웍스,2026-02-09 15:30:49,I,2026-02-11 00:20:41,,347060.280253095,264718.210114203,,,지아이웍스_
122,옥외광고업,04_15_01_P,4781000,2018478007608500001,2026-02-09,,1,영업/정상,20,정상,,,,,,,,전북특별자치도 고창군 고수면 봉산리 **-*,전북특별자치도 고창군 고수면 고수농공단지길 **,56444,유한회사 티앤디,2026-02-09 10:57:17,U,2026-02-11 02:40:00,,171170.287347912,213564.9720576,간판 및 광고물,,유한회사티앤디_전북특별자치도고창군고수면봉산리**-*
126,옥외광고업,04_15_01_P,3590000,2026359023808500003,2026-02-09,,1,영업/정상,20,정상,,,,,,,,광주광역시 동구 금동 **-*,"광주광역시 동구 백서로***번길 **, *층 (금동)",61488,더원인쇄기획,2026-02-10 09:15:41,I,2026-02-12 00:20:02,,192447.4134163,182746.621883298,옥외광고업,,더원인쇄기획_광주광역시동구금동**-*
187,옥외광고업,04_15_01_P,3480000,2020348032408500004,2026-02-09,,1,영업/정상,20,정상,,,,,,,,대구광역시 달성군 현풍읍 중리 ***,대구광역시 달성군 현풍읍 테크노대로 ** (주)진명아이앤씨,43020,(주)진명아이앤씨,2026-02-13 11:49:12,U,2026-02-15 02:40:00,,331396.246124725,244167.011257552,옥외광고업,,(주)진명아이앤씨_대구광역시달성군현풍읍중리***
111,옥외광고업,04_15_01_P,5710000,2026571028608500002,2026-02-09,,1,영업/정상,20,정상,,,,,,,,충청북도 청주시 상당구 북문로*가 *** 청주행정타운 코아루휴티스,"충청북도 청주시 상당구 중앙로 **, 업무시설동 *층 **호 (북문로*가, 청주행정타운 코아루휴티스)",28542,주식회사 극동개발,2026-02-09 14:26:23,I,2026-02-11 00:20:41,,243642.528737489,349337.008991526,옥외광고업,,주식회사극동개발_충청북도청주시상당구북문로*가***청주행정타운코아루휴티스
110,옥외광고업,04_15_01_P,3990000,2026399052208500003,2026-02-09,,1,영업/정상,20,정상,,,,,,,,경기도 남양주시 일패동 ***-** *층,"경기도 남양주시 경춘로 ***, *층 (일패동)",12242,문화네온,2026-02-09 17:55:24,I,2026-02-11 00:20:41,,216515.481782416,457944.918069532,네온 및 옥외광고물 제작 시공,,문화네온_경기도남양주시일패동***-***층
109,옥외광고업,04_15_01_P,3990000,2026399052208500002,2026-02-09,,1,영업/정상,20,정상,,,,,0222786692,,,경기도 남양주시 오남읍 양지리 ***-*,경기도 남양주시 오남읍 양지로대대울*길 *-*,12047,한솔기업,2026-02-09 16:44:56,I,2026-02-11 00:20:41,,216487.151782377,466566.727295085,"옥외광고업, 장식물가공, 판촉물",,한솔기업_경기도남양주시오남읍양지리***-*
124,옥외광고업,04_15_01_P,3130000,2021313023308500001,2026-02-09,,1,영업/정상,20,정상,,,,,,,,서울특별시 마포구 동교동 ***-**,서울특별시 마포구 동교로**길 **-* (동교동),03992,(주)경림이앤지,2026-02-09 15:28:28,U,2026-02-11 02:40:00,,192886.297941387,450591.686227687,"옥외광고업, 간판 제작",,(주)경림이앤지_서울특별시마포구동교동***-**
168,옥외광고업,04_15_01_P,4030000,2026403027308500001,2026-02-09,,1,영업/정상,20,정상,,,,,,,,경기도 의왕시 내손동 ***-*,"경기도 의왕시 계원대학로 **, *층 ***호 (내손동)",16039,(주)온기획,2026-02-12 13:11:06,U,2026-02-14 02:40:00,,197546.884964827,430810.742546668,"인쇄업, 광고업",,(주)온기획_경기도의왕시내손동***-*
92,옥외광고업,04_15_01_P,5540000,2026554034108500004,2026-02-06,,1,영업/정상,20,정상,,,,,07071077350,,,경기도 광주시 능평동 ***-*,"경기도 광주시 능평로 ***, ***호 (능평동)",12773,현대플랜,2026-02-06 13:03:49,I,2026-02-08 00:20:01,,,,"간판, 현수막 제작 시공",,현대플랜_경기도광주시능평동***-*
93,옥외광고업,04_15_01_P,3930000,2026393050008500002,2026-02-06,,1,영업/정상,20,정상,,,,,,,,,"경기도 안산시 단원구 원포공원*로 **, 키즈타워* ***호 (초지동)",15455,기막힌간판,2026-02-06 11:25:23,I,2026-02-08 00:20:01,,183120.067370172,422382.013647671,"간판 및 광고물 제조, 설치",,기막힌간판_
