번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),의료기관종별명,의료인수,입원실수,병상수,총면적,진료과목내용,진료과목내용명,지정취소일자,완화의료지정형태,완화의료담당부서명,구급차특수,구급차일반,총인원,구조사수,허가병상수,최초지정일자,Unnamed: 44,record_key
1931,의원,01_01_02_P,4140000,PHMA120264140020041100001,2026-02-10,,1,영업/정상,13,영업중,,,,,031-833-0223,,,경기도 연천군 전곡읍 전곡리 480-35 영도프라자,"경기도 연천군 전곡읍 전곡로161번길 9, 1층 103호 (영도프라자)",11028.0,전곡조은신경외과의원,2026-02-10 16:47:41,I,2026-02-12 00:20:02,의원,205839.648871044,502601.701418297,의원,1,1,2,574.93,120 109 106 105 101,"내과, 정형외과, 신경외과, 마취통증의학과, 재활의학과",,,,0,0,,,0,,,전곡조은신경외과의원_경기도연천군전곡읍전곡리480-35영도프라자
1928,의원,01_01_02_P,3050000,PHMA120263050034041100004,2026-02-10,,1,영업/정상,13,영업중,,,,,02-6080-7575,,,서울특별시 동대문구 이문동 149-8,"서울특별시 동대문구 이문로 120, 아이파크자이상가 2층 A203~A208호 (이문동)",2418.0,이문센트럴정형외과의원,2026-02-10 10:18:45,I,2026-02-12 00:20:02,의원,205541.211931615,455132.605075423,의원,1,0,0,427.37,120 109 106 105,"정형외과, 신경외과, 마취통증의학과, 재활의학과",,,,0,0,,,0,,,이문센트럴정형외과의원_서울특별시동대문구이문동149-8
2334,의원,01_01_02_P,4490000,PHMA120264490261041100004,2026-02-10,,1,영업/정상,13,영업중,,,,,041-414-7011,,,충청남도 천안시 서북구 차암동 436,"충청남도 천안시 서북구 3공단6로 58-5, 3층 306,307호 (차암동)",31085.0,연세바른의원,2026-02-12 21:43:26,U,2026-02-14 02:40:00,의원,209278.223555319,371096.879241281,의원,1,0,0,174.29,122 113 101,"내과, 이비인후과, 가정의학과",,,,0,0,,,0,,,연세바른의원_충청남도천안시서북구차암동436
1930,의원,01_01_02_P,3550000,PHMA120263550020041100001,2026-02-10,,1,영업/정상,13,영업중,,,,,032-555-2275,,,인천광역시 계양구 계산동 987-19,"인천광역시 계양구 계양대로 149, 4층 (계산동)",21045.0,계산으뜸치과의원,2026-02-10 13:06:14,I,2026-02-12 00:20:02,치과의원,175378.801629068,448371.541288546,치과의원,1,0,0,313.18,412 411 410 409 408 407 406 405 404 403 402,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과, 통합치의학과",,,,0,0,,,0,,,계산으뜸치과의원_인천광역시계양구계산동987-19
2987,의원,01_01_02_P,3210000,PHMA120263210034041100019,2026-02-10,,1,영업/정상,13,영업중,,,,,02-2135-9922,,,서울특별시 서초구 방배동 1549 방배동예다인프라자빌딩,"서울특별시 서초구 동작대로 118, 방배동예다인프라자빌딩 602,603호 (방배동)",6568.0,미나산부인과의원,2026-02-13 04:13:19,U,2026-02-15 02:40:00,의원,198387.623421253,442756.849171671,의원,1,0,0,142.0,110,산부인과,,,,0,0,,,0,,,미나산부인과의원_서울특별시서초구방배동1549방배동예다인프라자빌딩
2024,의원,01_01_02_P,3400000,PHMA120263400013041100002,2026-02-10,,1,영업/정상,13,영업중,,,,,0515164400,,,부산광역시 기장군 정관읍 매학리 713-6 정관제일타워Ⅱ,"부산광역시 기장군 정관읍 정관로 575-3, 정관제일타워Ⅱ 5층 501호",46015.0,균하한의원,2026-02-12 20:43:34,I,2026-02-14 00:20:02,한의원,397873.681666722,204631.530938287,한의원,1,0,0,158.4,308 306 305 304 303 302 301,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 침구과",,,,0,0,,,0,,,균하한의원_부산광역시기장군정관읍매학리713-6정관제일타워Ⅱ
2019,의원,01_01_02_P,3290000,PHMA120263290024041100005,2026-02-10,,1,영업/정상,13,영업중,,,,,051-951-0001,,,부산광역시 부산진구 부전동 262-14,"부산광역시 부산진구 새싹로14번길 14, 3층 302호 (부전동)",47254.0,서면365정형외과의원,2026-02-12 16:55:38,I,2026-02-14 00:20:02,의원,387502.193407594,186419.186053557,의원,1,0,0,390.7,120 109 106 105,"정형외과, 신경외과, 마취통증의학과, 재활의학과",,,,0,0,,,0,,,서면365정형외과의원_부산광역시부산진구부전동262-14
1878,의원,01_01_02_P,3150000,PHMA120263150037041100002,2026-02-09,,1,영업/정상,13,영업중,,,,,0226627700,,,서울특별시 강서구 마곡동 739-3 에스비타운,"서울특별시 강서구 마곡중앙5로 81, 에스비타운 307호 (마곡동)",7599.0,마곡성모정신건강의학과의원,2026-02-09 16:43:14,I,2026-02-11 00:20:41,의원,183902.043509212,451664.251457054,의원,1,0,0,120.99,103,정신건강의학과,,,,0,0,,,0,,,마곡성모정신건강의학과의원_서울특별시강서구마곡동739-3에스비타운
2494,의원,01_01_02_P,3290000,PHMA120263290024041100006,2026-02-09,,1,영업/정상,13,영업중,,,,,051-711-3753,,,부산광역시 부산진구 부전동 257-3 아이온시티빌딩,"부산광역시 부산진구 서면로 74, 아이온시티빌딩 402호 (부전동)",47286.0,부산서면 끗한의원,2026-02-13 16:17:37,I,2026-02-15 00:20:02,한의원,387469.584540928,186168.671007785,한의원,2,0,0,330.58,308 307 306 305 304 303 302 301,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,,부산서면끗한의원_부산광역시부산진구부전동257-3아이온시티빌딩
2039,의원,01_01_02_P,3230000,PHMA120263230034041100006,2026-02-09,,1,영업/정상,13,영업중,,,,,02-6954-7577,,,서울특별시 송파구 문정동 642-3 문정역SKV1,"서울특별시 송파구 법원로 128, 문정역SKV1 C동 3층 309호 (문정동)",5854.0,다시봄정신건강의학과의원,2026-02-12 20:43:22,U,2026-02-14 02:40:00,의원,,,의원,2,0,0,130.06,103,정신건강의학과,,,,0,0,,,0,,,다시봄정신건강의학과의원_서울특별시송파구문정동642-3문정역SKV1
3189,의원,01_01_02_P,4010000,PHMA120264010281041100003,2026-02-09,,1,영업/정상,13,영업중,,,,,031-520-2882,,,경기도 시흥시 신천동 710-3 종산타워,"경기도 시흥시 수인로 3350, 종산타워 3~5층 (신천동)",14910.0,서울안심치과의원,2026-02-13 01:13:24,U,2026-02-15 02:40:00,치과의원,181045.256941288,437577.700152412,치과의원,1,0,0,499.99,412 411 410 409 408 407 406 405 404 403 402,"구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 구강병리과, 예방치과, 통합치의학과",,,,0,0,,,0,,,서울안심치과의원_경기도시흥시신천동710-3종산타워
1879,의원,01_01_02_P,3150000,PHMA120263150037041100003,2026-02-09,,1,영업/정상,13,영업중,,,,,02-2698-8880,,,서울특별시 강서구 화곡동 1067-19 상원빌딩,"서울특별시 강서구 화곡로 135, 상원빌딩 301, 401호 (화곡동)",7712.0,김정재탑내과의원,2026-02-09 16:57:37,I,2026-02-11 00:20:41,의원,185495.78820009,448753.188261092,의원,1,0,0,260.87,101,내과,,,,0,0,,,0,,,김정재탑내과의원_서울특별시강서구화곡동1067-19상원빌딩
2488,의원,01_01_02_P,3830000,PHMA120263830262041100002,2026-02-09,,1,영업/정상,13,영업중,,,,,031-465-1005,,,경기도 안양시 만안구 박달동 105-3,"경기도 안양시 만안구 박달로 485, 2, 3층 (박달동)",13983.0,365연세튼튼재활의학과의원,2026-02-13 19:36:45,I,2026-02-15 00:20:02,의원,,,의원,1,0,0,383.97,120 109 106 105,"정형외과, 신경외과, 마취통증의학과, 재활의학과",,,,0,0,,,0,,,365연세튼튼재활의학과의원_경기도안양시만안구박달동105-3
2063,의원,01_01_02_P,3220000,PHMA120263220033041100023,2026-02-09,,1,영업/정상,13,영업중,,,,,02-6228-0506,,,서울특별시 강남구 논현동 235-11 센트럴타워,"서울특별시 강남구 봉은사로 213, 센트럴타워 5층 (논현동)",6109.0,비에이한의원,2026-02-12 14:15:46,U,2026-02-14 02:40:00,한의원,203057.829697832,445092.183424792,한의원,1,0,0,182.08,308 307 306 305 304 303 302 301,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,,비에이한의원_서울특별시강남구논현동235-11센트럴타워
1880,의원,01_01_02_P,4681000,PHMA120264681049041100001,2026-02-09,,1,영업/정상,13,영업중,,,,,063-722-2275,,,전북특별자치도 익산시 영등동 837-1,"전북특별자치도 익산시 무왕로 1069, 2층 (영등동)",54545.0,서울니어치과의원,2026-02-09 17:30:42,I,2026-02-11 00:20:41,치과의원,197716.748023958,273161.830931432,치과의원,1,0,0,485.94,412 404,"치과교정과, 통합치의학과",,,,0,0,,,0,,,서울니어치과의원_전북특별자치도익산시영등동837-1
2570,의원,01_01_02_P,3080000,PHMA120263080033041100002,2026-02-09,,1,영업/정상,13,영업중,,,,,02-6081-0075,,,서울특별시 강북구 번동 106-2 지하1층,"서울특별시 강북구 월계로 187, 지하1층 (번동)",1231.0,번동돌봄한의원,2026-02-13 03:13:18,U,2026-02-15 02:40:00,한의원,203920.882629874,457621.198120537,한의원,2,0,0,77.0,308 307 306 305 304 303 302 301,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,,번동돌봄한의원_서울특별시강북구번동106-2지하1층
2041,의원,01_01_02_P,3460000,PHMA120263460023041100005,2026-02-08,,1,영업/정상,13,영업중,,,,,053-753-8773,,,대구광역시 수성구 범어동 197-1,"대구광역시 수성구 달구벌대로 2466, 2층 (범어동)",42087.0,티나는한의원,2026-02-12 23:13:19,U,2026-02-14 02:40:00,한의원,347378.917763651,263271.895679964,한의원,1,0,0,89.3,308 307 306 305 304 303 302 301,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,,티나는한의원_대구광역시수성구범어동197-1
2989,의원,01_01_02_P,5310000,PHMA120265310029041100001,2026-02-06,,1,영업/정상,13,영업중,,,,,055-920-8000,,,경상남도 진주시 가좌동 637-7,"경상남도 진주시 진주대로 594, 2층 (가좌동)",52820.0,유하지의원,2026-02-13 01:13:22,U,2026-02-15 02:40:00,의원,300864.499925506,185068.039042474,의원,1,1,3,203.29,126 122 120 116 115 114 111 109 108 106 105 104 102 101,"내과, 신경과, 외과, 정형외과, 신경외과, 성형외과, 마취통증의학과, 소아청소년과, 피부과, 비뇨의학과, 영상의학과, 재활의학과, 가정의학과, 예방의학과",,,,0,0,,,0,,,유하지의원_경상남도진주시가좌동637-7
2875,의원,01_01_02_P,3010000,PHMA120263010033041100011,2026-02-06,,1,영업/정상,13,영업중,,,,,02-310-9968,,,서울특별시 중구 충무로2가 66-27 이화빌딩(명동),"서울특별시 중구 명동8가길 11, 이화빌딩(명동) 5~6층 (충무로2가)",4536.0,명동비엘에스의원,2026-02-13 02:43:14,U,2026-02-15 02:40:00,의원,198665.054831863,451059.770866155,의원,1,0,0,921.7,114 122 109,"마취통증의학과, 피부과, 가정의학과",,,,0,0,,,0,,,명동비엘에스의원_서울특별시중구충무로2가66-27이화빌딩(명동)
2990,의원,01_01_02_P,3050000,PHMA120263050034041100002,2026-02-06,,1,영업/정상,13,영업중,,,,,02-6337-2727,,,서울특별시 동대문구 이문동 149-8,"서울특별시 동대문구 이문로 120, 아이파크자이상가 2층 A217호 (이문동)",2418.0,이문서울이비인후과의원,2026-02-13 04:13:16,U,2026-02-15 02:40:00,의원,205541.211931615,455132.605075423,의원,1,0,0,124.5,122 113 111 101,"내과, 소아청소년과, 이비인후과, 가정의학과",,,,0,0,,,0,,,이문서울이비인후과의원_서울특별시동대문구이문동149-8
2561,의원,01_01_02_P,3220000,PHMA120263220033041100022,2026-02-06,,1,영업/정상,13,영업중,,,,,02-567-2633,,,서울특별시 강남구 역삼동 822-1,"서울특별시 강남구 테헤란로 105, 10층 (역삼동)",6134.0,테라피부과의원,2026-02-13 04:13:45,U,2026-02-15 02:40:00,의원,202451.518293114,444050.818730175,의원,1,0,0,217.92,114,피부과,,,,0,0,,,0,,,테라피부과의원_서울특별시강남구역삼동822-1
2490,의원,01_01_02_P,3100000,PHMA120263100034041100002,2026-02-06,,1,영업/정상,13,영업중,,,,,0262420550,,,서울특별시 노원구 상계동 724 근호빌딩,"서울특별시 노원구 노해로 488, 근호빌딩 8층 (상계동)",1751.0,사암당한의원,2026-02-13 16:08:00,I,2026-02-15 00:20:02,한의원,205415.542386681,461328.596334115,한의원,1,0,0,346.5,308 307 306 305 304 303 302 301,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,,사암당한의원_서울특별시노원구상계동724근호빌딩
2991,의원,01_01_02_P,3050000,PHMA120263050034041100003,2026-02-06,,1,영업/정상,13,영업중,,,,,02-2088-5504,,,서울특별시 동대문구 이문동 149-8,"서울특별시 동대문구 이문로 120, 아이파크자이상가 3층 B306호 (이문동)",2418.0,미리내한의원,2026-02-13 02:43:17,U,2026-02-15 02:40:00,한의원,205541.211931615,455132.605075423,한의원,1,0,0,79.6,308 307 306 305 304 303 302 301,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,,미리내한의원_서울특별시동대문구이문동149-8
2874,의원,01_01_02_P,3210000,PHMA120263210034041100018,2026-02-06,,1,영업/정상,13,영업중,,,,,02-535-7582,,,서울특별시 서초구 잠원동 69-2 반포쇼핑타운,"서울특별시 서초구 신반포로 189, 반포쇼핑타운 4동 3층 1~3호 (잠원동)",6512.0,반포리움성형외과의원,2026-02-13 03:13:29,U,2026-02-15 02:40:00,의원,200346.774647604,444921.730152911,의원,1,0,0,109.88,114 108,"성형외과, 피부과",,,,0,0,,,0,,,반포리움성형외과의원_서울특별시서초구잠원동69-2반포쇼핑타운
1035,의원,01_01_02_P,3540000,PHMA120263540021041100002,2026-02-06,,1,영업/정상,13,영업중,,,,,032-511-9739,,,인천광역시 부평구 갈산동 361-4 대동아파트 상가동 201호,"인천광역시 부평구 주부토로 193, 상가동 2층 201호 (갈산동, 대동아파트)",21332.0,상정한의원,2026-02-06 17:36:24,I,2026-02-08 00:20:01,한의원,175574.369283876,445603.688666197,한의원,1,0,0,153.84,308 307 306 305 304 303 302 301,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",,,,0,0,,,0,,,상정한의원_인천광역시부평구갈산동361-4대동아파트상가동201호
2263,의원,01_01_02_P,3300000,PHMA120263300024041100004,2026-02-06,,1,영업/정상,13,영업중,,,,,051-934-6000,,,부산광역시 동래구 수안동 275-18,"부산광역시 동래구 충렬대로 251, 3~4층 (수안동)",47813.0,동래바른신경외과의원,2026-02-12 21:43:13,U,2026-02-14 02:40:00,의원,389978.585428575,191126.688400845,의원,1,0,0,427.3,120 109 106 105,"정형외과, 신경외과, 마취통증의학과, 재활의학과",,,,0,0,,,0,,,동래바른신경외과의원_부산광역시동래구수안동275-18
1775,의원,01_01_02_P,3160000,PHMA120133160034041100009,2026-02-05,,1,영업/정상,13,영업중,,,,,02-2681-3311,,,서울특별시 구로구 고척동 350 고척아이파크,"서울특별시 구로구 중앙로5길 59, 상가동 1층 111호 (고척동, 고척아이파크)",8225.0,삼성키즈소아청소년과의원,2026-02-06 10:17:16,U,2026-02-08 02:40:00,의원,187496.6615847,444277.066462678,의원,1,0,0,103.6,101 113 111,"내과, 소아청소년과, 이비인후과",,,,0,0,,,0,,,삼성키즈소아청소년과의원_서울특별시구로구고척동350고척아이파크
2873,의원,01_01_02_P,5530000,PHMA120265530658041100001,2026-02-05,,1,영업/정상,13,영업중,,,,,031-831-3731,,,경기도 화성시 만세구 향남읍 하길리 1472-1,"경기도 화성시 만세구 향남읍 상신하길로298번길 7-5, 301~304호",18611.0,모두튼튼365의원 향남점,2026-02-13 00:15:19,U,2026-02-15 02:40:00,의원,191967.15210832,401507.953737126,의원,1,0,0,366.2,120 109 106 105,"정형외과, 신경외과, 마취통증의학과, 재활의학과",,,,0,0,,,0,,,모두튼튼365의원향남점_경기도화성시만세구향남읍하길리1472-1
2018,의원,01_01_02_P,3050000,PHMA120263050034041100007,2026-02-05,,1,영업/정상,13,영업중,,,,,02-963-8899,,,서울특별시 동대문구 제기동 635-19,"서울특별시 동대문구 왕산로 181, 2층 202호 (제기동)",2572.0,청량리성모내과의원,2026-02-12 13:11:58,I,2026-02-14 00:20:02,의원,203744.690938687,453063.705390699,의원,1,0,0,336.4,101,내과,,,,0,0,,,0,,,청량리성모내과의원_서울특별시동대문구제기동635-19
2017,의원,01_01_02_P,3050000,PHMA120263050034041100006,2026-02-05,,1,영업/정상,13,영업중,,,,,02-6953-1285,,,서울특별시 동대문구 제기동 635-19,"서울특별시 동대문구 왕산로 181, 1층 102호 (제기동)",2572.0,서울청명안과의원,2026-02-12 13:06:41,I,2026-02-14 00:20:02,의원,203744.690938687,453063.705390699,의원,1,1,2,383.09,112,안과,,,,0,0,,,0,,,서울청명안과의원_서울특별시동대문구제기동635-19
540,의원,01_01_02_P,4641000,PHMA120264641062041100002,2026-02-05,,1,영업/정상,13,영업중,,,,,063-245-7775,,,전북특별자치도 전주시 덕진구 우아동3가 746-30,"전북특별자치도 전주시 덕진구 백제대로 813, 3층 (우아동3가)",54908.0,전주스타피부과의원,2026-02-05 18:03:13,I,2026-02-07 00:20:02,의원,214129.020796109,260944.758639255,의원,1,0,0,227.79,114,피부과,,,,0,0,,,0,,,전주스타피부과의원_전북특별자치도전주시덕진구우아동3가746-30
