"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"16","수영장업","10_35_01_P","5690000","CDFH3301012023000001","2023-11-16","","01","영업/정상","13","영업중","","","","","0444149411","","","세종특별자치시 대평동 680 해피라움 페스타","세종특별자치시 대평3길 17, 해피라움 페스타 지하1층 CB102~107호 (대평동)","30152","(주)썬리츠","2026-02-10 18:37:32","U","2026-02-12 02:40:00","","224606.59140441","330200.778877227","수영장업","사립","Y","1","0","102271.39","0","","",
"17","수영장업","10_35_01_P","3990000","CDFH3301012019000004","2019-11-14","","03","폐업","03","폐업","2024-07-01","","","","0315942345","","","경기도 남양주시 호평동 231-1","경기도 남양주시 천마산로 21, 지하1층 (호평동)","12141","씨몬 어린이 수영장","2026-02-11 10:49:28","U","2026-02-13 02:40:00","","221765.222594362","462375.51600982","수영장업","사립","","2","0","0","0","","",
"18","수영장업","10_35_01_P","4231000","CDFH3301012024000001","2024-05-29","","01","영업/정상","13","영업중","","","","","033-638-8888","","","강원특별자치도 속초시 대포동 937","강원특별자치도 속초시 대포항희망길 120, 카시아속초 4층 (대포동)","24901","Cassia Sokcho Pool","2026-02-11 12:25:35","U","2026-02-13 02:40:00","","341006.503840998","520449.969876936","수영장업","사립","Y","1","0","4208.6","0","","",
"19","수영장업","10_35_01_P","6520000","CDFH3301012023000001","2023-01-16","","01","영업/정상","13","영업중","","","","","","","","제주특별자치도 서귀포시 색달동 3039-1","제주특별자치도 서귀포시 중문관광로72번길 100, 1층 (색달동)","63535","파르나스 호텔 제주 에스츄어리","2026-02-11 10:59:15","U","2026-02-13 02:40:00","","144526.980069587","-27679.2210345386","수영장업","사립","","2","0","11124.23","0","","",
"20","수영장업","10_35_01_P","3210000","CDFH3301012002000002","2002-07-10","","02","휴업","02","휴업","","2022-01-01","2027-02-28","","3019-8132","","137-825","서울특별시 서초구 방배동 630","서울특별시 서초구 남부순환로 2248 (방배동)","","서울특별시교육청 교육연수원","2026-02-12 15:25:01","U","2026-02-14 02:40:00","","199693.06999443","441141.610110838","수영장업","사립","Y","0","0","0","0","","",
"21","수영장업","10_35_01_P","3420000","CDFH3301012024000001","2024-12-19","","01","영업/정상","13","영업중","","","","","053-962-7600","","","대구광역시 동구 각산동 1174 대구혁신도시 복합혁신센터","대구광역시 동구 이노밸리로 180, 대구혁신도시 복합혁신센터 (각산동)","41067","대구복합혁신센터","2026-02-12 11:01:06","U","2026-02-14 02:40:00","","354962.486395059","265609.521430758","수영장업","사립","","2","0","6982.36","0","","",
"22","수영장업","10_35_01_P","4170000","CDFH3301012026000001","2026-02-13","","01","영업/정상","13","영업중","","","","","031-771-0224","","","경기도 양평군 양평읍 도곡리 1031","경기도 양평군 양평읍 종합운동장로 5, 양평군체육센터","12564","양평군체육센터","2026-02-13 13:10:51","I","2026-02-15 00:20:02","","246199.575511166","443244.787482896","수영장업","사립","","2","1","8245.02","0","","",
"23","수영장업","10_35_01_P","3860000","CDFH3301012026000002","2026-02-13","","01","영업/정상","13","영업중","","","","","032-684-1009","","","경기도 부천시 오정구 여월동 44-75 콜라보랩","경기도 부천시 오정구 성곡로 39, 콜라보랩 지하1층 (여월동)","14484","그린카메 수영장","2026-02-13 11:19:51","I","2026-02-15 00:20:02","","182214.27912311","446183.373966861","수영장업","사립","","1","0","0","0","","",
"24","수영장업","10_35_01_P","6520000","CDFH3301012007000001","2007-05-30","","01","영업/정상","13","영업중","","","","","780-8221","","699-914","제주특별자치도 서귀포시 표선면 표선리 40-69","제주특별자치도 서귀포시 표선면 민속해안로 537","","해비치리조트 야외수영장","2026-02-13 11:33:54","U","2026-02-15 02:40:00","","185469.623691025","-19182.3494617918","수영장업","사립","Y","0","0","0","0","","",
"25","수영장업","10_35_01_P","6520000","CDFH3301012007000002","2007-06-29","","01","영업/정상","13","영업중","","","","","","","699-914","제주특별자치도 서귀포시 표선면 표선리 40-69","제주특별자치도 서귀포시 표선면 민속해안로 537","","해비치호텔앤리조트 야외 수영장","2026-02-13 11:29:37","U","2026-02-15 02:40:00","","185469.623691025","-19182.3494617918","수영장업","사립","Y","0","0","0","0","","",
