"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","자본금","거래처",
"20","석유판매업","09_28_08_P","5080000","2006508013301500008","2006-07-06","","01","영업/정상","07","영업개시","","","","","054 473 5775","595","","경상북도 구미시 산동읍 인덕리 870-1","경상북도 구미시 산동면 강동로 962","","산동주유소","2026-04-02 09:26:50","U","2026-04-04 02:40:00","주유소","329660.311679135","297284.33125206","","",
"21","석유판매업","09_28_08_P","5080000","2008508013301500006","2008-11-11","","01","영업/정상","07","영업개시","","","","","054 476 8701","1074","","경상북도 구미시 도개면 도개리 1007-14","경상북도 구미시 도개면 낙동대로 3330","","해평농협도개주유소","2026-04-02 09:28:29","U","2026-04-04 02:40:00","주유소","320342.800777709","310815.755931892","","",
"22","석유판매업","09_28_08_P","5130000","2026513018001500013","2026-03-11","","01","영업/정상","07","영업개시","","","","","","1619","","경상북도 경산시 자인면 계림리 71-1","경상북도 경산시 자인면 일연로 356","38546","독도사랑주유소27","2026-04-02 09:56:13","U","2026-04-04 02:40:00","주유소","363300.127409507","261647.284625102","","",
"23","석유판매업","09_28_08_P","5240000","1994524000801500021","1994-11-21","","01","영업/정상","01","신규등록","","","","","054 6722184","","","경상북도 봉화군 물야면 오록리 431-2","경상북도 봉화군 물야면 오록길 2","","물야농협주유소","2026-04-02 15:21:06","U","2026-04-04 02:40:00","주유소","354481.596975537","387510.714699848","","",
"24","석유판매업","09_28_08_P","3060000","2002306007501500003","2006-08-01","","01","영업/정상","07","영업개시","","","","","02  22070523","933","","서울특별시 중랑구 신내동 352","서울특별시 중랑구 용마산로 705 (신내동)","","신내주유소","2026-04-02 10:33:31","U","2026-04-04 02:40:00","주유소","208848.343319635","456872.358630437","","",
"25","석유판매업","09_28_08_P","5670000","2000528000001500037","1992-03-25","","01","영업/정상","01","신규등록","","","","","055 222 0069","1200","","경상남도 창원시 마산합포구 자산동 29-19","경상남도 창원시 마산합포구 무학로 398 (자산동)","","(주)지오에너지 울트라주유소","2026-04-02 16:46:59","U","2026-04-04 02:40:00","주유소","342007.259363223","190616.648672168","","",
"26","석유판매업","09_28_08_P","5670000","2000528000001500042","1993-02-15","","01","영업/정상","06","휴지사업재개","","","","2025-04-23","055-221-5554","221.5","","경상남도 창원시 마산합포구 신포동2가 120-9","경상남도 창원시 마산합포구 해안대로 304 (신포동2가)","","독도사랑주유소10","2026-04-02 20:34:45","U","2026-04-04 02:40:00","주유소","343313.38145444","190059.026718051","","",
"27","석유판매업","09_28_08_P","5670000","1978528005701500002","1978-03-17","","01","영업/정상","06","휴지사업재개","","2019-03-01","2019-04-07","2019-04-08","055-243-3855","846.4","","경상남도 창원시 마산합포구 월남동1가 2-2","경상남도 창원시 마산합포구 3·15대로 89 (월남동1가)","","금성주유소","2026-04-02 20:37:50","U","2026-04-04 02:40:00","주유소","342171.269496329","188724.914627019","","",
"28","석유판매업","09_28_08_P","5710000","2014572500501500001","2014-12-31","","01","영업/정상","06","휴지사업재개","","","","2025-01-10","043-260-5151","1577","","충청북도 청주시 서원구 현도면 우록리 533-2","충청북도 청주시 서원구 현도면 청남로 711","","박카스주유소","2026-04-02 09:57:49","U","2026-04-04 02:40:00","주유소","238363.529806962","335333.93328176","","",
"29","석유판매업","09_28_08_P","3340000","1994334001701500003","1994-05-20","","01","영업/정상","01","신규등록","","","","","051 2655050","","","부산광역시 사하구 장림동 281-2","부산광역시 사하구 다대로 280 (장림동)","","대로주유소","2026-04-02 10:18:33","U","2026-04-04 02:40:00","주유소","380222.845286843","177154.933523472","","",
"30","석유판매업","09_28_08_P","5450000","2012545005601500001","2012-04-12","","01","영업/정상","07","영업개시","","","","","055 972 3399","645","","경상남도 산청군 생초면 하촌리 130-2","경상남도 산청군 생초면 경호로 553-3","","생초IC주유소","2026-04-02 13:13:37","U","2026-04-04 02:40:00","주유소","275197.224220871","221249.431441514","","",
"31","석유판매업","09_28_08_P","5080000","2022508028901500001","2022-08-29","","01","영업/정상","07","영업개시","","","","","054-474-4205","1286","","경상북도 구미시 해평면 낙성리 63-5","경상북도 구미시 해평면 강동로 1613","39155","해평농협주유소","2026-04-02 09:25:55","U","2026-04-04 02:40:00","주유소","325214.162859262","300227.415102156","","",
"32","석유판매업","09_28_08_P","3420000","1994342005801500064","1994-10-28","","03","폐업","03","폐지","2026-03-30","","","","053 9630184","870","","대구광역시 동구 괴전동 208-1","대구광역시 동구 안심로 483 (괴전동)","","송정주유소","2026-04-02 09:17:07","U","2026-04-04 02:40:00","주유소","356747.20929778","264992.059476724","","",
"33","석유판매업","09_28_08_P","3400000","2021340010901500001","2021-01-07","","01","영업/정상","07","영업개시","","","","","051 723 3461","753.3","","부산광역시 기장군 기장읍 서부리 429 월드주유소","부산광역시 기장군 기장읍 반송로 1559, 월드주유소","46058","월드주유소","2026-04-02 13:28:21","U","2026-04-04 02:40:00","주유소","401101.655236153","196595.916479778","","",
"34","석유판매업","09_28_08_P","4271000","2026427105001500001","2026-04-03","","01","영업/정상","01","신규등록","","","","","","294","","강원특별자치도 영월군 남면 창원리 1181","강원특별자치도 영월군 남면 영월로 124, 제가주유소","26218","제가주유소","2026-04-03 11:11:17","I","2026-04-05 00:20:22","주유소","319168.421357794","408095.638951222","","",
"35","석유판매업","09_28_08_P","4850000","2026485018501200001","2026-04-03","","01","영업/정상","01","신규등록","","","","","061-383-6650","","","전라남도 담양군 담양읍 천변리 475","전라남도 담양군 담양읍 천변5길 82","57348","담양농협협동조합","2026-04-03 13:28:37","I","2026-04-05 00:20:22","일반판매소","197592.040489643","201636.12700464","","",
"36","석유판매업","09_28_08_P","4490000","1991449013101500069","1991-04-19","","01","영업/정상","07","영업개시","","","","","041-561-9540","1653","","충청남도 천안시 동남구 병천면 송정리 376-3","충청남도 천안시 동남구 병천면 매봉로 244","","우리나라셀프","2026-04-03 14:44:29","U","2026-04-05 02:40:00","주유소","227759.369395735","360533.811295294","","",
"37","석유판매업","09_28_08_P","4201000","1997420000006100074","1997-09-11","","02","휴업","05","사업휴지","","2024-03-29","2025-03-28","","033  6454947","920","","강원특별자치도 강릉시 강동면 상시동리 21-3","강원특별자치도 강릉시 강동면 율곡로 2170","","무지개주유소","2026-04-03 17:53:12","U","2026-04-05 02:40:00","주유소","372572.350779828","471243.692557214","","",
"38","석유판매업","09_28_08_P","4181000","1994418001601500041","1994-01-31","","02","휴업","05","사업휴지","","2026-03-05","2027-03-04","","033 2628787","841","","강원특별자치도 춘천시 남산면 창촌리 147-18","강원특별자치도 춘천시 남산면 강촌로 395-1","24465","남산농협주유소","2026-04-03 10:38:38","U","2026-04-05 02:40:00","주유소","257053.65074051","476208.973340717","","",
"39","석유판매업","09_28_08_P","5120000","1995512001201200010","2002-08-05","","01","영업/정상","07","영업개시","","","","","054 571 5182","527","","경상북도 문경시 문경읍 하리 105-1","경상북도 문경시 문경읍 청운로 47","","문희주유소","2026-04-03 09:54:35","U","2026-04-05 02:40:00","주유소","298734.243985116","360055.883115041","","",
"40","석유판매업","09_28_08_P","5150000","2006515008701500005","2006-10-24","","01","영업/정상","01","신규등록","","","","","054 833 7775","861","","경상북도 의성군 봉양면 신평리 5","경상북도 의성군 봉양면 평기길 29-23","","분도주유소","2026-04-02 10:58:25","U","2026-04-05 02:40:00","주유소","341706.187477446","310550.503073377","","",
"41","석유판매업","09_28_08_P","3480000","2005348009501500002","2005-08-29","","01","영업/정상","01","신규등록","","","","","053 616 0777","1064","","대구광역시 달성군 현풍면 성하리 127-10","대구광역시 달성군 현풍면 논공로 66","","달성주유소","2026-04-03 16:50:47","U","2026-04-05 02:40:00","주유소","330376.297488504","246678.33714786","","",
"42","석유판매업","09_28_08_P","3480000","2010348029101500003","2010-08-20","","01","영업/정상","07","영업개시","","","","","","","","대구광역시 달성군 현풍읍 대리 598-1","대구광역시 달성군 현풍읍 국가산단북로 356","43008","동화주유소","2026-04-03 14:34:18","U","2026-04-05 02:40:00","주유소","329193.745175099","241551.038353906","","",
"43","석유판매업","09_28_08_P","3040000","2016304016501200001","2016-07-13","","01","영업/정상","07","영업개시","","","","","4685152","339.5","","서울특별시 광진구 중곡동 187-26 ㈜동화오일","서울특별시 광진구 동일로 438, ㈜동화오일 (중곡동)","04905","(주)동화오일","2026-04-03 10:50:29","U","2026-04-05 02:40:00","일반판매소","206971.027874234","451895.139121392","","",
"44","석유판매업","09_28_08_P","5000000","2004500005001500001","2004-07-07","","01","영업/정상","01","신규등록","","","","","061-543-8989","665","","전라남도 진도군 임회면 석교리 321","전라남도 진도군 임회면 진도대로 5838","","사거리주유소","2026-04-04 13:23:24","U","2026-04-06 02:40:00","주유소","125842.630606042","101446.748449066","","",
"45","석유판매업","09_28_08_P","5000000","2004500005001500002","2004-07-22","","01","영업/정상","01","신규등록","","","","","061-543-3256","1704","","전라남도 진도군 진도읍 쌍정리 167-1","전라남도 진도군 진도읍 남산로 130-48","","나라주유소","2026-04-04 13:22:26","U","2026-04-06 02:40:00","주유소","132709.382771639","109070.842290899","","",
"46","석유판매업","09_28_08_P","5000000","2004500005001500003","2004-08-12","","01","영업/정상","01","신규등록","","","","","061-542-5133","779","","전라남도 진도군 조도면 창유리 225-1","전라남도 진도군 조도면 조도대로 419","","서진도농협조도주유소","2026-04-04 13:21:44","U","2026-04-06 02:40:00","주유소","112517.429541271","89213.8577751677","","",
"47","석유판매업","09_28_08_P","5000000","2017500009101500001","2017-12-13","","01","영업/정상","07","영업개시","","","","","061-543-5430","1219","","전라남도 진도군 고군면 고성리 271-1","전라남도 진도군 고군면 오일시1길 82, 선진농협주유소","58909","선진농협주유소","2026-04-04 13:19:56","U","2026-04-06 02:40:00","주유소","137244.243714472","111945.281090705","","",
"48","석유판매업","09_28_08_P","5000000","1993500004501500010","2002-03-07","","01","영업/정상","07","영업개시","","2016-10-20","2017-02-20","","061-543-8228","979","","전라남도 진도군 의신면 돈지리 576-1","전라남도 진도군 의신면 돈지로 6","","진도농협의신지점주유소","2026-04-04 13:29:36","U","2026-04-06 02:40:00","주유소","133767.966461425","105097.829206988","","",
"49","석유판매업","09_28_08_P","5000000","1993500004501500011","1993-11-16","","01","영업/정상","01","신규등록","","","","","061-543-0700","1056","","전라남도 진도군 임회면 삼막리 238","전라남도 진도군 임회면 광석길 53","","서진도농협광석주유소","2026-04-04 13:28:45","U","2026-04-06 02:40:00","주유소","129341.824474666","103472.908954657","","",
"50","석유판매업","09_28_08_P","5000000","1994500004501500012","1994-04-02","","01","영업/정상","01","신규등록","","","","","061-542-2820","1472","","전라남도 진도군 군내면 둔전리 1844-9","전라남도 진도군 군내면 진도대로 7955","","금골산 주유소","2026-04-04 13:28:20","U","2026-04-06 02:40:00","주유소","135444.762195966","115662.37936909","","",
"51","석유판매업","09_28_08_P","5000000","1994500004501500013","1994-05-04","","01","영업/정상","01","신규등록","","","","","061-543-3651","1419","","전라남도 진도군 군내면 송산리 2-1","전라남도 진도군 군내면 송산길 124","","진고개 주유소","2026-04-04 13:27:54","U","2026-04-06 02:40:00","주유소","137208.134616204","113135.423992365","","",
"52","석유판매업","09_28_08_P","5000000","2008500005801500001","2008-06-18","","01","영업/정상","07","영업개시","","","","","061-542-8282","1490","","전라남도 진도군 진도읍 염장리 161","전라남도 진도군 진도읍 진도대로 6650","","하늘주유소","2026-04-04 13:20:48","U","2026-04-06 02:40:00","주유소","128727.527646912","106525.461012695","","",
"53","석유판매업","09_28_08_P","5000000","1995500004501500014","1995-02-04","","01","영업/정상","01","신규등록","","","","","061-544-5980","1480","","전라남도 진도군 의신면 침계리 878-6","전라남도 진도군 의신면 왕온로 22","","왕고개 주유소","2026-04-04 13:27:18","U","2026-04-06 02:40:00","주유소","133286.796335864","107979.548188019","","",
"54","석유판매업","09_28_08_P","5000000","1995500004501500015","1995-07-14","","01","영업/정상","01","신규등록","","","","","061-543-1146","928","","전라남도 진도군 고군면 지막리 1192","전라남도 진도군 고군면 진도대로 385","","덕천주유소","2026-04-04 13:26:14","U","2026-04-06 02:40:00","주유소","140301.859001277","110140.011147987","","",
"55","석유판매업","09_28_08_P","5000000","1997500004501500017","1997-03-26","","01","영업/정상","01","신규등록","","","","","061-544-5152","1993","","전라남도 진도군 진도읍 남동리 745-11","전라남도 진도군 진도읍 남동1길 31","","(유)신코끼리주유소","2026-04-04 13:25:37","U","2026-04-06 02:40:00","주유소","132116.168626949","109517.221256921","","",
"56","석유판매업","09_28_08_P","5000000","1998500004501500018","2001-02-13","","01","영업/정상","01","신규등록","","","","","061-544-4227","886","","전라남도 진도군 진도읍 동외리 1184-8","전라남도 진도군 진도읍 동외2길 2","","진도농협주유소","2026-04-04 13:25:03","U","2026-04-06 02:40:00","주유소","132747.506762373","109541.607686337","","",
"57","석유판매업","09_28_08_P","5000000","2002500004501500001","2002-09-10","","01","영업/정상","01","신규등록","","","","","061-544-2627","742","","전라남도 진도군 진도읍 동외리 289 1통","전라남도 진도군 진도읍 진도대로 7290","","수정주유소","2026-04-04 13:24:10","U","2026-04-06 02:40:00","주유소","133601.173176875","109848.929356783","","",
"58","석유판매업","09_28_08_P","5000000","2003500005001500001","2003-11-28","","01","영업/정상","01","신규등록","","","","","061-544-1234","844","","전라남도 진도군 진도읍 동외리 1039-4","전라남도 진도군 진도읍 동외1길 44","","바다주유소","2026-04-04 13:23:47","U","2026-04-06 02:40:00","주유소","133081.752793716","109611.971006035","","",
"59","석유판매업","09_28_08_P","5000000","2025500012101500001","2025-09-09","","01","영업/정상","01","신규등록","","","","","0615420152","2314","","전라남도 진도군 임회면 석교리 351-2 서진도농협","전라남도 진도군 임회면 십일시길 48, 서진도농협","58942","서진도농업협동조합","2026-04-04 13:19:06","U","2026-04-06 02:40:00","주유소","125720.415314978","101465.58303702","","",
"60","석유판매업","09_28_08_P","3940000","1992394005701500043","1992-12-07","","01","영업/정상","01","신규등록","","","","","031 914 8363","658","","경기도 고양시 일산서구 덕이동 862-3","경기도 고양시 일산서구 송산로 591 (덕이동)","","주식회사 라인에너지 덕이주유소","2026-04-05 09:29:44","U","2026-04-07 02:40:00","주유소","177185.608690717","465655.371991265","","",
"61","석유판매업","09_28_08_P","3480000","1983348000501500001","1983-03-17","","01","영업/정상","01","신규등록","","","","","053631 9708","","","대구광역시 달성군 화원읍 설화리 794-5","대구광역시 달성군 화원읍 성화로 107","","(주)우리주유소","2026-04-05 11:16:22","U","2026-04-07 02:40:00","주유소","333968.239079425","256289.224454842","","",
