"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","휴게실면적","사무실면적","탈의실면적","회원모집총인원","세부업종명","법인명",
"11","체력단련장업","10_42_01_P","3940000","CDFH3301062020000006","2020-04-03","","03","폐업","03","폐업","2026-04-01","","","","031-901-9685","110.88","","경기도 고양시 일산동구 백석동 1331-1 크리스탈빌딩","경기도 고양시 일산동구 장백로 56, 크리스탈빌딩 202호 (백석동)","10447","포유짐","2026-04-01 16:15:31","U","2026-04-03 02:40:00","","181115.903503155","460088.169930198","체력단련장업","사립","","1","0","0","0","0","0","0","","",
"12","체력단련장업","10_42_01_P","3110000","CDFH3301062023000001","2023-01-09","","01","영업/정상","13","영업중","","","","","02-6354-5354","225.68","","서울특별시 은평구 녹번동 35-75 녹번동오피스텔","서울특별시 은평구 통일로 633, 1층 (녹번동, 녹번동오피스텔)","03382","오늘피트니스","2026-04-01 11:36:30","U","2026-04-03 02:40:00","","194160.426069634","455653.229291073","체력단련장업","사립","","1","0","2289.25","0","0","0","0","","",
"13","체력단련장업","10_42_01_P","4671000","CDFH3301062016000002","2016-05-17","","01","영업/정상","13","영업중","","","","","063-467-0425","162.5","","전북특별자치도 군산시 지곡동 496-7","전북특별자치도 군산시 백토로 243 (지곡동, 사브리나)","54103","휴먼 앤 피트니스","2026-04-01 14:14:23","U","2026-04-03 02:40:00","","173252.964348123","273054.971561812","체력단련장업","사립","","2","1","0","0","0","0","0","","",
"14","체력단련장업","10_42_01_P","4671000","CDFH3301062007000001","2007-02-22","","02","휴업","02","휴업","","2026-03-23","2027-03-22","","063-911-5151","468.87","573-878","전북특별자치도 군산시 산북동 3540-1","전북특별자치도 군산시 동아로 155 (산북동)","","오렌지헬스&휘트니스","2026-04-01 14:17:53","U","2026-04-03 02:40:00","","171434.061878602","274343.292454497","체력단련장업","사립","","0","0","1751.03","0","7.26","61.32","0","","",
"15","체력단련장업","10_42_01_P","5670000","CDFH3301062017000010","2017-06-16","","01","영업/정상","13","영업중","","","","","055-552-7035","300","","","경상남도 창원시 진해구 용재로 18, 7층 (용원동, 뉴타운BD)","51605","에어짐","2026-04-01 11:21:04","U","2026-04-03 02:40:00","","365129.197309581","179585.729116624","체력단련장업","사립","","1","0","0","0","0","0","0","","",
"16","체력단련장업","10_42_01_P","4050000","CDFH3301062010000010","2010-05-28","","01","영업/정상","13","영업중","","","","","031-332-0222","479","449-833","경기도 용인시 처인구 이동읍 천리 231-1 2층","경기도 용인시 처인구 이동읍 백옥대로 603 (2층)","17128","보보스 휘트니스","2026-04-01 15:46:52","U","2026-04-03 02:40:00","","218250.316221038","409885.186138196","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"17","체력단련장업","10_42_01_P","4671000","CDFH3301062001000001","2001-09-04","","01","영업/정상","13","영업중","","","","","","448","573-869","전북특별자치도 군산시 나운동 795-2","전북특별자치도 군산시 대학로 316 (나운동)","","휴먼앤피트니스(나운점)","2026-04-01 14:12:20","U","2026-04-03 02:40:00","","172347.392754296","273980.931829327","체력단련장업","사립","","2","0","0","0","0","0","0","","",
"18","체력단련장업","10_42_01_P","3180000","CDFH3301062024000008","2024-05-31","","01","영업/정상","13","영업중","","","","","","279","","서울특별시 영등포구 대림동 784","서울특별시 영등포구 대림로 251 (대림동)","07377","포텐 휘트니스 신도림점","2026-04-01 19:42:39","U","2026-04-03 02:40:00","","190721.417931753","444571.769293729","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"19","체력단련장업","10_42_01_P","3220000","CDFH3301062026000012","2026-04-02","","01","영업/정상","13","영업중","","","","","","218.92","","서울특별시 강남구 개포동 1229 보성빌딩","서울특별시 강남구 논현로 90, 보성빌딩 지하1층 (개포동)","06307","지에이치 피트니스(GH FITNESS) 개포","2026-04-02 09:00:13","I","2026-04-04 00:20:02","","203917.234839195","441753.907610029","체력단련장업","사립","","1","0","0","0","0","0","0","","",
"20","체력단련장업","10_42_01_P","3220000","CDFH3301062026000013","2026-04-02","","01","영업/정상","13","영업중","","","","","","159.8","","서울특별시 강남구 역삼동 776-24","서울특별시 강남구 도곡로25길 31, 4층 (역삼동)","06227","리디파인 필라테스&PT 스튜디오","2026-04-02 15:34:02","I","2026-04-04 00:20:02","","203523.015225461","443616.946298692","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"21","체력단련장업","10_42_01_P","3220000","CDFH3301062026000014","2026-04-02","","01","영업/정상","13","영업중","","","","","","55.23","","서울특별시 강남구 대치동 1024 디마크 빌딩","서울특별시 강남구 도곡로 408, 디마크 빌딩 510호 (대치동)","06278","스트레치 유 케어(STRETCH U CARE)","2026-04-02 16:35:49","I","2026-04-04 00:20:02","","204817.246059361","443832.635074345","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"22","체력단련장업","10_42_01_P","5530000","CDFH3301062014000012","2014-12-04","","01","영업/정상","13","영업중","","","","","","292.54","445-160","경기도 화성시 동탄구 반송동 220-1","경기도 화성시 동탄구 동탄솔빛로 61, 5층 505,506호 (반송동, 훼미리빌딩)","18443","랩스휘트니스 동탄점 헬스 PT","2026-04-02 17:30:49","U","2026-04-04 02:40:00","","206480.547903872","410274.234347316","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"23","체력단련장업","10_42_01_P","5530000","CDFH3301062023000043","2023-12-11","","01","영업/정상","13","영업중","","","","","","403.29","","경기도 화성시 동탄구 석우동 24-9","경기도 화성시 동탄구 삼성1로1길 56, 2층 (석우동)","18449","도쿄 일렉트론 화성","2026-04-02 11:39:00","U","2026-04-04 02:40:00","","206205.1042398","413023.61362775","체력단련장업","사립","","2","0","0","0","0","0","0","","",
"24","체력단련장업","10_42_01_P","3330000","CDFH3301062023000013","2023-07-07","","01","영업/정상","13","영업중","","","","","","169.38","","부산광역시 해운대구 재송동 1096-4 3층","부산광역시 해운대구 해운대로161번길 5, 3층 (재송동)","48055","YOUNG PT","2026-04-02 16:02:32","U","2026-04-04 02:40:00","","393262.307760731","189193.111038248","체력단련장업","사립","","1","0","793.48","0","0","0","0","","",
"25","체력단련장업","10_42_01_P","3940000","CDFH3301062023000024","2023-06-21","","01","영업/정상","13","영업중","","","","","","312.72","","경기도 고양시 덕양구 행신동 766 Grand Hill, 2층 201~206호,207일부호","경기도 고양시 덕양구 소원로 107, Grand Hill 2층 201~206호,207일부호 (행신동)","10526","와이투짐 행신역점","2026-04-02 14:44:53","U","2026-04-04 02:40:00","","185361.605644549","456761.515636228","체력단련장업","사립","","2","0","0","0","0","0","0","","",
"26","체력단련장업","10_42_01_P","4211000","CDFH3301062021000001","2021-01-07","","01","영업/정상","13","영업중","","","","","","495.49","","강원특별자치도 동해시 천곡동 1061 골든타워12층","강원특별자치도 동해시 대학로 16, 골든타워 12층 (천곡동)","25768","엘루나짐(ELUNA GYM) 천곡점","2026-04-02 18:39:16","U","2026-04-04 02:40:00","","386777.564549742","448726.86736624","체력단련장업","사립","","2","1","8956.38","0","0","0","0","","",
"27","체력단련장업","10_42_01_P","3780000","CDFH3301062017000016","2017-11-08","","03","폐업","03","폐업","2026-04-01","","","","1688-1906","157","","경기도 성남시 분당구 서현동 260-6 웰빙프라자 401-2호","경기도 성남시 분당구 황새울로 337, 401-2호 (서현동)","13590","루다피티","2026-04-02 09:24:41","U","2026-04-04 02:40:00","","210771.522860865","431584.509140977","체력단련장업","사립","","1","0","0","0","0","0","0","","",
"28","체력단련장업","10_42_01_P","3860000","CDFH3301062020000015","2020-08-31","","03","폐업","03","폐업","2026-04-01","","","","032-668-4666","316.14","","경기도 부천시 소사구 심곡본동 663-10 나노테마타운","경기도 부천시 소사구 경인로216번길 27, 나노테마타운 4층 (심곡본동)","14713","와일드짐","2026-04-02 11:29:59","U","2026-04-04 02:40:00","","180442.112744006","442234.599832333","체력단련장업","사립","","2","0","0","0","0","0","0","","",
"29","체력단련장업","10_42_01_P","3060000","CDFH3301062005000001","2005-02-04","","01","영업/정상","13","영업중","","","","","02-435-8293-4","604.9","","서울특별시 중랑구 망우동 410-1 상아빌딩","서울특별시 중랑구 용마산로 494, 4층 (망우동)","02182","비바 휘트니스","2026-04-02 13:54:21","U","2026-04-04 02:40:00","","208781.999418607","454740.62692431","체력단련장업","사립","","0","1","5562.16","0","0","0","0","","",
"30","체력단련장업","10_42_01_P","3150000","CDFH3301062020000008","2020-04-08","","01","영업/정상","13","영업중","","","","","02-2065-3360","128.6","","서울특별시 강서구 화곡동 342-57 3층","서울특별시 강서구 강서로 36, 3층 (화곡동)","07760","커브스 까치산클럽","2026-04-02 09:12:01","U","2026-04-04 02:40:00","","186440.150407323","447669.834605985","체력단련장업","사립","","1","0","509.43","0","0","0","0","","",
"31","체력단련장업","10_42_01_P","3010000","CDFH3301062025000011","2025-11-14","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 신당동 348-135 광영빌딩","서울특별시 중구 동호로10길 21, 광영빌딩 7층 (신당동)","04590","짐더블유 PT 스튜디오","2026-04-02 11:01:20","U","2026-04-04 02:40:00","","200971.301073505","450297.873617696","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"32","체력단련장업","10_42_01_P","3420000","CDFH3301062022000021","2022-12-27","","01","영업/정상","13","영업중","","","","","","436","","대구광역시 동구 신암동 1186-2","대구광역시 동구 신암로 106-3, 3,4,5층 (신암동)","41200","퍼스널 피트니스 시작","2026-04-02 09:10:27","U","2026-04-04 02:40:00","","345436.262412054","265626.798215758","체력단련장업","사립","","2","0","968.84","0","0","0","0","","",
"33","체력단련장업","10_42_01_P","3670000","CDFH3301062022000015","2022-11-22","","01","영업/정상","13","영업중","","","","","","460.2","","대전광역시 유성구 봉명동 446-8 케이티온 유성타워","대전광역시 유성구 온천서로 2, 케이티온 유성타워 2층 201,202호 (봉명동)","34168","트레인 휘트니스 유성점","2026-04-02 11:14:09","U","2026-04-04 02:40:00","","230418.014282351","317131.730611183","체력단련장업","사립","","1","0","9205","0","0","0","0","","",
"34","체력단련장업","10_42_01_P","4050000","CDFH3301062016000003","2016-01-26","","03","폐업","03","폐업","2026-04-02","","","","031-897-2033","430","","경기도 용인시 기흥구 보정동 1293","경기도 용인시 기흥구 용구대로2469번길 10, B02호 (보정동, 죽전 일성트루엘)","16905","벨류 휘트니스","2026-04-02 10:32:34","U","2026-04-04 02:40:00","","209335.413490546","422850.130324793","체력단련장업","사립","Y","2","1","20251.7","0","0","0","0","","",
"35","체력단련장업","10_42_01_P","3940000","CDFH3301062020000013","2020-09-14","","01","영업/정상","13","영업중","","","","","","653.88","","경기도 고양시 덕양구 행신동 999 10층","경기도 고양시 덕양구 충장로 126, 10층 (행신동)","10518","MTO 피트니스 PT 행신점","2026-04-02 14:37:40","U","2026-04-04 02:40:00","","185303.557414536","457949.601508534","체력단련장업","사립","","2","0","0","0","0","0","0","","",
"36","체력단련장업","10_42_01_P","3290000","CDFH3301062025000007","2025-07-01","","01","영업/정상","13","영업중","","","","","051-993-4500","590.6","","부산광역시 부산진구 가야동 585 가야 봄여름가을겨울","부산광역시 부산진구 가야대로552번길 79, 101동 201호 (가야동, 가야 봄여름가을겨울)","47336","헬튼 피트니스","2026-04-02 14:40:38","U","2026-04-04 02:40:00","","385248.746456303","185362.204582027","체력단련장업","사립","","2","0","0","0","0","0","0","","",
"37","체력단련장업","10_42_01_P","3830000","CDFH3301062022000014","2022-08-18","","01","영업/정상","13","영업중","","","","","","340","","경기도 안양시 만안구 석수동 494-3 랜드마크프라자","경기도 안양시 만안구 연현로1번길 26, 랜드마크프라자 (석수동)","13903","(주)다짐","2026-04-02 11:09:47","U","2026-04-04 02:40:00","","","","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"38","체력단련장업","10_42_01_P","3090000","CDFH3301062004000005","2004-11-02","","01","영업/정상","13","영업중","","","","","900-6022","","132-873","서울특별시 도봉구 쌍문동 261 센터빌딩 4층","서울특별시 도봉구 시루봉로 64 (쌍문동,센터빌딩 4층)","","지엘핏 헬스 & PT 쌍문본점","2026-04-02 10:31:35","U","2026-04-04 02:40:00","","202416.159454124","461571.274602695","체력단련장업","사립","","2","0","3098.44","0","0","0","0","","",
"39","체력단련장업","10_42_01_P","3230000","CDFH3301062025000004","2025-01-31","","01","영업/정상","13","영업중","","","","","","293.8","","서울특별시 송파구 거여동 567","서울특별시 송파구 양산로 38, 지하1층 (거여동)","05773","탈로스 송파","2026-04-02 09:08:42","U","2026-04-04 02:40:00","","212693.153007399","443344.439076507","체력단련장업","사립","","1","0","2167.33","0","0","0","0","","",
"40","체력단련장업","10_42_01_P","5530000","CDFH3301062025000047","2025-12-09","","01","영업/정상","13","영업중","","","","","","70.65","","경기도 화성시 만세구 향남읍 상신리 1350 201호","경기도 화성시 만세구 향남읍 향남로39번길 19-17, 2층 201호","18614","트루무브 운동센터","2026-04-03 09:37:09","I","2026-04-05 00:20:22","","","","체력단련장업","사립","","0","0","1152.6","0","0","0","0","","",
"41","체력단련장업","10_42_01_P","3080000","CDFH3301062026000004","2026-04-03","","01","영업/정상","13","영업중","","","","","","140.71","","서울특별시 강북구 미아동 860-24 재현빌딩","서울특별시 강북구 도봉로8길 33, 재현빌딩 2층 (미아동)","01219","엑시스 피티(AXIS PT)","2026-04-03 17:16:16","I","2026-04-05 00:20:22","","202756.02453972","456668.254635051","체력단련장업","사립","","1","0","0","0","0","0","0","","",
"42","체력단련장업","10_42_01_P","5530000","CDFH3301062026000009","2026-04-03","","01","영업/정상","13","영업중","","","","","","135.47","","경기도 화성시 동탄구 산척동 727-3 수프라자","경기도 화성시 동탄구 동탄대로6길 13, 수프라자 3층 301,302호 (산척동)","18501","언바운드스트렝스 피티스튜디오","2026-04-03 17:59:52","I","2026-04-05 00:20:22","","209533.581858787","407438.69475251","체력단련장업","사립","","1","0","0","0","0","0","0","","",
"43","체력단련장업","10_42_01_P","3030000","CDFH3301062026000002","2026-04-03","","01","영업/정상","13","영업중","","","","","","","","서울특별시 성동구 성수동1가 656-745 뚝섬역","서울특별시 성동구 아차산로 18, 뚝섬역 2층 (성수동1가)","04778","좋은습관 PT&GH 피트니스(FITNESS) 성수","2026-04-03 17:07:56","I","2026-04-05 00:20:22","","","","체력단련장업","사립","","1","0","0","0","0","0","0","","",
"44","체력단련장업","10_42_01_P","4820000","CDFH3301062026000001","2026-04-03","","01","영업/정상","13","영업중","","","","","","216.66","","전라남도 순천시 해룡면 신대리 2037-1","전라남도 순천시 해룡면 신대로 8, 4층","58016","무브앤플레이 운동재활센터","2026-04-03 10:40:09","I","2026-04-05 00:20:22","","250390.375569378","158822.957065613","체력단련장업","사립","Y","1","0","728.04","0","0","0","0","","",
"45","체력단련장업","10_42_01_P","3010000","CDFH3301062026000001","2026-04-03","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 신당동 373-3 대승빌딩","서울특별시 중구 동호로 180, 대승빌딩 지하1층 (신당동)","04590","주식회사 런앤리프트","2026-04-03 17:43:33","I","2026-04-05 00:20:22","","200929.515411973","450242.717073989","체력단련장업","사립","","2","1","1810.35","0","0","0","0","","",
"46","체력단련장업","10_42_01_P","3530000","CDFH3301062026000002","2026-04-03","","01","영업/정상","13","영업중","","","","","","461.92","","인천광역시 남동구 논현동 636-6 4층","인천광역시 남동구 호구포로 212, 4층 (논현동)","21655","(주)테이스트피트니스 헬스&PT 24시 인천호구포역점","2026-04-03 13:06:12","I","2026-04-05 00:20:22","","174243.87091126","433334.185345306","체력단련장업","사립","","2","0","0","0","0","0","0","","",
"47","체력단련장업","10_42_01_P","5530000","CDFH3301062022000018","2022-05-11","","01","영업/정상","13","영업중","","","","","","229.64","","경기도 화성시 동탄구 능동 1064-5 이너매스","경기도 화성시 동탄구 동탄원천로 354-28, 이너매스 203호 (능동)","18423","에이맨짐2","2026-04-03 13:50:43","U","2026-04-05 02:40:00","","205141.46505177","412932.296803458","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"48","체력단련장업","10_42_01_P","3040000","CDFH3301062006000001","2006-01-23","","01","영업/정상","13","영업중","","","","","02-455-0376","","","서울특별시 광진구 구의동 54-3 5층,6층","서울특별시 광진구 천호대로 675, 6층 (구의동, 화동빌딩)","04954","휴먼짐","2026-04-03 09:32:16","U","2026-04-05 02:40:00","","207942.617936322","449864.683570555","체력단련장업","사립","","0","0","2148.95","0","0","0","0","","",
"49","체력단련장업","10_42_01_P","3040000","CDFH3301062004000006","2004-06-08","","03","폐업","03","폐업","2026-04-03","","","","02-453-0990","782.12","","서울특별시 광진구 광장동 114 외2필지 지하1층","서울특별시 광진구 아차산로78길 44, 지하1층 (광장동)","04969","리버사이드 스포츠","2026-04-03 15:38:10","U","2026-04-05 02:40:00","","209637.078215509","449832.485937903","체력단련장업","사립","","1","0","29895.3","0","0","0","0","","",
"50","체력단련장업","10_42_01_P","3370000","CDFH3301062019000002","2019-01-30","","01","영업/정상","13","영업중","","","","","051-867-4445","807.2","","부산광역시 연제구 연산동 702-1 프라임시티","부산광역시 연제구 중앙대로 1090, 프라임시티 5층 (연산동)","47596","무지개휘트니스 연산점","2026-04-03 09:42:29","U","2026-04-05 02:40:00","","389488.706833663","189270.776461837","체력단련장업","사립","","0","0","12101.2","0","0","0","0","","",
"51","체력단련장업","10_42_01_P","3830000","CDFH3301062023000013","2023-09-07","","01","영업/정상","13","영업중","","","","","","182.88","","경기도 안양시 동안구 호계동 1048-2 삼희월드프라자","경기도 안양시 동안구 평촌대로211번길 16, 삼희월드프라자 8층 802호 (호계동)","14072","45GYM여성전용 헬스&PT 범계점","2026-04-03 17:58:17","U","2026-04-05 02:40:00","","195947.84626811","432032.643605683","체력단련장업","사립","","1","0","0","0","0","0","0","","",
"52","체력단련장업","10_42_01_P","4050000","CDFH3301062026000007","2026-03-27","","01","영업/정상","13","영업중","","","","","","504.8","","경기도 용인시 기흥구 영덕동 390-1 황곡프라자","경기도 용인시 기흥구 영통로525번길 24, 황곡프라자 501호 (영덕동)","16956","보스턴짐 수원영통점 헬스 PT 전문","2026-04-03 17:09:02","U","2026-04-05 02:40:00","","206684.393897168","418223.083574258","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"53","체력단련장업","10_42_01_P","3740000","CDFH3301062024000042","2024-07-23","","01","영업/정상","13","영업중","","","","","","1100","","경기도 수원시 영통구 매탄동 310 삼성전기","경기도 수원시 영통구 매영로 150, 삼성전기 (매탄동)","16674","삼성전기 수원 피트니스 센터","2026-04-03 14:45:34","U","2026-04-05 02:40:00","","205011.647923585","418078.816794824","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"54","체력단련장업","10_42_01_P","3690000","CDFH3301062024000005","2024-07-18","","03","폐업","03","폐업","2026-04-02","","","","","82.5","","울산광역시 중구 남외동 512-11","울산광역시 중구 남외2길 30, 6층 (남외동)","44495","피버 플레이스(국민 피티)","2026-04-03 15:37:00","U","2026-04-05 02:40:00","","413077.703002361","232169.799016592","체력단련장업","사립","","1","1","0","0","0","0","0","","",
"55","체력단련장업","10_42_01_P","3640000","CDFH3301062025000003","2025-08-27","","03","폐업","03","폐업","2026-04-03","","","","","230.75","","대전광역시 동구 홍도동 79-29","대전광역시 동구 홍도로 51, HB빌딩 2층 201호 (홍도동)","34554","37 Billiards Club","2026-04-03 10:28:35","U","2026-04-05 02:40:00","","238351.008472241","316728.22755374","체력단련장업","사립","","0","0","644.1","0","0","0","0","","",
"56","체력단련장업","10_42_01_P","3560000","CDFH3301062022000032","2022-12-20","","01","영업/정상","13","영업중","","","","","","301.55","","인천광역시 서구 원당동 1040-1 검단 쓰리엠타워","인천광역시 서구 이음5로 24, 검단 쓰리엠타워 3층 302,303,304호 (원당동)","22866","팀윤짐 검단 8호점","2026-04-03 12:06:40","U","2026-04-05 02:40:00","","","","체력단련장업","사립","","1","0","0","0","0","0","0","","",
"57","체력단련장업","10_42_01_P","4020000","CDFH3301062022000011","2022-12-07","","01","영업/정상","13","영업중","","","","","","109.2","","경기도 군포시 당정동 1014-1","경기도 군포시 당정역로 82, 2층 (당정동)","15851","지니짐PT센터","2026-04-03 12:09:31","U","2026-04-05 02:40:00","","195396.591880399","426830.277529192","체력단련장업","사립","","0","1","0","0","0","0","0","","",
"58","체력단련장업","10_42_01_P","4641000","CDFH3301062017000017","2017-12-15","","01","영업/정상","13","영업중","","","","","063-224-7451","708.87","","전북특별자치도 전주시 완산구 삼천동1가 745-1","전북특별자치도 전주시 완산구 안행로 16, 3층 (삼천동1가)","55104","사람 휘트니스 삼천점","2026-04-03 14:38:14","U","2026-04-05 02:40:00","","211720.521081549","255565.662976399","체력단련장업","사립","","0","0","2076","0","0","0","0","","",
"59","체력단련장업","10_42_01_P","3430000","CDFH3301062016000001","2016-03-03","","01","영업/정상","13","영업중","","","","","","462.81","","","대구광역시 서구 문화로49길 25 (평리동)","41770","럭키 짐","2026-04-03 17:48:30","U","2026-04-05 02:40:00","","340708.662764575","265322.373460114","체력단련장업","사립","","2","1","3745.08","0","0","0","0","","",
"60","체력단련장업","10_42_01_P","3080000","CDFH3301062025000008","2025-03-12","","01","영업/정상","13","영업중","","","","","","269.51","","서울특별시 강북구 미아동 860-171 June27","서울특별시 강북구 도봉로10길 73, 지층 (미아동)","01215","유포리아 헬스","2026-04-03 14:40:26","U","2026-04-05 02:40:00","","202632.71134547","457074.811678173","체력단련장업","사립","","1","0","0","0","0","0","0","","",
"61","체력단련장업","10_42_01_P","3820000","CDFH3301062017000003","2017-04-12","","01","영업/정상","13","영업중","","","","","031-845-8450","400.62","","경기도 의정부시 신곡동 522-1 대영프라자빌딩 7층","경기도 의정부시 금신로 323, 대영프라자빌딩 7층 (신곡동)","11741","피트니스 코바짐","2026-04-03 13:13:15","U","2026-04-05 02:40:00","","205342.598361484","471374.828855813","체력단련장업","사립","","2","0","5417.65","0","0","0","0","","",
"62","체력단련장업","10_42_01_P","3220000","CDFH3301062018000019","2018-07-25","","01","영업/정상","13","영업중","","","","","02-555-5323","519.3","","서울특별시 강남구 대치동 891-28 대치동 우정에쉐르1","서울특별시 강남구 삼성로85길 38, 지하2층 (대치동, 대치동 우정에쉐르1)","06194","(주)1981 골프앤휘트니스","2026-04-03 09:52:38","U","2026-04-05 02:40:00","","204723.493784714","444704.518333541","체력단련장업","사립","","0","0","0","0","0","0","0","","",
