번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),설비규격,Unnamed: 29,record_key
33,용기냉동기특정설비,07_22_16_P,3630000,2020363028216500003,2020-07-13,,3,폐업,3,폐업,2026-02-26,,,,,,,광주광역시 광산구 진곡동 613,광주광역시 광산구 진곡산단중앙로 157 (진곡동),62464.0,지엠케이,2026-02-26 13:37:51,U,2026-02-28 02:40:00,,180185.932080498,189274.959766379,,,지엠케이_광주광역시광산구진곡동613
3,용기냉동기특정설비,07_22_16_P,4641000,2020464046716500001,2020-04-09,,2,휴업,2,휴업,,2026-01-30,2026-08-31,2026-08-31,,,,전북특별자치도 전주시 덕진구 고랑동 840-21,,,(주)태평양이엔지,2026-02-02 21:08:27,U,2026-02-04 02:40:00,,207401.059597764,264036.739297549,,,(주)태평양이엔지_전북특별자치도전주시덕진구고랑동840-21
10,용기냉동기특정설비,07_22_16_P,4520000,2019452034616500005,2019-05-23,,1,영업/정상,1,영업중,,,,2025-06-27,,,,충청남도 아산시 둔포면 운교리 43-7,충청남도 아산시 둔포면 운교길 200-8,31407.0,(주)에이씨알텍,2026-02-06 10:10:42,U,2026-02-08 02:40:00,,204244.546726289,378819.58793581,,,(주)에이씨알텍_충청남도아산시둔포면운교리43-7
27,용기냉동기특정설비,07_22_16_P,5050000,2017505031616500002,2017-11-03,,1,영업/정상,1,영업중,,,,,,,,경상북도 경주시 건천읍 용명리 2558,경상북도 경주시 건천읍 용명공단길 173-154,38054.0,(주)이스트밸리티엔씨,2026-02-20 09:37:11,U,2026-02-22 02:40:00,,390430.937231062,265746.471494566,,,(주)이스트밸리티엔씨_경상북도경주시건천읍용명리2558
30,용기냉동기특정설비,07_22_16_P,4140000,2015414004816500002,2015-09-10,,1,영업/정상,1,영업중,,,,,,,,경기도 연천군 백학면 통구리 1066,경기도 연천군 백학면 백학산단길 72,11049.0,주식회사 엔텍글로벌,2026-02-26 16:08:50,U,2026-02-28 02:40:00,,192672.30857388,501639.059895988,,,주식회사엔텍글로벌_경기도연천군백학면통구리1066
20,용기냉동기특정설비,07_22_16_P,5310000,2015531014316500001,2015-04-03,,1,영업/정상,1,영업중,,,,,,,,"경상남도 진주시 정촌면 예하리 1421-3 , 1404-2","경상남도 진주시 정촌면 연꽃로 190, 188",52847.0,에스앤에스밸브(주),2026-02-13 17:45:41,U,2026-02-15 02:40:00,,301358.172663096,180156.909030217,,,"에스앤에스밸브(주)_경상남도진주시정촌면예하리1421-3,1404-2"
16,용기냉동기특정설비,07_22_16_P,3730000,2015373010216500001,2015-03-10,,3,폐업,3,폐업,2022-12-28,,,,,,,,울산광역시 울주군 청량면 처용산업로 243-44,,(주)대공,2024-04-17 15:18:01,U,2026-02-13 15:41:57,,410706.702110906,222757.03602874,,,(주)대공_
26,용기냉동기특정설비,07_22_16_P,3730000,2014373010216500002,2014-05-01,,1,영업/정상,1,영업중,,,,,,,,,울산광역시 울주군 청량면 처용산업3길 93,,(주)티엔아이,2026-02-20 13:01:48,U,2026-02-22 02:40:00,,411754.180293605,222298.542104246,,,(주)티엔아이_
15,용기냉동기특정설비,07_22_16_P,3730000,2014373010216500001,2014-03-28,,1,영업/정상,1,영업중,,,,,,,,,울산광역시 울주군 온산읍 처용산업로 129-39,,(주)태영테크,2016-04-05 11:59:30,I,2026-02-13 15:41:57,,411785.814065802,221249.019247149,,,(주)태영테크_
18,용기냉동기특정설비,07_22_16_P,3680000,2014368009216500001,2014-03-21,,1,영업/정상,1,영업중,,,,,,,,,대전광역시 대덕구 신일동로93번길 17-3 (신일동),,(주)신성그린엔지니어링,2014-05-22 12:59:03,I,2026-02-13 15:41:57,,236885.887314866,326546.591001114,,,(주)신성그린엔지니어링_
19,용기냉동기특정설비,07_22_16_P,4010000,2014401023916500004,2014-03-07,,1,영업/정상,1,영업중,,,,,,,,,"경기도 시흥시 엠티브이북로 183 (정왕동, 시화 엠티브이단지 2사 704호)",,(주)범석엔지니어링,2015-09-04 15:45:29,I,2026-02-13 15:41:57,,173220.425618678,424503.432564119,,,(주)범석엔지니어링_
14,용기냉동기특정설비,07_22_16_P,3730000,2012373010216500002,2012-05-18,,1,영업/정상,1,영업중,,,,,,,,,울산광역시 울주군 온산읍 처용산업1길 81,,주식회사 삼영이엔지,2021-08-09 09:58:39,U,2026-02-13 15:41:57,,411959.110702153,221196.977368543,,,주식회사삼영이엔지_
29,용기냉동기특정설비,07_22_16_P,4530000,2007453016616500001,2007-11-30,,1,영업/정상,1,영업중,,,,,,,,충청남도 서산시 대산읍 대죽리 775-29,충청남도 서산시 대산읍 죽엽로 285-10,,메인테크플랜트(주),2026-02-26 14:10:41,U,2026-02-28 02:40:00,,146246.151941884,387931.746502796,,,메인테크플랜트(주)_충청남도서산시대산읍대죽리775-29
17,용기냉동기특정설비,07_22_16_P,5590000,2013559014816500001,2001-11-02,,1,영업/정상,1,영업중,,,,,,,,,경기도 양주시 광적면 화합로147번길 164,,(주)쿨맥스제2공장,2018-08-23 16:57:49,I,2026-02-13 15:41:57,,195796.278695452,484567.130023861,,,(주)쿨맥스제2공장_
1,용기냉동기특정설비,07_22_16_P,3860000,1999386029116500001,1999-05-25,,1,영업/정상,1,영업중,,,,,,,,,경기도 부천시 원미구 옥산로 218 (도당동),,(주)보성이엔지,2014-01-06 11:45:08,I,2026-02-03 01:35:10,,180529.899269827,445675.024030327,,,(주)보성이엔지_
28,용기냉동기특정설비,07_22_16_P,4450000,1986445004516500001,1996-10-07,,1,영업/정상,1,영업중,,,,,,,,충청북도 진천군 이월면 중산리 621-21,충청북도 진천군 이월면 진광로 376,,윈테크(주),2026-02-20 17:50:11,U,2026-02-22 02:40:00,,239463.742141342,377406.346459266,,,윈테크(주)_충청북도진천군이월면중산리621-21
