"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"11","테마파크업(기타)","03_07_08_P","3190000","CDFI5272002017000001","2017-01-19","","01","영업/정상","13","영업중","","","","","","","","서울특별시 동작구 신대방동","서울특별시 동작구 보라매로5가길 16 (신대방동, 보라매아카데미타워)","07071","타요키즈카페 보라매점","2026-03-04 09:46:09","U","2026-03-06 02:40:00","","193218.36400997","443239.581054145","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","3","","","","","","","0","","","","0",
"12","테마파크업(기타)","03_07_08_P","5710000","CDFI5272002025000003","2025-06-25","","03","폐업","03","폐업","2025-08-25","","","","043-221-7171","","","충청북도 청주시 흥덕구 문암동 100 문암생태공원","충청북도 청주시 흥덕구 무심서로 1037, 문암생태공원 (문암동)","28303","주식회사 이플랜","2026-03-04 13:53:34","U","2026-03-06 02:40:00","","240265.005916868","352646.548726348","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","1","","","","","","","0","","","","0",
"13","테마파크업(기타)","03_07_08_P","5710000","CDFI5272002025000001","2025-04-03","","03","폐업","03","폐업","2025-04-07","","","","","","","충청북도 청주시 상당구 영동 48-1 주성초등학교","충청북도 청주시 상당구 교서로 45, 청주대교~제1운천교 무심동로 일원 (영동)","28546","주식회사 지에이치","2026-03-04 13:47:22","U","2026-03-06 02:40:00","","243322.172013996","348987.293315982","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","2","","","","","","","0","","","","0",
"14","테마파크업(기타)","03_07_08_P","3820000","CDFI5272002025000001","2025-02-20","","01","영업/정상","13","영업중","","","","","","","","경기도 의정부시 금오동 475-1 홈플러스 의정부점","경기도 의정부시 청사로 38, 홈플러스 의정부점 2층 (금오동)","11757","펀키즈","2026-03-04 14:05:46","U","2026-03-06 02:40:00","","206192.090833323","472186.18249487","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","회전형라이더(회전목마), 망치치기(캐치프라그), 자동차경주(트윈크레이지드라이브, 파이어히어로), 미니라이더(해적선, 아리라이더)","0","","","","","","","0","","","","0",
"15","테마파크업(기타)","03_07_08_P","5530000","CDFI5272002026000002","2026-03-05","","01","영업/정상","13","영업중","","","","","","","","경기도 화성시 효행구 비봉면 구포리 1540-1","경기도 화성시 효행구 비봉면 새비봉중앙로 43, 401호","18283","키즈플래닛 비봉신도시 본점","2026-03-05 17:12:27","I","2026-03-07 00:20:02","","","","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"16","테마파크업(기타)","03_07_08_P","4850000","CDFI5272002026000001","2026-03-05","","01","영업/정상","13","영업중","","","","","","","","전라남도 담양군 창평면 의항리 476","전라남도 담양군 창평면 일산길 235-13","57375","포레스트 창평","2026-03-05 09:42:16","I","2026-03-07 00:20:02","","199869.011975658","192740.621100006","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"17","테마파크업(기타)","03_07_08_P","3710000","CDFI5272002017000005","2017-11-01","","02","휴업","02","휴업","","2026-03-05","2028-03-05","","052-251-5556","","","울산광역시 동구 서부동 257-44 서부회관","울산광역시 동구 방어진순환도로 995-2 (서부동)","44025","아이스타 키즈카페","2026-03-05 14:53:50","U","2026-03-07 02:40:00","","420434.866761959","228254.172655568","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","붕붕뜀틀 2","1","","","","","","","0","","","","0",
"18","테마파크업(기타)","03_07_08_P","4671000","CDFI5272002025000004","2025-12-19","","03","폐업","03","폐업","2026-03-02","","","","","","","전북특별자치도 군산시 오식도동 814 군산산업전시관,물류지원센터,GSCO","전북특별자치도 군산시 새만금북로 437, 군산산업전시관,물류지원센터,GSCO (오식도동)","54004","키즈 플레이 랜드","2026-03-05 09:07:36","U","2026-03-07 02:40:00","","162505.979473906","272199.956148269","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","16","","","","","","","0","","","","0",
"19","테마파크업(기타)","03_07_08_P","5310000","CDFI5272002024000001","2024-03-19","","03","폐업","03","폐업","2025-10-10","","","","","","","경상남도 진주시 충무공동 86-1","경상남도 진주시 범골로54번길 17, 3층 303~304호 (충무공동)","52859","펀노리터 진주혁신점","2026-03-05 10:14:18","U","2026-03-07 02:40:00","","303080.855474588","186103.195124961","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"20","테마파크업(기타)","03_07_08_P","4140000","CDFI5272002022000004","2022-08-02","","03","폐업","03","폐업","2026-03-05","","","","","","","경기도 연천군 미산면 광동리 28","경기도 연천군 미산면 청정로918번길 121","11046","아미캠핑장","2026-03-05 18:31:28","U","2026-03-07 02:40:00","","196206.579936087","503884.956220837","신고테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
