"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","여성종사자수","남성종사자수","다중이용업소여부",
"13","건물위생관리업","09_30_04_P","5530000","5750000-206-2017-00025","2017-11-07","","01","영업/정상","01","영업","","","","","","34.02","","경기도 화성시 효행구 정남면 덕절리 14-2 1층일부호","경기도 화성시 효행구 정남면 발안로 1191-7, 1층 일부호","","주식회사 썬크린","2021-11-30 15:26:26","I","2026-02-04 01:35:23","건물위생관리업","202670.547924707","403703.316119437","건물위생관리업","0","0","1","1","0","0","","","","","0","0","N",
"14","건물위생관리업","09_30_04_P","5530000","5760000-206-2022-00024","2022-11-22","","03","폐업","02","폐업","2024-04-30","","","","0312336721","20.00","","경기도 화성시 병점구 황계동  136-4 1층 일부호(101호)","경기도 화성시 병점구 태안로 367, 1층 일부호(101호) (황계동)","","주식회사 일조환경","2024-04-30 10:00:48","I","2026-02-04 01:35:23","건물위생관리업","201666.223245622","413037.127700058","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"15","건물위생관리업","09_30_04_P","5530000","5740000-206-2024-00038","2024-11-21","","01","영업/정상","01","영업","","","","","","6.00","","경기도 화성시 만세구 남양읍 남양리 2078-5","경기도 화성시 만세구 남양읍 남양로 697, 302-1호","","한누리","2024-11-21 13:46:17","I","2026-02-04 01:35:23","건물위생관리업","184693.640076697","410916.656387816","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"16","건물위생관리업","09_30_04_P","5530000","5760000-206-2012-00016","2012-10-12","","01","영업/정상","01","영업","","","","","","46.93","","경기도 화성시 병점구 진안동  512-1 비젼월드 112호","경기도 화성시 병점구 효행로 990, 1층 112호 (진안동, 비젼월드)","","(주)우리비엠씨","2024-04-05 11:28:45","I","2026-02-04 01:35:23","건물위생관리업","203164.820809131","412147.458999303","건물위생관리업","0","0","1","1","0","0","","","","","0","0","N",
"17","건물위생관리업","09_30_04_P","5530000","5760000-206-2009-00019","2009-01-06","","01","영업/정상","01","영업","","","","","031 243 6111","15.05","","경기도 화성시 병점구 진안동  877-1 (삼성프라자 303호 일부)","경기도 화성시 병점구 효행로 1028 (진안동, 877-1번지 삼성프라자 303호 일부)","","(주)믿음종합관리","2018-03-08 09:34:06","I","2026-02-04 01:35:23","건물위생관리업","203488.715261321","412342.481365478","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"18","건물위생관리업","09_30_04_P","5530000","5750000-206-2018-00002","2018-03-08","","03","폐업","02","폐업","2023-12-12","","","","031 225 3233","33.00","","경기도 화성시 효행구 봉담읍 와우리 106","경기도 화성시 효행구 봉담읍 효행로 328","","현대상사","2023-12-12 09:36:02","I","2026-02-04 01:35:23","건물위생관리업","197853.189600259","413059.06965176","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"19","건물위생관리업","09_30_04_P","5530000","5760000-206-2005-00010","2005-12-30","","01","영업/정상","01","영업","","","","","031 2481530","19.35","","경기도 화성시 병점구 진안동  877-1 (삼성프라자 303호 일부)","경기도 화성시 병점구 효행로 1028 (진안동, 877-1번지 삼성프라자 303호 일부)","","신화하우징","2025-03-20 11:39:02","I","2026-02-04 01:35:23","건물위생관리업","203488.715261321","412342.481365478","건물위생관리업","4","1","2","2","0","0","","","","","0","0","N",
"20","건물위생관리업","09_30_04_P","5530000","5750000-206-2018-00003","2018-03-09","","01","영업/정상","01","영업","","","","","","73.32","","경기도 화성시 효행구 봉담읍 수기리 49-5","경기도 화성시 효행구 봉담읍 수기안길 4, 1층 일부","","미소클린","2019-04-05 11:41:24","I","2026-02-04 01:35:23","건물위생관리업","197956.13407082","410831.297314968","건물위생관리업","0","0","1","1","0","0","","","","","0","0","N",
"21","건물위생관리업","09_30_04_P","5530000","5770000-206-2018-00004","2018-03-13","","03","폐업","02","폐업","2018-08-10","","","","","131.73","","경기도 화성시 동탄구 반송동  36-14 1층전부호","경기도 화성시 동탄구 동탄반송1길 30-9, 1층 전부호 (반송동)","","(주)에어윈","2018-08-10 13:20:57","I","2026-02-04 01:35:23","건물위생관리업","205536.77","412064.365","건물위생관리업","0","0","1","1","0","0","","","","","0","0","N",
"22","건물위생관리업","09_30_04_P","5530000","5750000-206-2018-00005","2018-03-27","","01","영업/정상","01","영업","","","","","","33.00","","경기도 화성시 효행구 매송면 야목리 511-3","경기도 화성시 효행구 매송면 야목동길 37-3, 1층 일부","","새화성청소대행","2018-03-27 16:58:33","I","2026-02-04 01:35:23","건물위생관리업","189430.736693516","418346.555286232","건물위생관리업","1","0","0","0","0","0","","","","","0","0","N",
"23","건물위생관리업","09_30_04_P","5530000","5750000-206-2018-00006","2018-05-03","","01","영업/정상","01","영업","","","","","","11.70","","경기도 화성시 효행구 봉담읍 와우리 145-6 101호","경기도 화성시 효행구 봉담읍 기배로 9-11, 101호","","한얼사회적협동조합","2020-03-12 13:41:36","I","2026-02-04 01:35:23","건물위생관리업","197793.350877777","413279.005172804","건물위생관리업","3","0","0","0","0","0","","","","","0","0","N",
"24","건물위생관리업","09_30_04_P","5530000","5740000-206-2014-00012","2014-09-01","","01","영업/정상","01","영업","","","","","031 355 3240","96.23","","경기도 화성시 만세구 팔탄면 율암리 580-15 발안현대공구타운","경기도 화성시 만세구 팔탄면 서해로1121번길 3, 발안현대공구타운 503동 301호 일부","","주식회사청보종합관리","2018-06-11 16:09:16","I","2026-02-04 01:35:23","건물위생관리업","190254.293582346","406604.446042085","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"25","건물위생관리업","09_30_04_P","5530000","5740000-206-2018-00007","2018-06-18","","03","폐업","02","폐업","2021-06-17","","","","","96.59","","경기도 화성시 만세구 남양읍 남양리 388-2","경기도 화성시 만세구 남양읍 화성로 1018, 지하1층","","온누리","2021-06-17 09:13:26","I","2026-02-04 01:35:23","건물위생관리업","182121.267008633","411225.193058071","건물위생관리업","0","0","0","0","1","1","","","","","0","0","N",
"26","건물위생관리업","09_30_04_P","5530000","5760000-206-2020-00016","2020-04-07","","01","영업/정상","01","영업","","","","","","23.76","","경기도 화성시 병점구 병점동  887-2 골든스퀘어Ⅱ 505호","경기도 화성시 병점구 병점노을5로 20, 골든스퀘어Ⅱ 505호 (병점동)","","용진그린환경","2026-01-08 11:12:30","I","2026-02-04 01:35:23","건물위생관리업","202647.633362278","411567.109699557","건물위생관리업","0","0","1","1","0","0","","","","","0","0","N",
"27","건물위생관리업","09_30_04_P","5530000","5760000-206-2017-00030","2017-10-10","","01","영업/정상","01","영업","","","","","031 281 7095","184.00","","경기도 화성시 병점구 기산동  362-3 1층 전부호","경기도 화성시 병점구 기산말길 66, 1층 전부호 (기산동)","","주식회사씨엠씨관리","2022-01-04 16:02:57","I","2026-02-04 01:35:23","건물위생관리업","203718.138094029","413714.495995079","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"28","건물위생관리업","09_30_04_P","5530000","5740000-206-2018-00013","2018-09-14","","01","영업/정상","01","영업","","","","","","31.00","","경기도 화성시 만세구 마도면 청원리 228-51","경기도 화성시 만세구 마도면 청원로 12, 1층 일부","","청소의신","2020-10-16 16:51:57","I","2026-02-04 01:35:23","건물위생관리업","178829.44341673","409600.641038273","건물위생관리업","0","0","1","1","0","0","","","","","0","0","N",
"29","건물위생관리업","09_30_04_P","5530000","5750000-206-2018-00015","2018-10-12","","03","폐업","02","폐업","2020-01-07","","","","031 215 3789","132.00","","경기도 화성시 효행구 배양동  19-19","경기도 화성시 효행구 배양길 53-8, 1층 일부호 (배양동)","","동명티에스","2020-01-07 16:16:04","I","2026-02-04 01:35:23","건물위생관리업","199486.684507923","413415.965399406","건물위생관리업","0","0","1","1","0","0","","","","","0","0","N",
"30","건물위생관리업","09_30_04_P","5530000","5740000-206-2018-00016","2018-10-17","","01","영업/정상","01","영업","","","","","031 355 8890","89.14","","경기도 화성시 만세구 마도면 청원리 1250-5","경기도 화성시 만세구 마도면 청원산단1길 6, 1동 1층 103호","","(주)성진환경","2018-10-17 13:28:34","I","2026-02-04 01:35:23","건물위생관리업","179984.538275162","407779.120767432","건물위생관리업","0","0","1","1","0","0","","","","","0","0","N",
"31","건물위생관리업","09_30_04_P","5530000","5750000-206-2005-00004","2005-09-26","","03","폐업","02","폐업","2018-08-13","","","","031 2988581","25.00","","경기도 화성시 효행구 봉담읍 유리 120-5","경기도 화성시 효행구 봉담읍 시청로 1399","","창일","2018-08-14 13:10:02","I","2026-02-04 01:35:23","건물위생관리업","194136.563136958","408101.605273783","건물위생관리업","1","0","1","1","0","0","","","","","0","0","N",
"32","건물위생관리업","09_30_04_P","5530000","5740000-206-2011-00001","2011-01-04","","03","폐업","02","폐업","2014-01-14","","","","0313514543","125.60","","경기도 화성시 만세구 우정읍 이화리 1714","경기도 화성시 만세구 우정읍 기아자동차로 95","","이화상사주식회사","2011-01-04 12:03:16","I","2026-02-04 01:35:23","건물위생관리업","180828.119654293","392412.530314641","건물위생관리업","0","0","2","2","0","0","","","","","0","0","N",
"33","건물위생관리업","09_30_04_P","5530000","5760000-206-2005-00003","2005-08-25","","03","폐업","02","폐업","2018-08-31","","","","","108.62","","경기도 화성시 병점구 안녕동  38-10 외 1필지(3층)","경기도 화성시 병점구 효행로 773-7 (안녕동,외 1필지(3층))","","기창건설(주)","2018-08-31 14:42:34","I","2026-02-04 01:35:23","건물위생관리업","201195.36373211","411399.432648425","건물위생관리업","0","0","4","4","0","0","","","","","0","0","N",
"34","건물위생관리업","09_30_04_P","5530000","5760000-206-2014-00003","2014-02-25","","01","영업/정상","01","영업","","","","","031 224 0969","82.00","","경기도 화성시 병점구 안녕동  180-81 2층","경기도 화성시 병점구 세자로441번길 28, 2층 (안녕동)","","청림건설(주)","2014-02-25 16:52:09","I","2026-02-04 01:35:23","건물위생관리업","198310.766493717","411595.627314734","건물위생관리업","0","0","2","2","0","0","","","","","0","0","N",
"35","건물위생관리업","09_30_04_P","5530000","5740000-206-2014-00004","2014-02-27","","01","영업/정상","01","영업","","","","","031 3662323","63.43","","경기도 화성시 만세구 송산면 육일리 162 1층","경기도 화성시 만세구 송산면 당성로 548-23, 1층","","나눔사회적협동조합","2021-11-01 15:30:59","I","2026-02-04 01:35:23","건물위생관리업","175210.208158294","411660.351564911","건물위생관리업","0","0","1","1","0","0","","","","","0","0","N",
"36","건물위생관리업","09_30_04_P","5530000","5770000-206-2014-00009","2014-07-31","","01","영업/정상","01","영업","","","","","031 80039818","164.50","","경기도 화성시 동탄구 금곡동  128-10 2층전부호","경기도 화성시 동탄구 금곡로249번길 34-1, 2층 전부호","","주식회사 앰앰아이","2025-04-07 13:53:14","I","2026-02-04 01:35:23","건물위생관리업","206604.873783745","409030.283739045","건물위생관리업","1","3","1","1","0","0","","","","임대","0","0","N",
"37","건물위생관리업","09_30_04_P","5530000","5770000-206-2014-00010","2014-08-18","","03","폐업","02","폐업","2018-07-23","","","","031 890 9758","57.96","","경기도 화성시 동탄구 금곡동  557-33 1층 일부","경기도 화성시 동탄구 금곡로 64, 1층 (일부)","","성원관리","2018-07-23 14:43:45","I","2026-02-04 01:35:23","건물위생관리업","206930.079686744","407203.308587217","건물위생관리업","2","0","1","1","0","0","","","","임대","0","0","N",
"38","건물위생관리업","09_30_04_P","5530000","5770000-206-2014-00011","2014-08-26","","03","폐업","02","폐업","2020-11-27","","","","031 239 8837","199.44","","경기도 화성시 동탄구 반송동  88-11 씨티플러스 6층 603호","경기도 화성시 동탄구 동탄중심상가2길 7, 씨티플러스 6층 603호 (반송동)","","(주)글로벌잡","2020-11-27 15:28:20","I","2026-02-04 01:35:23","건물위생관리업","206404.819622968","411559.973477153","건물위생관리업","3","1","3","3","0","0","","","","임대","0","0","N",
"39","건물위생관리업","09_30_04_P","5530000","5760000-206-2011-00022","2011-11-21","","03","폐업","02","폐업","2018-07-23","","","","","51.39","","경기도 화성시 병점구 반월동  347-5 1층 일부","경기도 화성시 병점구 효행로 1372 (반월동, 1층 일부)","","한울종합환경","2018-07-23 14:48:37","I","2026-02-04 01:35:23","건물위생관리업","205746.527154368","414208.019589245","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"40","건물위생관리업","09_30_04_P","5530000","5760000-206-2014-00014","2014-09-16","","03","폐업","02","폐업","2016-12-29","","","","","21.72","","경기도 화성시 병점구 병점동  844-1 씨네샤르망B 822호","경기도 화성시 병점구 병점1로 218 (병점동, 씨네샤르망B 822호)","","네오비즈시스템","2014-09-16 14:13:00","I","2026-02-04 01:35:23","건물위생관리업","203710.05802741","412437.808219701","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"41","건물위생관리업","09_30_04_P","5530000","5770000-206-2020-00040","2020-12-21","","01","영업/정상","01","영업","","","","","031 378 7236","26.91","","경기도 화성시 동탄구 영천동  360-2 동탄센트럴에이스타워","경기도 화성시 동탄구 동탄기흥로 590, 동탄센트럴에이스타워 B동 1308호 (영천동)","","(주)제이플러스","2024-08-20 16:38:18","I","2026-02-04 01:35:23","건물위생관리업","208287.379532243","412327.600339293","건물위생관리업","0","0","13","13","0","0","","","","","0","0","N",
"42","건물위생관리업","09_30_04_P","5530000","5760000-206-2014-00013","2014-09-02","","01","영업/정상","01","영업","","","","","","50.00","","경기도 화성시 병점구 송산동  98-51 2층일부","경기도 화성시 병점구 효행로 811 (송산동, 2층일부)","","제일환경사회적협동조합","2020-12-09 17:14:14","I","2026-02-04 01:35:23","건물위생관리업","201538.154584466","411572.785695191","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"43","건물위생관리업","09_30_04_P","5530000","5770000-206-2017-00010","2017-03-07","","01","영업/정상","01","영업","","","","","031 80506116","13.00","","경기도 화성시 동탄구 금곡동  120","경기도 화성시 동탄구 금곡로257번길 35-2, 2층 일부호 (금곡동)","","엘피케이(LPK)","2025-05-21 16:39:14","I","2026-02-04 01:35:23","건물위생관리업","206552.824327963","409052.434840098","건물위생관리업","0","0","1","0","0","0","","","","","0","0","N",
"44","건물위생관리업","09_30_04_P","5530000","5750000-206-2015-00004","2015-02-06","","01","영업/정상","01","영업","","","","","","136.00","","경기도 화성시 효행구 봉담읍 동화리 238-14","경기도 화성시 효행구 봉담읍 동화역말길 73-15, 202호","","디티에스코리아주식회사","2025-07-15 10:53:42","I","2026-02-04 01:35:23","건물위생관리업","197019.954220822","412813.751124412","건물위생관리업","0","0","1","1","0","0","","","","","0","0","N",
"45","건물위생관리업","09_30_04_P","5530000","5770000-206-2021-00008","2021-03-03","","01","영업/정상","01","영업","","","","","","37.32","","경기도 화성시 동탄구 오산동  977-3 동탄역 스타디움 블루 1층 115호","경기도 화성시 동탄구 동탄기흥로 447-54, 동탄역 스타디움 블루 1층 115호 (오산동)","","(주)에스케이디앤씨","2022-01-25 15:28:38","I","2026-02-04 01:35:23","건물위생관리업","208076.332681816","410992.39244888","건물위생관리업","0","0","1","1","0","0","","","","","0","0","N",
"46","건물위생관리업","09_30_04_P","5530000","5770000-206-2021-00016","2021-04-12","","01","영업/정상","01","영업","","","","","","22.26","","경기도 화성시 동탄구 반송동  43-2 4층 410호","경기도 화성시 동탄구 동탄지성로 121, 4층 410호 (반송동)","","현대동투동 주식회사","2021-04-12 11:57:51","I","2026-02-04 01:35:23","건물위생관리업","205423.364169269","411875.991525096","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"47","건물위생관리업","09_30_04_P","5530000","5740000-206-2021-00023","2021-06-24","","01","영업/정상","01","영업","","","","","","50.94","","경기도 화성시 만세구 남양읍 남양리 2049-10","경기도 화성시 만세구 남양읍 역골중앙로 62-1, 경남빌딩 1층 일부(101)호","","가자클린","2021-06-24 17:35:41","I","2026-02-04 01:35:23","건물위생관리업","184927.278484317","411424.016358374","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"48","건물위생관리업","09_30_04_P","5530000","5750000-206-2020-00025","2020-07-22","","01","영업/정상","01","영업","","","","","031 222 3822","132.06","","경기도 화성시 효행구 봉담읍 동화리 560-1","경기도 화성시 효행구 봉담읍 오래3길 2, 1층","","주식회사 우진시스템","2020-07-22 16:16:48","I","2026-02-04 01:35:23","건물위생관리업","195821.514418696","413185.664681855","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"49","건물위생관리업","09_30_04_P","5530000","5750000-206-2020-00026","2020-07-29","","03","폐업","02","폐업","2024-01-23","","","","","148.39","","경기도 화성시 효행구 봉담읍 당하리 205-7","경기도 화성시 효행구 봉담읍 안당하리길 8-6, 1층","","(주)피엔씨","2024-01-23 13:37:28","I","2026-02-04 01:35:23","건물위생관리업","194367.626655608","409127.785946539","건물위생관리업","0","0","2","2","0","0","","","","","0","0","N",
"50","건물위생관리업","09_30_04_P","5530000","5750000-206-2020-00017","2020-04-14","","03","폐업","02","폐업","2024-04-09","","","","","48.00","","경기도 화성시 효행구 봉담읍 덕우리 72-1","경기도 화성시 효행구 봉담읍 마당바위로 301, 1층 일부(2호)호","","용진환경","2024-04-09 16:00:23","I","2026-02-04 01:35:23","건물위생관리업","193567.297298526","406963.202708628","건물위생관리업","0","0","1","1","0","0","","","","","0","0","N",
"51","건물위생관리업","09_30_04_P","5530000","5770000-206-2018-00017","2018-10-18","","03","폐업","02","폐업","2021-12-24","","","","031 487 8562","5.50","","경기도 화성시 동탄구 반송동  88-2 필프라자 9층 902호","경기도 화성시 동탄구 동탄중심상가2길 37, 필프라자 9층 902호 (반송동)","","씨에이치앤엠주식회사","2021-12-24 11:27:14","I","2026-02-04 01:35:23","건물위생관리업","206416.519753714","411630.887417263","건물위생관리업","0","0","9","9","0","0","","","","","0","0","N",
"52","건물위생관리업","09_30_04_P","5530000","5770000-206-2015-00025","2015-01-15","","03","폐업","02","폐업","2021-08-13","","","","032 347 9517","10.00","","경기도 화성시 동탄구 반송동  88-2 필프라자 9층 903일부호","경기도 화성시 동탄구 동탄중심상가2길 37, 필프라자 9층 903일부호 (반송동)","","(주)윤이엔씨(ENC)","2021-08-13 16:57:05","I","2026-02-04 01:35:23","건물위생관리업","206416.519753714","411630.887417263","건물위생관리업","0","0","4","4","0","0","","","","","0","0","N",
"53","건물위생관리업","09_30_04_P","5530000","5740000-206-2016-00028","2016-05-04","","03","폐업","02","폐업","2025-07-14","","","","","27.65","","경기도 화성시 만세구 팔탄면 지월리 499-17","경기도 화성시 만세구 팔탄면 서해로987번길 20, 1층 101호","","경희이엔씨","2025-07-14 16:37:57","I","2026-02-04 01:35:23","건물위생관리업","190190.386426883","405440.00881085","건물위생관리업","5","2","2","0","0","0","","","","","0","0","N",
"54","건물위생관리업","09_30_04_P","5530000","5740000-206-2020-00028","2020-08-12","","01","영업/정상","01","영업","","","","","","0.00","","경기도 화성시 만세구 향남읍 상신리 444-142","경기도 화성시 만세구 향남읍 칼바위길 49-7, 1층","","(주)돌보호","2020-08-12 14:13:06","I","2026-02-04 01:35:23","건물위생관리업","189908.03701059","399159.131227656","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"55","건물위생관리업","09_30_04_P","5530000","5740000-206-2020-00029","2020-08-19","","03","폐업","02","폐업","2022-10-19","","","","","142.59","","경기도 화성시 만세구 우정읍 이화리 1100-1","경기도 화성시 만세구 우정읍 매화길 5-2, 3층","","제이케이인력","2022-10-19 13:50:31","I","2026-02-04 01:35:23","건물위생관리업","181672.790428033","391765.975542309","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"56","건물위생관리업","09_30_04_P","5530000","5740000-206-2023-00032","2023-05-16","","03","폐업","02","폐업","2025-01-08","","","","031 413 8500","69.92","","경기도 화성시 만세구 남양읍 남양리 2077-8 301호 일부","경기도 화성시 만세구 남양읍 역골로 9-1, 301호 일부","","주식회사 로운컴퍼니","2025-01-08 11:46:05","I","2026-02-04 01:35:23","건물위생관리업","184699.835377051","411006.06421751","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"57","건물위생관리업","09_30_04_P","5530000","5750000-206-2025-00031","2025-10-02","","01","영업/정상","01","영업","","","","","031 222 0789","33.05","","경기도 화성시 효행구 기안동  457-712","경기도 화성시 효행구 융건로 9, 1동 2층 일부호 (기안동)","","화성티에스(주)","2025-10-02 17:08:11","I","2026-02-04 01:35:23","건물위생관리업","198319.57644728","412468.884529622","건물위생관리업","0","0","2","2","0","0","","","","","0","0","N",
"58","건물위생관리업","09_30_04_P","5530000","5770000-206-2022-00015","2022-10-07","","01","영업/정상","01","영업","","","","","","3.30","","경기도 화성시 동탄구 반송동  91-2 로하스애비뉴 4층 401호의 일부","경기도 화성시 동탄구 동탄중심상가2길 8, 로하스애비뉴 4층 401호의 일부호 (반송동)","","대지티에스씨","2022-10-07 16:09:17","I","2026-02-04 01:35:23","건물위생관리업","206378.247090083","411519.526668326","건물위생관리업","0","0","4","4","0","0","","","","","0","0","N",
"59","건물위생관리업","09_30_04_P","5530000","5740000-206-2022-00031","2022-11-17","","01","영업/정상","01","영업","","","","","031 80329420","158.05","","경기도 화성시 만세구 남양읍 남양리 2077-8","경기도 화성시 만세구 남양읍 역골로 9-1, 504호","","주식회사 에이스코퍼레이션","2024-10-10 15:47:17","I","2026-02-04 01:35:23","건물위생관리업","184699.835377051","411006.06421751","건물위생관리업","0","0","3","3","0","0","","","","임대","0","0","N",
