"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업소구분명","소재지","지정일자","신청일자","항목값1",
"11","쓰레기종량제봉투판매업","09_30_13_P","4520000","452000014202200070","2022-06-17","","03","폐업","2","폐업","2026-04-01","","","","","","","충청남도 아산시 배방읍 북수리 1627","충청남도 아산시 배방읍 월천4길 89, 101호","31494","세븐일레븐 아산배방한성점","2026-04-01 17:22:59","U","2026-04-03 02:40:00","","206978.46999123","363417.447895969","종료","충청남도 아산시 배방읍 북수리 1627","20220617","20220614","관급봉투",
"12","쓰레기종량제봉투판매업","09_30_13_P","4490000","565000014202600017","2026-04-02","","01","영업/정상","11","영업","","","","","","","","충청남도 천안시 동남구 청당동 714","충청남도 천안시 동남구 청수7로 41, 105호 (청당동)","31197","청수할인마트","2026-04-02 12:35:16","I","2026-04-04 00:20:02","","214122.635527499","364963.155291243","지정","충청남도 천안시 동남구 청당동 714","20260402","20260402","관급봉투",
"13","쓰레기종량제봉투판매업","09_30_13_P","4490000","565000014202600018","2026-04-02","","01","영업/정상","11","영업","","","","","","","","충청남도 천안시 동남구 청당동 158-16","충청남도 천안시 동남구 청당2길 83-8, 102호 (청당동)","31211","업투마켙 청수청당점","2026-04-02 12:37:26","I","2026-04-04 00:20:02","","213506.011160997","364424.725881522","지정","충청남도 천안시 동남구 청당동 158-16","20260402","20260402","관급봉투",
"14","쓰레기종량제봉투판매업","09_30_13_P","4331000","433100014201100005","2011-04-07","","01","영업/정상","11","영업","","","","","","","","강원특별자치도 인제군 남면 어론리 산 70-1","강원특별자치도 인제군 남면 응봉길 132, 응봉아파트 단지내","24652","과훈단마트","2026-04-02 17:16:34","I","2026-04-04 00:20:02","","293504.568357625","492843.956048806","지정","강원특별자치도 인제군 남면 어론리 산 70-1","20110407","20110407","관급봉투",
"15","쓰레기종량제봉투판매업","09_30_13_P","4331000","433100014201600002","2016-04-29","","01","영업/정상","11","영업","","","","","","","","강원특별자치도 인제군 남면 신풍리 613","","","신남회관 충성마트","2026-04-02 17:05:32","I","2026-04-04 00:20:02","","294172.647059881","495480.096093694","지정","강원특별자치도 인제군 남면 신풍리 613","20160429","20160429","관급봉투",
"16","쓰레기종량제봉투판매업","09_30_13_P","4331000","433100014202500002","2025-02-10","","01","영업/정상","11","영업","","","","","","","","강원특별자치도 인제군 남면 신남리 361-5","강원특별자치도 인제군 남면 신남로58번길 6","24650","더달달","2026-04-02 16:42:33","I","2026-04-04 00:20:02","","294839.798117562","496657.822428434","지정","강원특별자치도 인제군 남면 신남리 361-5","20250210","20250206","관급봉투",
"17","쓰레기종량제봉투판매업","09_30_13_P","4191000","419100014202600028","2026-04-02","","01","영업/정상","11","영업","","","","","033-761-6424","","","강원특별자치도 원주시 단구동 648-17","강원특별자치도 원주시 서원대로463번길 4, 102호 (단구동)","26450","에코드림","2026-04-02 15:24:51","I","2026-04-04 00:20:02","","284623.737114517","425491.430762247","지정","강원특별자치도 원주시 단구동 648-17","20260402","20260401","관급봉투",
"18","쓰레기종량제봉투판매업","09_30_13_P","4781000","478100014202600005","2026-03-30","","01","영업/정상","11","영업","","","","","","","","전북특별자치도 고창군 고창읍 읍내리 56-6","전북특별자치도 고창군 고창읍 동리로 172-8","56441","기쁨마트","2026-04-02 20:55:16","I","2026-04-04 00:20:02","","173566.92199773","214623.078207192","지정","전북특별자치도 고창군 고창읍 읍내리 56-6","20260330","20260319","관급봉투",
"19","쓰레기종량제봉투판매업","09_30_13_P","4781000","478100014202600006","2026-03-30","","01","영업/정상","11","영업","","","","","063-562-1980","","585-801","전북특별자치도 고창군 고창읍 교촌리 53-3","전북특별자치도 고창군 고창읍 중앙로 280-3","","농수산물직판장","2026-04-02 21:06:22","I","2026-04-04 00:20:02","","173234.413287152","215055.341750921","지정","전북특별자치도 고창군 고창읍 교촌리 53-3","20260330","20260319","관급봉투",
"20","쓰레기종량제봉투판매업","09_30_13_P","4781000","478100014202600007","2026-03-30","","01","영업/정상","11","영업","","","","","063-563-3115","","","전북특별자치도 고창군 고창읍 읍내리 323-7 대성할인마트","전북특별자치도 고창군 고창읍 동리로 65, 대성할인마트","56437","(유)대성할인마트","2026-04-02 21:09:06","I","2026-04-04 00:20:02","","172637.260974205","214873.74839905","지정","전북특별자치도 고창군 고창읍 읍내리 323-7 대성할인마트","20260330","20260319","관급봉투",
"21","쓰레기종량제봉투판매업","09_30_13_P","4781000","478100014202600008","2026-03-30","","01","영업/정상","11","영업","","","","","063-564-9870","","","전북특별자치도 고창군 고창읍 읍내리 411-5 면세마트","전북특별자치도 고창군 고창읍 중거리당산로 110, 면세마트","56440","면세마트","2026-04-02 21:11:05","I","2026-04-04 00:20:02","","172599.226843856","214475.32157516","지정","전북특별자치도 고창군 고창읍 읍내리 411-5 면세마트","20260330","20260320","관급봉투",
"22","쓰레기종량제봉투판매업","09_30_13_P","4781000","478100014202600009","2026-03-30","","01","영업/정상","11","영업","","","","","063-562-2981","","","전북특별자치도 고창군 고창읍 읍내리 368-3 백양DC마트","전북특별자치도 고창군 고창읍 남정6길 28, 백양DC마트","56438","백양DC마트","2026-04-02 21:14:43","I","2026-04-04 00:20:02","","172517.69802867","214716.641956145","지정","전북특별자치도 고창군 고창읍 읍내리 368-3 백양DC마트","20260330","20260325","관급봉투",
"23","쓰레기종량제봉투판매업","09_30_13_P","3450000","345000014202600005","2026-04-02","","01","영업/정상","11","영업","","","","","","","","대구광역시 북구 태전동 272-5","대구광역시 북구 태전로13길 10-15 (태전동)","41454","이마트24 대구태전원룸점","2026-04-02 11:32:04","I","2026-04-04 00:20:02","","339089.917993325","270571.697455684","지정","대구광역시 북구 태전동 272-5","20260402","20260402","관급봉투",
"24","쓰레기종량제봉투판매업","09_30_13_P","3820000","382000014202400035","2024-09-30","","01","영업/정상","11","영업","","","","","","","","경기도 의정부시 신곡동 169-8","경기도 의정부시 시민로333번길 14, 1층 (신곡동)","11782","GS25 뉴의정대우점","2026-04-02 15:06:48","U","2026-04-04 02:40:00","","206263.267617054","470518.574502411","지정","경기도 의정부시 신곡동 169-8","20240930","20240930","관급봉투",
"25","쓰레기종량제봉투판매업","09_30_13_P","4490000","565000014202200020","2022-04-07","","03","폐업","2","폐업","2026-04-02","","","","","","","충청남도 천안시 동남구 청당동 714","충청남도 천안시 동남구 청수7로 41, 105호 (청당동)","31197","쌍용스토아 청수점","2026-04-02 11:29:07","U","2026-04-04 02:40:00","","214122.635527499","364963.155291243","지정","충청남도 천안시 동남구 청당동 714","20220407","20220407","관급봉투",
"26","쓰레기종량제봉투판매업","09_30_13_P","4090000","409000014202600008","2026-04-02","","01","영업/정상","11","영업","","","","","","","","경기도 김포시 고촌읍 전호리 644","경기도 김포시 고촌읍 아라육로152번길 210-34, 1층","10135","지에스25김포마리나베이점","2026-04-02 18:40:37","U","2026-04-04 02:40:00","","181492.763937947","455410.840678558","지정","","20260319","20260318","관급봉투",
"27","쓰레기종량제봉투판매업","09_30_13_P","4090000","409000014202600009","2026-04-02","","01","영업/정상","11","영업","","","","","","","","경기도 김포시 양촌읍 양곡리 1235 김포양곡 곡촌마을 5단지","경기도 김포시 양촌읍 양곡4로197번길 11, 김포양곡 곡촌마을 5단지 상가동 1층 101호","10056","호랑마켓","2026-04-02 18:44:22","U","2026-04-04 02:40:00","","167274.036374993","462072.802466919","지정","","20260331","20260325","관급봉투",
"28","쓰레기종량제봉투판매업","09_30_13_P","4090000","409000014202600010","2026-04-02","","01","영업/정상","11","영업","","","","","","","","경기도 김포시 운양동 1300-3 김포 한강신도시 반도유보라 2차","경기도 김포시 김포한강11로 276, 718동 제지1층 106호 (운양동, 김포 한강신도시 반도유보라 2차)","10073","소도몰 김포운양점","2026-04-02 18:46:56","U","2026-04-04 02:40:00","","171679.3598662","461297.366169442","지정","","20260331","20260330","관급봉투",
"29","쓰레기종량제봉투판매업","09_30_13_P","4090000","409000014201700019","2017-03-03","","01","영업/정상","11","영업","","","","","","","","경기도 김포시 감정동 674 신화아파트","경기도 김포시 봉화로167번길 35-22, 신화아파트 상가동 1층 9호 (감정동)","10102","씨유 김포신화점","2026-04-02 18:55:47","U","2026-04-04 02:40:00","","173513.205535488","458088.291279174","지정","경기도 김포시 감정동 674 신화아파트","20170303","20170303","관급봉투",
"30","쓰레기종량제봉투판매업","09_30_13_P","3820000","382000014202500025","2025-07-23","","01","영업/정상","11","영업","","","","","","","","경기도 의정부시 민락동 804-6","경기도 의정부시 천보로 44, 1층 (민락동)","11813","지에스더프레시 민락중앙점","2026-04-02 15:09:50","U","2026-04-04 02:40:00","","208436.880902864","471310.707482348","지정","경기도 의정부시 민락동 804-6","20250723","20250722","관급봉투",
"31","쓰레기종량제봉투판매업","09_30_13_P","4490000","565000014202000254","2020-11-20","","01","영업/정상","11","영업","","","","","041-556-1734","","","충청남도 천안시 동남구 성황동 45-15","충청남도 천안시 동남구 대흥로 298, 102동 105호 (성황동)","31122","드림문구","2026-04-02 12:42:18","U","2026-04-04 02:40:00","","213309.409705128","368107.907235916","지정","충청남도 천안시 동남구 성황동 45-15","20201120","20201120","관급봉투",
"32","쓰레기종량제봉투판매업","09_30_13_P","3450000","345000014201200177","2012-01-05","","03","폐업","2","폐업","2026-04-24","","","","3117760","","702-863","대구광역시 북구 태전동 272-5","대구광역시 북구 태전로13길 10-15 (태전동)","702-863","A마트태전1","2026-04-02 11:28:20","U","2026-04-04 02:40:00","","339089.917993325","270571.697455684","지정","대구광역시 북구 태전동 272번지 5호","20011105","20011105","관급봉투",
"33","쓰레기종량제봉투판매업","09_30_13_P","4520000","452000014201000009","2010-03-22","","01","영업/정상","11","영업","","","","","041-534-4448","","","","충청남도 아산시 음봉면 음봉면로 92 (태산LCD내)","336-864","늘푸른종합상사","2026-04-02 10:10:54","U","2026-04-04 02:40:00","","201709.288202532","372607.020261276","지정","","20100322","20100322","관급봉투",
"34","쓰레기종량제봉투판매업","09_30_13_P","3940000","395000014202600011","2026-04-03","","01","영업/정상","11","영업","","","","","","","","경기도 고양시 덕양구 행신동 1074 서정마을1단지","경기도 고양시 덕양구 서정마을2로 2, 서정마을1단지 상가동 1층 104호 (행신동)","10486","지에스25 서정1단지점","2026-04-03 16:24:58","I","2026-04-05 00:20:22","","186388.622726834","457510.929072443","지정","경기도 고양시 덕양구 행신동 1074 서정마을1단지","20260403","20260402","관급봉투",
"35","쓰레기종량제봉투판매업","09_30_13_P","4490000","565000014202300105","2023-06-18","","03","폐업","2","폐업","2026-04-03","","","","","","","충청남도 천안시 동남구 신방동 1061","충청남도 천안시 동남구 통정12로 24 (신방동)","31204","씨유 아인스점","2026-04-03 15:45:26","U","2026-04-05 02:40:00","","211604.626961631","364107.548500035","지정","충청남도 천안시 동남구 신방동 1061","20160126","20160126","관급봉투",
"36","쓰레기종량제봉투판매업","09_30_13_P","4030000","403000014202600010","2026-03-26","","01","영업/정상","11","영업","","","","","","","","경기도 의왕시 내손동 411-2","경기도 의왕시 평의길 34, 1층 (내손동)","16022","롯데쇼핑(주)롯데슈퍼 내손점","2026-04-03 16:35:51","U","2026-04-05 02:40:00","","197908.118709019","432041.564963236","지정","경기도 의왕시 내손동 411-2","20260326","20260326","관급봉투",
"37","쓰레기종량제봉투판매업","09_30_13_P","4490000","565000014202100042","2021-05-08","","01","영업/정상","11","영업","","","","","041-574-6211","","","충청남도 천안시 동남구 용곡동 166-11 1층 101호","충청남도 천안시 동남구 용곡2길 43-4, 1층 101호 (용곡동)","31184","(주)자연드림 천안용곡점","2026-04-03 16:22:44","U","2026-04-05 02:40:00","","212074.823219743","365155.896374239","지정","충청남도 천안시 동남구 용곡동 166-11 1층 101호","20210508","20210508","관급봉투",
"38","쓰레기종량제봉투판매업","09_30_13_P","4681000","468100014199900011","1999-08-23","","01","영업/정상","11","영업","","","","","0638615105","","570-893","전북특별자치도 익산시 낭산면 삼담리 554-7","전북특별자치도 익산시 낭산면 함낭로 948","54521","낭산농업협동조합","2026-04-03 09:52:16","U","2026-04-05 02:40:00","","200826.57024101","286316.446672516","","","","","관급봉투",
"39","쓰레기종량제봉투판매업","09_30_13_P","4490000","565000014202100022","2021-03-23","","01","영업/정상","11","영업","","","","","","","","충청남도 천안시 동남구 구성동 288-12","충청남도 천안시 동남구 천안대로 483-5, 1층 (구성동)","31193","씨유 천안미소지움점","2026-04-03 16:16:59","U","2026-04-05 02:40:00","","214581.103096738","365535.611968793","지정","충청남도 천안시 동남구 구성동 288-12 102호, 103호, 104호","20210323","20210323","관급봉투",
"40","쓰레기종량제봉투판매업","09_30_13_P","3450000","345000014201700040","2017-08-24","","01","영업/정상","11","영업","","","","","053-939-7773","","","대구광역시 북구 대현동 109-3","대구광역시 북구 경대로7길 26-1 (대현동)","41569","씨유(CU) 대현원룸점","2026-04-03 17:18:21","U","2026-04-05 02:40:00","","345425.862496777","266234.481274515","지정","대구광역시 북구 대현동 109번지 3호","20260406","20260402","관급봉투",
"41","쓰레기종량제봉투판매업","09_30_13_P","5580000","558000014202200004","2022-06-02","","01","영업/정상","11","영업","","","","","042-878-7973","","","대전광역시 유성구 추목동 사서함 78-8-8","","","국군복지단 대전충청지역대(개나리영외마트)","2026-04-03 17:39:06","U","2026-04-05 02:40:00","","","","지정","충청남도 계룡시 신도안면 정장리 268","","20220530","관급봉투",
"42","쓰레기종량제봉투판매업","09_30_13_P","4781000","478100014201300003","2013-04-29","","01","영업/정상","11","영업","","","","","063-561-6313","","","전북특별자치도 고창군 신림면 벽송리 557-10 고창고인돌휴게소","전북특별자치도 고창군 신림면 서해안고속도로 81, 고창고인돌휴게소","56425","푸디스트 주식회사","2026-04-04 11:15:22","I","2026-04-06 00:20:22","","170328.593982462","218778.171661955","지정","전북특별자치도 고창군 신림면 벽송리 557-10 고창고인돌휴게소","20130429","20130429","관급봉투",
"43","쓰레기종량제봉투판매업","09_30_13_P","4781000","478100014201300004","2013-04-29","","01","영업/정상","11","영업","","","","","","","","전북특별자치도 고창군 고창읍 신월리 263-18","전북특별자치도 고창군 고창읍 서해안고속도로 80","56425","푸디스트 주식회사","2026-04-04 11:19:07","I","2026-04-06 00:20:22","","170220.902097844","217959.85842058","지정","전북특별자치도 고창군 고창읍 신월리 263-18","20130429","20130429","관급봉투",
"44","쓰레기종량제봉투판매업","09_30_13_P","4781000","478100014201400010","2014-04-29","","01","영업/정상","11","영업","","","","","063-564-2813","","","전북특별자치도 고창군 고창읍 읍내리 340-2 삼흥슈퍼마켓","전북특별자치도 고창군 고창읍 시장길 21, 삼흥슈퍼마켓","56437","삼흥슈퍼","2026-04-04 10:32:17","I","2026-04-06 00:20:22","","172558.040439588","214908.224092666","지정","전북특별자치도 고창군 고창읍 읍내리 340-2 삼흥슈퍼마켓","20140429","20140429","관급봉투",
"45","쓰레기종량제봉투판매업","09_30_13_P","4781000","478100014201400012","2014-04-29","","01","영업/정상","11","영업","","","","","","","585-801","전북특별자치도 고창군 고창읍 교촌리 275-3","","","고창군청","2026-04-04 11:25:57","I","2026-04-06 00:20:22","","","","지정","전북특별자치도 고창군 고창읍 교촌리 275-3 고창군청","20140429","20140429","관급봉투",
"46","쓰레기종량제봉투판매업","09_30_13_P","4781000","478100014201400013","2014-04-29","","01","영업/정상","11","영업","","","","","063-561-4220","","","전북특별자치도 고창군 고창읍 읍내리 199-6","전북특별자치도 고창군 고창읍 중앙로 231","56433","채널Q","2026-04-04 11:29:53","I","2026-04-06 00:20:22","","172765.920684109","215127.4108069","지정","전북특별자치도 고창군 고창읍 읍내리 199-6","20140429","20140429","관급봉투",
"47","쓰레기종량제봉투판매업","09_30_13_P","4781000","478100014201400014","2014-04-29","","01","영업/정상","11","영업","","","","","063-564-3707","","","전북특별자치도 고창군 고창읍 읍내리 324-78 피노키오신발","전북특별자치도 고창군 고창읍 시장길 14, 피노키오신발","56437","현대슈퍼","2026-04-04 11:32:13","I","2026-04-06 00:20:22","","172534.580555881","214988.068797446","지정","전북특별자치도 고창군 고창읍 읍내리 324-78 피노키오신발","20140429","20140429","관급봉투",
"48","쓰레기종량제봉투판매업","09_30_13_P","4781000","478100014202600010","2026-04-04","","01","영업/정상","11","영업","","","","","063-564-2497","","","전북특별자치도 고창군 고창읍 읍내리 340-4 서림지업사","전북특별자치도 고창군 고창읍 시장길 20, 서림지업사","56437","서림지업사","2026-04-04 10:07:08","I","2026-04-06 00:20:22","","172530.586858327","214917.390520796","지정","전북특별자치도 고창군 고창읍 읍내리 340-4 서림지업사","20260404","20260403","관급봉투",
"49","쓰레기종량제봉투판매업","09_30_13_P","4641000","464100014202600033","2026-04-06","","01","영업/정상","11","영업","","","","","","","","전북특별자치도 전주시 덕진구 송천동2가 1345 103호","전북특별자치도 전주시 덕진구 세병로 134, 103, 104호 (송천동2가)","55150","씨유 뉴에코데시앙네스트점","2026-04-04 12:29:51","I","2026-04-06 00:20:22","","212316.279957192","263871.163228277","지정","전북특별자치도 전주시 덕진구 송천동2가 1345 103호","20260406","20260402","관급봉투",
"50","쓰레기종량제봉투판매업","09_30_13_P","4641000","464100014202600034","2026-04-04","","01","영업/정상","11","영업","","","","","","","","전북특별자치도 전주시 덕진구 덕진동2가 60-2","전북특별자치도 전주시 덕진구 기린대로 586, 1층 (덕진동2가)","54840","호반철물","2026-04-04 12:31:43","I","2026-04-06 00:20:22","","210430.502622086","260958.127909492","지정","전북특별자치도 전주시 덕진구 덕진동2가 60-2","20260406","20260403","관급봉투",
"51","쓰레기종량제봉투판매업","09_30_13_P","4781000","478100014201400009","2014-04-29","","01","영업/정상","11","영업","","","","","063-563-5022","","","전북특별자치도 고창군 심원면 월산리 801-6 심원농협","전북특별자치도 고창군 심원면 심원로 201, 심원농협","56400","해리농업협동조합 심원지점","2026-04-04 10:35:08","U","2026-04-06 02:40:00","","159107.781059881","224996.797740268","지정","전북특별자치도 고창군 심원면 월산리 801-6 심원농협","20140429","20140429","관급봉투",
"52","쓰레기종량제봉투판매업","09_30_13_P","4641000","464100014202200086","2022-06-12","","03","폐업","2","폐업","2026-04-03","","","","","","","전북특별자치도 전주시 덕진구 송천동2가 1345 에코시티 데시앙 네스트","전북특별자치도 전주시 덕진구 세병로 130, 근린생활시설동 1층 106호 (송천동2가, 에코시티 데시앙 네스트)","55150","씨유 에코데시앙네스트점","2026-04-04 12:26:47","U","2026-04-06 02:40:00","","212316.279957192","263871.163228277","지정","전북특별자치도 전주시 덕진구 송천동2가 1345 에코시티 데시앙 네스트","20220612","20220610","관급봉투",
"53","쓰레기종량제봉투판매업","09_30_13_P","4090000","409000014202600011","2026-04-05","","01","영업/정상","11","영업","","","","","031-986-1425","","","경기도 김포시 걸포동 1558 오스타파라곤아파트","경기도 김포시 걸포1로 11, 상가동 지하1층 205호 (걸포동, 오스타파라곤아파트)","10099","김포시니어클럽 지에스25걸포오스타점","2026-04-05 16:50:01","I","2026-04-07 00:20:01","","173797.633296797","459205.808278833","지정","","20260406","20260403","관급봉투",
