"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업종구분명","관리업구분명","자본금","자산","보수범위","유지관리책임인력수","실무기술인력수","설계책임기술인력수","제조책임기술인력수","임원수","총직원수","기술직직원수","기능직직원수","사무직직원수","기타직원수","회사구분명","사업자등록번호",
"14","승강기유지관리업체","11_48_01_P","5530000","2014553023233500005","2000-03-17","","01","영업/정상","01","영업중","","","","","031-351-6411","","","경기도 화성시 만세구 장안면 독정리 230번지 3호","경기도 화성시 만세구 장안면 장안로 480-2","18583","(주)디엠씨코리아","2026-02-01 11:00:57","I","2026-02-04 01:35:23","","188010.193689459","397135.794267452","","","","","","","","","","","","","","","","","",
"15","승강기유지관리업체","11_48_01_P","5530000","2025553060933500001","2025-09-11","","01","영업/정상","01","영업중","","","","","031-223-5271","","","경기도 화성시 병점구 병점동 844-3 이타운4 801호","경기도 화성시 병점구 효행로 1060, 이타운4 (병점동)","18405","하나로티엠에스 주식회사","2026-02-01 11:00:57","I","2026-02-04 01:35:23","","203760.122353984","412497.212229325","","","","","","","","","","","","","","","","","",
"16","승강기유지관리업체","11_48_01_P","5530000","2025553060933500002","2025-10-30","","01","영업/정상","01","영업중","","","","","031-366-8508","","","경기도 화성시 만세구 팔탄면 구장리 415-15","경기도 화성시 만세구 팔탄면 푸른들판로 555-3, 3동 201호","","주식회사 지에스이엘","2026-02-01 11:00:57","I","2026-02-04 01:35:23","","190889.482540836","406267.014243995","","","","","","","","","","","","","","","","","",
"17","승강기유지관리업체","11_48_01_P","5530000","2015553030133500001","2015-09-21","","03","폐업","02","폐지","2017-08-03","","","","0312217702","","","경기도 화성시 효행구 봉담읍 동화리 139번지 1호","경기도 화성시 효행구 봉담읍 와우안길 109, 106동 202호 (화성공구유통밸리)","18298","(주)한마음엘리베이터","2026-02-01 11:00:57","I","2026-02-04 01:35:23","","197607.132367783","413349.198055201","","","","","","","","","","","","","","","","","",
"18","승강기유지관리업체","11_48_01_P","5530000","2016553030133500001","2016-05-09","","01","영업/정상","01","영업중","","","","","031-548-1338","","","경기도 화성시 효행구 봉담읍 왕림리 203번지 1호","경기도 화성시 효행구 봉담읍 독정길 45","18332","(주)청명엘리베이터","2026-02-01 11:00:57","I","2026-02-04 01:35:23","","194316.411890858","410481.060644345","","","","","","","","","","","","","","","","","",
"19","승강기유지관리업체","11_48_01_P","5530000","2016553033933500001","2016-07-07","","03","폐업","02","폐지","2017-03-02","","","","031)898-9382","","","","경기도 화성시 효행구 봉담읍 와우안길 109, 108동 209호 (화성공구유통밸리)","18298","(주)신세기엘리베이터","2026-02-01 11:00:57","I","2026-02-04 01:35:23","","197607.132367783","413349.198055201","","","","","","","","","","","","","","","","","",
"20","승강기유지관리업체","11_48_01_P","5530000","2016553033933500002","2011-03-14","","01","영업/정상","01","영업중","","","","","031-477-0235","","","","경기도 화성시 만세구 마도면 금해로135번길 83","","수림엘리베이터(주)","2026-02-01 11:00:57","I","2026-02-04 01:35:23","","177151.950860299","411255.130960304","","","","","","","","","","","","","","","","","",
"21","승강기유지관리업체","11_48_01_P","5530000","2017553037133500001","2017-12-15","","01","영업/정상","01","영업중","","","","","031-356-5420","","","경기도 화성시 만세구 팔탄면 율암리 398-135","경기도 화성시 만세구 팔탄면 노하길 509, 비동 204호","18530","동양엘리베이터(주)","2026-02-01 11:00:57","I","2026-02-04 01:35:23","","189245.818271337","407196.930452973","","","","","","","","","","","","","","","","","",
"22","승강기유지관리업체","11_48_01_P","5530000","2018553037933500001","2001-04-10","","03","폐업","02","폐지","2024-03-22","","","","031-431-7417","","","경기도 화성시 만세구 남양읍 장덕리 245번지 3호","경기도 화성시 만세구 남양읍 남양로 248-7","18281","신원기전㈜","2026-02-01 11:00:57","I","2026-02-04 01:35:23","","182995.579427956","406957.126294907","","","","","","","","","","","","","","","","","",
"23","승강기유지관리업체","11_48_01_P","5530000","2018553037933500002","2018-08-01","","01","영업/정상","01","영업중","","","","","031-377-6205","","","경기도 화성시 병점구 반월동 275번지 3호","경기도 화성시 병점구 동탄지성로412번길 50-1, 5층 (반월동)","18385","주식회사 현우시스템","2026-02-01 11:00:57","I","2026-02-04 01:35:23","","204462.182213874","414024.48254953","","","","","","","","","","","","","","","","","",
"24","승강기유지관리업체","11_48_01_P","5530000","2024553043033500001","2023-12-28","","01","영업/정상","01","영업중","","","","","031-433-8770","","","경기도 화성시 만세구 남양읍 장덕리 245-3","경기도 화성시 만세구 남양읍 남양로 248-7","18281","티앤에스엘리베이터 주식회사","2026-02-01 11:00:57","I","2026-02-04 01:35:23","","182995.579427956","406957.126294907","","","","","","","","","","","","","","","","","",
"25","승강기유지관리업체","11_48_01_P","5530000","2024553060933500001","2024-09-09","","01","영업/정상","01","영업중","","","","","031-233-7826","","","경기도 화성시 병점구 진안동 524-1 메트로 프라자","경기도 화성시 병점구 병점로 37-6, 메트로 프라자 (진안동)","18401","보성엘리베이터(주)","2026-02-01 11:00:57","I","2026-02-04 01:35:23","","203335.142133784","412121.312831616","","","","","","","","","","","","","","","","","",
"26","승강기유지관리업체","11_48_01_P","5530000","2024553060933500002","2024-10-31","","01","영업/정상","01","영업중","","","","","031-221-7561","","","경기도 화성시 효행구 봉담읍 동화리 139-1 화성공구유통밸리 104동 201호","경기도 화성시 효행구 봉담읍 와우안길 109, 화성공구유통밸리","18298","주식회사 하나승강기","2026-02-01 11:00:57","I","2026-02-04 01:35:23","","197607.132367783","413349.198055201","","","","","","","","","","","","","","","","","",
"27","승강기유지관리업체","11_48_01_P","5530000","2018553037933500003","2018-08-06","","01","영업/정상","01","영업중","","","","","031-898-9382","","","경기도 화성시 효행구 봉담읍 와우리 31번지 16호 리젠트프라자 406호","경기도 화성시 효행구 봉담읍 참샘길 27, 리젠트프라자 406호","18321","주식회사 신세기엘리베이터","2026-02-01 11:00:57","I","2026-02-04 01:35:23","","197692.038871848","412501.996404059","","","","","","","","","","","","","","","","","",
"28","승강기유지관리업체","11_48_01_P","5530000","2019553037933500001","2019-10-16","","01","영업/정상","01","영업중","","","","","031-377-2952","","","경기도 화성시 동탄구 영천동 99번지 2호","경기도 화성시 동탄구 동탄대로 677-10 (영천동)","18468","(주)우리엘리베이터","2026-02-01 11:00:57","I","2026-02-04 01:35:23","","208774.28783003","412533.459938082","","","","","","","","","","","","","","","","","",
"29","승강기유지관리업체","11_48_01_P","5530000","2019553037933500002","2019-11-11","","01","영업/정상","01","영업중","","","","","0312385991","","","경기도 화성시 병점구 진안동 524-1 메트로 프라자","경기도 화성시 병점구 병점로 37-6, 메트로 프라자 201호 (진안동)","18401","한길승강기 주식회사","2026-02-01 11:00:57","I","2026-02-04 01:35:23","","203335.142133784","412121.312831616","","","","","","","","","","","","","","","","","",
"30","승강기유지관리업체","11_48_01_P","5530000","2019553037933500003","2019-11-19","","01","영업/정상","01","영업중","","","","","031-353-3131","","","경기도 화성시 만세구 팔탄면 구장리 127번지 6호","경기도 화성시 만세구 팔탄면 시청로940번길 29","18529","(주)삼일엘텍","2026-02-01 11:00:57","I","2026-02-04 01:35:23","","190491.089887822","407201.348898002","","","","","","","","","","","","","","","","","",
"31","승강기유지관리업체","11_48_01_P","5530000","2020553043033500001","2020-03-06","","01","영업/정상","01","영업중","","","","","031-267-1123","","","경기도 화성시 효행구 봉담읍 동화리 139번지 1호 화성공구유통밸리","경기도 화성시 효행구 봉담읍 와우안길 109, 화성공구유통밸리","18298","(주)세아엘리텍","2026-02-01 11:00:57","I","2026-02-04 01:35:23","","197607.132367783","413349.198055201","","","","","","","","","","","","","","","","","",
"32","승강기유지관리업체","11_48_01_P","5530000","2020553043033500002","2020-07-31","","01","영업/정상","01","영업중","","","","","02-1577-1246","","","경기도 화성시 동탄구 금곡동 197","경기도 화성시 동탄구 금곡로 231-22 (금곡동)","18511","케이티(주)","2026-02-01 11:00:57","I","2026-02-04 01:35:23","","206811.316476276","408903.429437191","","","","","","","","","","","","","","","","","",
"33","승강기유지관리업체","11_48_01_P","5530000","2023553043033500001","2023-10-25","","01","영업/정상","01","영업중","","","","","031-222-8887","","","경기도 화성시 효행구 봉담읍 동화리 139-1 화성공구유통밸리","경기도 화성시 효행구 봉담읍 와우안길 109, 화성공구유통밸리 111동 2층 210호","18298","주식회사 나우이엔씨","2026-02-01 11:00:57","I","2026-02-04 01:35:23","","197607.132367783","413349.198055201","","","","","","","","","","","","","","","","","",
"34","승강기유지관리업체","11_48_01_P","6440000","644000000016","2004-07-05","","01","영업/정상","1","인허가","","","","","0415310112","","","충청남도 아산시 배방읍 북수리 1545번지","충청남도 아산시 배방읍 월천2길 8-16","31494","(주)대명이엔지","2026-02-02 15:05:45","U","2026-02-04 02:40:00","","206677.226230166","363474.494361197","유지관리","중저속승강기","230000000","","1,100","5","0","","","","11","2","6","","","본점","3128161011",
"35","승강기유지관리업체","11_48_01_P","6410000","570000000003","2023-08-02","","01","영업/정상","1","인허가","","","","","0318869121","","12647","경기도 여주시 세종대왕면 매류리 315-8","경기도 여주시 세종대왕면 능여로 74","12647","(주)위드엘리베이터","2026-02-02 00:00:00","U","2026-02-04 02:40:00","","","","유지관리","중저속승강기","250","","700","2","","","","","","","","","","본점","1258632917",
"36","승강기유지관리업체","11_48_01_P","6500000","651000000019","2023-06-13","","01","영업/정상","1","인허가","","","","","0516376112","","05399","서울특별시 강동구 성내동 551-1 삼원타워","서울특별시 강동구 성내로6길 11, 삼원타워 2층 (성내동)","05399","오티스서비스엑스퍼트(유)제주지사","2026-02-02 00:00:00","U","2026-02-04 02:40:00","","","","유지관리","중저속승강기","2650","2650","1200","1","","","","","","","","","","지점","6038527770",
"37","승강기유지관리업체","11_48_01_P","5690000","2017569016633500001","2017-04-10","","02","휴업","03","휴지","","2017-06-26","2017-12-30","","044-867-9956","","","세종특별자치시 조치원읍 죽림리 254번지 2호 대산빌딩 201-3호","세종특별자치시 조치원읍 충현로 28, 201-3호 (대산빌딩)","30034","(주)수정한울이엔씨","2026-02-02 02:01:29","U","2026-02-04 02:40:00","","226696.796515228","343427.467514614","유지관리","중저속승강기","130","","700","1","6","","","","","","","","","본점","3078140601",
"38","승강기유지관리업체","11_48_01_P","5690000","2017569016633500002","2017-09-26","","01","영업/정상","01","영업중","","","","","044-868-8955","","","세종특별자치시 어진동 657번지","세종특별자치시 가름로 232, A동 3층 312호 (어진동, 세종비지니스센터,세종세무서)","30121","세종엘리베이터 주식회사","2026-02-02 02:01:29","U","2026-02-04 02:40:00","","223663.463627093","332767.324869772","유지관리","중저속승강기","100","","900","1","9","","","","","","","","","본점","8248100803",
"39","승강기유지관리업체","11_48_01_P","5690000","2019569023533500001","2022-06-10","","03","폐업","02","폐지","2022-06-10","","","","044-867-2446","","","세종특별자치시 나성동 758번지 노블비즈니스타운","세종특별자치시 한누리대로 312, 노블비즈니스타운 511호 (나성동)","30128","주식회사 동아엘리베이터","2026-02-02 02:01:29","U","2026-02-04 02:40:00","","222939.825211681","332375.531847155","유지관리","중저속승강기","100","","900","1","8","","","","","","","","","본점","5748700889",
"40","승강기유지관리업체","11_48_01_P","5690000","2020569027633500001","2020-11-05","","01","영업/정상","01","영업중","","","","","044-862-4682","","","세종특별자치시 대평동 63-10 쁘띠테라스","세종특별자치시 대평3길 10, 쁘띠테라스 5층 502, 503호 (대평동)","30152","주식회사 미키엔지니어링","2026-02-02 02:01:29","U","2026-02-04 02:40:00","","224639.428614204","330349.030473047","유지관리","중저속승강기","300","0","810","2","7","","","","","","","","","본점","3068131088",
"41","승강기유지관리업체","11_48_01_P","5690000","2021569027633500002","2021-04-07","","01","영업/정상","01","영업중","","","","","044-862-8258","","","세종특별자치시 나성동 746 에스제이타워 1동 505호","세종특별자치시 한누리대로 249, 에스제이타워 5층 505호 (나성동)","30127","주식회사 코리아엘리베이터","2026-02-02 02:01:29","U","2026-02-04 02:40:00","","222997.581735654","331745.838232211","유지관리","중저속승강기","300","","990","2","9","","","","","","","","","본점","3018157647",
"42","승강기유지관리업체","11_48_01_P","6290000","629000000045","2001-07-04","","01","영업/정상","1","인허가","","","","","0626518555","","61658","광주광역시 남구 백운동 601-18","광주광역시 남구 백운로25번길 11 (백운동)","61658","현승엘리베이터(주)","2026-02-02 16:47:07","U","2026-02-04 02:40:00","","","","유지관리","중저속승강기","200000000","","1,620","2","","","","","18","","","","","본점","4088147004",
"43","승강기유지관리업체","11_48_01_P","5690000","2022569037333500001","2022-06-10","","01","영업/정상","01","영업중","","","","","044-866-8285","","","세종특별자치시 나성동 789 제이빌딩","세종특별자치시 나성북1로 18, 제이빌딩 510호 (나성동)","30128","케이티엘리베이터(주)","2026-02-02 02:01:29","U","2026-02-04 02:40:00","","223061.0385","332256.514","유지관리","중저속승강기","100","","630","2","5","","","","","","","","","본점","5278102517",
"44","승강기유지관리업체","11_48_01_P","6270000","627000000107","2024-10-02","","01","영업/정상","1","인허가","","","","","0537658064","","42221","대구광역시 수성구 지산동 1203-8","대구광역시 수성구 용학로44길 36, 3층 (지산동)","42221","(주)더원엘리베이터","2026-01-30 17:40:01","U","2026-02-04 11:04:37","","347608.364725712","259004.392955808","유지관리","중저속승강기","100000000","","900","1","","","","","10","","","","","본점","2848603439",
"45","승강기유지관리업체","11_48_01_P","6410000","554000000004","2022-02-07","","01","영업/정상","1","인허가","","","","","0317979116","","","경기도 광주시 초월읍 대쌍령리 496 쌍용 더 플래티넘 광주","경기도 광주시 초월읍 경충대로1284번길 36, 쌍용 더 플래티넘 광주 상가동 118호호","","주식회사 대현엘리베이터","2026-01-30 00:00:00","U","2026-02-04 11:04:37","","","","유지관리","중저속승강기","100","","800","1","","","","","","","","","","본점","6918702275",
"46","승강기유지관리업체","11_48_01_P","6410000","554000000006","2024-06-11","","01","영업/정상","1","인허가","","","","","0317989974","","","경기도 광주시 추자동 317","경기도 광주시 오포로 744-4 (추자동)","","에이치원엘리베이터주식회사","2026-01-30 00:00:00","U","2026-02-04 11:04:37","","","","유지관리","중저속승강기","100","100","700","1","","","","","","","","","","본점","4358603115",
"47","승강기유지관리업체","11_48_01_P","6290000","629000000012","1993-01-09","","01","영업/정상","1","인허가","","","","","0623611633","","","광주광역시 서구 농성동 417-40 한국교직원공제회관","광주광역시 서구 죽봉대로 52, 한국교직원공제회관 1층(농성동)","61932","현대엘리베이터(주) 광주지사","2026-01-30 07:59:30","U","2026-02-04 11:04:37","","189311.261943371","184322.154390632","유지관리","고속승강기,중저속승강기","35662565000","","7,830","18","","","","","87","","","","","본점","4108503292",
"48","승강기유지관리업체","11_48_01_P","6430000","643000000042","2018-01-19","","01","영업/정상","1","인허가","","","","","0220075800","","07326","서울특별시 영등포구 여의도동 23번지 서울국제금융센터","서울특별시 영등포구 국제금융로 10, 서울국제금융센터 8층 (여의도동)","07326","오티스엘리베이터(유) 충북","2026-01-30 11:25:54","U","2026-02-04 11:04:37","","193326.931018911","446973.914570276","유지관리","고속승강기,중저속승강기","14760000000","","7,700","7","","","","","77","","","","","지점","8858500752",
"49","승강기유지관리업체","11_48_01_P","6110000","611000000521","2021-08-17","","01","영업/정상","1","인허가","","","","","0221545700","","","서울특별시 서초구 서초동 1424-2 GS건설서초타워 0호","서울특별시 서초구 남부순환로 2477, GS건설서초타워 7층 (서초동)","06725","자이엘리베이터 주식회사","2026-01-30 16:21:00","U","2026-02-04 11:04:37","","201803.380443919","442337.458957919","유지관리","고속승강기,중저속승강기","5000000000","","5,400","6","","","","","54","","","","","본점","1588102081",
"50","승강기유지관리업체","11_48_01_P","6410000","394000000012","2017-10-30","","01","영업/정상","1","인허가","","","","","","","10355","경기도 고양시 일산동구 중산동 1682번지 대방 트리플라온 비즈니스 타워","경기도 고양시 일산동구 하늘마을로 158, B동 5층 504호 (중산동)","10355","(주)동우엘리베이터","2026-01-30 00:00:00","U","2026-02-04 11:04:37","","","","유지관리","중저속승강기","100","","4230","4","","","","","","","","","","본점","6828800815",
"51","승강기유지관리업체","11_48_01_P","6410000","394000000007","2014-08-13","","01","영업/정상","1","인허가","","","","","0319174796","","10437","경기도 고양시 덕양구 토당동 672번지 10호","경기도 고양시 덕양구 호수로71번길 70 (토당동)","10437","신한엘리베이터 주식회사","2026-01-30 00:00:00","U","2026-02-04 11:04:37","","","","유지관리","중저속승강기","300","","1800","1","","","","","","","","","","본점","1178124600",
"52","승강기유지관리업체","11_48_01_P","6410000","378000000005","2008-07-31","","01","영업/정상","1","인허가","","","","","031 7264604","","463-440","","경기도 성남시 분당구 운중로 121, 502,503호 (운중동, KPGA빌딩)","463-440","한국미쓰비시엘리베이터(주)","2026-01-30 00:00:00","U","2026-02-04 11:04:37","","","","유지관리","고속승강기,중저속승강기","38500","150795","8370","9","0","","","","","","","","","본점","1298539235",
"53","승강기유지관리업체","11_48_01_P","6410000","382000000002","2011-12-05","","01","영업/정상","1","인허가","","","","","031 8793523","","11815","경기도 의정부시 민락동 927-1 의정부 더리브 센텀스퀘어Ⅰ 지식산업센터","경기도 의정부시 배꽃길 105, 의정부 더리브 센텀스퀘어Ⅰ 지식산업센터 1차 5층 510호 (민락동)","11815","금오엘리베이터(주)","2026-01-30 00:00:00","U","2026-02-04 11:04:37","","","","유지관리","중저속승강기","200","300","1300","1","0","","","","","","","","","본점","1278635230",
"54","승강기유지관리업체","11_48_01_P","6410000","378000000006","2018-03-18","","01","영업/정상","1","인허가","","","","","07088917441","","13543","경기도 성남시 분당구 백현동 404-6","경기도 성남시 분당구 대왕판교로395번길 8, B동 4층 (백현동)","13543","오티스엘리베이터 유한회사","2026-01-30 00:00:00","U","2026-02-04 11:04:37","","","","유지관리","고속승강기,중저속승강기","14760","","7200","12","","","","","","","","","","본점","1298552470",
"55","승강기유지관리업체","11_48_01_P","6280000","628000000130","2019-01-08","","01","영업/정상","1","인허가","","","","","0324311712","","","인천광역시 남동구 구월동 1150-14 국일빌딩","인천광역시 남동구 남동대로733번길 8, 국일빌딩 3층 (구월동)","21571","(주)경인엘레베이터","2026-02-03 09:01:19","U","2026-02-06 02:40:00","","173987.543491062","438487.873177866","유지관리","중저속승강기","200000000","","990","2","","","","","11","","","","","본점","4648701295",
"56","승강기유지관리업체","11_48_01_P","6300000","630000000007","1992-12-29","","01","영업/정상","1","인허가","","","","","0424808840","","35209","대전광역시 서구 둔산동 929번지 사학연금회관","대전광역시 서구 한밭대로 809, 사학연금회관 7층 (둔산동)","35209","오티스엘리베이터(유)","2026-02-03 10:20:05","U","2026-02-06 02:40:00","","234835.189646761","317566.264726302","유지관리","중저속승강기","33400000000","","5,400","8","","","","","60","","","","","본점","3148511489",
"57","승강기유지관리업체","11_48_01_P","6300000","630000000009","1992-12-29","","01","영업/정상","1","인허가","","","","","0425361045","","34379","대전광역시 대덕구 오정동 62-1 우성빌딩","대전광역시 대덕구 한밭대로 1027, 우성빌딩 6층 (오정동)","34379","현대엘리베이터(주)대전지사","2026-02-03 13:32:20","U","2026-02-06 02:40:00","","236964.035464558","317641.120686496","유지관리","고속승강기,중저속승강기","212235955000","","8,460","20","0","","","","94","","","","","본점","3068504823",
"58","승강기유지관리업체","11_48_01_P","6270000","627000000088","2014-10-07","","01","영업/정상","1","인허가","","","","","0535564592","","","대구광역시 북구 노원동3가 21-1 3층","대구광역시 북구 노원로1길 179, 3층 (노원동3가)","41494","(주)남경엘리베이터","2026-02-03 18:13:06","U","2026-02-06 02:40:00","","342240.787463317","267842.404159703","유지관리","중저속승강기","105000000","","630","1","0","","","","7","","","","","본점","5038156813",
"59","승강기유지관리업체","11_48_01_P","6300000","630000000088","2024-10-14","","01","영업/정상","1","인허가","","","","","0425341122","","","대전광역시 서구 변동 50-3","대전광역시 서구 도산로 185, 3층 (변동)","35322","(주)태산엘리베이터","2026-02-04 17:38:44","U","2026-02-06 02:40:00","","233915.701782563","313874.911710528","유지관리","중저속승강기","200000000","","720","1","","","","","8","","","","","본점","7958702918",
"60","승강기유지관리업체","11_48_01_P","6280000","628000000058","1999-04-15","","01","영업/정상","1","인허가","","","","","0324722828","","","인천광역시 남동구 만수동 5번지 426호 신동아아파트 관리동 2층","인천광역시 남동구 만수로111번길 38, 201호 (만수동,신동아아파트관리동)","21521","세계이엠티(주)","2026-02-03 09:03:11","U","2026-02-06 02:40:00","","176669.87296832","440531.187084353","유지관리","고속승강기,중저속승강기","150000000","","2,430","3","0","","","","27","","","","","본점","1318637561",
"61","승강기유지관리업체","11_48_01_P","6280000","628000000010","1993-03-25","","01","영업/정상","1","인허가","","","","","0325788521","","","인천광역시 서구 청라동 202-5","인천광역시 서구 파랑로 495, 청라에이스하이테크시티 2동 907호 (청라동)","22770","신일산전(주)","2026-02-03 09:00:42","U","2026-02-06 02:40:00","","167337.104265716","448018.638890001","유지관리","중저속승강기","200000000","","900","1","0","","","","10","","","","","본점","1318156641",
"62","승강기유지관리업체","11_48_01_P","6280000","628000000070","2001-11-02","","01","영업/정상","1","인허가","","","","","0325220178","","","인천광역시 서구 가정동 618-1 새롬프라자801호,802호","인천광역시 서구 봉오재3로 96, 새롬프라자 801호 (가정동)","22731","신성엘리베이터(주)","2026-02-03 09:01:55","U","2026-02-06 02:40:00","","170791.714578843","447267.171722161","유지관리","고속승강기,중저속승강기","200000000","","2,000","2","0","","","","23","","","","","본점","1228159644",
"63","승강기유지관리업체","11_48_01_P","6280000","628000000071","2002-01-25","","01","영업/정상","1","인허가","","","","","0325045172","","403-030","인천광역시 부평구 청천동   425번지 우림라이온스밸리 C동 606","인천광역시 부평구 부평대로 283 (청천동,우림라이온스밸리 C동 606)","","(주)주원엘리베이터","2026-02-03 09:02:28","U","2026-02-06 02:40:00","","175126.717022995","446169.201205367","유지관리","고속승강기,중저속승강기","200000000","","2,970","3","0","","","","33","","","","","본점","1228169706",
