번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),업종구분명,관리업구분명,자본금,자산,보수범위,유지관리책임인력수,실무기술인력수,설계책임기술인력수,제조책임기술인력수,임원수,총직원수,기술직직원수,기능직직원수,사무직직원수,기타직원수,회사구분명,사업자등록번호,Unnamed: 45,record_key
71,승강기유지관리업체,11_48_01_P,6260000,626000000172,2024-10-16,,1,영업/정상,1,인허가,,,,,0517571197,,47575,부산광역시 연제구 연산동 2235-4 선경아파트 상가동 201호,"부산광역시 연제구 과정로 74, 상가동 201호 (연산동, 선경아파트)",47575,주식회사 착한엘리베이터,2026-02-06 14:41:53,U,2026-02-08 02:40:00,,392134.502954457,188467.241084113,유지관리,중저속승강기,100000000.0,,800,1.0,,,,,10.0,,,,,본점,7218103535.0,,주식회사착한엘리베이터_부산광역시연제구연산동2235-4선경아파트상가동201호
53,승강기유지관리업체,11_48_01_P,6300000,630000000088,2024-10-14,,1,영업/정상,1,인허가,,,,,0425341122,,,대전광역시 서구 변동 50-3,"대전광역시 서구 도산로 185, 3층 (변동)",35322,(주)태산엘리베이터,2026-02-04 17:38:44,U,2026-02-06 02:40:00,,233915.701782563,313874.911710528,유지관리,중저속승강기,200000000.0,,720,1.0,,,,,8.0,,,,,본점,7958702918.0,,(주)태산엘리베이터_대전광역시서구변동50-3
42,승강기유지관리업체,11_48_01_P,6270000,627000000107,2024-10-02,,1,영업/정상,1,인허가,,,,,0537658064,,42221,대구광역시 수성구 지산동 1203-8,"대구광역시 수성구 용학로44길 36, 3층 (지산동)",42221,(주)더원엘리베이터,2026-01-30 17:40:01,U,2026-02-04 11:04:37,,347608.364725712,259004.392955808,유지관리,중저속승강기,100000000.0,,900,1.0,,,,,10.0,,,,,본점,2848603439.0,,(주)더원엘리베이터_대구광역시수성구지산동1203-8
173,승강기유지관리업체,11_48_01_P,6310000,631000000027,2024-09-23,,1,영업/정상,1,인허가,,,,,0522926100,,44228,울산광역시 북구 신천동 346-5 성우현대아파트상가 208호,"울산광역시 북구 호계로 313, 208호 (신천동, 성우현대아파트)",44228,(주)해광엘리베이터,2026-02-19 08:46:15,U,2026-02-21 02:40:00,,412821.264135121,239344.207391768,유지관리,중저속승강기,100000000.0,,630,1.0,,,,,6.0,,,,,본점,7828703245.0,,(주)해광엘리베이터_울산광역시북구신천동346-5성우현대아파트상가208호
25,승강기유지관리업체,11_48_01_P,5530000,2024553060933500001,2024-09-09,,1,영업/정상,1,영업중,,,,,031-233-7826,,,경기도 화성시 병점구 진안동 524-1 메트로 프라자,"경기도 화성시 병점구 병점로 37-6, 메트로 프라자 (진안동)",18401,보성엘리베이터(주),2026-02-01 11:00:57,I,2026-02-04 01:35:23,,203335.142133784,412121.312831616,,,,,,,,,,,,,,,,,,,보성엘리베이터(주)_경기도화성시병점구진안동524-1메트로프라자
194,승강기유지관리업체,11_48_01_P,6540000,464100000001,2024-06-25,,1,영업/정상,1,인허가,,,,,,,55028,전북특별자치도 전주시 덕진구 우아동1가 1097-7,"전북특별자치도 전주시 덕진구 한배미로 64-1, 2층 (우아동1가)",55028,한국승강기기술연구소,2026-02-20 00:00:00,U,2026-02-22 02:40:00,,,,유지관리,중저속승강기,100.0,100.0,700,1.0,,,,,,,,,,본점,1955500220.0,,한국승강기기술연구소_전북특별자치도전주시덕진구우아동1가1097-7
208,승강기유지관리업체,11_48_01_P,6410000,554000000006,2024-06-11,,1,영업/정상,1,인허가,,,,,0317989974,,,경기도 광주시 추자동 317,경기도 광주시 오포로 744-4 (추자동),,에이치원엘리베이터주식회사,2026-02-23 00:00:00,U,2026-02-25 02:40:00,,,,유지관리,중저속승강기,100.0,100.0,700,1.0,,,,,,,,,,본점,4358603115.0,,에이치원엘리베이터주식회사_경기도광주시추자동317
65,승강기유지관리업체,11_48_01_P,6270000,627000000105,2024-04-24,,1,영업/정상,1,인허가,,,,,0539840311,,41409,대구광역시 북구 연경동 926-1 201호,"대구광역시 북구 연경중앙로11길 4, 201호 (연경동)",41409,주식회사 창성엘리베이터,2026-02-05 17:59:55,U,2026-02-07 02:40:00,,345841.917429127,272985.186923139,유지관리,중저속승강기,100000000.0,,450,1.0,,,,,5.0,,,,,본점,8768703119.0,,주식회사창성엘리베이터_대구광역시북구연경동926-1201호
153,승강기유지관리업체,11_48_01_P,6480000,534000000001,2024-01-17,,1,영업/정상,1,인허가,,,,,,,52510,경상남도 사천시 축동면 배춘리 765-13 풍운정,"경상남도 사천시 축동면 길평1길 6, 풍운정",52510,(주)삼성엘리베이터,2026-02-13 00:00:00,U,2026-02-15 02:40:00,,,,유지관리,중저속승강기,100.0,,800,2.0,,,,,,,,,,본점,3908103059.0,,(주)삼성엘리베이터_경상남도사천시축동면배춘리765-13풍운정
24,승강기유지관리업체,11_48_01_P,5530000,2024553043033500001,2023-12-28,,1,영업/정상,1,영업중,,,,,031-433-8770,,,경기도 화성시 만세구 남양읍 장덕리 245-3,경기도 화성시 만세구 남양읍 남양로 248-7,18281,티앤에스엘리베이터 주식회사,2026-02-01 11:00:57,I,2026-02-04 01:35:23,,182995.579427956,406957.126294907,,,,,,,,,,,,,,,,,,,티앤에스엘리베이터주식회사_경기도화성시만세구남양읍장덕리245-3
157,승강기유지관리업체,11_48_01_P,6280000,628000000140,2023-12-27,,1,영업/정상,1,인허가,,,,,0325834119,,22829,인천광역시 서구 가좌동 541-3,"인천광역시 서구 가재울로 45, 10동 (가좌동)",22829,성원엘리베이터(주),2026-02-13 10:38:01,U,2026-02-15 02:40:00,,171572.902811695,442055.563286344,유지관리,중저속승강기,500000000.0,,450,2.0,,,,,5.0,,,,,본점,1718100668.0,,성원엘리베이터(주)_인천광역시서구가좌동541-3
33,승강기유지관리업체,11_48_01_P,5530000,2023553043033500001,2023-10-25,,1,영업/정상,1,영업중,,,,,031-222-8887,,,경기도 화성시 효행구 봉담읍 동화리 139-1 화성공구유통밸리,"경기도 화성시 효행구 봉담읍 와우안길 109, 화성공구유통밸리 111동 2층 210호",18298,주식회사 나우이엔씨,2026-02-01 11:00:57,I,2026-02-04 01:35:23,,197607.132367783,413349.198055201,,,,,,,,,,,,,,,,,,,주식회사나우이엔씨_경기도화성시효행구봉담읍동화리139-1화성공구유통밸리
78,승강기유지관리업체,11_48_01_P,6410000,393000000024,2023-09-07,,1,영업/정상,1,인허가,,,,,,,15471,경기도 안산시 단원구 고잔동 707 안산법조타운 307호,"경기도 안산시 단원구 광덕서로 86, 안산법조타운 307호 (고잔동)",15471,㈜동우엘리베이터,2026-02-06 00:00:00,U,2026-02-08 02:40:00,,,,유지관리,중저속승강기,100.0,100.0,540,1.0,,,,,,,,,,본점,1228649345.0,,㈜동우엘리베이터_경기도안산시단원구고잔동707안산법조타운307호
35,승강기유지관리업체,11_48_01_P,6410000,570000000003,2023-08-02,,1,영업/정상,1,인허가,,,,,0318869121,,12647,경기도 여주시 세종대왕면 매류리 315-8,경기도 여주시 세종대왕면 능여로 74,12647,(주)위드엘리베이터,2026-02-02 00:00:00,U,2026-02-04 02:40:00,,,,유지관리,중저속승강기,250.0,,700,2.0,,,,,,,,,,본점,1258632917.0,,(주)위드엘리베이터_경기도여주시세종대왕면매류리315-8
159,승강기유지관리업체,11_48_01_P,6280000,628000000139,2023-07-19,,1,영업/정상,1,인허가,,,,,0236704370,,03127,서울특별시 종로구 연지동 1-1,서울특별시 종로구 율곡로 190 (연지동),03127,현대엘리베이터서비스 주식회사 강서센터,2026-02-14 08:30:35,U,2026-02-16 02:40:00,,199886.047854765,452569.474718211,유지관리,"고속승강기,중저속승강기",5000000000.0,,"9,360",10.0,,,,,104.0,,,,,본점,1248588425.0,,현대엘리베이터서비스주식회사강서센터_서울특별시종로구연지동1-1
133,승강기유지관리업체,11_48_01_P,6470000,647000000061,2023-07-04,,1,영업/정상,1,인허가,,,,,0544430082,,,경상북도 구미시 신평동 7-2 SM빌딩2층,"경상북도 구미시 야은로 720, SM빌딩 2층 (신평동)",39236,오티스서비스엑스퍼트(유) 대구지사,2026-02-12 17:34:49,U,2026-02-14 02:40:00,,322202.936070007,292466.330287225,유지관리,중저속승강기,2650000000.0,,"3,200",4.0,,,,,32.0,,,,,본점,3278501653.0,,오티스서비스엑스퍼트(유)대구지사_경상북도구미시신평동7-2SM빌딩2층
190,승강기유지관리업체,11_48_01_P,6110000,611000000530,2023-06-19,,1,영업/정상,1,인허가,,,,,024304020,,05770,서울특별시 송파구 가락동 175-4 대부빌딩 0호,"서울특별시 송파구 오금로46길 17, 대부빌딩 5층 (가락동)",05770,유원승강기(주),2026-02-20 11:37:49,U,2026-02-22 02:40:00,,211912.869232269,443738.240513833,유지관리,중저속승강기,100000000.0,,"2,000",3.0,,,,,21.0,,,,,본점,6218702825.0,,유원승강기(주)_서울특별시송파구가락동175-4대부빌딩0호
36,승강기유지관리업체,11_48_01_P,6500000,651000000019,2023-06-13,,1,영업/정상,1,인허가,,,,,0516376112,,05399,서울특별시 강동구 성내동 551-1 삼원타워,"서울특별시 강동구 성내로6길 11, 삼원타워 2층 (성내동)",05399,오티스서비스엑스퍼트(유)제주지사,2026-02-02 00:00:00,U,2026-02-04 02:40:00,,,,유지관리,중저속승강기,2650.0,2650.0,1200,1.0,,,,,,,,,,지점,6038527770.0,,오티스서비스엑스퍼트(유)제주지사_서울특별시강동구성내동551-1삼원타워
189,승강기유지관리업체,11_48_01_P,6480000,531000000012,2023-06-13,,1,영업/정상,1,인허가,,,,,,,,경상남도 진주시 상대동 331-1 대동아파트,"경상남도 진주시 도동천로184번길 5, 대동아파트 상가동 1층 5호 (상대동)",,주식회사 전진엘리베이터,2026-02-20 00:00:00,U,2026-02-22 02:40:00,,,,유지관리,중저속승강기,100.0,,700,2.0,,,,,,,,,,본점,8818802860.0,,주식회사전진엘리베이터_경상남도진주시상대동331-1대동아파트
64,승강기유지관리업체,11_48_01_P,6260000,626000000168,2023-05-16,,1,영업/정상,1,인허가,,,,,0516376112,,48741,부산광역시 동구 범일동 830-138 201호,"부산광역시 동구 조방로 22, 2층 201호 (범일동)",48741,오티스서비스엑스퍼트(유) 부산,2026-02-05 12:56:07,U,2026-02-07 02:40:00,,387898.982257248,184160.510606819,유지관리,"고속승강기,중저속승강기",2650000000.0,,"6,500",7.0,,,,,86.0,,,,,본점,3718501984.0,,오티스서비스엑스퍼트(유)부산_부산광역시동구범일동830-138201호
82,승강기유지관리업체,11_48_01_P,6530000,423000000007,2023-04-25,,1,영업/정상,1,인허가,,,,,0336368827,,05399,서울특별시 강동구 성내동 551-1 조국현타워,"서울특별시 강동구 성내로6길 11, 조국현타워 2층 (성내동)",05399,오티스서비스엑스퍼트(유)강원,2026-02-09 00:00:00,U,2026-02-11 02:40:00,,,,유지관리,중저속승강기,2650.0,,2000,2.0,,,,,,,,,,지점,4088533696.0,,오티스서비스엑스퍼트(유)강원_서울특별시강동구성내동551-1조국현타워
229,승강기유지관리업체,11_48_01_P,6110000,611000000529,2023-03-08,,1,영업/정상,1,인허가,,,,,024770118,,05303,서울특별시 강동구 길동 339-1 동서울오네뜨 201호,"서울특별시 강동구 양재대로124길 32, 1동 201호 (길동, 동서울오네뜨)",05303,대한엘리베이터 주식회사 양주지점,2026-02-24 14:06:52,U,2026-02-26 02:40:00,,212624.891449347,448937.811380947,유지관리,중저속승강기,100000000.0,,500,1.0,,,,,5.0,,,,,지점,2178525310.0,,대한엘리베이터주식회사양주지점_서울특별시강동구길동339-1동서울오네뜨201호
203,승강기유지관리업체,11_48_01_P,5690000,2022569037333500001,2022-06-10,,1,영업/정상,1,영업중,,,,,044-866-8285,,,세종특별자치시 나성동 789 제이빌딩,"세종특별자치시 나성북1로 18, 제이빌딩 510호 (나성동)",30128,케이티엘리베이터(주),2026-02-20 21:39:28,U,2026-02-22 02:40:00,,223061.0385,332256.514,유지관리,중저속승강기,100.0,,720,2.0,6.0,,,,,,,,,본점,5278102517.0,,케이티엘리베이터(주)_세종특별자치시나성동789제이빌딩
39,승강기유지관리업체,11_48_01_P,5690000,2019569023533500001,2022-06-10,,3,폐업,2,폐지,2022-06-10,,,,044-867-2446,,,세종특별자치시 나성동 758번지 노블비즈니스타운,"세종특별자치시 한누리대로 312, 노블비즈니스타운 511호 (나성동)",30128,주식회사 동아엘리베이터,2026-02-02 02:01:29,U,2026-02-04 02:40:00,,222939.825211681,332375.531847155,유지관리,중저속승강기,100.0,,900,1.0,8.0,,,,,,,,,본점,5748700889.0,,주식회사동아엘리베이터_세종특별자치시나성동758번지노블비즈니스타운
109,승강기유지관리업체,11_48_01_P,6440000,644000000049,2022-05-03,,1,영업/정상,1,인허가,,,,,,,,충청남도 서산시 읍내동 144-1 36호,"충청남도 서산시 읍내1로 35, 1층 36호 (읍내동)",31984,대한엘리베이터(주),2026-02-10 16:40:33,U,2026-02-12 02:40:00,,150878.333044417,364446.170648853,유지관리,중저속승강기,100000000.0,,900,2.0,,,,,10.0,,,,,본점,6318802552.0,,대한엘리베이터(주)_충청남도서산시읍내동144-136호
97,승강기유지관리업체,11_48_01_P,6280000,628000000136,2022-05-02,,1,영업/정상,1,인허가,,,,,03215331573,,,인천광역시 부평구 십정동 442-4 ST빌딩 401호,"인천광역시 부평구 백범로478번길 7-3, ST빌딩 401호 (십정동)",21453,바른엘리베이터(주),2026-02-09 16:39:16,U,2026-02-11 02:40:00,,173247.714358601,440845.301272968,유지관리,"고속승강기,중저속승강기",100000000.0,,"2,970",2.0,,,,,33.0,,,,,본점,3408702585.0,,바른엘리베이터(주)_인천광역시부평구십정동442-4ST빌딩401호
43,승강기유지관리업체,11_48_01_P,6410000,554000000004,2022-02-07,,1,영업/정상,1,인허가,,,,,0317979116,,,경기도 광주시 초월읍 대쌍령리 496 쌍용 더 플래티넘 광주,"경기도 광주시 초월읍 경충대로1284번길 36, 쌍용 더 플래티넘 광주 상가동 118호호",,주식회사 대현엘리베이터,2026-01-30 00:00:00,U,2026-02-04 11:04:37,,,,유지관리,중저속승강기,100.0,,800,1.0,,,,,,,,,,본점,6918702275.0,,주식회사대현엘리베이터_경기도광주시초월읍대쌍령리496쌍용더플래티넘광주
81,승강기유지관리업체,11_48_01_P,6410000,559000000005,2022-01-12,,4,취소/말소/만료/정지/중지,5,등록취소,,,,,,,11494,경기도 양주시 만송동 502-2,"경기도 양주시 송랑로 8, 2층 201호 (만송동)",11494,주식회사 엘지엘리베이터,2026-02-09 00:00:00,U,2026-02-11 02:40:00,,,,유지관리,중저속승강기,100.0,100.0,1260,2.0,,,,,,,,,,본점,5558102318.0,,주식회사엘지엘리베이터_경기도양주시만송동502-2
4,승강기유지관리업체,11_48_01_P,5530000,2021553043033500001,2021-11-30,,1,영업/정상,1,영업중,,,,,031-455-1908,,,경기도 의왕시 오전동 196-5 벽산선영테크노피아 1308호,"경기도 의왕시 오전공업길 13, 벽산선영테크노피아 (오전동)",16072,(주)엘코승강기(화성지점),2026-02-01 11:00:57,I,2026-02-03 00:20:01,,196999.47246053,428172.288837557,,,,,,,,,,,,,,,,,,,(주)엘코승강기(화성지점)_경기도의왕시오전동196-5벽산선영테크노피아1308호
261,승강기유지관리업체,11_48_01_P,6540000,468000000004,2021-10-29,,1,영업/정상,1,인허가,,,,,,,54641,전북특별자치도 익산시 영등동 702-3,"전북특별자치도 익산시 고봉로18길 68, 2층 (영등동)",54641,(유)한화엘리베이터,2026-02-26 00:00:00,U,2026-02-28 02:40:00,,,,유지관리,중저속승강기,100.0,100.0,700,1.0,,,,,,,,,,본점,4998601839.0,,(유)한화엘리베이터_전북특별자치도익산시영등동702-3
180,승강기유지관리업체,11_48_01_P,6110000,611000000521,2021-08-17,,1,영업/정상,1,인허가,,,,,0221545700,,,서울특별시 서초구 서초동 1424-2 GS건설서초타워 0호,"서울특별시 서초구 남부순환로 2477, GS건설서초타워 7층 (서초동)",06725,자이엘리베이터 주식회사,2026-02-19 17:20:49,U,2026-02-21 02:40:00,,201803.380443919,442337.458957919,유지관리,"고속승강기,중저속승강기",5000000000.0,,"6,000",6.0,,,,,68.0,,,,,본점,1588102081.0,,자이엘리베이터주식회사_서울특별시서초구서초동1424-2GS건설서초타워0호
40,승강기유지관리업체,11_48_01_P,5690000,2021569027633500002,2021-04-07,,1,영업/정상,1,영업중,,,,,044-862-8258,,,세종특별자치시 나성동 746 에스제이타워 1동 505호,"세종특별자치시 한누리대로 249, 에스제이타워 5층 505호 (나성동)",30127,주식회사 코리아엘리베이터,2026-02-02 02:01:29,U,2026-02-04 02:40:00,,222997.581735654,331745.838232211,유지관리,중저속승강기,300.0,,990,2.0,9.0,,,,,,,,,본점,3018157647.0,,주식회사코리아엘리베이터_세종특별자치시나성동746에스제이타워1동505호
187,승강기유지관리업체,11_48_01_P,6410000,394000000015,2021-01-25,,1,영업/정상,1,인허가,,,,,031 7788417,,10550,경기도 고양시 덕양구 원흥동 705 고양 원흥 한일윈스타 지식산업센터 205호,"경기도 고양시 덕양구 삼원로 73, 고양 원흥 한일윈스타 지식산업센터 2층 205호 (원흥동)",10550,주식회사 한승이엘,2026-02-19 00:00:00,U,2026-02-21 02:40:00,,,,유지관리,중저속승강기,100.0,,1710,2.0,,,,,,,,,,본점,5248101988.0,,주식회사한승이엘_경기도고양시덕양구원흥동705고양원흥한일윈스타지식산업센터205호
204,승강기유지관리업체,11_48_01_P,5690000,2021569027633500001,2021-01-06,,1,영업/정상,1,영업중,,,,,044-866-0635,,,세종특별자치시 소담동 572 아이콤스타시티타워,"세종특별자치시 소담로 93, 아이콤스타시티타워 1동 6층 605호 (소담동)",30150,주식회사 우리엘리베이터,2026-02-21 21:37:52,U,2026-02-23 02:40:00,,226939.32750729,331677.529919566,유지관리,중저속승강기,100.0,,720,1.0,7.0,,,,,,,,,본점,7088101951.0,,주식회사우리엘리베이터_세종특별자치시소담동572아이콤스타시티타워
245,승강기유지관리업체,11_48_01_P,6110000,611000000514,2020-12-30,,1,영업/정상,1,인허가,,,,,0216616112,,,서울특별시 강동구 성내동 551-1 삼원타워 0호,"서울특별시 강동구 성내로6길 11, 삼원타워 2층(성내동)",05399,오티스서비스엑스퍼트 유한회사,2026-02-25 15:43:43,U,2026-02-27 02:40:00,,210820.576958193,447428.794609384,유지관리,"고속승강기,중저속승강기",500000000.0,,0,25.0,,,,,0.0,,,,,본점,8358701968.0,,오티스서비스엑스퍼트유한회사_서울특별시강동구성내동551-1삼원타워0호
231,승강기유지관리업체,11_48_01_P,6280000,628000000142,2020-12-07,,1,영업/정상,1,인허가,,,,,,,,인천광역시 부평구 십정동 414-9 302호,"인천광역시 부평구 백범로 442, 3층 302호 (십정동)",21446,정도승강기(주),2026-02-24 09:27:03,U,2026-02-26 02:40:00,,173584.726597764,440729.100545152,유지관리,중저속승강기,100000000.0,,720,1.0,,,,,8.0,,,,,본점,7938102337.0,,정도승강기(주)_인천광역시부평구십정동414-9302호
96,승강기유지관리업체,11_48_01_P,6410000,374000000025,2020-12-04,,1,영업/정상,1,인허가,,,,,,,16650,경기도 수원시 권선구 고색동 373-20 대우프라자,"경기도 수원시 권선구 고색로14번길 39, 대우프라자 302호 (고색동)",16650,주식회사 한신승강기,2026-02-09 00:00:00,U,2026-02-11 02:40:00,,,,유지관리,중저속승강기,100.0,100.0,1000,1.0,,,,,,,,,,본점,2748101986.0,,주식회사한신승강기_경기도수원시권선구고색동373-20대우프라자
192,승강기유지관리업체,11_48_01_P,5690000,2020569027633500001,2020-11-05,,1,영업/정상,1,영업중,,,,,044-862-4682,,,세종특별자치시 대평동 63-10 쁘띠테라스,"세종특별자치시 대평3길 10, 쁘띠테라스 5층 502, 503호 (대평동)",30152,주식회사 미키엔지니어링,2026-02-20 21:39:28,U,2026-02-22 02:40:00,,224639.428614204,330349.030473047,유지관리,중저속승강기,300.0,0.0,810,2.0,7.0,,,,,,,,,본점,3068131088.0,,주식회사미키엔지니어링_세종특별자치시대평동63-10쁘띠테라스
62,승강기유지관리업체,11_48_01_P,6430000,643000000047,2020-10-29,,1,영업/정상,1,인허가,,,,,0438384535,,,충청북도 증평군 도안면 도당리 284-3,충청북도 증평군 도안면 모래재로 160-43,27906,(주)유니버셜리프트히타치코리아,2026-02-03 13:26:02,U,2026-02-06 02:40:00,,256252.153227552,367758.958787174,유지관리,중저속승강기,425000000.0,,500,1.0,,,,,5.0,,,,,본점,8678100168.0,,(주)유니버셜리프트히타치코리아_충청북도증평군도안면도당리284-3
92,승강기유지관리업체,11_48_01_P,6260000,626000000163,2020-08-03,,1,영업/정상,1,인허가,,,,,0518080119,,47261,부산광역시 부산진구 당감동 863-1,"부산광역시 부산진구 신천대로 205, 302호 (당감동)",47261,(주)영재엘리베이터,2026-02-09 12:03:39,U,2026-02-11 02:40:00,,386695.437689142,186479.9859823,유지관리,중저속승강기,100000000.0,,700,1.0,,,,,7.0,,,,,본점,6948701917.0,,(주)영재엘리베이터_부산광역시부산진구당감동863-1
32,승강기유지관리업체,11_48_01_P,5530000,2020553043033500002,2020-07-31,,1,영업/정상,1,영업중,,,,,02-1577-1246,,,경기도 화성시 동탄구 금곡동 197,경기도 화성시 동탄구 금곡로 231-22 (금곡동),18511,케이티(주),2026-02-01 11:00:57,I,2026-02-04 01:35:23,,206811.316476276,408903.429437191,,,,,,,,,,,,,,,,,,,케이티(주)_경기도화성시동탄구금곡동197
