"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"35","골프연습장업","10_31_01_P","5020000","CDFH3301052003000006","2003-09-22","","01","영업/정상","13","영업중","","","","","","","791-843","경상북도 포항시 북구 죽도동 605-3","경상북도 포항시 북구 중흥로 254 (죽도동)","37776","킵스골프연습장","2026-01-30 09:58:34","U","2026-02-04 11:04:37","","412710.989210013","283139.077915281","골프연습장업","사립","","0","0","380.5","0","","",
"36","골프연습장업","10_31_01_P","5020000","CDFH3301052009000014","2009-10-12","","01","영업/정상","13","영업중","","","","","250-2000","","","","경상북도 포항시 북구 죽파로 6 (용흥동)","37747","필로스골프연습장","2026-01-30 10:08:39","U","2026-02-04 11:04:37","","412401.207906665","283564.630870405","골프연습장업","사립","","0","0","0","0","","",
"37","골프연습장업","10_31_01_P","5020000","CDFH3301052009000015","2009-11-02","","01","영업/정상","13","영업중","","","","","277-8844","","","경상북도 포항시 남구 대도동 120-7","경상북도 포항시 남구 포스코대로 395-1 (대도동)","37820","K스크린골프연습장","2026-01-30 10:09:16","U","2026-02-04 11:04:37","","413257.411481504","282025.061967644","골프연습장업","사립","","0","0","0","0","","",
"38","골프연습장업","10_31_01_P","5020000","CDFH3301052006000003","2006-07-10","","01","영업/정상","13","영업중","","","","","054-281-7007","","","경상북도 포항시 남구 대잠동 964-14","경상북도 포항시 남구 중흥로61번길 16-7 (대잠동)","37761","엔죠이실내골프연습장","2026-01-30 10:01:03","U","2026-02-04 11:04:37","","411570.162661743","281671.176408105","골프연습장업","사립","","0","1","528.69","0","","",
"39","골프연습장업","10_31_01_P","5020000","CDFH3301052006000004","2006-08-31","","01","영업/정상","13","영업중","","","","","242-6225","","","경상북도 포항시 북구 장성동 1436-7","경상북도 포항시 북구 양덕남로8번길 25-5 (장성동)","37594","싱글로 가는집","2026-01-30 10:02:18","U","2026-02-04 11:04:37","","415662.37043415","288979.198963833","골프연습장업","사립","","0","1","423.6","0","","",
"40","골프연습장업","10_31_01_P","3530000","CDFH3301052018000004","2018-08-03","","03","폐업","03","폐업","2026-01-30","","","","032-439-2300","","","인천광역시 남동구 구월동 1120-1 4층","인천광역시 남동구 인주대로 506-1, 서울외과 4층 (구월동)","21566","필드 골프클럽","2026-01-30 09:57:39","U","2026-02-04 11:04:37","","172762.1937892","438723.790962381","골프연습장업","사립","","0","0","1533.77","0","","",
"41","골프연습장업","10_31_01_P","3420000","CDFH3301052021000003","2021-11-05","","01","영업/정상","13","영업중","","","","","053-252-0002","","","대구광역시 동구 용계동 770","대구광역시 동구 화랑로100길 135 (용계동)","41150","피닉스골프클럽","2026-01-30 16:00:02","U","2026-02-04 11:04:37","","352434.097574181","264790.693697725","골프연습장업","사립","","2","0","2765.55","0","","",
"42","골프연습장업","10_31_01_P","4390000","CDFH3301052017000006","2017-11-15","","01","영업/정상","13","영업중","","","","","043-852-5979","","","충청북도 충주시 연수동 712-4","충청북도 충주시 연원로 27-13 (연수동)","27347","월드스크린골프","2026-01-30 10:54:28","U","2026-02-04 11:04:37","","282850.92469798","387907.552674376","골프연습장업","사립","","0","1","698.43","0","","",
"43","골프연습장업","10_31_01_P","4050000","CDFH3301052015000004","2015-09-08","","01","영업/정상","13","영업중","","","","","","","","경기도 용인시 수지구 상현동 254-14 원희캐슬프라자","경기도 용인시 수지구 만현로 110, 원희캐슬프라자 제지층 B101, B102호 (상현동)","16930","노아상현 골프","2026-01-30 09:26:34","U","2026-02-04 11:04:37","","207423.63432336","422761.143603176","골프연습장업","사립","","0","0","0","0","","",
"44","골프연습장업","10_31_01_P","3400000","CDFH3301052026000001","2026-02-04","","01","영업/정상","13","영업중","","","","","","","","부산광역시 기장군 기장읍 당사리 530","부산광역시 기장군 기장읍 동부산관광1로 60, 오시리아 근린생활시설 1동 4층","46084","세라젬 웰스클럽 오시리아점","2026-02-04 10:34:24","I","2026-02-06 00:20:02","","401090.259438063","190243.008188963","골프연습장업","사립","","0","0","0","0","","",
"45","골프연습장업","10_31_01_P","5710000","CDFH3301052026000001","2026-02-04","","01","영업/정상","13","영업중","","","","","043-268-0405","","","충청북도 청주시 서원구 사창동 357-84","충청북도 청주시 서원구 예체로67번길 27-1, 3층 (사창동)","28662","마이골프 아카데미 클럽핏","2026-02-04 17:49:35","I","2026-02-06 00:20:02","","241709.660031813","347980.762849469","골프연습장업","사립","","0","0","0","0","","",
"46","골프연습장업","10_31_01_P","3220000","CDFH3301052026000001","2026-02-04","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 역삼동 606-28","서울특별시 강남구 논현로 561, 지하1층 (역삼동)","06125","루에 골프 스튜디오","2026-02-04 14:55:22","I","2026-02-06 00:20:02","","202942.580570247","444880.327858442","골프연습장업","사립","","0","0","0","0","","",
"47","골프연습장업","10_31_01_P","4520000","CDFH3301052017000006","2017-05-15","","01","영업/정상","13","영업중","","","","","041-545-7008","","","충청남도 아산시 음봉면 덕지리 180","충청남도 아산시 음봉면 삼성로 540, 3층","31458","우성스크린","2026-02-03 13:24:09","U","2026-02-06 02:40:00","","208202.980046174","369593.107406938","골프연습장업","사립","","0","0","1915.8","0","","",
"48","골프연습장업","10_31_01_P","3230000","CDFH3301052024000002","2024-10-30","","03","폐업","03","폐업","2026-02-04","","","","","","","서울특별시 송파구 풍납동 399-7","서울특별시 송파구 강동대로9길 13, 2층 202호 (풍납동)","05537","키즈골프 스튜디오","2026-02-04 15:02:40","U","2026-02-06 02:40:00","","210208.091073307","447280.689360176","골프연습장업","사립","","1","0","469.88","0","","",
"49","골프연습장업","10_31_01_P","3200000","CDFH3301052012000002","2012-02-29","","01","영업/정상","13","영업중","","","","","02-874-0287","","","서울특별시 관악구 봉천동 1658-1 지하1층","서울특별시 관악구 남부순환로 1932, 지하1층 (봉천동)","08793","챔프골프연습장","2026-02-04 13:06:11","U","2026-02-06 02:40:00","","196705.425129161","441622.0785014","골프연습장업","사립","","0","0","673.65","0","","",
"50","골프연습장업","10_31_01_P","5020000","CDFH3301052013000005","2013-09-30","","01","영업/정상","13","영업중","","","","","054-291-2256","","790-911","경상북도 포항시 남구 오천읍 원리 916-3","경상북도 포항시 남구 오천읍 냉천로298번길 44-5","37884","J스크린골프","2026-02-03 09:42:18","U","2026-02-06 02:40:00","","416858.90313412","276913.900598259","골프연습장업","사립","","0","0","0","0","","",
"51","골프연습장업","10_31_01_P","4641000","CDFH3301052011000016","2011-09-06","","01","영업/정상","13","영업중","","","","","214-2929","","","전북특별자치도 전주시 완산구 효자동2가 1229-8","전북특별자치도 전주시 완산구 홍산북로 11-6 (효자동2가)","54966","알프스 스크린골프존","2026-02-04 11:07:08","U","2026-02-06 02:40:00","","209262.69373637","257537.281400934","골프연습장업","사립","","0","0","0","0","","",
"52","골프연습장업","10_31_01_P","3290000","CDFH3301052010000010","2010-11-29","","01","영업/정상","13","영업중","","","","","051-714-6009","","","부산광역시 부산진구 당감동 810-3 외 2필지 스카이빌딩 301호","부산광역시 부산진구 백양관문로 109 (당감동, 스카이빌딩)","47163","땡그랑 스크린 골프연습장","2026-02-04 10:10:09","U","2026-02-06 02:40:00","","384616.304848999","187321.327160902","골프연습장업","사립","","0","0","0","0","","",
"53","골프연습장업","10_31_01_P","5590000","CDFH3301052022000004","2022-11-10","","01","영업/정상","13","영업중","","","","","","","","경기도 양주시 덕계동 925-3","경기도 양주시 덕계로 140, 8층 805호 (덕계동)","11444","GDR골프 아카데미 덕계점","2026-02-03 10:58:13","U","2026-02-06 02:40:00","","204713.126734965","479571.286492224","골프연습장업","사립","","0","0","256.56","0","","",
"54","골프연습장업","10_31_01_P","5710000","CDFH3301052007000004","2007-02-28","","01","영업/정상","13","영업중","","","","","235-2407","","361-872","충청북도 청주시 흥덕구 강서동 123-5 4층","충청북도 청주시 흥덕구 강서로 57 (강서동, 4층)","28381","원스크린골프","2026-02-04 14:04:02","U","2026-02-06 02:40:00","","237848.416018528","346790.232692654","골프연습장업","공립","","0","0","4658.37","0","","",
"55","골프연습장업","10_31_01_P","4000000","CDFH3301052022000004","2022-06-02","","03","폐업","03","폐업","2026-02-03","","","","","","","경기도 오산시 내삼미동 861-16 세교프라자","경기도 오산시 수청로 30-13, 세교프라자 2층 (내삼미동)","18110","제이앤제이 골프(JNJ GOLF)","2026-02-03 13:20:12","U","2026-02-06 02:40:00","","205204.574551021","407940.750732171","골프연습장업","사립","","0","0","0","0","","",
"56","골프연습장업","10_31_01_P","4010000","CDFH3301052022000007","2022-05-31","","03","폐업","03","폐업","2026-02-03","","","","031-434-0709","","","경기도 시흥시 정왕동 1726-2 광개토빌딩2","경기도 시흥시 정왕대로 178, 광개토빌딩2 3층 301~301-1호 (정왕동)","15036","브라보퍼블릭스크린골프장 시흥정왕점","2026-02-03 14:15:26","U","2026-02-06 02:40:00","","176352.574988974","427337.809330146","골프연습장업","사립","","0","0","0","0","","",
"57","골프연습장업","10_31_01_P","6510000","CDFH3301052019000012","2019-07-29","","03","폐업","03","폐업","2026-02-05","","","","","","","제주특별자치도 제주시 외도일동 445-8 우정빌딩","제주특별자치도 제주시 우정로 24, 우정빌딩 3층 (외도일동)","63069","가자스크린골프","2026-02-05 15:41:26","U","2026-02-07 02:40:00","","147015.35524128","-484.915436926668","골프연습장업","사립","Y","0","0","2638.1","0","","",
"58","골프연습장업","10_31_01_P","3110000","CDFH3301052013000002","2013-05-02","","03","폐업","03","폐업","2026-02-05","","","","02-383-1207","","","서울특별시 은평구 불광동 484-75","서울특별시 은평구 통일로82길 11, B4층 (불광동)","03344","오케이스크린골프","2026-02-05 17:35:03","U","2026-02-07 02:40:00","","192900.792391738","457611.926155564","골프연습장업","사립","","0","0","997.68","0","","",
"59","골프연습장업","10_31_01_P","4090000","CDFH3301051991000002","1991-09-25","","01","영업/정상","13","영업중","","","","","983-5451","","415-714","경기도 김포시 북변동 690 산호상가 4층, 5층","경기도 김포시 북변1로16번길 34 (북변동)","10101","산호골프연습장","2026-02-05 17:53:04","U","2026-02-07 02:40:00","","173872.74137809","458523.964224771","골프연습장업","사립","","0","1","6498.4","0","","",
"60","골프연습장업","10_31_01_P","3780000","CDFH3301052011000004","2011-02-17","","01","영업/정상","13","영업중","","","","","","","462-807","경기도 성남시 중원구 상대원동 144-1 중앙인더스피아 201.202.203,601,701호","경기도 성남시 중원구 사기막골로105번길 27 (상대원동, 201호~203호, 601호,701호)","13201","중앙인더스피아 골프클럽","2026-02-05 13:26:03","U","2026-02-07 02:40:00","","215247.947584756","437689.09942545","골프연습장업","사립","","1","0","0","500","","",
"61","골프연습장업","10_31_01_P","3160000","CDFH3301052009000008","2009-06-26","","01","영업/정상","13","영업중","","","","","02-701-0003","","152-731","서울특별시 구로구 구로동 501 나인스에비뉴","서울특별시 구로구 구로중앙로 134 (구로동, 나인스에비뉴 )","08293","골프존파크 구로역점","2026-02-05 11:19:20","U","2026-02-07 02:40:00","","189682.799434964","444193.860003095","골프연습장업","사립","","0","0","11764.77","0","","",
"62","골프연습장업","10_31_01_P","3110000","CDFH3301052018000003","2018-10-11","","03","폐업","03","폐업","2026-02-05","","","","02-357-7001","","","서울특별시 은평구 진관동 70 메트로프라자 205, 206호","서울특별시 은평구 진관2로 15-46, 메트로프라자 205,206호 (진관동)","03306","랭크골프아카데미(은평점)","2026-02-05 14:22:58","U","2026-02-07 02:40:00","","","","골프연습장업","사립","","0","0","12571.59","0","","",
"63","골프연습장업","10_31_01_P","5590000","CDFH3301052026000001","2026-02-06","","01","영업/정상","13","영업중","","","","","","","","경기도 양주시 광적면 가납리 225-11","경기도 양주시 광적면 백은로 480","11415","서양주 골프클럽","2026-02-06 13:27:07","I","2026-02-08 00:20:01","","199741.743910731","481381.528012338","골프연습장업","사립","","0","0","0","0","","",
"64","골프연습장업","10_31_01_P","3980000","CDFH3301052026000001","2026-02-06","","01","영업/정상","13","영업중","","","","","","","","경기도 구리시 아천동 310-1","경기도 구리시 아차산로 1 (아천동)","11958","숏게임콤플렉스","2026-02-06 09:01:18","I","2026-02-08 00:20:01","","209937.082049744","450859.883033167","골프연습장업","사립","","0","0","0","0","","",
"65","골프연습장업","10_31_01_P","5680000","CDFH3301052026000001","2026-02-06","","01","영업/정상","13","영업중","","","","","041-430-8580","","","충청남도 당진시 송산면 유곡리 118-11","충청남도 당진시 송산면 송산로 877","31711","온골프연습장","2026-02-06 17:17:26","I","2026-02-08 00:20:01","","172941.413615528","384692.017978728","골프연습장업","사립","","0","1","0","0","","",
"66","골프연습장업","10_31_01_P","4281000","CDFH3301052013000002","2013-09-03","","03","폐업","03","폐업","2026-02-06","","","","033-330-7130","","232-951","강원특별자치도 평창군 대관령면 수하리 74","","","용평골프클럽(GC) 골프연습장","2026-02-06 15:31:17","U","2026-02-08 02:40:00","","350712.774735666","461423.598794892","골프연습장업","사립","","1","0","0","0","","",
"67","골프연습장업","10_31_01_P","3780000","CDFH3301052022000006","2022-03-02","","03","폐업","03","폐업","2026-02-06","","","","","","","경기도 성남시 분당구 금곡동 39-9","경기도 성남시 분당구 쇳골로 28, 지하1층, 1층 (금곡동)","13551","더클럽하우스 대왕판교점","2026-02-06 14:49:11","U","2026-02-08 02:40:00","","208632.349306813","429008.226079182","골프연습장업","사립","","0","0","0","0","","",
