"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","점포구분명",
"21","대규모점포","08_25_01_P","5690000","2019569020007500001","2019-04-17","","03","폐업","3","폐업처리","2026-02-13","","","","","457.32","","세종특별자치시 보람동 730 호려울마을3단지 근린생활시설","세종특별자치시 한누리대로 2200, 호려울마을3단지 근린생활시설 1층 101-112호 (보람동)","30151","(주)이마트에브리데이 세종신동아점","2026-02-13 16:21:46","U","2026-02-15 02:40:00","그 밖의 대규모점포","225200.242050323","330681.871250214","준대규모점포",
"22","대규모점포","08_25_01_P","3180000","2011318016307500007","2011-11-22","","01","영업/정상","1","정상영업","","","","","02-831-4400","1398.36","150-816","서울특별시 영등포구 대림3동 784번지","서울특별시 영등포구 대림로 251 (대림동)","150-816","롯데슈퍼 대림점","2026-02-13 09:40:30","U","2026-02-15 02:40:00","구분없음","190721.417931753","444571.769293729","준대규모점포",
"23","대규모점포","08_25_01_P","3900000","2006390007907500001","2006-01-11","","01","영업/정상","1","정상영업","","","","","02-3397-2500","13047.87","","경기도 광명시 하안동 38호","경기도 광명시 하안로287번길 8 (하안동)","423-848","뉴코아 아울렛 광명점","2026-02-13 16:15:43","U","2026-02-15 02:40:00","복합쇼핑몰","189263.01222247","439900.832910796","대규모점포",
"24","대규모점포","08_25_01_P","3930000","2000393000007500010","1993-07-01","","01","영업/정상","1","정상영업","","","","","031-406-2104","16480.52","","경기도 안산시 상록구 본오동 871번지","경기도 안산시 상록구 반석로 54 (본오동, 신안프라자)","15541","신안프라자","2026-02-13 16:50:59","U","2026-02-15 02:40:00","그 밖의 대규모점포","187960.429281747","421469.517837306","대규모점포",
"25","대규모점포","08_25_01_P","3240000","2005324011907500002","2005-05-09","","03","폐업","3","폐업처리","2026-02-12","","","","02 4850731","5374.49","","서울특별시 강동구 천호동 422번지 2호","","","천호신시장","2026-02-13 13:23:04","U","2026-02-15 02:40:00","시장","211252.735515916","448823.39875114","대규모점포",
"26","대규모점포","08_25_01_P","3150000","2026315020007500001","2026-02-19","","01","영업/정상","5","영업개시전","","","","","0000000","262.81","","서울특별시 강서구 공항동 1378 발쿠치네하우스 101동 101~4호","서울특별시 강서구 송정로 53, 101동 101~104호 (공항동, 발쿠치네하우스)","07622","GS THE FRESH 송정역점","2026-02-19 12:57:25","I","2026-02-21 00:20:05","구분없음","183132.629865058","450838.756773739","준대규모점포",
"27","대규모점포","08_25_01_P","3700000","2006370000907500001","2006-04-14","","02","휴업","2","휴업처리","","2026-02-11","2026-12-30","","052 270 8124","28885","","울산광역시 남구 야음동 789번지 91호","울산광역시 남구 수암로 148 (야음동)","","홈플러스 주식회사 울산남구점","2026-02-19 16:03:10","U","2026-02-21 02:40:00","대형마트","410624.959296763","227668.041604165","대규모점포",
"28","대규모점포","08_25_01_P","3110000","2016311013107500001","2016-04-27","","01","영업/정상","1","정상영업","","","","","02-6975-5901","57505","","서울특별시 은평구 진관동 79번지 15호","서울특별시 은평구 통일로 1050 (진관동, 롯데몰은평점)","03306","롯데몰 은평","2026-02-19 11:35:17","U","2026-02-21 02:40:00","복합쇼핑몰","192694.92374224","459461.236119623","대규모점포",
"29","대규모점포","08_25_01_P","3130000","2012313011807500001","2012-03-22","","01","영업/정상","1","정상영업","","","","","706-7272","1561.5","121-130","서울특별시 마포구 구수동 61번지","서울특별시 마포구 토정로 193 (구수동)","","롯데슈퍼 마포점","2026-02-19 16:18:05","U","2026-02-21 02:40:00","쇼핑센터","193981.312705953","449301.692398118","준대규모점포",
"30","대규모점포","08_25_01_P","5710000","2019571018307500002","2019-09-26","","03","폐업","3","폐업처리","2026-02-19","","","","043-241-0601","15841","","충청북도 청주시 청원구 내덕동 201번지 1호","충청북도 청주시 청원구 상당로 314 (내덕동)","28501","원더아리아","2026-02-20 08:48:33","U","2026-02-22 02:40:00","쇼핑센터","243762.803672115","350640.306254882","대규모점포",
"31","대규모점포","08_25_01_P","4060000","2025406055207500001","2025-12-30","","01","영업/정상","1","정상영업","","","","","031-960-3194","36314","","경기도 파주시 문발동 645 롯데프리미엄아울렛","경기도 파주시 회동길 390, 롯데프리미엄아울렛 (문발동)","10881","롯데쇼핑㈜ 프리미엄아울렛 파주점","2026-02-20 17:27:12","U","2026-02-22 02:40:00","복합쇼핑몰","172931.265518853","468411.848859123","대규모점포",
"32","대규모점포","08_25_01_P","4060000","2025406050707500002","2025-07-16","","01","영업/정상","1","정상영업","","","","","0319603194","36314","","경기도 파주시 문발동 645 롯데프리미엄아울렛","경기도 파주시 회동길 390, 롯데프리미엄아울렛 (문발동)","10881","롯데프리미엄아울렛파주점","2026-02-20 17:08:05","U","2026-02-22 02:40:00","복합쇼핑몰","172931.265518853","468411.848859123","대규모점포",
"33","대규모점포","08_25_01_P","4060000","2011406011007500001","2011-10-26","","01","영업/정상","1","정상영업","","","","","031009603150","36314","413-120","경기도 파주시 문발동 104번지 1호 외","경기도 회동길 390","413-120","롯데프리미엄아울렛파주점","2026-02-20 17:08:32","U","2026-02-22 02:40:00","복합쇼핑몰","172931.265518853","468411.848859123","대규모점포",
"34","대규모점포","08_25_01_P","4181000","2020418034907500001","2020-03-05","","01","영업/정상","1","정상영업","","","","","033-252-3000","3493.65","","강원특별자치도 춘천시 퇴계동 381번지 1호 롯데슈퍼","강원특별자치도 춘천시 영서로 2195, 롯데슈퍼 (퇴계동)","24445","롯데슈퍼 춘천점","2026-02-23 17:19:08","U","2026-02-25 02:40:00","구분없음","264048.38885859","484444.290618198","준대규모점포",
"35","대규모점포","08_25_01_P","3120000","1970312009307500001","1970-08-14","","01","영업/정상","1","정상영업","","","","","02-3216-9393","6606","120-857","서울특별시 서대문구 홍제3동 294번지 6호","서울특별시 통일로 484 (유진상가)","120-760","유진상가","2026-02-23 16:06:11","U","2026-02-25 02:40:00","시장","194811.756333333","454300.739666667","대규모점포",
"36","대규모점포","08_25_01_P","3120000","2018312018307500001","2012-02-07","","01","영업/정상","1","정상영업","","","","","02-739-6780","1573","","서울특별시 서대문구 홍제동 469번지 인왕산 한신휴플러스","서울특별시 서대문구 통일로 397, 지4층 (홍제동, 인왕산 한신휴플러스)","03730","롯데슈퍼 홍제2점","2026-02-23 16:00:04","U","2026-02-25 02:40:00","복합쇼핑몰","195281.395461663","453657.534811024","준대규모점포",
"37","대규모점포","08_25_01_P","3120000","2018312018307500002","2011-07-01","","01","영업/정상","1","정상영업","","","","","02-395-3674","2040","","서울특별시 서대문구 홍제동 294번지 46호 유진상가","서울특별시 서대문구 통일로 484, 유진상가 1층 (홍제동)","03628","롯데슈퍼 유진점","2026-02-23 16:05:33","U","2026-02-25 02:40:00","구분없음","194850.361025035","454344.432517428","준대규모점포",
"38","대규모점포","08_25_01_P","3140000","2012314011407500001","2012-04-05","","01","영업/정상","1","정상영업","","","","","0226470824","496","158-753","서울특별시 양천구 목5동 903번지 목동3단지아파트 관리동상가 105호","서울특별시 양천구 목동서로 100, 105호 (목동,목동3단지아파트 관리동상가)","","롯데슈퍼 목동2점","2026-02-23 13:27:41","U","2026-02-25 02:40:00","구분없음","188700.851169641","448020.090999138","준대규모점포",
"39","대규모점포","08_25_01_P","3150000","2011315012307500003","2011-07-14","","01","영업/정상","1","정상영업","","","","","02-2643-2211","1524.6","157-900","서울특별시 강서구 화곡4동 830번지 1호","서울특별시 강서구 등촌로5길 80 (화곡동)","157-900","씨에스유통 (롯데슈퍼화곡2점)","2026-02-23 17:38:08","U","2026-02-25 02:40:00","구분없음","187464.403178638","447877.710664426","준대규모점포",
"40","대규모점포","08_25_01_P","3310000","1979331001607500003","1979-06-30","","02","휴업","2","휴업처리","","2026-01-22","2027-01-21","","051-637-7919","6324","","부산광역시 남구 대연동 1756번지 9호","부산광역시 남구 천제등로 11 (대연동)","","동성하이타운 번영회","2026-02-23 11:29:29","U","2026-02-25 02:40:00","그 밖의 대규모점포","390195.849928706","183602.493480861","대규모점포",
"41","대규모점포","08_25_01_P","3340000","2000334001707500024","2006-12-27","","02","휴업","2","휴업처리","","2026-03-01","2026-06-17","","051 466 2080","7485.44","","부산광역시 사하구 장림동 185호","부산광역시 사하구 다대로 225 (장림동)","604-843","홈플러스(주)장림점","2026-02-23 09:42:26","U","2026-02-25 02:40:00","대형마트","380356.697150584","177733.129142587","대규모점포",
"42","대규모점포","08_25_01_P","3340000","2000334001707500007","1980-10-06","","01","영업/정상","5","영업개시전","","","","","005102914983","0","","부산광역시 사하구 하단동 487-6호","부산광역시 사하구 낙동대로535번길 28 (하단동)","604-851","에덴시장","2026-02-24 13:25:32","U","2026-02-26 02:40:00","시장","378904.299820296","180909.234614279","대규모점포",
"43","대규모점포","08_25_01_P","3540000","2014354011907500003","2014-10-01","","01","영업/정상","1","정상영업","","","","","02-2073-5111","18601.4","","인천광역시 부평구 부평동 70번지 127호","인천광역시 부평구 부평문화로 35 (부평동)","21387","모다이노칩 부평점","2026-02-25 09:21:39","U","2026-02-27 02:40:00","백화점","175119.872281497","443502.318221991","대규모점포",
"44","대규모점포","08_25_01_P","5020000","2000502016507500001","2000-11-10","","01","영업/정상","1","정상영업","","","","","054 230 1000","24902.88","791-710","경상북도 포항시북구 학산동 127번지 9호 롯데백화점","경상북도 포항시 북구 학산로 62 (학산동)","791-710","롯데백화점 포항점","2026-02-25 15:43:31","U","2026-02-27 02:40:00","백화점","413457.339843014","285842.648592678","대규모점포",
"45","대규모점포","08_25_01_P","3210000","2012321012207500002","2012-04-24","","01","영업/정상","1","정상영업","","","","","02-536-0004","1049.58","137-061","서울특별시 서초구 방배1동 816번지 1호","서울특별시 방배로33길 29","137-832","롯데슈퍼 방배2점","2026-02-26 15:08:51","U","2026-02-28 02:40:00","구분없음","198984.364832071","443229.835878514","준대규모점포",
"46","대규모점포","08_25_01_P","3330000","2006333001507500001","2006-01-24","","01","영업/정상","1","정상영업","","","","","051323 0456","21774.4","","부산광역시 해운대구 좌동 1467번지 0004호","부산광역시 해운대구 해운대로 813 (좌동)","612-836","이랜드 리테일 해운대점","2026-02-26 10:01:16","U","2026-02-28 02:40:00","백화점","398269.05154158","187874.778091232","대규모점포",
"47","대규모점포","08_25_01_P","3660000","2002366001507500003","2002-10-17","","03","폐업","3","폐업처리","2026-02-26","","","","0423660002","3325.74","","대전광역시 서구 만년동 303호","대전광역시 서구 만년로67번길 36 (만년동)","","디지털타운","2026-02-26 08:58:21","U","2026-02-28 02:40:00","그 밖의 대규모점포","234081.538141573","318785.224164759","대규모점포",
"48","대규모점포","08_25_01_P","3660000","1994366001507500024","1994-07-26","","03","폐업","3","폐업처리","2026-02-26","","","","042 5840015","3179","","대전광역시 서구 정림동 610호","대전광역시 서구 정림동로7번길 22 (정림동)","","무지개종합시장","2026-02-26 08:58:01","U","2026-02-28 02:40:00","그 밖의 대규모점포","232838.676632205","311703.466638706","대규모점포",
"49","대규모점포","08_25_01_P","3860000","2012386021207500003","2012-04-02","","01","영업/정상","1","정상영업","","","","","032-344-7000","874.5","422-810","경기도 부천시 소사구 소사본3동 197번지 2,4,5호","경기도 부천시 소사구 은성로 82 (소사본동)","422-810","롯데슈퍼 소사점","2026-02-26 15:24:41","U","2026-02-28 02:40:00","구분없음","182167.856024103","441454.978882441","준대규모점포",
