"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","법인구분명","구분명",
"45","유료직업소개소","11_50_02_P","3010000","2019301016514500010","2019-05-03","","01","영업/정상","20","영업중","","","","","02  67196396","","","서울특별시 중구 을지로2가 204번지 삼화타워","서울특별시 중구 을지로5길 16, 삼화타워 4층 (을지로2가)","04539","(주)키스템프그룹","2026-04-02 10:48:59","U","2026-04-04 02:40:00","","198591.48750042","451623.0201872","법인","유료",
"46","유료직업소개소","11_50_02_P","5100000","2026510023714500006","2026-03-23","","01","영업/정상","20","영업중","","","","","","","","경상북도 영천시 금호읍 신월리 50-35","경상북도 영천시 금호읍 금호로 385","38874","두산인력","2026-04-02 09:38:21","U","2026-04-04 02:40:00","","371455.310989229","272973.727815664","개인","유료",
"47","유료직업소개소","11_50_02_P","3340000","2006334006511500002","2006-10-17","","01","영업/정상","20","영업중","","","","","051 294 1921","","","부산광역시 사하구 괴정동 429-15","부산광역시 사하구 낙동대로 189 (괴정동)","49350","그린개발","2026-04-02 17:55:23","U","2026-04-04 02:40:00","","381924.873814191","179814.841900497","개인","유료",
"48","유료직업소개소","11_50_02_P","5310000","2026531033814500002","2026-01-20","","01","영업/정상","20","영업중","","","","","","","","경상남도 진주시 옥봉동 188-3","경상남도 진주시 향교로109번길 6-2 (옥봉동)","52743","태성인력개발공사","2026-04-01 09:45:41","U","2026-04-04 02:40:00","","299449.221228647","189108.703564886","개인","유료",
"49","유료직업소개소","11_50_02_P","3500000","2026350017814500001","2026-01-05","","01","영업/정상","20","영업중","","","","","","","","인천광역시 동구 송림동 295 인천산업용품유통단지","인천광역시 동구 방축로 105, 인천산업용품유통단지 23동 3층 317호 (송림동)","22530","약손 간병협회","2026-04-02 09:34:22","U","2026-04-04 02:40:00","","169653.061072083","442555.053277966","개인","유료",
"50","유료직업소개소","11_50_02_P","3210000","2024321019514500014","2007-04-10","","01","영업/정상","20","영업중","","","","","","","","서울특별시 서초구 방배동 753-2 CMS M","서울특별시 서초구 동작대로 234, CMS M 8층 (방배동)","06551","(주)크레버스","2026-04-02 09:39:21","U","2026-04-04 02:40:00","","198492.067170692","443896.378107249","법인","유료",
"51","유료직업소개소","11_50_02_P","3220000","2020322023714500016","2020-04-03","","03","폐업","40","폐업","2026-04-02","","","","","","","서울특별시 강남구 도곡동 467번지 24호 우성캐릭터199 2002호","서울특별시 강남구 언주로 118, 20층 2002호 (도곡동, 우성캐릭터199)","06295","(주)굿피플커리어","2026-04-02 15:54:25","U","2026-04-04 02:40:00","","204518.8799802","442703.584823804","법인","유료",
"52","유료직업소개소","11_50_02_P","3310000","2020331010014500004","2020-05-01","","03","폐업","40","폐업","2026-04-02","","","","","","","부산광역시 남구 대연동 72번지 7호 산암빌딩","부산광역시 남구 수영로 298, 산암빌딩 1001호 (대연동)","48499","대호인력개발","2026-04-02 17:04:33","U","2026-04-04 02:40:00","","391236.731928081","183961.925783628","개인","유료",
"53","유료직업소개소","11_50_02_P","3780000","2021378028814500027","2021-10-14","","03","폐업","40","폐업","2026-04-02","","","","","","","경기도 성남시 분당구 이매동 120-1 대명프라자","경기도 성남시 분당구 양현로94번길 7, 대명프라자 지하층 112호 (이매동)","13568","삼산 직업소개소","2026-04-02 16:18:13","U","2026-04-04 02:40:00","","211036.821989533","432204.908007841","개인","유료",
"54","유료직업소개소","11_50_02_P","4540000","2023454027614500004","2023-03-20","","01","영업/정상","20","영업중","","","","","","","","충청남도 논산시 화지동 16 조흥로즈빌","충청남도 논산시 해월로259번길 12, 조흥로즈빌 (화지동)","32964","SOS인력공사","2026-04-02 19:32:20","U","2026-04-04 02:40:00","","208367.00103664","301111.749936326","개인","유료",
"55","유료직업소개소","11_50_02_P","4800000","2020480029814500010","2020-08-21","","01","영업/정상","20","영업중","","","","","","","","전라남도 목포시 남교동 89-5","전라남도 목포시 영산로121번길 38 (남교동)","58724","부모사랑간병인협회","2026-04-02 14:13:42","U","2026-04-04 02:40:00","","143428.089845869","144136.772554452","개인","유료",
"56","유료직업소개소","11_50_02_P","4810000","2021481036614500011","2021-08-25","","03","폐업","40","폐업","2026-04-02","","","","","","","전라남도 여수시 미평동 134-3","전라남도 여수시 만성로 127 (미평동)","59624","(주)신풍인력사무소","2026-04-02 14:30:55","U","2026-04-04 02:40:00","","264875.579586082","141683.121191444","법인","유료",
"57","유료직업소개소","11_50_02_P","3220000","2021322025014500026","2021-09-08","","01","영업/정상","20","영업중","","","","","02  597 1045","","","서울특별시 강남구 삼성동 150-30","서울특별시 강남구 삼성로 554, 예성빌딩 601호 (삼성동)","06165","코너스톤 앤 포티스","2026-04-02 09:20:21","U","2026-04-04 02:40:00","","204772.879500937","445436.098804682","개인","유료",
"58","유료직업소개소","11_50_02_P","4060000","2025406050714500013","2025-07-28","","03","폐업","40","폐업","2026-04-02","","","","","","","경기도 파주시 금릉동 216-8","경기도 파주시 중앙로 190 (금릉동)","10932","큰나무인력","2026-04-02 16:27:50","U","2026-04-04 02:40:00","","180776.026776359","472509.560385377","개인","유료",
"59","유료직업소개소","11_50_02_P","4641000","2019466006914500015","2019-09-11","","01","영업/정상","20","영업중","","","","","","","","전북특별자치도 전주시 덕진구 금암동 195-9","전북특별자치도 전주시 덕진구 건산로 23 (금암동)","54925","선철거인력건설","2026-04-02 15:58:55","U","2026-04-04 02:40:00","","212639.532236766","259338.090837461","개인","유료",
"60","유료직업소개소","11_50_02_P","3700000","2026370023414500003","2026-02-19","","03","폐업","40","폐업","2026-03-27","","","","","","","울산광역시 남구 달동 880-6","울산광역시 남구 중앙로 170, 5층 (달동)","44691","브릿지케어","2026-04-02 17:40:36","U","2026-04-04 02:40:00","","409789.261176439","228740.529458117","개인","유료",
"61","유료직업소개소","11_50_02_P","5350000","2025535037314500015","2025-05-09","","03","폐업","40","폐업","2026-04-02","","","","","","","경상남도 김해시 진영읍 여래리 733-2","경상남도 김해시 진영읍 진영로 202-4","50868","가람인력사무소","2026-04-02 17:59:17","U","2026-04-04 02:40:00","","357728.172190337","201738.768779906","개인","유료",
"62","유료직업소개소","11_50_02_P","4540000","2025454031114500008","2025-05-14","","01","영업/정상","20","영업중","","","","","","","","충청남도 논산시 내동 72-3","충청남도 논산시 대학로 38, 1층 (내동)","32997","스마트인력사무소","2026-04-02 19:32:40","U","2026-04-04 02:40:00","","209159.509795486","297457.942048343","개인","유료",
"63","유료직업소개소","11_50_02_P","5710000","2025573002314500008","2024-11-06","","01","영업/정상","20","영업중","","","","","","","","서울특별시 금천구 가산동 319-8 에이스한솔타워","서울특별시 금천구 가산디지털1로 58, 에이스한솔타워 503호 (가산동)","08591","오제이엔티","2026-04-02 17:24:44","U","2026-04-04 02:40:00","","189881.714656576","441010.052948731","개인","유료",
"64","유료직업소개소","11_50_02_P","3630000","2022363028014500022","2022-10-31","","03","폐업","40","폐업","2026-04-02","","","","","","","광주광역시 광산구 도산동 887-6","광주광역시 광산구 송도로 201(도산동)","62442","참성실한인력","2026-04-02 14:41:16","U","2026-04-04 02:40:00","","181250.540428114","181485.396779899","개인","유료",
"65","유료직업소개소","11_50_02_P","3220000","1997322008111500014","1997-12-15","","01","영업/정상","20","영업중","","","","","02  551 0203","","","서울특별시 강남구 삼성1동 159번지 6호 공항터미널 514호","서울특별시 강남구 테헤란로87길 22, 514호 (삼성동,공항터미널)","","(주)스탠튼체이스코리아","2026-04-02 16:51:32","U","2026-04-04 02:40:00","","205170.959716696","445264.936337181","법인","유료",
"66","유료직업소개소","11_50_02_P","3220000","2001322008111500005","2001-01-10","","01","영업/정상","20","영업중","","","","","02  20166600","","","서울특별시 강남구 삼성1동 159번지 9호 도심공항타워23층","서울특별시 강남구 테헤란로87길 36, 23층 (삼성동)","135-728","(주)벤처피플","2026-04-02 16:39:40","U","2026-04-04 02:40:00","","205259.527550336","445361.937086207","법인","유료",
"67","유료직업소개소","11_50_02_P","3220000","2023322025014500051","2023-10-14","","01","영업/정상","20","영업중","","","","","02  69522928","","","서울특별시 강남구 역삼동 823-49 에이동 5층","서울특별시 강남구 테헤란로10길 8, 에이동 5층 (역삼동)","06234","한국서치 주식회사","2026-04-02 15:16:13","U","2026-04-04 02:40:00","","202774.809896051","444038.448180267","법인","유료",
"68","유료직업소개소","11_50_02_P","3630000","2023363031014500013","2023-10-19","","03","폐업","40","폐업","2026-04-02","","","","","","","광주광역시 광산구 도산동 1006-4","광주광역시 광산구 상무대로 113 (도산동)","62451","청지기인력사무소","2026-04-02 14:47:32","U","2026-04-04 02:40:00","","180484.966438995","181286.54915444","개인","유료",
"69","유료직업소개소","11_50_02_P","4530000","2023453039114500015","2023-12-01","","03","폐업","40","폐업","2026-03-24","","","","","","","충청남도 서산시 읍내동 114-19","충청남도 서산시 고운로 104, 2층 (읍내동)","31984","신동양인력","2026-04-02 14:32:20","U","2026-04-04 02:40:00","","150742.781909251","364439.431905134","개인","유료",
"70","유료직업소개소","11_50_02_P","4540000","2024454031114500011","2024-12-05","","01","영업/정상","20","영업중","","","","","","","","충청남도 논산시 강경읍 남교리 81-11","충청남도 논산시 강경읍 옥녀봉로 3-1","32937","내동인력","2026-04-02 14:32:25","U","2026-04-04 02:40:00","","201631.368730534","295437.008608636","개인","유료",
"71","유료직업소개소","11_50_02_P","3300000","2026330011914500001","2026-04-03","","01","영업/정상","20","영업중","","","","","","","","부산광역시 동래구 사직동 1017 사직 쌍용 예가 223동 B115호","부산광역시 동래구 사직로 80, 223동 B115호 (사직동, 사직 쌍용 예가)","47863","다나협회","2026-04-03 15:25:22","I","2026-04-05 00:20:22","","387144.17668815","190534.020672018","개인","유료",
"72","유료직업소개소","11_50_02_P","5150000","2026515021814500002","2026-04-02","","01","영업/정상","20","영업중","","","","","","","","경상북도 의성군 단촌면 세촌리 1083-2","경상북도 의성군 단촌면 경북대로 6583","37328","단촌인력","2026-04-02 17:19:36","I","2026-04-05 00:20:22","","349842.553769321","325891.872257972","개인","유료",
"73","유료직업소개소","11_50_02_P","5020000","2026502048414500004","2026-04-03","","01","영업/정상","20","영업중","","","","","","","","경상북도 포항시 남구 상도동 635-4","경상북도 포항시 남구 상공로 42, 2층 (상도동)","37830","경상인력","2026-04-03 09:22:45","I","2026-04-05 00:20:22","","412397.36898828","281658.93037091","개인","유료",
"74","유료직업소개소","11_50_02_P","3540000","2026354016214500007","2026-04-03","","01","영업/정상","20","영업중","","","","","","","","인천광역시 부평구 부평동 451-95","인천광역시 부평구 부평대로 123-1, 2층 (부평동)","21379","선웅인력","2026-04-03 13:21:20","I","2026-04-05 00:20:22","","175293.245971915","444514.784054304","개인","유료",
"75","유료직업소개소","11_50_02_P","3540000","2026354016214500008","2026-04-03","","01","영업/정상","20","영업중","","","","","032 437 1919","","","인천광역시 부평구 십정동 402-50","인천광역시 부평구 동암광장로 20, 401호 (십정동)","21445","동암파출부센터","2026-04-03 17:25:59","I","2026-04-05 00:20:22","","173550.633125694","441082.285531441","개인","유료",
"76","유료직업소개소","11_50_02_P","3680000","2026368022214500003","2026-04-03","","01","영업/정상","20","영업중","","","","","","","","대전광역시 대덕구 중리동 202-8","대전광역시 대덕구 한밭대로 1171-1, 2층 201호 (중리동)","34395","개미천하 인력개발","2026-04-03 09:45:06","I","2026-04-05 00:20:22","","238400.589027421","317694.28824311","개인","유료",
