번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),약국영업면적,지정일자,Unnamed: 30,record_key
150,약국,01_01_06_P,3520000,PHMD120263520019084000001,2026-02-09,,1,영업/정상,13,영업중,,,,,,,,인천광역시 연수구 송도동 203-5 스마트스퀘어,"인천광역시 연수구 송도미래로11번길 27, 스마트스퀘어 B동 216호 (송도동)",21988,화이팅약국,2026-02-09 09:28:24,I,2026-02-11 00:20:41,,168876.72573143,429959.041995164,126.0,20260209,,화이팅약국_인천광역시연수구송도동203-5스마트스퀘어
149,약국,01_01_06_P,3370000,PHMD120263370022084000002,2026-02-09,,1,영업/정상,13,영업중,,,,,051-505-8837,,,부산광역시 연제구 거제동 919-1,"부산광역시 연제구 아시아드대로 38, 1층 103호 (거제동)",47526,신성건강약국,2026-02-09 10:31:20,I,2026-02-11 00:20:41,,388362.104885559,189629.564533506,66.11,20260209,,신성건강약국_부산광역시연제구거제동919-1
147,약국,01_01_06_P,3010000,PHMD120263010033084000008,2026-02-09,,1,영업/정상,13,영업중,,,,,,,,서울특별시 중구 명동2가 55-5,"서울특별시 중구 명동4길 2, 1층 (명동2가)",4536,명동 뷰티유약국,2026-02-09 16:47:41,I,2026-02-11 00:20:41,,198467.126665171,451240.860896184,60.0,20260209,,명동뷰티유약국_서울특별시중구명동2가55-5
146,약국,01_01_06_P,3660000,PHMD120263660023084000001,2026-02-09,,1,영업/정상,13,영업중,,,,,,,,,"대전광역시 서구 도안동로 234-15, 1층, 101호 (도안동)",35353,레이크365약국,2026-02-09 13:14:34,I,2026-02-11 00:20:41,,231326.470910192,313687.203614795,51.15,20260209,,레이크365약국_
145,약국,01_01_06_P,3740000,PHMD120263740032084000001,2026-02-09,,1,영업/정상,13,영업중,,,,,031-365-3461,,,경기도 수원시 권선구 당수동 0,"경기도 수원시 권선구 당수로 124, 성산타워 114,115,116호 (당수동)",16373,당수종로온누리약국,2026-02-09 17:17:25,I,2026-02-11 00:20:41,,,,121.0,20260209,,당수종로온누리약국_경기도수원시권선구당수동0
144,약국,01_01_06_P,3050000,PHMD120263050034084000003,2026-02-09,,1,영업/정상,13,영업중,,,,,070-7954-8598,,,서울특별시 동대문구 이문동 149-8 2층 이문아이파크자이상가동 A209호,"서울특별시 동대문구 이문로 120, 이문아이파크자이 상가동 2층 A209호 (이문동)",2418,이층레몬약국,2026-02-09 17:18:54,I,2026-02-11 00:20:41,,205541.211931615,455132.605075423,42.82,20260209,,이층레몬약국_서울특별시동대문구이문동149-82층이문아이파크자이상가동A209호
132,약국,01_01_06_P,3990000,PHMD120263990310084000001,2026-02-06,,1,영업/정상,13,영업중,,,,,,,,경기도 남양주시 오남읍 오남리 246-2,"경기도 남양주시 오남읍 진건오남로 616-6, 해원빌딩 제2동 2층 남쪽 끝호",12039,든든약국,2026-02-06 14:03:34,I,2026-02-08 00:20:01,,218665.816054756,465069.888984813,54.0,20260206,,든든약국_경기도남양주시오남읍오남리246-2
131,약국,01_01_06_P,3360000,PHMD120263360024084000001,2026-02-06,,1,영업/정상,13,영업중,,,,,,,,부산광역시 강서구 명지동 3338-1,"부산광역시 강서구 명지국제11로 73, 1층 (명지동)",46773,더밸런스약국,2026-02-06 19:17:04,I,2026-02-08 00:20:01,,375592.345952077,180054.601600546,48.37,20260206,,더밸런스약국_부산광역시강서구명지동3338-1
128,약국,01_01_06_P,3000000,PHMD120263000034084000002,2026-02-06,,1,영업/정상,13,영업중,,,,,,,,서울특별시 종로구 명륜1가 101-1 지강빌딩,"서울특별시 종로구 성균관로 34, 지강빌딩 1층 일부호 (명륜1가)",3074,성대정문약국,2026-02-06 10:19:00,I,2026-02-08 00:20:01,,199673.029847493,453711.269847466,67.0,20260206,,성대정문약국_서울특별시종로구명륜1가101-1지강빌딩
130,약국,01_01_06_P,5130000,PHMD120265130030084000001,2026-02-06,,1,영업/정상,13,영업중,,,,,053-856-7163,,,경상북도 경산시 진량읍 봉회리 71-1,"경상북도 경산시 진량읍 봉황길 29, 106동 105호",38450,새삼주약국,2026-02-06 17:34:55,I,2026-02-08 00:20:01,,364490.88406221,266546.481950727,45.0,20260206,,새삼주약국_경상북도경산시진량읍봉회리71-1
99,약국,01_01_06_P,3290000,PHMD120263290024084000004,2026-02-05,,1,영업/정상,13,영업중,,,,,051-921-9988,,,부산광역시 부산진구 부전동 262-14,부산광역시 부산진구 새싹로14번길 14 (부전동),47254,부전 신신약국,2026-02-05 16:31:37,I,2026-02-07 00:20:02,,387502.193407594,186419.186053557,112.28,20260205,,부전신신약국_부산광역시부산진구부전동262-14
98,약국,01_01_06_P,6520000,PHMD120266520074084000002,2026-02-05,,1,영업/정상,13,영업중,,,,,064-792-8975,,,,"제주특별자치도 서귀포시 대정읍 신영로 75, 103호",63507,모슬포약국,2026-02-05 15:52:48,I,2026-02-07 00:20:02,,130092.354863585,-30310.4806549865,36.36,20260205,,모슬포약국_
102,약국,01_01_06_P,3150000,PHMD120263150037084000001,2026-02-05,,1,영업/정상,13,영업중,,,,,,,,서울특별시 강서구 화곡동 1067-19 상원빌딩,"서울특별시 강서구 화곡로 135, 상원빌딩 1층 105호,106호 (화곡동)",7712,화곡종로약국,2026-02-05 12:22:33,I,2026-02-07 00:20:02,,185495.78820009,448753.188261092,57.6,20260205,,화곡종로약국_서울특별시강서구화곡동1067-19상원빌딩
129,약국,01_01_06_P,6510000,PHMD120266510096084000002,2026-02-05,,1,영업/정상,13,영업중,,,,,,,,제주특별자치도 제주시 이호일동 313-3,"제주특별자치도 제주시 도리로 111, 1층 (이호일동)",63108,빅세이브약국,2026-02-06 16:00:54,I,2026-02-08 00:20:01,,150068.521393021,648.563700788403,583.2,20260205,,빅세이브약국_제주특별자치도제주시이호일동313-3
133,약국,01_01_06_P,4641000,PHMD120264641050084000002,2026-02-05,,1,영업/정상,13,영업중,,,,,,,,전북특별자치도 전주시 완산구 효자동2가 815-5,전북특별자치도 전주시 완산구 천잠로 143 (효자동2가),55073,과수원약국,2026-02-06 16:14:47,I,2026-02-08 00:20:01,,,,66.0,20260205,,과수원약국_전북특별자치도전주시완산구효자동2가815-5
137,약국,01_01_06_P,6520000,PHMD120196520074084000004,2026-02-05,,1,영업/정상,13,영업중,,,,,064-738-1598,,,제주특별자치도 서귀포시 안덕면 화순리 1810-6,제주특별자치도 서귀포시 안덕면 화순로 157,63530,산방산약국,2026-02-06 09:33:34,U,2026-02-08 02:40:00,,137439.08306071,-27532.8686986667,55.5,20260205,,산방산약국_제주특별자치도서귀포시안덕면화순리1810-6
101,약국,01_01_06_P,3140000,PHMD120263140033084000001,2026-02-04,,1,영업/정상,13,영업중,,,,,02-0000-0000,,,서울특별시 양천구 목동 792-4 목동 태영프라자,"서울특별시 양천구 등촌로 32, 목동 태영프라자 3층 304호 (목동)",7965,튼튼약국,2026-02-04 17:08:20,I,2026-02-07 00:20:02,,187923.919592336,447850.891096367,64.3,20260204,,튼튼약국_서울특별시양천구목동792-4목동태영프라자
77,약국,01_01_06_P,3780000,PHMD120263780064084000001,2026-02-04,,1,영업/정상,13,영업중,,,,,,,,경기도 성남시 분당구 금곡동 151 골드프라자 301일부호,"경기도 성남시 분당구 돌마로 87, 골드프라자 3층 301일부호 (금곡동)",13618,포도나무약국,2026-02-04 07:14:59,I,2026-02-06 00:20:02,,209828.63512398,427600.340795185,35.6,20260204,,포도나무약국_경기도성남시분당구금곡동151골드프라자301일부호
100,약국,01_01_06_P,5710000,PHMD120265710108084000002,2026-02-03,,1,영업/정상,13,영업중,,,,,043-714-3780,,,충청북도 청주시 흥덕구 가경동 639-1,"충청북도 청주시 흥덕구 서현남로 16, 서현플라자 1층 118호 (가경동)",28382,루미약국,2026-02-03 17:21:07,I,2026-02-07 00:20:02,,,,88.59,20260203,,루미약국_충청북도청주시흥덕구가경동639-1
76,약국,01_01_06_P,6520000,PHMD120266520074084000001,2026-02-03,,1,영업/정상,13,영업중,,,,,,,,,"제주특별자치도 서귀포시 안덕면 신화역사로304번길 38, HB1-28",63522,황금약국,2026-02-03 15:07:17,I,2026-02-06 00:20:02,,136356.94232239,-20780.8074935676,51.28,20260203,,황금약국_
75,약국,01_01_06_P,3010000,PHMD120263010033084000007,2026-02-03,,1,영업/정상,13,영업중,,,,,,,,서울특별시 중구 명동2가 51-5,서울특별시 중구 명동8길 20 (명동2가),4536,라멜렉스약국,2026-02-04 14:18:01,I,2026-02-06 00:20:02,,198569.738869119,451170.562193994,49.59,20260203,,라멜렉스약국_서울특별시중구명동2가51-5
74,약국,01_01_06_P,3300000,PHMD120263300024084000001,2026-02-03,,1,영업/정상,13,영업중,,,,,051000000,,,부산광역시 동래구 온천동 1437-8,"부산광역시 동래구 충렬대로155번길 19, 101호 일부, 102호 (온천동)",47734,편한약국,2026-02-03 13:08:14,I,2026-02-06 00:20:02,,389076.94222678,191600.973042443,112.0,20260203,,편한약국_부산광역시동래구온천동1437-8
140,약국,01_01_06_P,4641000,PHMD120264641050084000001,2026-02-03,,1,영업/정상,13,영업중,,,,,0632367000,,,전북특별자치도 전주시 완산구 평화동1가 596-1,전북특별자치도 전주시 완산구 백제대로 20-45 (평화동1가),55106,새힘약국,2026-02-06 16:25:26,U,2026-02-08 02:40:00,,211913.65207119,255288.562883567,48.0,20260203,,새힘약국_전북특별자치도전주시완산구평화동1가596-1
2,약국,01_01_06_P,3130000,PHMD120263130033084000002,2026-02-02,,1,영업/정상,13,영업중,,,,,02-3291-5879,,,,"서울특별시 마포구 상암산로1길 73, 월드프라자 103호 (상암동)",3905,메디팜상암약국,2026-02-02 09:47:41,I,2026-02-04 00:20:02,,189611.288903747,453102.501535521,29.68,20260202,,메디팜상암약국_
1,약국,01_01_06_P,3390000,PHMD120263390023084000002,2026-02-02,,1,영업/정상,13,영업중,,,,,,,,부산광역시 사상구 엄궁동 690 롯데마트 사상점,"부산광역시 사상구 낙동대로 733, 롯데마트 사상점 3층 (엄궁동)",47032,메가 자이언트,2026-02-02 11:00:02,I,2026-02-04 00:20:02,,379352.805619145,182712.079140728,339.9,20260202,,메가자이언트_부산광역시사상구엄궁동690롯데마트사상점
9,약국,01_01_06_P,3070000,PHMD120263070034084000002,2026-02-02,,1,영업/정상,13,영업중,,,,,070-4257-5277,,,서울특별시 성북구 동소문동5가 67-1 강윤빌딩,"서울특별시 성북구 동소문로 92, 강윤빌딩 1층 (동소문동5가)",2846,스타약국,2026-02-02 14:41:35,I,2026-02-04 00:20:02,,201297.061240598,454428.857552394,65.0,20260202,,스타약국_서울특별시성북구동소문동5가67-1강윤빌딩
3,약국,01_01_06_P,3740000,PHMD120263740033084000002,2026-02-02,,1,영업/정상,13,영업중,,,,,,,,경기도 수원시 팔달구 인계동 1124-4,"경기도 수원시 팔달구 효원로 279, 1층 104호 (인계동)",16488,인계프라자약국,2026-02-02 13:30:17,I,2026-02-04 00:20:02,,202833.77034858,417779.200930859,106.01,20260202,,인계프라자약국_경기도수원시팔달구인계동1124-4
4,약국,01_01_06_P,3010000,PHMD120263010033084000006,2026-02-02,,1,영업/정상,13,영업중,,,,,02-6338-7771,,,서울특별시 중구 충무로4가 133-1,"서울특별시 중구 충무로2길 34, 101호 (충무로4가)",4557,럭키약국,2026-02-02 16:33:58,I,2026-02-04 00:20:02,,199482.560997787,451107.363779923,16.8,20260202,,럭키약국_서울특별시중구충무로4가133-1
5,약국,01_01_06_P,3990000,PHMD120263990309084000001,2026-02-02,,1,영업/정상,13,영업중,,,,,07088627777,,,경기도 남양주시 삼패동 367-10 1층,"경기도 남양주시 고산로 249-18, 1층 (삼패동)",12245,남양주백화점대형약국,2026-02-02 16:35:20,I,2026-02-04 00:20:02,,216991.099156951,454725.501938369,319.95,20260202,,남양주백화점대형약국_경기도남양주시삼패동367-101층
8,약국,01_01_06_P,3060000,PHMD120263060034084000001,2026-02-02,,1,영업/정상,13,영업중,,,,,02-6213-0100,,,서울특별시 중랑구 상봉동 130-3 안산빌딩,"서울특별시 중랑구 망우로30길 3, 안산빌딩 111호 (상봉동)",2120,상봉메가약국,2026-02-02 13:34:46,I,2026-02-04 00:20:02,,206526.002200022,454549.167447113,34.0,20260202,,상봉메가약국_서울특별시중랑구상봉동130-3안산빌딩
10,약국,01_01_06_P,3210000,PHMD120263210034084000002,2026-02-02,,1,영업/정상,13,영업중,,,,,,,,서울특별시 서초구 방배동 925-10 방배병원,"서울특별시 서초구 방배로 115, 1층 (방배동)",6682,해든약국,2026-02-02 13:46:45,I,2026-02-04 00:20:02,,199524.663124973,442467.198073938,20.7,20260202,,해든약국_서울특별시서초구방배동925-10방배병원
6,약국,01_01_06_P,5710000,PHMD120265710109084000001,2026-01-29,,1,영업/정상,13,영업중,,,,,070-7537-1786,,,,충청북도 청주시 청원구 2순환로 276-1 (주중동),28308,메가타운약국,2026-02-02 16:17:29,I,2026-02-04 00:20:02,,243694.860030635,352908.360314348,723.97,20260129,,메가타운약국_
