번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),자치단체코드,업체유형명,자본금,지정정비업종명,면허일자,면허유효기간시작일자,면허유효기간종료일자,자격면허발급기관,Unnamed: 36,record_key
68,국제물류주선업,11_45_01_P,6300000,6300000-63-45,2022-08-24,,1,영업/정상,10,운행,,,,,,,35363,대전광역시 서구 관저동 1757번지 D&A프라자 503호,"대전광역시 서구 관저북로 15, D&A프라자 5층 503호 (관저동)",35363.0,(주)대현물류,2026-02-26 00:00:00,U,2026-02-28 02:40:00,,230172.419694364,311437.971498684,6300000,국제물류주선업,300000000,,,,,,,(주)대현물류_대전광역시서구관저동1757번지D&A프라자503호
29,국제물류주선업,11_45_01_P,6260000,6260000-63-1305,2022-08-09,,1,영업/정상,10,운행,,,,,7076723737.0,,48821,부산광역시 동구 초량동 1203-10 오피스텔프레지던트 805호,"부산광역시 동구 중앙대로180번길 13, 오피스텔프레지던트 805호(초량동)",48821.0,(주)엔비쉬핑,2026-02-11 00:00:00,U,2026-02-13 02:40:00,,385956.31866986,181231.059906128,6260000,국제물류주선업,300000000,,,,,,,(주)엔비쉬핑_부산광역시동구초량동1203-10오피스텔프레지던트805호
59,국제물류주선업,11_45_01_P,6260000,6260000-63-1293,2022-06-08,,1,영업/정상,10,운행,,,,,514610600.0,,48058,부산광역시 해운대구 재송동 1208-2 센텀스카이비즈 에이동 2002호,"부산광역시 해운대구 센텀중앙로 97, 센텀스카이비즈 에이동 2002호(재송동)",48058.0,(주)세중종합물류,2026-02-25 00:00:00,U,2026-02-27 02:40:00,,393503.395721468,188279.474831553,6260000,국제물류주선업,1100000000,,,,,,,(주)세중종합물류_부산광역시해운대구재송동1208-2센텀스카이비즈에이동2002호
9,국제물류주선업,11_45_01_P,6290000,6290000-63-49,2022-04-14,,1,영업/정상,10,운행,,,,,7086210940.0,,61990,광주광역시 서구 쌍촌동 982-15,"광주광역시 서구 상무대로 894, 2층 202호(쌍촌동)",61990.0,엔에스엘코퍼레이션(주),2026-02-03 00:00:00,U,2026-02-06 02:40:00,,187145.940524098,183474.849274,6290000,국제물류주선업,300000000,,,,,,,엔에스엘코퍼레이션(주)_광주광역시서구쌍촌동982-15
42,국제물류주선업,11_45_01_P,6460000,6460000-63-133,2021-10-26,,1,영업/정상,10,운행,,,,,617987715.0,,57785,전라남도 광양시 중동 1318-3,"전라남도 광양시 중동로 63, 5층(중동)",57785.0,케이엠씨해운 주식회사,2026-02-13 00:00:00,U,2026-02-15 02:40:00,,263456.556427854,160518.494888025,6460000,국제물류주선업,1000000000,,,,,,,케이엠씨해운주식회사_전라남도광양시중동1318-3
38,국제물류주선업,11_45_01_P,6260000,6260000-63-1239,2021-09-09,,1,영업/정상,10,운행,,,,,,,48939,부산광역시 중구 중앙동4가 87-7 부산무역회관 906호,"부산광역시 중구 충장대로 11, 부산무역회관 906호 (중앙동4가)",48939.0,(주)에스엠로직스 ▷ (주)에스앤에이치트랜스에서 변경),2026-02-12 00:00:00,U,2026-02-14 02:40:00,,385722.4811351,180423.00816521,6260000,국제물류주선업,300000000,,,,,,,(주)에스엠로직스▷(주)에스앤에이치트랜스에서변경)_부산광역시중구중앙동4가87-7부산무역회관906호
67,국제물류주선업,11_45_01_P,6300000,6300000-63-40,2021-08-18,,1,영업/정상,10,운행,,,,,,,35265,대전광역시 서구 갈마동 1418번지 큰마을아파트,"대전광역시 서구 대덕대로 150, 113동 1506호(갈마동, 큰마을아파트)",35265.0,주식회사 호랑로지스틱스,2026-02-26 00:00:00,U,2026-02-28 02:40:00,,233760.108129755,316051.323101169,6300000,국제물류주선업,300000000,,,,,,,주식회사호랑로지스틱스_대전광역시서구갈마동1418번지큰마을아파트
35,국제물류주선업,11_45_01_P,6440000,6440000-63-72,2020-06-16,,1,영업/정상,10,운행,,,,,415554640.0,,31156,충청남도 천안시 서북구 불당동 1545번지 천안불당린스트라우스1단지 104동 1803호,"충청남도 천안시 서북구 불당19로 95, 104동 1803호 (불당동, 천안불당린스트라우스1단지)",31156.0,에이치지특수 주식회사,2026-02-12 00:00:00,U,2026-02-14 02:40:00,,209003.210638553,368319.970097363,6440000,국제물류주선업,300000000,,,,,,,에이치지특수주식회사_충청남도천안시서북구불당동1545번지천안불당린스트라우스1단지104동1803호
14,국제물류주선업,11_45_01_P,6280000,6280000-63-785,2020-06-12,,1,영업/정상,10,운행,,,,,,,21984,인천광역시 연수구 송도동 172-1 송도테크노파크IT센터 엠동 2901호,"인천광역시 연수구 송도과학로 32, 송도테크노파크IT센터 엠동 2901호 (송도동)",21984.0,(주)에프엔에이치,2026-02-05 00:00:00,U,2026-02-07 02:40:00,,170022.51843639,431135.72309634,6280000,국제물류주선업,300000000,,,,,,,(주)에프엔에이치_인천광역시연수구송도동172-1송도테크노파크IT센터엠동2901호
57,국제물류주선업,11_45_01_P,6300000,6300000-63-9,2020-01-13,,1,영업/정상,10,운행,,,,,424821735.0,,34159,대전광역시 유성구 덕명동 601-8 102호,"대전광역시 유성구 학하서로 126-22, 102호 (덕명동)",34159.0,주식회사 창대로지스틱,2026-02-25 00:00:00,U,2026-02-27 02:40:00,,226935.0884619,316280.668188946,6300000,국제물류주선업,300000000,,,,,,,주식회사창대로지스틱_대전광역시유성구덕명동601-8102호
33,국제물류주선업,11_45_01_P,6260000,6260000-63-1126,2019-11-05,,1,영업/정상,10,운행,,,,,514650906.0,,48058,부산광역시 해운대구 재송동 1208-2 센텀스카이비즈 에이동 1709호,"부산광역시 해운대구 센텀중앙로 97, 센텀스카이비즈 에이동 1709호 (재송동)",48058.0,엘케이코퍼레이션(주),2026-02-12 00:00:00,U,2026-02-14 02:40:00,,393503.395721468,188279.474831553,6260000,국제물류주선업,300000000,,,,,,,엘케이코퍼레이션(주)_부산광역시해운대구재송동1208-2센텀스카이비즈에이동1709호
55,국제물류주선업,11_45_01_P,6300000,6300000-63-31,2019-03-21,,1,영업/정상,10,운행,,,,,7051033455.0,,34220,대전광역시 유성구 대정동 64-5,대전광역시 유성구 한우물로66번길 141 (대정동),34220.0,주식회사 이콰리,2026-02-25 00:00:00,U,2026-02-27 02:40:00,,229711.739971666,312677.416851694,6300000,국제물류주선업,300000000,,,,,,,주식회사이콰리_대전광역시유성구대정동64-5
3,국제물류주선업,11_45_01_P,6260000,6260000-63-1080,2019-03-18,,1,영업/정상,10,운행,,,,,514424420.0,,48937,부산광역시 중구 중앙동4가 81-7,"부산광역시 중구 충장대로9번길 35-1, 동진빌딩 401호 (중앙동4가)",48937.0,건일엔지니어링(주) [←대승글로벌(주)],2026-01-30 00:00:00,U,2026-02-04 11:04:37,,385731.290616463,180730.387826318,6260000,국제물류주선업,300000000,,,,,,,건일엔지니어링(주)[←대승글로벌(주)]_부산광역시중구중앙동4가81-7
17,국제물류주선업,11_45_01_P,6300000,6300000-63-35,2019-02-25,,3,폐업,30,폐지,,,,,,,34434,대전광역시 대덕구 오정동 383-4,"대전광역시 대덕구 대전로 1099, 301호 (오정동)",34434.0,주식회사 에스엠엘,2026-02-05 00:00:00,U,2026-02-07 02:40:00,,237182.718943949,316937.994635498,6300000,국제물류주선업,300000000,,,,,,,주식회사에스엠엘_대전광역시대덕구오정동383-4
37,국제물류주선업,11_45_01_P,6260000,6260000-63-1167,2019-01-21,,1,영업/정상,10,운행,,,,,517472473.0,,48060,부산광역시 해운대구 우동 1506번지 센텀스퀘어 1514호,"부산광역시 해운대구 센텀3로 26, 센텀스퀘어 1514호 (우동)",48060.0,파인아트부산(주),2026-02-12 00:00:00,U,2026-02-14 02:40:00,,394304.865511712,187411.826417127,6260000,국제물류주선업,300000000,,,,,,,파인아트부산(주)_부산광역시해운대구우동1506번지센텀스퀘어1514호
11,국제물류주선업,11_45_01_P,6300000,6300000-63-29,2018-08-29,,3,폐업,30,폐지,,,,,428242254.0,,34186,대전광역시 유성구 봉명동 536-10 노블레스타워 215호,"대전광역시 유성구 대학로 34, 2층 215호 (봉명동, 노블레스타워)",34186.0,주식회사 지엘,2026-02-05 00:00:00,U,2026-02-07 02:40:00,,230716.915027625,317346.353495742,6300000,국제물류주선업,300000000,,,,,,,주식회사지엘_대전광역시유성구봉명동536-10노블레스타워215호
62,국제물류주선업,11_45_01_P,6260000,6260000-63-1013,2018-03-23,,1,영업/정상,10,운행,,,,,,,48955,부산광역시 중구 동광동2가 4번지 305호,"부산광역시 중구 광복로97번길 18, 305호 (동광동2가)",48955.0,(주)해냄통운,2026-02-26 00:00:00,U,2026-02-28 02:40:00,,385514.844564816,179798.854865759,6260000,국제물류주선업,300000000,,,,,,,(주)해냄통운_부산광역시중구동광동2가4번지305호
46,국제물류주선업,11_45_01_P,6260000,6260000-63-997,2017-12-06,,1,영업/정상,10,운행,,,,,,,46988,부산광역시 사상구 감전동 152-2 부산산업용재유통상가 7호동 347호,"부산광역시 사상구 새벽로 131, 부산산업용재유통상가 7호동 347호 (감전동)",46988.0,(주)서진스텔라유통물류,2026-02-23 00:00:00,U,2026-02-25 02:40:00,,380482.767624189,185582.274947583,6260000,국제물류주선업,300000000,,,,,,,(주)서진스텔라유통물류_부산광역시사상구감전동152-2부산산업용재유통상가7호동347호
47,국제물류주선업,11_45_01_P,6260000,6260000-63-954,2017-05-30,,1,영업/정상,10,운행,,,,,,,47541,부산광역시 연제구 연산동 1384-1 (주)부산은행 1006호,"부산광역시 연제구 중앙대로 1073, (주)부산은행 1006호 (연산동)",47541.0,(주)금비로직스,2026-02-23 00:00:00,U,2026-02-25 02:40:00,,389362.145015205,189184.927848698,6260000,국제물류주선업,300000000,,,,,,,(주)금비로직스_부산광역시연제구연산동1384-1(주)부산은행1006호
45,국제물류주선업,11_45_01_P,6300000,6300000-63-24,2017-03-03,,1,영업/정상,10,운행,,,,,423839802.0,,,,"대전광역시 대덕구 대덕대로1454번길 11-10, 2층 (목상동)",34323.0,주영글로벌,2026-02-23 00:00:00,U,2026-02-25 02:40:00,,236756.025391092,327492.438097212,6300000,국제물류주선업,0,,,,,,,주영글로벌_
34,국제물류주선업,11_45_01_P,6500000,6500000-63-16,2016-12-09,,1,영업/정상,10,운행,,,,,647444077.0,,63069,제주특별자치도 제주시 외도일동 438-2,제주특별자치도 제주시 우정로4길 32 (외도일동),63069.0,주식회사 대동스카이라이너,2026-02-12 00:00:00,U,2026-02-14 02:40:00,,146708.838274668,-403.978252378263,6500000,국제물류주선업,300000000,,,,,,,주식회사대동스카이라이너_제주특별자치도제주시외도일동438-2
54,국제물류주선업,11_45_01_P,6300000,6300000-63-21,2016-05-13,,1,영업/정상,10,운행,,,,,422715118.0,,34640,대전광역시 동구 대동 146-1 대동클리닉 601호,"대전광역시 동구 계족로 167, 대동클리닉 601호 (대동)",34640.0,주식회사 한미로지스,2026-02-25 00:00:00,U,2026-02-27 02:40:00,,239704.572233185,314310.467556259,6300000,국제물류주선업,300000000,,,,,,,주식회사한미로지스_대전광역시동구대동146-1대동클리닉601호
53,국제물류주선업,11_45_01_P,6300000,6300000-63-18,2016-01-20,,1,영업/정상,10,운행,,,,,429364266.0,,34323,대전광역시 대덕구 목상동 151-6,"대전광역시 대덕구 대덕대로1454번길 19-18, 1층 (목상동)",34323.0,주식회사 엘유엑스,2026-02-25 00:00:00,U,2026-02-27 02:40:00,,236801.605623351,327475.429585837,6300000,국제물류주선업,300000000,,,,,,,주식회사엘유엑스_대전광역시대덕구목상동151-6
60,국제물류주선업,11_45_01_P,6300000,6300000-63-17,2015-12-28,,1,영업/정상,10,운행,,,,,429358688.0,,34363,대전광역시 대덕구 읍내동 450-1 대전플랫폼시티지식산업센터 701-704호,"대전광역시 대덕구 대전로1331번길 40, 대전플랫폼시티지식산업센터 701-704호 (읍내동)",34363.0,주식회사 삼미지엘에스,2026-02-26 00:00:00,U,2026-02-28 02:40:00,,237482.876790209,319292.244561627,6300000,국제물류주선업,450000000,,,,,,,주식회사삼미지엘에스_대전광역시대덕구읍내동450-1대전플랫폼시티지식산업센터701-704호
13,국제물류주선업,11_45_01_P,6280000,6280000-63-381,2014-02-21,,1,영업/정상,10,운행,,,,,324228901.0,,21512,인천광역시 남동구 간석동 941번지 인천간석엘에이치2단지 207동 1301호,"인천광역시 남동구 백범로294번길 16, 207동 1301호 (간석동, 인천간석엘에이치2단지)",21512.0,㈜인하국제물류,2026-02-05 00:00:00,U,2026-02-07 02:40:00,,175065.30329913,440194.562483479,6280000,국제물류주선업,300000000,,,,,,,㈜인하국제물류_인천광역시남동구간석동941번지인천간석엘에이치2단지207동1301호
1,국제물류주선업,11_45_01_P,6290000,6290000-63-16,2013-09-11,,1,영업/정상,10,운행,,,,,626117071.0,,,,"광주광역시 광산구 풍영철길로 15, 605호 (우산동,콜럼버스월드)",,태웅티엘에스(주),2026-02-02 00:00:00,U,2026-02-04 02:40:00,,,,6290000,국제물류주선업,300000000,,,,,,,태웅티엘에스(주)_
6,국제물류주선업,11_45_01_P,6260000,6260000-63-541,2012-02-06,,1,영업/정상,10,운행,,,,,7074374578.0,,48059,부산광역시 해운대구 우동 1470번지 에이스하이테크21,"부산광역시 해운대구 센텀중앙로 48, 에이스하이테크21 1802~4호(우동)",48059.0,(주)아이엠에이해운항공,2026-01-30 00:00:00,U,2026-02-04 11:04:37,,393963.840834294,188061.35516256,6260000,국제물류주선업,300000000,,,,,,,(주)아이엠에이해운항공_부산광역시해운대구우동1470번지에이스하이테크21
41,국제물류주선업,11_45_01_P,6260000,6260000-63-397,2010-10-27,,1,영업/정상,10,운행,,,,,,,48730,부산광역시 동구 초량동 1163-11 403호,"부산광역시 동구 중앙대로286번길 3-3, 403호 (초량동)",48730.0,(주)제닉스해운항공,2026-02-13 00:00:00,U,2026-02-15 02:40:00,,386263.821881836,182252.416464894,6260000,국제물류주선업,300000000,,,,,,,(주)제닉스해운항공_부산광역시동구초량동1163-11403호
28,국제물류주선업,11_45_01_P,6260000,6260000-63-1487,2010-04-30,,1,영업/정상,10,운행,,,,,514668050.0,,48937,부산광역시 중구 중앙동4가 81-12,"부산광역시 중구 충장대로9번길 33, 상일빌딩 703호 (중앙동4가)",48937.0,(주)선남물류,2026-02-11 00:00:00,U,2026-02-13 02:40:00,,385720.420340794,180698.091506578,6260000,국제물류주선업,500000000,,,,,,,(주)선남물류_부산광역시중구중앙동4가81-12
24,국제물류주선업,11_45_01_P,6260000,6260000-63-272,2009-07-09,,1,영업/정상,10,운행,,,,,4672000.0,,48937,부산광역시 중구 중앙동4가 81-11 305호,"부산광역시 중구 충장대로5번길 36, 305호(중앙동4가)",48937.0,프라임지엘에스(주),2026-02-10 00:00:00,U,2026-02-12 02:40:00,,385700.499693029,180708.93015008,6260000,국제물류주선업,300000000,,,,,,,프라임지엘에스(주)_부산광역시중구중앙동4가81-11305호
63,국제물류주선업,11_45_01_P,6260000,6260000-63-268,2009-07-01,,1,영업/정상,10,운행,,,,,514672881.0,,47145,부산광역시 부산진구 당감동 742-2,"부산광역시 부산진구 동평로73번길 37, 3층 (당감동)",47145.0,(주)일송해운항공,2026-02-26 00:00:00,U,2026-02-28 02:40:00,,385578.25157789,187202.370383485,6260000,국제물류주선업,300000000,,,,,,,(주)일송해운항공_부산광역시부산진구당감동742-2
49,국제물류주선업,11_45_01_P,6260000,6260000-63-132,2008-01-07,,1,영업/정상,10,운행,,,,,514648831.0,,48924,부산광역시 중구 대창동1가 51번지 부산중앙빌딩 903호,"부산광역시 중구 해관로 89, 부산중앙빌딩 903호(대창동1가)",48924.0,제이에스글로벌해운항공(주),2026-02-23 00:00:00,U,2026-02-25 02:40:00,,385507.640529964,180548.792611588,6260000,국제물류주선업,300000000,,,,,,,제이에스글로벌해운항공(주)_부산광역시중구대창동1가51번지부산중앙빌딩903호
61,국제물류주선업,11_45_01_P,6300000,6300000-63-5,2007-12-20,,1,영업/정상,10,운행,,,,,428255750.0,,,,"대전광역시 유성구 대학로 28, 707호 (봉명동,홍인오피스텔)",,(주)유원항운,2026-02-26 00:00:00,U,2026-02-28 02:40:00,,230708.971028793,317316.975838667,6300000,국제물류주선업,300000000,,,,,,,(주)유원항운_
64,국제물류주선업,11_45_01_P,6260000,6260000-63-118,2007-11-20,,1,영업/정상,10,운행,,,,,,,49218,부산광역시 서구 동대신동1가 153-21 스마트빌 에이동 602호,"부산광역시 서구 구덕로280번길 7, 에이동 602호 (동대신동1가, 스마트빌)",49218.0,(주)지앤알로직스,2026-02-26 00:00:00,U,2026-02-28 02:40:00,,384002.964485198,180779.851320518,6260000,국제물류주선업,300000000,,,,,,,(주)지앤알로직스_부산광역시서구동대신동1가153-21스마트빌에이동602호
