사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,다른겸업여부,도로명주소,도로명우편번호,재개업일자,수리대상의료기기의유형,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,총규모
행복메디케어,2012-11-16,183282.24658208,451684.321890662,2026-05-01 22:33:23,I,03,폐업,2013-04-11 11:10:33,,2011-01-18,157-851,서울특별시 강서구 방화2동 598번지 113호 1층(금낭화로 23),PHMG320113150037047400004,3150000,,,,,환자운반차,03,폐업,,,26635450,
곰두리케어,2021-04-29,186301.875540288,450896.992532972,2026-05-01 22:33:23,I,03,폐업,2021-05-03 13:34:41,,2017-04-07,,서울특별시 강서구 등촌동 696번지 세신그린코아빌딩,PHMG320113150037047400005,3150000,Y,"서울특별시 강서구 공항대로41길 51, 세신그린코아빌딩 지하1층 B133호 (등촌동)",07586,,환자운반차,03,폐업,,,,
메디플랜,2013-01-28,186504.982861759,449591.979507281,2026-05-01 22:33:23,I,03,폐업,2013-01-28 17:16:42,,2011-10-10,,,PHMG320113150037047400006,3150000,,서울특별시 강서구 화곡로46길 17 (화곡동),,,,03,폐업,,,,
(주)오알솔루션즈코리아,2019-12-30,185292.76664368,450863.026923918,2026-05-01 22:33:23,I,03,폐업,2019-12-31 09:50:05,,2018-07-26,,서울특별시 강서구 마곡동 797번지 7호 퀸즈파크텐,PHMG320123150037047400004,3150000,Y,"서울특별시 강서구 마곡중앙6로 66, 퀸즈파크텐 B동 812호 (마곡동)",07803,,"진료대, 수술대, 무영등, 비뇨기과납품기기, 전기수술장치 등",03,폐업,,,,
서울강서방화지역자활센터,2013-12-26,183279.379544774,451877.930123056,2026-05-01 22:33:23,I,03,폐업,2013-12-27 09:35:52,,2013-03-04,,,PHMG320133150037047400002,3150000,N,"서울특별시 강서구 금낭화로 41, 1층 (방화동)",,,환자운반차(환자운반차),03,폐업,,,,
강서복지용구센터,2017-04-14,183315.556652953,452204.165533971,2026-05-01 22:33:23,I,03,폐업,2017-04-17 15:22:19,,2013-03-14,,,PHMG320133150037047400003,3150000,N,"서울특별시 강서구 방화동로 126, B12호 (방화동)",07604,,환자운반차(환자운반차),03,폐업,,,,
㈜에스엠아이코퍼레이션,2013-07-03,185926.715920448,451634.919975729,2026-05-01 22:33:23,I,03,폐업,2013-07-05 10:13:35,,2013-03-26,,,PHMG320133150037047400004,3150000,Y,"서울특별시 강서구 강서로 466, 201호 (등촌동, 우리벤처타운)",,,정형용기기(의료용진동기),03,폐업,,,,
㈜굿인 서울지점,2020-01-29,186009.19449961,451422.055275775,2026-05-01 22:33:23,I,03,폐업,2020-01-31 13:12:26,,2013-06-10,,,PHMG320133150037047400005,3150000,Y,"서울특별시 강서구 강서로68길 36, 101호 (등촌동, 등촌1단지아파트상가)",07581,,환자운반차(환자운반차),03,폐업,,,,
강서의료기,2016-04-28,185245.431987227,449444.952787419,2026-05-01 22:33:23,I,03,폐업,2016-05-03 09:11:42,,2015-02-11,157-918,서울특별시 강서구 화곡동 1009번지 15호 101호,PHMG320153150037047400001,3150000,Y,"서울특별시 강서구 강서로43길 42, 101호 (화곡동)",07705,,환자운반차,03,폐업,,,02-2608-6088,
(주)엘씨케이상사 마곡지점,2019-07-01,184622.24950286,451831.218540076,2026-05-01 22:33:23,I,03,폐업,2019-07-02 09:51:03,,2017-11-16,,서울특별시 강서구 마곡동 757번지 3호 마곡나루역보타닉비즈타워 820호,PHMG320163150037047400001,3150000,Y,"서울특별시 강서구 마곡중앙5로1길 20, 820호 (마곡동)",07788,,"유전자분석기구(유전자증폭장치,유전자서열검사기)",03,폐업,,,02-2631-2122,
태성메디텍(주),2019-05-16,184555.689189052,451767.833497048,2026-05-01 22:33:23,I,03,폐업,2019-05-17 17:36:37,,2018-04-12,,서울특별시 강서구 마곡동 759번지 3호 보타닉파크타워Ⅰ,PHMG320183150037047400002,3150000,Y,"서울특별시 강서구 마곡중앙로 161-17, 보타닉파크타워Ⅰ 816호 (마곡동)",07788,,초음파 영상 신호변환기,03,폐업,,,,
인화메디칼,2024-11-25,183843.131632434,450190.180829051,2026-05-01 22:33:23,I,03,폐업,2024-11-25 16:41:19,,2019-09-27,,서울특별시 강서구 공항동 1360번지 10호,PHMG320183150037047400006,3150000,Y,"서울특별시 강서구 방화대로6마길 23, 1층 (공항동)",07645,,디지털 영상 처리 장치,03,폐업,,,02-869-4330,
주식회사 나산엠앤알,2024-08-06,185854.00759351,448748.967174211,2026-05-01 22:33:24,I,03,폐업,2024-08-06 15:31:29,,2023-01-25,,"서울특별시 강서구 화곡동 1075-25 인폼빌딩, 3층",PHMG320233150037047400001,3150000,N,"서울특별시 강서구 강서로 159, 인폼빌딩 3층 (화곡동)",07715,,"의료용 냉장, 냉동기기",03,폐업,,,02-6389-2201,
티헬스케어,2025-07-24,186943.885592447,451159.513463994,2026-05-01 22:33:24,I,03,폐업,2025-07-24 18:05:31,,2024-10-11,,서울특별시 강서구 가양동 1480-5 이스타빌1차,PHMG320243150037047400003,3150000,Y,"서울특별시 강서구 양천로57길 10-20, 이스타빌1차 2층 207호 (가양동)",07526,,안과 검사기기 및 소프트웨어,03,폐업,,,,
지엠티,2012-12-05,193335.399293698,443291.231245754,2026-05-01 22:36:50,I,03,폐업,2012-12-05 16:01:19,,2006-11-20,151-830,서울특별시 관악구 보라매동 729번지 24호 그린캐릭터빌 1213호,PHMG320063200033047400001,3200000,N,"서울특별시 관악구 보라매로5가길 7, 1213호 (봉천동, 그린캐릭터빌)",,,비전리진단장치,03,폐업,,,,
(주)관악시스템,2019-05-27,195226.754231003,442254.566376733,2026-05-01 22:36:50,I,03,폐업,2019-05-27 17:49:16,,2008-11-24,,서울특별시 관악구 봉천동 893번지 21호,PHMG320113200033047400001,3200000,N,"서울특별시 관악구 양녕로 6, 401호 (봉천동)",08758,,"정형용기기, 의료용물질생성기",03,폐업,,,,
100세동안 관악점,2014-11-17,194998.059953225,442706.637070956,2026-05-01 22:36:50,I,03,폐업,2014-11-17 18:00:15,,2011-07-15,151-843,서울특별시 관악구 은천동 902번지 18호 1층,PHMG320113200033047400002,3200000,Y,"서울특별시 관악구 은천로 80 (봉천동,1층)",,,환자운반차,03,폐업,,,,
대진전지판매(주),2018-06-01,194392.977159807,442420.17395294,2026-05-01 22:36:50,I,03,폐업,2018-06-01 16:41:08,,2011-12-16,151-852,서울특별시 관악구 서원동 10번지 633호 대진빌딩 1층,PHMG320113200033047400004,3200000,Y,서울특별시 관악구 남부순환로 1684 (신림동),08780,,환자운반차,03,폐업,,,1661-1841,
위니아서비스 관악점,2016-04-05,193802.528349677,441925.389776688,2026-05-01 22:36:50,I,03,폐업,2016-04-05 17:43:11,,2011-05-19,151-900,서울특별시 관악구 신림동 1634번지 6호,PHMG320113200033047400005,3200000,Y,"서울특별시 관악구 신림로 281, 2층 (신림동)",08775,,의료용물질생성기(이온수기),03,폐업,,,,
TH BIO,2024-09-27,194821.255710145,442692.802986229,2026-05-01 22:36:50,I,03,폐업,2024-09-27 17:47:48,,2013-01-25,151-826,"서울특별시 관악구 봉천동 622번지 3호 은천누리에뜰 109호, 110호",PHMG320133200033047400001,3200000,Y,"서울특별시 관악구 은천로 61, 1층 (봉천동)",08716,,환자운반차,03,폐업,,,,
은혜메디칼,2022-09-23,194807.438647477,442991.286477745,2026-05-01 22:36:50,I,03,폐업,2024-05-02 16:21:38,,2013-02-14,151-827,서울특별시 관악구 은천동 635번지 231호 1층,PHMG320133200033047400002,3200000,Y,"서울특별시 관악구 국회단지14길 2, 1층 (봉천동)",08714,,"환자운반차, 진료대",03,폐업,,,,
(주)100세돌봄의료기,2025-05-09,194998.059953225,442706.637070956,2026-05-01 22:36:50,I,03,폐업,2025-05-09 20:34:24,,2015-02-02,,서울특별시 관악구 봉천동 902번지 18호,PHMG320153200033047400001,3200000,Y,"서울특별시 관악구 은천로 51, 1층 (봉천동, 은호빌딩)",08716,,"환자운반차, 보청기",03,폐업,,,02-883-6360,
(주)메디컬솔루션코리아,2016-04-04,193335.399293698,443291.231245754,2026-05-01 22:36:50,I,03,폐업,2016-04-04 17:28:07,,2015-02-12,151-830,서울특별시 관악구 봉천동 729번지 24호,PHMG320153200033047400002,3200000,Y,"서울특별시 관악구 보라매로5가길 7, 808호 (봉천동)",08708,,비전리진단장치,03,폐업,,,,
스타키보청기 관악점,2025-09-23,195793.554018345,442281.682871214,2026-05-01 22:36:50,I,03,폐업,2025-09-23 16:05:22,,2023-08-03,,서울특별시 관악구 봉천동 859-17 관악위버폴리스,PHMG320233200033047400002,3200000,N,"서울특별시 관악구 관악로 195, 3층 303호 (봉천동, 관악위버폴리스)",08745,,보청기,03,폐업,,,,
