건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,제작취급품목내용,시설면적,시설규모,지상층수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수
근린생활시설,소리아트홀1관,2016-06-30,200113.874740135,453549.526436303,공연장,공연장,2026-03-11 00:46:44,I,03,폐업,,,,6,2016-06-30 15:56:13,,2011-12-19,110-530,서울특별시 종로구 혜화동 90-18,CDFE1230002011000014,3000000,중심상업지역,서울특별시 종로구 대학로 146 (혜화동),,03,폐업,기타,,,,10,4
근린생활시설,소리아트홀2관,2016-06-30,200113.874740135,453549.526436303,공연장,공연장,2026-03-11 00:47:31,I,03,폐업,,,,6,2016-06-30 15:56:28,,2011-12-19,110-530,서울특별시 종로구 혜화동 90-18,CDFE1230002011000015,3000000,중심상업지역,서울특별시 종로구 대학로 146 (혜화동),,03,폐업,기타,,,,10,4
문화시설,상명아트홀2관,2019-09-02,200171.515871618,453449.854548299,공연장,공연장,2026-03-11 00:48:38,I,03,폐업,,,,0,2019-09-02 14:06:31,,2012-01-04,110-809,서울특별시 종로구 동숭동 1-38 지층,CDFE1230002012000001,3000000,일반주거지역,"서울특별시 종로구 동숭길 지하 1-38, 지층층 (동숭동)",,03,폐업,기타,,,20752173,1,1
근린생활시설,호은아트홀,2018-10-25,200307.47638288,453090.105614808,공연장,공연장,2026-03-11 00:49:56,I,03,폐업,,,,,2019-01-25 17:18:37,,2012-01-18,110-510,서울특별시 종로구 동숭동 1-150 지하 2층,CDFE1230002012000003,3000000,일반주거지역,"서울특별시 종로구 동숭길 41 (동숭동,지하 2층)",,03,폐업,주택가주변,,,02-743-1590,2,2
문화시설,시네코아 1관,2022-04-06,198883.495161441,451852.440739439,공연장,공연장,2026-03-11 00:51:14,I,03,폐업,,,,0,2022-04-06 15:54:48,,2012-04-16,110-111,서울특별시 종로구 관철동 33-1 지하 2층,CDFE1230002012000005,3000000,일반상업지역,"서울특별시 종로구 삼일대로 386, 지하2층 (관철동)",,03,폐업,,,,02-730-8198,,1
,(주)시네코아 2관,2017-01-10,198883.495161441,451852.440739439,공연장,공연장,2026-03-11 00:51:53,I,03,폐업,,,,0,2017-02-08 10:28:44,,2012-04-16,110-111,서울특별시 종로구 관철동 33-1 지하2층,CDFE1230002012000006,3000000,일반상업지역,서울특별시 종로구 삼일대로 386 (관철동),,03,폐업,기타,,,02-730-8198,2,0
,중앙대학교 공연예술원 스튜디오 시어터,2023-06-01,200365.500256601,452959.013743821,공연장,공연장,2026-03-11 00:52:28,I,03,폐업,,,,,2023-06-01 17:18:07,,2012-08-06,110-810,서울특별시 종로구 동숭동 192-10 지층,CDFE1230002012000007,3000000,,"서울특별시 종로구 이화장길 86-8, 지층 (동숭동)",,03,폐업,,,,02-820-6473,,
,SJA LIVE HALL,2021-08-31,,,공연장,공연장,2026-03-11 00:54:41,I,03,폐업,,,,,2021-09-13 09:40:51,,2013-05-23,110-460,서울특별시 종로구 연건동 39 대학로SJA빌딩 지하1층,CDFE1230002013000004,3000000,,서울특별시 종로구 대학로 89 (연건동),,03,폐업,,,,02-766-7779,,
,대학로뮤지컬센터 대극장,2021-02-24,200319.975968474,453397.058891096,공연장,공연장,2026-03-11 00:55:09,I,03,폐업,,,,,2021-02-25 11:38:05,,2013-07-22,110-809,"서울특별시 종로구 동숭동 25-5 지하 201, 지하 301",CDFE1230002013000005,3000000,,"서울특별시 종로구 동숭길 100 (동숭동, 지하 201, 지하 301)",,03,폐업,,,,21351507,,
,대학로뮤지컬센터 중극장,2021-02-24,200319.975968474,453397.058891096,공연장,공연장,2026-03-11 00:55:33,I,03,폐업,,,,,2021-02-25 11:36:56,,2013-07-22,110-809,"서울특별시 종로구 동숭동 25-5 (201, 301)",CDFE1230002013000006,3000000,,"서울특별시 종로구 동숭길 100 (동숭동, (201, 301))",,03,폐업,,,,21351507,,
,더페인터즈전용관,2021-08-30,199222.971295675,451907.954467815,공연장,공연장,2026-03-11 00:58:02,I,03,폐업,,,,,2021-09-04 09:37:41,,2014-02-14,110-420,서울특별시 종로구 관수동 67-10 서울극장 5.6층,CDFE1230002014000001,3000000,,"서울특별시 종로구 돈화문로 13, 5,6층 (관수동, 서울극장)",,03,폐업,,,,02-766-7848,,
,대학로연극 순위아트홀1관,2021-02-01,200177.965039223,453287.451050781,공연장,공연장,2026-03-11 01:00:20,I,03,폐업,,,,,2021-02-02 20:59:59,,2014-04-25,110-809,서울특별시 종로구 동숭동 1-61,CDFE1230002014000005,3000000,,서울특별시 종로구 대학로10길 11 (동숭동),,03,폐업,,,,02-766-7667,,
근린생활시설,진건아트홀,2017-12-27,199881.283064505,453331.775377779,공연장,공연장,2026-03-11 01:03:48,I,03,폐업,,,,3,2018-02-05 14:41:33,,2014-08-18,110-524,서울특별시 종로구 명륜4가 166-1,CDFE1230002014000011,3000000,,"서울특별시 종로구 대학로11길 39, 3층 (명륜4가)",,03,폐업,,,,,,
,우리네극장,2017-12-27,200297.929299821,453163.458941022,공연장,공연장,2026-03-11 01:05:51,I,03,폐업,,,,,2017-12-27 15:03:42,,2014-09-23,110-510,서울특별시 종로구 동숭동 1-145,CDFE1230002014000014,3000000,,"서울특별시 종로구 동숭길 55, 5층 (동숭동)",,03,폐업,,,,02-766-0242,,
,환상극장,2024-06-24,200341.000623629,452912.172681979,공연장,공연장,2026-03-11 01:07:17,I,03,폐업,,,,,2024-06-24 14:25:01,,2014-09-23,110-510,서울특별시 종로구 동숭동 199-33,CDFE1230002014000016,3000000,,"서울특별시 종로구 이화장길 72, 지하1층 (동숭동)",,03,폐업,,,,,,
,스카이씨어터,2021-07-02,200164.118698435,453411.433110841,공연장,공연장,2026-03-11 01:09:34,I,03,폐업,,,,,2021-07-05 09:32:11,,2014-09-25,110-510,서울특별시 종로구 동숭동 1-48,CDFE1230002014000019,3000000,,"서울특별시 종로구 대학로8가길 52, 6층 (동숭동)",,03,폐업,,,,,,
,라이프시어터,2021-02-01,200023.629124249,453510.946651784,공연장,공연장,2026-03-11 01:10:17,I,03,폐업,,,,,2021-02-02 20:57:59,,2014-09-26,110-522,서울특별시 종로구 명륜2가 24-1,CDFE1230002014000020,3000000,,"서울특별시 종로구 창경궁로34길 26, 지하1층 (명륜2가)",,03,폐업,,,,070-8151-6416,,
,노을소극장,2020-12-31,200217.921176338,453408.002788353,공연장,공연장,2026-03-11 01:10:46,I,03,폐업,,,,,2021-01-08 08:16:01,,2014-09-26,110-510,서울특별시 종로구 동숭동 1-51,CDFE1230002014000021,3000000,,"서울특별시 종로구 대학로8가길 66, 지하1층 (동숭동)",,03,폐업,,,,02-921-9723,,
,한얼소극장,2023-12-31,200076.008330187,453827.3079354,공연장,공연장,2026-03-11 01:12:11,I,03,폐업,,,,,2023-12-13 17:16:36,,2014-09-29,110-530,서울특별시 종로구 혜화동 70-1,CDFE1230002014000023,3000000,,서울특별시 종로구 창경궁로35길 17 (혜화동),,03,폐업,,,,02-766-7010,,
,소극장 천공의성,2019-03-21,199880.490080913,454005.436059664,공연장,공연장,2026-03-11 01:17:25,I,03,폐업,,,,,2019-03-21 16:16:36,,2014-10-23,110-521,서울특별시 종로구 명륜1가 33-72,CDFE1230002014000031,3000000,,"서울특별시 종로구 혜화로 31, 지하1층 (명륜1가)",,03,폐업,,,,02-747-4288,,
,예술공간 오르다,2019-09-19,200386.164443904,452993.086265744,공연장,공연장,2026-03-11 01:17:50,I,03,폐업,,,,,2019-09-24 17:40:50,,2014-10-28,110-510,서울특별시 종로구 동숭동 192-8,CDFE1230002014000032,3000000,,"서울특별시 종로구 이화장길 86-11, 지하1층 (동숭동)",,03,폐업,,,,02-765-6503,,
,예술공간 서울,2022-12-30,,,공연장,공연장,2026-03-11 01:18:12,I,03,폐업,,,,,2022-12-30 15:58:42,,2014-10-29,110-522,서울특별시 종로구 명륜2가 93,CDFE1230002014000033,3000000,,"서울특별시 종로구 성균관로4길 19, 지하층 (명륜2가)",,03,폐업,,,,02-765-6503,,
,낙산씨어터,2018-10-02,,,공연장,공연장,2026-03-11 01:19:38,I,03,폐업,,,,,2018-10-04 09:44:20,,2014-11-11,110-530,서울특별시 종로구 혜화동 201,CDFE1230002014000036,3000000,,"서울특별시 종로구 동숭길 140, 지하1층 (혜화동)",,03,폐업,,,,,,
,명작극장 2관,2023-04-19,200153.322797562,453332.518876344,공연장,공연장,2026-03-11 01:20:44,I,03,폐업,,,,,2023-04-20 17:40:35,,2015-03-27,110-809,서울특별시 종로구 동숭동 1-58 지하1층,CDFE1230002015000005,3000000,,"서울특별시 종로구 대학로8가길 30, 지하1층 (동숭동)",,03,폐업,,,,1800-2550,,
,JH아트홀,2018-06-22,200200.569414955,453411.59404961,공연장,공연장,2026-03-11 01:20:44,I,03,폐업,,,,,2019-01-15 10:38:00,,2015-03-31,110-809,서울특별시 종로구 동숭동 1-50 보생빌딩 2층,CDFE1230002015000006,3000000,,"서울특별시 종로구 대학로8가길 64, 2층 (동숭동, 보생빌딩 )",,03,폐업,,,,070-4355-0010,,
,창덕궁 소극장,2021-03-16,199100.970951887,452677.983063566,공연장,공연장,2026-03-11 01:20:44,I,03,폐업,,,,,2022-09-05 13:07:18,,2015-04-09,110-360,서울특별시 종로구 와룡동 109-1 B1호,CDFE1230002015000008,3000000,,"서울특별시 종로구 돈화문로 88-1, B1호 (와룡동)",,03,폐업,,,,02-742-7278,,
,레몬아트홀,2017-12-19,200153.322797562,453332.518876344,공연장,공연장,2026-03-11 01:20:45,I,03,폐업,,,,,2017-12-22 15:00:26,,2015-08-24,,서울특별시 종로구 동숭동 1-58,CDFE1230002015000010,3000000,,"서울특별시 종로구 대학로8가길 30, 3층 (동숭동)",03086,03,폐업,,,,02-766-7667,,
,아츠플레이씨어터,2016-12-22,200153.322797562,453332.518876344,공연장,공연장,2026-03-11 01:20:45,I,03,폐업,,,,,2016-12-22 18:37:17,,2015-09-10,,서울특별시 종로구 동숭동 1-58,CDFE1230002015000013,3000000,,"서울특별시 종로구 대학로8가길 30, 2층층 (동숭동, 청목빌딩)",03086,03,폐업,,,,02-763-9995,,
,위로홀,2019-07-08,200310.584615294,453249.097065674,공연장,공연장,2026-03-11 01:20:46,I,03,폐업,,,,,2019-07-18 17:00:56,,2015-09-18,,서울특별시 종로구 동숭동 50-44,CDFE1230002015000018,3000000,,"서울특별시 종로구 동숭길 74, 지하1층 (동숭동)",03085,03,폐업,,,,070-8600-8342,,
