사업장명,업태보관및창고업,업태제조업,업태판매업,업태운송및택배업,폐업일자,법인여부명,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,직원수,시설/장비현황,냉동냉장창고면적,냉동냉장창고동수,일반창고면적,일반창고동수,보관장소면적,보관요율,최종수정시점,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
용마로지스 주식회사,1,,,,,법인,,,2026-03-11 01:37:41,I,01,영업중,30,"랙 설비, 전동 지게차 등",0,0,13845.62,1,0,30000,2026-01-07 09:57:09,2022-03-22,,경기도 안성시 일죽면 당촌리 5,2022408024132500004,4080000,경기도 안성시 일죽면 조목동길 28-12,17527,,01,영업/정상,,,02-2135-5013
삼성전자로지텍(주),1,,,,,법인,,,2026-03-11 01:37:41,I,01,영업중,50,지게차 등,0,0,69006.16,2,0,,2025-04-24 09:05:26,2022-05-03,,경기도 안성시 일죽면 능국리 산 34-5,2022408024132500005,4080000,"경기도 안성시 일죽면 노성로 168-47, A부지",17527,,01,영업/정상,,,031-270-3650
삼성전자로지텍(주),1,,,,,법인,,,2026-03-11 01:37:42,I,01,영업중,50,지게차 등,0,0,47597.78,1,0,,2025-04-24 09:38:41,2022-05-03,,경기도 안성시 일죽면 능국리 산 34-7,2022408024132500006,4080000,"경기도 안성시 일죽면 노성로 168-85, B부지",17527,,01,영업/정상,,,031-270-3650
(주)엘엑스판토스,1,,,,,법인,,,2026-03-11 01:37:42,I,01,영업중,8,"랙, 수송용기, 온도계 등",3621.4,4,2688.4,2,0,,2024-06-27 09:16:29,2022-05-03,,경기도 안성시 삼죽면 내강리 37,2022408024132500007,4080000,"경기도 안성시 삼죽면 삼죽로 75, 지하1층",17514,,01,영업/정상,,,070-7580-5008
사단법인 농민신문사,1,,,,,법인,,,2026-03-11 01:37:42,I,01,영업중,13,"랙, 지게차, 자키 등",0,0,5700.56,1,0,,2023-11-09 11:20:24,2022-05-03,,경기도 안성시 미양면 강덕리 26,2022408024132500008,4080000,경기도 안성시 미양면 강덕1길 157,17604,,01,영업/정상,,,02-3703-6031
쿠팡풀필먼트서비스 유한회사,1,,,,,법인,,,2026-03-11 01:37:42,I,01,영업중,900,"지게차, 메자닌, MTS, 수직반송기 등",0,0,142537.7,1,0,,2026-02-19 16:32:05,2022-07-26,,경기도 안성시 원곡면 칠곡리 915,2022408024132500010,4080000,"경기도 안성시 원곡면 원곡물류단지1로 61, 1동",17555,,01,영업/정상,,,02-6150-8830
삼성전자로지텍,1,,,,,법인,,,2026-03-11 01:37:42,I,01,영업중,57,지게차 30대,0,0,29940.95,1,0,,2025-04-24 09:14:11,2022-09-15,,경기도 안성시 원곡면 산하리 787,2022408024132500011,4080000,"경기도 안성시 원곡면 지문로 393, 가동",17554,,01,영업/정상,,,031-5183-8206
쿠팡풀필먼트서비스 유한회사,1,,,1,,법인,235507.519568415,396230.33719013,2026-03-11 01:37:42,I,01,영업중,800,"지게차, 메자닌, MTS, 수직반송기, 네트워크 장비 등",0,0,91487.14,1,0,,2025-05-07 16:32:23,2022-09-15,,경기도 안성시 죽산면 장능리 35-4,2022408024132500012,4080000,경기도 안성시 죽산면 녹배길 35,17521,,01,영업/정상,,,
와이에스로지스(주),1,,,1,,법인,219255.360601026,398340.667073472,2026-03-11 01:37:42,I,01,영업중,4,지게차5대,0,0,3588.53,1,0,,2024-12-20 09:10:36,2022-09-29,,경기도 안성시 양성면 도곡리 40-4,2022408024132500013,4080000,경기도 안성시 양성면 양성로 376-106,17501,,01,영업/정상,,,031-677-9022
(주)상원로지스틱,1,,,1,,법인,213253.279192987,393041.054583066,2026-03-11 01:37:42,I,01,영업중,7,레벨러 2대,0,0,5235,1,2578,,2023-04-13 16:14:34,2023-03-28,,경기도 안성시 원곡면 칠곡리 581-33,2023408024132500001,4080000,경기도 안성시 원곡면 관산길 34,17555,,01,영업/정상,,,031-378-3801
씨제이대한통운(주),,,,1,,법인,218958.792959744,399427.082835286,2026-03-11 01:37:42,I,01,영업중,10,"자동신축컨베이어 40기 휠소터 자동화분류설비 2세트 78개 슈트, 크로스벨트 자동화분류설비",0,0,16743.36,1,0,,2024-04-18 15:23:21,2023-04-12,,경기도 안성시 양성면 장서리 369-16,2023408024132500002,4080000,경기도 안성시 양성면 양성로 478-24,17501,,01,영업/정상,,,
(주)공간지엘씨,1,,,,,법인,217396.247228784,384658.086055309,2026-03-11 01:37:42,I,01,영업중,6,"지게차3대, 스테킹랙 1,000EA",11359.28,1,0,0,0,,2025-08-07 10:24:07,2023-07-12,,경기도 안성시 미양면 개정리 109-2,2023408024132500003,4080000,경기도 안성시 미양면 미양로 156,17602,,01,영업/정상,,,031-671-1661
(주)씨제이대한통운,1,,,,,법인,,,2026-03-11 01:37:42,I,01,영업중,5,전동지게차 4대,0,0,16524,1,0,,2025-11-12 17:48:47,2023-09-08,,경기도 안성시 죽산면 장계리 161,2023408024132500005,4080000,경기도 안성시 죽산면 걸미로 723-9,17522,,01,영업/정상,,,031-547-1326
용마로지스㈜,1,,,,,법인,,,2026-03-11 01:37:42,I,01,영업중,30,"랙(rack)설비, 전동 지게차 등",0,0,29005.09,1,0,36000,2026-01-07 09:58:20,2023-09-13,,경기도 안성시 대덕면 무능리 2,2023408024132500006,4080000,"경기도 안성시 대덕면 소동산길 3-29, 2층",17541,,01,영업/정상,,,02-2135-5013
(주)위니온로지스,1,,,,,법인,,,2026-03-11 01:37:42,I,01,영업중,5,지게차,0,0,8250,1,0,,2023-09-20 08:47:13,2023-09-12,,경기도 안성시 죽산면 장계리 161,2023408024132500007,4080000,경기도 안성시 죽산면 걸미로 723-9,17522,,01,영업/정상,,,043-272-2326
(주)엠즈푸드시스템,1,,,,,법인,213578.510181918,397922.911563201,2026-03-11 01:37:42,I,01,영업중,25,"보관 rack 1steel structure, 분배(DAS 1개), 입식형 7대, 카운터 2대",2783,1,4906,1,0,,2023-09-25 17:34:58,2023-09-14,,경기도 안성시 원곡면 성은리 171-4,2023408024132500008,4080000,경기도 안성시 원곡면 천덕산로 581,17554,,01,영업/정상,,,02-1661-2793
(주)지아이지,1,,,,,법인,,,2026-03-11 01:37:42,I,01,영업중,12,"랙, 지게차7대",0,0,10329.69,1,0,,2023-10-17 13:44:36,2023-10-13,,경기도 안성시 일죽면 고은리 495,2023408024132500010,4080000,경기도 안성시 일죽면 고목남길 125,17525,,01,영업/정상,,,070-5039-5063
쿠팡로지스틱스서비스 유한회사,,,,1,,법인,217396.247228784,384658.086055309,2026-03-11 01:37:42,I,01,영업중,5,지게차 등,0,0,7489.36,1,0,,2025-12-31 10:11:05,2023-12-11,,경기도 안성시 미양면 개정리 109-2,2023408024132500012,4080000,"경기도 안성시 미양면 미양로 156, 4층",17602,,01,영업/정상,,,
쿠팡풀필먼트서비스유한회사,1,,,,,법인,244178.541062805,401952.64731605,2026-03-11 01:37:42,I,01,영업중,269,"지게차, pallet rack등",0,0,63471.2,1,0,650,2025-05-07 16:31:58,2023-12-14,,경기도 안성시 일죽면 능국리 23-10,2023408024132500013,4080000,경기도 안성시 일죽면 노성로 168-121,17527,,01,영업/정상,,,02-6150-8830
(주)제이피로지스틱스,1,,,,,법인,,,2026-03-11 01:37:42,I,01,영업중,10,"지게차 15, CCTV 32",0,0,12169.6,1,0,85,2024-01-04 20:23:53,2023-12-28,,경기도 안성시 원곡면 산하리 787,2024408024132500001,4080000,경기도 안성시 원곡면 지문로 393,17554,,01,영업/정상,,,070-4849-0987
㈜삼덕로지스,1,,,,,법인,,,2026-03-11 01:37:43,I,01,영업중,2,-,0,0,20181.8182,2,0,,2024-02-01 10:02:54,2024-01-17,,경기도 안성시 서운면 송정리 65,2024408026132500001,4080000,경기도 안성시 서운면 안성대로 101,17608,,01,영업/정상,,,070-4102-5273
㈜삼덕로지스,1,,,,,법인,221960.275242409,387415.765894125,2026-03-11 01:37:43,I,01,영업중,2,-,0,0,26575.2066,3,0,,2024-01-30 17:45:12,2024-01-17,,경기도 안성시 미양면 구례리 118-14,2024408026132500002,4080000,경기도 안성시 미양면 안성대로 753,17598,,01,영업/정상,,,070-4102-5272
㈜삼덕로지스,1,,,,,법인,,,2026-03-11 01:37:43,I,01,영업중,2,-,0,0,44168.595,3,0,,2024-02-01 09:59:42,2024-01-18,,경기도 안성시 대덕면 무능리 2,2024408026132500003,4080000,경기도 안성시 대덕면 소동산길 3-29,17541,,01,영업/정상,,,070-8663-3424
(주)에디폴,1,,,,,법인,,,2026-03-11 01:37:43,I,01,영업중,18,"이동식 도크, 지게차",0,0,1494,2,0,,2024-03-15 10:01:32,2024-02-15,,경기도 안성시 죽산면 당목리 641,2024408026132500004,4080000,경기도 안성시 죽산면 목동길 37,17524,,01,영업/정상,,,031-672-6191
(주)지아이지,1,,,,,법인,237665.020498778,402758.126054085,2026-03-11 01:37:43,I,01,영업중,14,"랙, 지게차",5022.4,1,24800.02,1,0,,2026-02-24 13:06:47,2024-03-29,,경기도 안성시 일죽면 방초리 886-1 (주)지디벨로프홀딩스,2024408026132500005,4080000,경기도 안성시 일죽면 초막길 100-2 (주)지디벨로프홀딩스,17525,,01,영업/정상,,,
주식회사 디앤비파트너스,1,,,,,법인,,,2026-03-11 01:37:43,I,01,영업중,23,지게차 3대,0,0,30804.5,1,0,,2024-06-28 10:41:49,2024-06-25,,경기도 안성시 삼죽면 용월리 149-10,2024408026132500006,4080000,경기도 안성시 삼죽면 삼죽로 221-17,17512,,01,영업/정상,,,031-336-7346
㈜다우기업,1,,,,,법인,221855.902882233,383814.083450804,2026-03-11 01:37:43,I,01,영업중,10,"차량 12대, 장비(지게차) 7대",0,0,8473,1,8473,,2025-01-10 10:37:39,2024-11-26,,경기도 안성시 미양면 양변리 238-3,2024408026132500007,4080000,"경기도 안성시 미양면 안성맞춤대로 390, 1층",17604,,01,영업/정상,,,070-4912-3094
주식회사 하우저,,,,1,,법인,,,2026-03-11 01:37:43,I,01,영업중,50,"렉, 지게차",0,0,55089.07,1,0,,2025-01-10 10:40:38,2024-12-19,,경기도 안성시 양성면 산정리 51-3,2024408026132500008,4080000,경기도 안성시 양성면 양성로 301,17501,,01,영업/정상,,,
