사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,총규모
추병열보청기 난청센터,,211912.282694478,447248.126116539,2026-05-06 22:44:09,I,13,영업중,2024-12-02 16:38:41,,2024-12-02,,서울특별시 강동구 성내동 ***-* 오스카빌딩,PHMG120243240033047000126,3240000,"서울특별시 강동구 양재대로 ****, 오스카빌딩 *층 ***호 (성내동)",05404,01,영업/정상,,,,80.53
제이에스,2023-08-16,189282.557380259,442417.955057116,2026-05-06 22:38:35,I,03,폐업,2023-08-16 11:42:43,,2023-04-04,,서울특별시 금천구 가산동 ***-* 케이씨씨 웰츠밸리,PHMG120233170035047000052,3170000,"서울특별시 금천구 가산디지털*로 ***, 케이씨씨 웰츠밸리 ***-*호 (가산동)",08501,03,폐업,,,,
대한메디칼,2021-10-01,190089.848501108,441320.86732122,2026-05-06 22:37:49,I,03,폐업,2021-10-01 15:49:18,,2020-09-16,,서울특별시 금천구 가산동 ***-* 에이스 하이엔드타워 클래식 지식산업센터,PHMG120203170035047000155,3170000,"서울특별시 금천구 벚꽃로**길 **, 에이스 하이엔드타워 클래식 지식산업센터 ***호 (가산동)",08517,03,폐업,,,,
천기권 의료기,2014-04-11,191116.445325276,441153.239510693,2026-05-06 22:37:17,I,03,폐업,2014-04-14 09:29:22,,2011-12-26,,,PHMG120113170035047000055,3170000,"서울특별시 금천구 시흥대로***길 **, *층 (독산동)",,03,폐업,,,,
부츠(Boots) 마리오아울렛점,2020-04-22,189759.713050655,441814.115920983,2026-05-06 22:37:34,I,03,폐업,2020-04-22 14:06:47,,2018-04-09,,서울특별시 금천구 가산동 **번지 **호 마리오아울렛*,PHMG120183170035047000033,3170000,"서울특별시 금천구 벚꽃로 ***, 마리오아울렛* *관동 *층 (가산동)",08511,03,폐업,,,,
커스텀아이즈,,189417.678263584,441342.660096623,2026-05-06 22:37:44,I,15,전출,2026-02-02 09:49:31,,2019-11-14,,,PHMG120193170035047000167,3170000,"서울특별시 금천구 가산디지털*로 **, 에이스 하이엔드타워* ****호 (가산동)",08588,05,제외/삭제/전출,,,,
세븐일레븐 독산역본점,,190217.532209117,440365.053994237,2026-05-06 22:38:10,I,13,영업중,2024-02-27 10:07:15,,2021-10-12,,서울특별시 금천구 독산동 **** 씨엘빌딩,PHMG120213170035047000140,3170000,"서울특별시 금천구 벚꽃로 ***, 씨엘빌딩 (독산동)",08601,01,영업/정상,,,,
(주)청아옵티칼,,190232.47138241,440016.250106997,2026-05-06 22:37:32,I,13,영업중,2017-08-09 16:31:48,,2017-08-07,,,PHMG120173170035047000067,3170000,"서울특별시 금천구 벚꽃로 **, 상가동 *층 ***호 (독산동, 금천현대아파트)",08596,01,영업/정상,,,,
(주)엘엔디코퍼레이션,,189855.309927286,441540.894601732,2026-05-06 22:38:30,I,13,영업중,2022-08-12 16:09:15,,2020-03-13,,서울특별시 금천구 가산동 **-** 에이스하이엔드타워*차,PHMG120223170035047000201,3170000,"서울특별시 금천구 벚꽃로 ***, 에이스하이엔드타워*차 ***-*호 (가산동)",08513,01,영업/정상,,,,
에스엠메드,2025-11-28,211966.759282034,448015.084774496,2026-05-06 22:44:00,I,03,폐업,2025-11-28 16:51:10,,2022-09-08,,서울특별시 강동구 성내동 ***-*,PHMG120223240033047000274,3240000,"서울특별시 강동구 천호대로 ****, *층 ***호 (성내동)",05373,03,폐업,,,,
에스엠티아이 아카데미,2019-05-02,212727.784179462,450245.203247775,2026-05-06 22:43:06,I,03,폐업,2019-05-02 16:48:56,,2016-08-05,,,PHMG120163240033047000068,3240000,"서울특별시 강동구 양재대로 ****, *층 **호 (명일동, 삼익그린맨션)",05266,03,폐업,,,,
주식회사 티앤엔바이오사이언스,,210726.755874418,447381.53172133,2026-05-06 22:44:12,I,13,영업중,2025-10-29 09:41:01,,2025-10-28,,서울특별시 강동구 성내동 ***-** 장성글로벌빌딩,PHMG120253240033047000117,3240000,"서울특별시 강동구 성내로*길 **, 장성글로벌빌딩 *층 (성내동)",05398,01,영업/정상,,,,
진메디칼,,211212.517685526,449732.261662885,2026-05-06 22:44:02,I,13,영업중,2023-01-30 09:40:19,,2023-01-27,,서울특별시 강동구 천호동 *** 영림빌딩,PHMG120233240033047000020,3240000,"서울특별시 강동구 올림픽로 ***, 영림빌딩 *층 (천호동)",05318,01,영업/정상,,,,10
문민언니,2025-06-17,211635.424656654,449519.993614102,2026-05-06 22:44:08,I,03,폐업,2025-06-18 11:15:16,,2024-05-22,,서울특별시 강동구 천호동 ***-** 청풍빌딩,PHMG120243240033047000056,3240000,"서울특별시 강동구 상암로 **, 청풍빌딩 ***호 (천호동)",05319,03,폐업,,,,
웃는 언니,,189417.708595762,442309.174987731,2026-05-06 22:37:50,I,15,전출,2021-05-12 15:47:19,,2020-12-14,,서울특별시 금천구 가산동 ***-* 에이스테크노타워**차,PHMG120203170035047000203,3170000,"서울특별시 금천구 가산디지털*로 ***, 에이스테크노타워**차 ****-***호 (가산동)",08502,05,제외/삭제/전출,,,,
(주)와이에스그룹,,211745.13841297,449333.727859364,2026-05-06 22:43:57,I,13,영업중,2022-05-19 10:36:39,,2022-05-16,,서울특별시 강동구 천호동 ***-**,PHMG120223240033047000180,3240000,"서울특별시 강동구 구천면로 ***, *층 (천호동)",05320,01,영업/정상,,,,
메디365,,211909.700334962,447825.904327241,2026-05-06 22:42:14,I,13,영업중,2019-05-28 10:29:56,,2018-07-17,,서울특별시 강동구 성내동 ***번지 **호,PHMG120123240033047000073,3240000,"서울특별시 강동구 양재대로***길 **, ***호 (성내동)",05374,01,영업/정상,,,02-6326-3655,
(주)은성메디텍 서울지점,2020-12-23,189647.046752134,441677.096205358,2026-05-06 22:37:32,I,03,폐업,2020-12-23 17:23:55,,2017-07-19,,서울특별시 금천구 가산동 ***번지 **호 에스티엑스브이타워,PHMG120173170035047000062,3170000,"서울특별시 금천구 가산디지털*로 ***, 에스티엑스브이타워 **층 ****호 (가산동)",08507,03,폐업,,,,
고려수지침,,212003.42259959,447555.957984841,2026-05-06 22:41:00,I,13,영업중,2024-06-21 16:19:33,,2007-01-29,134-843,서울특별시 강동구 성내*동 ***번지 **호   ***호,PHMG120073240033047000008,3240000,서울특별시 강동구 양재대로**길 * (성내동),05376,01,영업/정상,,,02-489-0788,
메디플러스,2011-08-05,191226.287379467,437914.06299827,2026-05-06 22:37:10,I,03,폐업,2011-08-05 13:54:57,,2009-04-01,153-755,서울특별시 금천구 시흥*동 ***번지 시흥유통상가 *동 ***호,PHMG120093170035047000010,3170000,"서울특별시 금천구 시흥대로 **, *동 ***호 (시흥동,시흥유통상가)",,03,폐업,,,,
누리엘 주식회사,,211458.648093395,450316.255472825,2026-05-06 22:44:08,I,13,영업중,2024-05-22 13:08:04,,2020-12-11,,서울특별시 강동구 암사동 ***-** 정산아파트,PHMG120243240033047000055,3240000,"서울특별시 강동구 고덕로 **, ***-***호 (암사동, 정산아파트)",05238,01,영업/정상,,,,
새힘메디텍,,189790.323886715,442017.86745811,2026-05-06 22:37:51,I,15,전출,2026-04-16 09:28:42,,2015-05-15,,서울특별시 금천구 가산동 **-** 백상스타타워*차,PHMG120213170035047000021,3170000,"서울특별시 금천구 디지털로*길 **, 백상스타타워*차 ***호 (가산동)",08511,05,제외/삭제/전출,,,,
GS25성내타운점,,211814.194932072,447970.901930064,2026-05-06 22:43:50,I,13,영업중,2024-06-20 10:43:22,,2022-02-03,,서울특별시 강동구 성내동 ***-**,PHMG120223240033047000023,3240000,서울특별시 강동구 천호대로***길 **(성내동),05373,01,영업/정상,,,,
율메디컬,2016-03-24,189202.600232089,441848.24299943,2026-05-06 22:37:28,I,03,폐업,2016-03-29 16:18:17,,2016-03-24,,,PHMG120163170035047000003,3170000,"서울특별시 금천구 가산디지털*로 ***, ****-**호 (가산동, 월드메르디앙*차)",08505,03,폐업,,,26340619,
지엠에스(GMS),,211966.759282034,448015.084774496,2026-05-06 22:43:21,I,13,영업중,2019-08-22 15:10:48,,2017-01-12,,서울특별시 강동구 성내동 ***번지 *호,PHMG120193240033047000081,3240000,"서울특별시 강동구 천호대로 ****, *층 ****호 (성내동)",05373,01,영업/정상,,,,3.3
(주)지앰씨홀딩스,2017-09-14,189482.748682182,441024.287181831,2026-05-06 22:37:30,I,03,폐업,2017-09-14 10:12:31,,2016-06-08,,,PHMG120163170035047000063,3170000,"서울특별시 금천구 서부샛길 ***, *층 (가산동)",08593,03,폐업,,,,
삼성솔루텍(주),,189055.138252216,441958.334400683,2026-05-06 22:38:34,I,15,전출,2023-12-20 15:38:13,,2023-01-17,,서울특별시 금천구 가산동 ***-* 대성디폴리스지식산업센터,PHMG120233170035047000021,3170000,"서울특별시 금천구 서부샛길 ***, 대성디폴리스지식산업센터 B동 ****-*호 (가산동)",08504,05,제외/삭제/전출,,,02-2039-1134,
엠티에스코리아 (MTS KOREA),,212578.555402293,449648.448300746,2026-05-06 22:44:05,I,13,영업중,2026-01-16 09:56:28,,2021-02-24,,서울특별시 강동구 천호동 **-** 천호동블루빌,PHMG120233240033047000099,3240000,"서울특별시 강동구 양재대로***길 *-*, ***호 (천호동, 천호동블루빌)",05306,01,영업/정상,,,,
(주)메디엠텍,2022-05-16,189778.774504778,441302.111937219,2026-05-06 22:37:46,I,03,폐업,2022-05-12 11:27:54,,2018-03-29,,서울특별시 금천구 가산동 ***번지 **호 IT프리미어타워,PHMG120203170035047000060,3170000,"서울특별시 금천구 가산디지털*로 **, IT프리미어타워 ****-*호 (가산동)",08590,03,폐업,,,031-360-7146,
대성이엔씨,,191033.639426193,440658.033093013,2026-05-06 22:38:45,I,13,영업중,2025-11-14 14:08:25,,2025-11-14,,,PHMG120253170035047000085,3170000,"서울특별시 금천구 시흥대로***길 **, ***호 (독산동, 승리빌리지)",08579,01,영업/정상,,,,
한국디아이,2009-09-01,,,2026-05-06 22:41:14,I,03,폐업,2009-09-02 09:54:19,,2008-04-23,134-033,"서울특별시 강동구 성내*동 ***-**, 덕양빌딩***호",PHMG120083240033047000030,3240000,,,03,폐업,,,02-486-2330,
금빛노을복지용구판매(임대)사업소,2025-04-04,190230.720043589,439076.473191235,2026-05-06 22:38:44,I,03,폐업,2025-04-04 15:35:50,,2025-03-31,,,PHMG120253170035047000026,3170000,"서울특별시 금천구 금하로*라길 **, 지층 (독산동)",08600,03,폐업,,,,
원메딕스,,190694.880295092,440764.426277932,2026-05-06 22:37:26,I,15,전출,2023-01-30 19:56:12,,2015-03-24,,서울특별시 금천구 독산동 ***번지 *호 현대지식산업센터 T***호,PHMG120153170035047000028,3170000,"서울특별시 금천구 두산로 **, 현대지식산업센터 T***호 (독산동)",08584,05,제외/삭제/전출,,,,
웰메디,,212224.982406665,447799.403913642,2026-05-06 22:43:12,I,15,전출,2020-06-25 17:04:46,,2018-07-31,,서울특별시 강동구 둔촌동 ***번지 산호빌딩,PHMG120183240033047000065,3240000,"서울특별시 강동구 양재대로***길 **, 산호빌딩 ***호 (둔촌동)",05363,05,제외/삭제/전출,,,02-484-0815,40
주식회사 네이처스큐어,,189378.332493727,442066.99866487,2026-05-06 22:38:40,I,13,영업중,2024-04-29 20:55:09,,2024-04-01,,서울특별시 금천구 가산동 ***-** 가산 에스케이 브이원 센터,PHMG120243170035047000039,3170000,"서울특별시 금천구 가산디지털*로 ***, 가산 에스케이 브이원 센터 ***-***호 (가산동)",08503,01,영업/정상,,,,
씨유 대륭승리점,,189920.528610917,440521.85524888,2026-05-06 22:38:34,I,13,영업중,2025-08-27 17:06:00,,2023-01-10,,서울특별시 금천구 가산동 *** 대륭테크노타운 **차,PHMG120233170035047000015,3170000,"서울특별시 금천구 가산디지털*로 *, 대륭테크노타운 **차 ***,***호 (가산동)",08594,01,영업/정상,,,,
주식회사 포브스인터내셔날,,189378.332493727,442066.99866487,2026-05-06 22:38:42,I,13,영업중,2024-10-07 14:56:27,,2024-10-07,,서울특별시 금천구 가산동 ***-** 가산 SK V* center,PHMG120243170035047000109,3170000,"서울특별시 금천구 가산디지털*로 ***, 가산 SK V* center ***-*호 (가산동)",08503,01,영업/정상,,,,
탑메디,,211458.648093395,450316.255472825,2026-05-06 22:43:38,I,13,영업중,2020-09-25 17:05:12,,2020-09-24,,서울특별시 강동구 암사동 ***-** 정산아파트,PHMG120203240033047000086,3240000,"서울특별시 강동구 고덕로 **, *층 ***-***호 (암사동, 정산아파트)",05238,01,영업/정상,,,,
(주)디엑스앤브이엑스 지점,,189855.309927286,441540.894601732,2026-05-06 22:37:37,I,13,영업중,2025-11-27 09:20:28,,2018-08-30,,서울특별시 금천구 가산동 **번지 **호 에이스하이엔드타워*차,PHMG120183170035047000097,3170000,"서울특별시 금천구 벚꽃로 ***, 에이스하이엔드타워*차 ***호 (가산동)",08513,01,영업/정상,,,,
태양,,212312.010247116,449790.850029957,2026-05-06 22:43:00,I,15,전출,2016-09-22 13:07:09,,2015-05-06,134-861,서울특별시 강동구 천호동 **번지 **호 *층,PHMG120153240033047000054,3240000,"서울특별시 강동구 구천면로**길 *, *층 (천호동)",05305,05,제외/삭제/전출,,,02-400-6074,226.22
현대치재,2018-06-18,212624.891449347,448937.811380947,2026-05-06 22:42:23,I,24,직권폐업,2018-06-19 09:38:37,,2013-01-30,134-811,서울특별시 강동구 길동 ***번지 *호 ***호,PHMG120133240033047000005,3240000,"서울특별시 강동구 양재대로***길 **, ***호 (길동, 동서울오데뜨)",05303,04,취소/말소/만료/정지/중지,,,,10.58
한미메드,2024-09-03,212965.180856621,447872.025836656,2026-05-06 22:43:12,I,03,폐업,2024-09-03 16:36:13,,2018-07-11,,서울특별시 강동구 둔촌동 ***번지 *호,PHMG120183240033047000058,3240000,"서울특별시 강동구 동남로**길 **-**, *층 (둔촌동)",05366,03,폐업,,,,213.3
헬스어스주식회사,2023-01-02,189202.600232089,441848.24299943,2026-05-06 22:38:02,I,03,폐업,2023-01-02 09:59:59,,2017-11-28,,서울특별시 금천구 가산동 ***-* 월드메르디앙*차,PHMG120213170035047000103,3170000,"서울특별시 금천구 가산디지털*로 ***, 월드메르디앙*차 ****호 (가산동)",08505,03,폐업,,,070-4245-7028,
(주)서현디앤씨,,189647.046752134,441677.096205358,2026-05-06 22:37:37,I,15,전출,2019-09-19 10:44:17,,2015-12-03,,서울특별시 금천구 가산동 ***번지 **호 에스티엑스브이타워,PHMG120183170035047000084,3170000,"서울특별시 금천구 가산디지털*로 ***, 에스티엑스브이타워 ***호 (가산동)",08507,05,제외/삭제/전출,,,070-4406-2252,
새싹,,191031.986587614,439209.588198806,2026-05-06 22:38:35,I,13,영업중,2023-04-17 13:31:30,,2023-04-17,,서울특별시 금천구 시흥동 ***-**,PHMG120233170035047000060,3170000,"서울특별시 금천구 시흥대로**길 **, *층 (시흥동)",08614,01,영업/정상,,,,
월천무니,,210726.520475543,449107.783465768,2026-05-06 22:44:10,I,13,영업중,2025-02-26 09:56:47,,2025-02-25,,서울특별시 강동구 천호동 ***-** 강촌아트빌,PHMG120253240033047000016,3240000,"서울특별시 강동구 천중로*길 **-*, B동 ***호 (천호동, 강촌아트빌)",05245,01,영업/정상,,,,
희망메디칼,2013-05-20,191645.73536667,439554.60523948,2026-05-06 22:37:14,I,03,폐업,2013-05-22 16:07:53,,2010-08-13,153-855,서울특별시 금천구 시흥*동 ***번지 **호,PHMG120103170035047000040,3170000,서울특별시 금천구 독산로**가길 ** (시흥동),,03,폐업,,,,
주식회사 강남전자프라자,,210609.416578206,447533.455445594,2026-05-06 22:43:37,I,13,영업중,2022-09-22 15:11:21,,2020-08-24,,서울특별시 강동구 성내동 ***-** 디지털프라자,PHMG120203240033047000076,3240000,"서울특별시 강동구 올림픽로 ***, 디지털프라자 *층 (성내동)",05398,01,영업/정상,,,02-577-4242,
(주)씨앤엘인터내셔널,2014-12-22,189704.124452441,442268.214645797,2026-05-06 22:37:18,I,24,직권폐업,2014-12-23 15:09:07,,2012-09-05,153-023,서울특별시 금천구 가산동 **번지 *호 *층,PHMG120123170035047000042,3170000,"서울특별시 금천구 벚꽃로**길 ** (가산동,*층)",,04,취소/말소/만료/정지/중지,,,,
㈜케이에이엠아이,2017-05-01,189417.708595762,442309.174987731,2026-05-06 22:37:19,I,03,폐업,2017-05-01 10:07:15,,2012-10-18,153-789,서울특별시 금천구 가산동 ***번지 *호 에이스테크노타워 **차 ***호,PHMG120123170035047000052,3170000,"서울특별시 금천구 가산디지털*로 ***, ***호 (가산동, 에이스테크노타워 **차)",08502,03,폐업,,,,
지더블유바이텍(주),,189829.504142672,441618.071646624,2026-05-06 22:38:43,I,15,전출,2025-10-15 13:44:44,,2018-01-18,,서울특별시 금천구 가산동 **-** 벽산디지털밸리*차,PHMG120243170035047000121,3170000,"서울특별시 금천구 벚꽃로 ***, 벽산디지털밸리*차 ****호 (가산동)",08513,05,제외/삭제/전출,,,,
(주)지씨바이오,,189182.776746982,442382.690694868,2026-05-06 22:37:48,I,13,영업중,2026-04-15 12:59:54,,2020-08-13,,서울특별시 금천구 가산동 ***-*,PHMG120203170035047000137,3170000,"서울특별시 금천구 가산디지털*로 ***-**, ***호 (가산동)",08501,01,영업/정상,,,02-6265-2557,
엘제이메드(LJmed),,211055.949170471,448255.193715985,2026-05-06 22:44:03,I,13,영업중,2023-02-23 09:48:24,,2023-02-22,,서울특별시 강동구 성내동 **-** G라이트빌딩,PHMG120233240033047000030,3240000,"서울특별시 강동구 천호옛길 **, G라이트빌딩 *층 ***호 (성내동)",05379,01,영업/정상,,,,
(주)팀코코리아,,189504.258704224,441390.738560411,2026-05-06 22:37:34,I,13,영업중,2018-04-05 16:26:25,,2018-03-30,,서울특별시 금천구 가산동 ***번지 **호 대륭테크노타운**차,PHMG120183170035047000030,3170000,"서울특별시 금천구 가산디지털*로 **, 대륭테크노타운**차 *층 ***호 (가산동)",08589,01,영업/정상,,,,
솜솜팜,2025-06-25,189497.04098479,441728.27059771,2026-05-06 22:38:33,I,03,폐업,2025-06-25 17:42:55,,2023-01-10,,,PHMG120233170035047000012,3170000,"서울특별시 금천구 가산디지털*로 ***, IT캐슬*차 ****-*호 (가산동)",08506,03,폐업,,,,
스마트씨팝,2015-09-17,210845.844797087,448679.382603258,2026-05-06 22:42:14,I,03,폐업,2015-09-17 12:32:26,,2012-10-02,134-874,서울특별시 강동구 천호동 ***번지 **호,PHMG120123240033047000075,3240000,서울특별시 강동구 올림픽로 *** (천호동),05248,03,폐업,,,070-8699-9802,
세븐일레븐 금천백산점,,191454.010997671,438492.853814448,2026-05-06 22:38:24,I,13,영업중,2022-03-24 09:51:41,,2022-03-24,,,PHMG120223170035047000101,3170000,"서울특별시 금천구 독산로 **, 백운매트로엔 ***호 (시흥동)",08649,01,영업/정상,,,,
(주)메드믹스,2013-07-04,189369.53962474,441629.361414684,2026-05-06 22:37:17,I,03,폐업,2013-07-04 14:17:16,,2012-03-13,,,PHMG120123170035047000009,3170000,"서울특별시 금천구 가산디지털*로 **, *층 *-***호 (가산동, IT캐슬*동)",,03,폐업,,,,
뷰린컴퍼니,,189089.927764903,442569.300676147,2026-05-06 22:37:33,I,15,전출,2025-06-05 09:13:05,,2017-11-09,,,PHMG120173170035047000093,3170000,"서울특별시 금천구 가마산로 **, **층 ****호 (가산동)",08501,05,제외/삭제/전출,,,21630555,
씨유금천조일점,2024-12-24,191226.627185916,441465.46655326,2026-05-06 22:38:20,I,03,폐업,2024-12-24 17:48:37,,2022-02-10,,서울특별시 금천구 독산동 ***-** 조일하이츠맨숀,PHMG120223170035047000039,3170000,"서울특별시 금천구 시흥대로***길 **, ***,***호 (독산동, 조일하이츠맨숀)",08541,03,폐업,,,,
㈜케이엠글로벌 서울사무소,2009-11-18,190887.148804759,441064.093086615,2026-05-06 22:37:09,I,03,폐업,2009-11-18 14:46:13,,2008-10-01,153-011,서울특별시 금천구 독산*동 ***번지 *호 *층,PHMG120083170035047000021,3170000,"서울특별시 금천구 시흥대로 *** (독산동,*층)",,03,폐업,,,32810283,
(주)수메디컬,,211294.537364441,450326.82214742,2026-05-06 22:43:04,I,13,영업중,2022-03-29 14:54:46,,2016-03-28,,서울특별시 강동구 암사동 ***-* 예일빌딩,PHMG120163240033047000019,3240000,"서울특별시 강동구 고덕로*길 *, 예일빌딩 *층 (암사동)",05239,01,영업/정상,,,02-425-5342,162.27
이움바이오,,189459.065518928,441844.960857588,2026-05-06 22:38:28,I,15,전출,2023-01-26 09:34:49,,2022-07-07,,,PHMG120223170035047000162,3170000,"서울특별시 금천구 가산디지털*로 ***, 신한이노플렉스 *층 ***A-**호 (가산동)",08506,05,제외/삭제/전출,,,,10.5
제이엠메디,2022-08-11,189778.774504778,441302.111937219,2026-05-06 22:38:28,I,03,폐업,2022-08-11 14:57:53,,2022-06-23,,서울특별시 금천구 가산동 ***-** IT프리미어타워,PHMG120223170035047000155,3170000,"서울특별시 금천구 가산디지털*로 **, IT프리미어타워 ***호 (가산동)",08590,03,폐업,,,02-6338-5170,
(주)트렌드리더,2020-10-15,189188.74756733,441601.047932709,2026-05-06 22:37:32,I,03,폐업,2020-10-15 17:01:50,,2017-06-14,,,PHMG120173170035047000051,3170000,"서울특별시 금천구 서부샛길 ***, ***호 (가산동, 세계일보)",08505,03,폐업,,,070-4287-4466,
(주)신지,2015-11-30,212563.858261127,448663.093132792,2026-05-06 22:41:35,I,03,폐업,2015-12-02 09:49:20,,2009-05-04,134-812,서울특별시 강동구 길동 ***번지 *호 지하*층,PHMG120093240033047000031,3240000,서울특별시 강동구 천중로**길 ** (길동),05343,03,폐업,,,,
비앤피코리아 주식회사,2017-05-29,211616.551920171,447518.233667973,2026-05-06 22:42:55,I,03,폐업,2017-05-29 13:06:56,,2015-01-27,134-845,서울특별시 강동구 성내동 ***번지 **호,PHMG120153240033047000011,3240000,서울특별시 강동구 풍성로 *** (성내동),05403,03,폐업,,,,
(주)유렌코리아,2022-06-15,189497.04098479,441728.27059771,2026-05-06 22:37:46,I,24,직권폐업,2022-06-14 11:19:07,,2020-04-08,,서울특별시 금천구 가산동 ***번지 **호 IT캐슬*차,PHMG120203170035047000054,3170000,"서울특별시 금천구 가산디지털*로 ***, IT캐슬*차 **층 (가산동)",08506,04,취소/말소/만료/정지/중지,,,,
세니덴,,191391.967280466,438458.097193512,2026-05-06 22:37:51,I,13,영업중,2025-02-21 16:12:32,,2021-01-27,,서울특별시 금천구 시흥동 ***-* 극동빌딩,PHMG120213170035047000020,3170000,"서울특별시 금천구 시흥대로 ***, 극동빌딩 ***호 (시흥동)",08649,01,영업/정상,,,,
GS25암사현대점,,212128.748651197,450405.144983099,2026-05-06 22:43:51,I,13,영업중,2022-02-08 13:31:28,,2022-02-04,,서울특별시 강동구 암사동 ***-* 강동현대홈타운,PHMG120223240033047000041,3240000,"서울특별시 강동구 고덕로**길 **, 강동현대홈타운 ***호 (암사동)",05236,01,영업/정상,,,,
(주)엘앤케이웍스,2017-05-25,210736.936937128,447532.304716974,2026-05-06 22:42:43,I,03,폐업,2017-05-25 16:40:22,,2014-01-06,134-851,서울특별시 강동구 성내동 ***번지 *호,PHMG120143240033047000006,3240000,"서울특별시 강동구 성내로 **, ***호 (성내동)",05398,03,폐업,,,,
(주)썬리치플러스,2013-12-02,189293.917551254,442381.469227679,2026-05-06 22:37:12,I,24,직권폐업,2013-12-02 17:07:43,,2009-06-02,153-704,서울특별시 금천구 가산동 ***번지 *호 벽산디지털밸리*차  ***호,PHMG120093170035047000018,3170000,,,04,취소/말소/만료/정지/중지,,,070-8611-2000,
