건축연면적,건물용도명,사업장명,회의실별동시수용인원,폐업일자,자본금,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,영문상호주소,영문상호명,제작취급품목내용,시설면적,시설규모,지상층수,객실수,보험시작일자,보험종료일자,보험기관명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,좌석수,무대면적,주변환경명,기념품종류,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수,선박척수,선박제원,선박총톤수
,,더심플하우스,,2018-07-18,,183406.085099587,451070.340055785,,외국인관광 도시민박업,2026-05-06 22:32:25,I,03,폐업,,,,33.6,34,,3,,,,2018-07-19 14:16:44,,2014-08-14,,서울특별시 강서구 공항동 24-4 3층,CDFI2262212014000003,3150000,,"서울특별시 강서구 공항대로5길 34, 3층 (공항동)",07618,03,폐업,,,,,,,,,,,,
,,제이씨하우스(JC House),,2017-03-01,,183145.181494906,451845.615493176,,외국인관광 도시민박업,2026-05-06 22:32:25,I,03,폐업,,,,8.6,9,,1,,,,2017-03-24 14:55:08,,2015-03-04,,서울특별시 강서구 방화동 592-39 5층,CDFI2262212015000001,3150000,,"서울특별시 강서구 금낭화로7길 32, 5층 (방화동, 초원의집)",07609,03,폐업,,,,,,,,,,,,
,,秀家(수가),,2023-12-07,,185794.10884701,449398.802812988,,외국인관광 도시민박업,2026-05-06 22:32:25,I,03,폐업,,,,28,28,,2,,,,2023-12-07 10:48:01,,2015-04-02,,서울특별시 강서구 화곡동 1165 130동 1501호,CDFI2262212015000002,3150000,,"서울특별시 강서구 우현로 67, 130동 1501호 (화곡동, 강서힐스테이트)",07694,03,폐업,,,,,,,070-4064-6568,,,,,
,,이자매 게스트하우스,,2016-12-30,,186182.325106052,449174.360978154,,외국인관광 도시민박업,2026-05-06 22:32:25,I,03,폐업,,,,10.4,10,,2,,,,2017-01-16 17:24:44,,2015-06-03,,서울특별시 강서구 화곡동 742-5 5층,CDFI2262212015000003,3150000,,"서울특별시 강서구 화곡로 220, 5층 (화곡동)",07721,03,폐업,,,,,,,,,,,,
,,더나루 B&B,,2017-12-29,,183458.74579771,451093.831052926,,외국인관광 도시민박업,2026-05-06 22:32:25,I,03,폐업,,,,7.02,7,,2,,,,2017-12-29 13:11:09,,2015-06-15,,"서울특별시 강서구 공항동 14-118 2, 3층",CDFI2262212015000004,3150000,,"서울특별시 강서구 공항대로13길 19, 2, 3층 (공항동)",07618,03,폐업,,,,,,,,,,,,
,,블루스테이(Blue Stay),,2018-12-10,,187675.561110779,448212.511266037,,외국인관광 도시민박업,2026-05-06 22:32:26,I,03,폐업,,,,11,11,,1,,,,2018-12-10 16:15:22,,2015-11-11,,서울특별시 강서구 화곡동 504-24 202호,CDFI2262212015000005,3150000,,"서울특별시 강서구 등촌로13나길 13, 202호 (화곡동, 에코캐슬)",07733,03,폐업,,,,,,,,,,,,
,,제이파크빌(J Park Vill),,2018-04-19,,186092.356405307,452221.008576625,,외국인관광 도시민박업,2026-05-06 22:32:26,I,03,폐업,,,,44.69,45,,1,,,,2018-04-23 14:48:31,,2016-07-19,,서울특별시 강서구 가양동 1459 104동 501호,CDFI2262212016000001,3150000,,"서울특별시 강서구 강서로 532, 104동 501호 (가양동, 동신대아아파트)",07524,03,폐업,,,,,,,,,,,,
,아파트,백패커하우스(Backpaker House),,2017-02-14,,188629.621220505,449630.08160131,,외국인관광 도시민박업,2026-05-06 22:32:26,I,03,폐업,,,,59.91,60,,,,,,2017-02-14 15:46:16,,2016-10-12,,서울특별시 강서구 염창동 280 102동 1303호,CDFI2262212016000002,3150000,,"서울특별시 강서구 공항대로71길 31, 102동 1303호 (염창동, 극동상록수아파트)",07559,03,폐업,,,,,,,,1,,,,
,,서울우리집하우스,,2018-02-08,,186135.637365199,447558.373870105,,외국인관광 도시민박업,2026-05-06 22:32:26,I,03,폐업,,,,64.05,64,,,,,,2018-02-08 16:26:13,,2016-11-08,,서울특별시 강서구 화곡동 919-1 717호,CDFI2262212016000003,3150000,,"서울특별시 강서구 곰달래로 96, 717호 (화곡동, 유림노르웨이숲)",07776,03,폐업,,,,,,,,,,,,
,,체라스코지서울(cera's cosy seoul),,2025-07-11,,183554.569910389,451485.309711072,,외국인관광 도시민박업,2026-05-06 22:32:26,I,03,폐업,,,,65.56,66,,2,,,,2025-07-11 17:32:52,,2016-01-05,,서울특별시 강서구 방화동 607-107 1층,CDFI2262212016000004,3150000,,"서울특별시 강서구 방화동로12나길 26, 1층 (방화동)",07616,03,폐업,,,,,,,,,,,,
,,망고스틴 2호,,2020-12-17,,186055.896209052,449265.966891499,,외국인관광 도시민박업,2026-05-06 22:32:26,I,03,폐업,,,,93.58,94,,2,,,,2020-12-18 10:18:07,,2016-01-11,,서울특별시 강서구 화곡동 111-110 2호,CDFI2262212016000005,3150000,,"서울특별시 강서구 화곡로35길 23-5, 2호 (화곡동, 망고스틴)",07696,03,폐업,,,,,,,,,,,,
,,망고스틴 3호,,2020-12-17,,186055.896209052,449265.966891499,,외국인관광 도시민박업,2026-05-06 22:32:27,I,03,폐업,,,,102.76,103,,2,,,,2020-12-18 10:17:48,,2016-01-11,,서울특별시 강서구 화곡동 111-110 3호,CDFI2262212016000006,3150000,,"서울특별시 강서구 화곡로35길 23-5, 3호 (화곡동, 망고스틴)",07696,03,폐업,,,,,,,,,,,,
,,Pineville Room A.B.C,,2018-10-31,,186092.356405307,452221.008576625,,외국인관광 도시민박업,2026-05-06 22:32:27,I,03,폐업,,,,134,134,,3,,,,2018-10-31 18:23:01,,2016-01-20,,서울특별시 강서구 가양동 1459 109동 304호,CDFI2262212016000007,3150000,,"서울특별시 강서구 강서로 532, 109동 304호 (가양동, 동신아파트,대아아파트)",07524,03,폐업,,,,,,,,,,,,
,아파트,Sunny House,,2018-08-29,5000000,185939.056322682,447487.311785229,,외국인관광 도시민박업,2026-05-06 22:32:27,I,03,폐업,,,,33.52,34,8,,,,,2018-08-31 09:16:39,,2017-03-17,,서울특별시 강서구 화곡동 924-10 스카이아파트 804호,CDFI2262212017000001,3150000,주거지역,"서울특별시 강서구 곰달래로18길 15-3, 804호 (화곡동, 스카이아파트)",07776,03,폐업,,,아파트지역,,,,,,,,,
,,다산하우스,,2019-06-07,14000000,183333.157683944,450949.019971629,,외국인관광 도시민박업,2026-05-06 22:32:27,I,03,폐업,,,,55.54,56,,,,,,2019-05-22 09:41:20,,2017-07-24,,서울특별시 강서구 공항동 34-37,CDFI2262212017000003,3150000,,"서울특별시 강서구 공항대로8길 8, 2층 (공항동)",,03,폐업,,,,,,,,,,,,
,,Nice Neighbor Guesthouse,,2021-01-18,320000000,187627.730918293,449334.822111096,,외국인관광 도시민박업,2026-05-06 22:32:28,I,03,폐업,,,,44.2,44,,,,,,2021-01-18 16:54:55,,2017-08-24,,서울특별시 강서구 등촌동 523-5 501호,CDFI2262212017000005,3150000,,"서울특별시 강서구 등촌로39나길 5, 501호 (등촌동, 동원베르사체)",07669,03,폐업,,,,,,,,5,,,,
,단독주택,공간 플러스,,2020-11-30,,185244.205787027,449081.346351971,,외국인관광 도시민박업,2026-05-06 22:32:28,I,03,폐업,,,,89.12,89,2,,,,,2021-02-03 10:34:10,,2018-03-06,,서울특별시 강서구 화곡동 1018-10,CDFI2262212018000001,3150000,주거지역,서울특별시 강서구 화곡로13길 90-16 (화곡동),07709,03,폐업,,,,,,,,2,,,,
,,그린월드 게스트하우스,,2019-03-25,,183882.425597545,450626.281037325,,외국인관광 도시민박업,2026-05-06 22:32:28,I,03,폐업,,,,59.98,60,,,,,,2019-03-26 17:47:18,,2018-04-26,,서울특별시 강서구 마곡동 748 마곡13단지힐스테이트마스터 1322동 1603호,CDFI2262212018000002,3150000,,"서울특별시 강서구 마곡중앙1로 71, 1322동 1603호 (마곡동, 마곡13단지힐스테이트마스터)",07809,03,폐업,,,,,,,,,,,,
,,Arnes House,,2020-01-23,,185794.10884701,449398.802812988,,외국인관광 도시민박업,2026-05-06 22:32:28,I,03,폐업,,,,84.99,85,,,,,,2020-01-25 17:02:29,,2018-07-24,,서울특별시 강서구 화곡동 1165 강서힐스테이트 121동 401호,CDFI2262212018000003,3150000,,"서울특별시 강서구 우현로 67, 121동 401호 (화곡동, 강서힐스테이트)",07694,03,폐업,,,,,,,,,,,,
,,마이러블리티(나나하우스),,2025-09-30,20000000,183406.085099587,451070.340055785,,외국인관광 도시민박업,2026-05-06 22:32:28,I,03,폐업,,,,132.08,132,,3,,,,2025-09-30 18:08:01,,2018-07-30,,서울특별시 강서구 공항동 24-4 401호,CDFI2262212018000004,3150000,,"서울특별시 강서구 공항대로5길 34, 4층 (공항동)",07618,03,폐업,,,,,,,,,,,,
,,두 언니네,,2019-12-31,,183259.958658245,451658.550525908,,외국인관광 도시민박업,2026-05-06 22:32:28,I,03,폐업,,,,,,,2,,,,2019-12-31 17:06:01,,2019-03-13,,서울특별시 강서구 방화동 598-116,CDFI2262212019000002,3150000,,서울특별시 강서구 초원로 54-16 (방화동),07614,03,폐업,,,,,,,,,,,,
,,공간 이사각,,2021-11-30,,183494.816307141,451594.232685548,,외국인관광 도시민박업,2026-05-06 22:32:28,I,03,폐업,,,,48,48,4,,,,,2023-06-30 18:09:39,,2019-03-22,,서울특별시 강서구 방화동 607-150 명문명가 402호,CDFI2262212019000003,3150000,,"서울특별시 강서구 방화동로12길 24, 402호 (방화동, 명문명가)",07616,03,폐업,,,,,,,,,,,,
,,앤젤 B&B,,2021-04-19,,182474.753251689,453850.314726245,,외국인관광 도시민박업,2026-05-06 22:32:29,I,03,폐업,,,,,,,,,,,2021-05-10 13:05:08,,2019-05-09,,서울특별시 강서구 개화동 230-3,CDFI2262212019000005,3150000,,서울특별시 강서구 개화10길 25 (개화동),07502,03,폐업,,,,,,,,,,,,
,아파트,무지개 민박,,2024-09-20,10000000,185682.405797191,449689.106346042,,외국인관광 도시민박업,2026-05-06 22:32:30,I,03,폐업,,,,84.97,85,,,,,,2024-09-20 11:06:15,,2023-07-24,,서울특별시 강서구 화곡동 1159 우장산아이파크이편한세상아파트,CDFI2262212023000006,3150000,주거지역,"서울특별시 강서구 강서로 266, 118동 1802호 (화곡동, 우장산아이파크이편한세상아파트)",07691,03,폐업,,,아파트지역,,,,,,,,,
,단독주택,백만집,,2025-12-04,10000000,183280.940640095,451460.408684506,,외국인관광 도시민박업,2026-05-06 22:32:34,I,03,폐업,,,,57.3,57,,,,,,2025-12-04 17:24:20,,2024-06-13,,서울특별시 강서구 방화동 614-16,CDFI2262212024000024,3150000,,"서울특별시 강서구 방화동로 51, 2층 (방화동)",07614,03,폐업,,,,,,,,,,,,
,다가구용 주택(공동주택적용),보나하우스,,2025-07-11,10000000,186965.386873343,447705.096136048,,외국인관광 도시민박업,2026-05-06 22:32:36,I,03,폐업,,,,50,50,,,,,,2025-07-11 15:12:14,,2024-10-31,,서울특별시 강서구 화곡동 871-75 우성골든빌,CDFI2262212024000038,3150000,,"서울특별시 강서구 곰달래로35길 3-8, 우성골든빌 101호 (화곡동)",07750,03,폐업,,,,,,,,,,,,
,다세대주택,Choi서울,,2025-05-08,,186047.833989464,449321.987725675,,외국인관광 도시민박업,2026-05-06 22:32:39,I,03,폐업,,,,54.6,55,,,,,,2025-05-08 16:08:17,,2025-04-24,,서울특별시 강서구 화곡동 95-76 우남빌라,CDFI2262212025000020,3150000,,"서울특별시 강서구 화곡로35길 30, 202호 (화곡동, 우남빌라)",07695,03,폐업,,,,,,,,,,,,
,,송 하우스(Song House),,2015-10-02,,185610.723586477,450143.725698271,,외국인관광 도시민박업,2026-05-06 22:32:45,I,03,폐업,,,,,,,,,,,2015-10-02 15:04:00,,2013-08-22,157-280,서울특별시 강서구 내발산동 733 내발산우신웨스트빌아파트 1001호,CDFI3261142013000003,3150000,,"서울특별시 강서구 우장산로2길 21-6, 1001호 (내발산동, 내발산우신웨스트빌아파트)",07681,03,폐업,,,,,,,26975379,,,,,
,,맘하우스(Mam House),,2015-10-15,,186125.918193758,449494.333099821,,외국인관광 도시민박업,2026-05-06 22:32:45,I,03,폐업,,,,,,,,,,,2015-10-15 13:23:34,,2013-08-23,157-016,서울특별시 강서구 화곡동 1156 우장산휴먼빌아파트 101동 603호,CDFI3261142013000004,3150000,,"서울특별시 강서구 우현로 18, 101동 603호 (화곡동, 우장산휴먼빌아파트)",07690,03,폐업,,,,,,,,,,,,
,,러브하우스(Love House),,2013-12-06,,186424.093060703,448902.965657141,,외국인관광 도시민박업,2026-05-06 22:32:45,I,03,폐업,,,,,,,,,,,2013-12-06 12:45:29,,2013-08-23,157-867,서울특별시 강서구 화곡동 59-18,CDFI3261142013000005,3150000,,서울특별시 강서구 초록마을로6길 10 (화곡동),,03,폐업,,,,,,,,,,,,
,,미드웨이홈,,2015-05-12,,187311.265729415,451100.619120075,,외국인관광 도시민박업,2026-05-06 22:32:46,I,03,폐업,,,,,,,,,,,2015-05-12 14:14:28,,2014-03-19,157-809,서울특별시 강서구 가양동 1482 도시개발아파트 804동 603호,CDFI3261142014000002,3150000,,"서울특별시 강서구 허준로 176, 804동 603호 (가양동, 도시개발아파트)",,03,폐업,,,,,,,,,,,,
,,선샤인게스트하우스,,2014-10-02,,186445.592081262,450204.235283747,,외국인관광 도시민박업,2026-05-06 22:32:46,I,03,폐업,,,,,,,,,,,2014-10-02 18:02:42,,2014-06-10,157-015,서울특별시 강서구 화곡동 1151 우장산한화꿈에그린아파트 102동 103호,CDFI3261142014000003,3150000,,"서울특별시 강서구 우장산로 103, 103동 103호 (화곡동, 우장산한화꿈에그린아파트)",,03,폐업,,,,,,,,,,,,
,,하나비하우스(HANABI HOUSE),,2016-12-05,,186429.327795498,452034.27568352,,외국인관광 도시민박업,2026-05-06 22:32:46,I,03,폐업,,,,,,,,,,,2016-12-06 16:48:53,,2014-07-09,157-742,서울특별시 강서구 가양동 1461 성지아파트 206동 1309호,CDFI3261142014000004,3150000,,"서울특별시 강서구 허준로 47, 206동 1309호 (가양동, 성지아파트)",,03,폐업,,,,,,,070-7753-5412,,,,,
,,가양강변게스트하우스,,2015-06-02,,187178.737304284,451447.114515225,,외국인관광 도시민박업,2026-05-06 22:32:46,I,03,폐업,,,,,,,,,,,2015-06-02 18:34:19,,2014-08-21,157-202,서울특별시 강서구 가양동 1475 가양강변게스트하우스 305동 105호,CDFI3261142014000006,3150000,,"서울특별시 강서구 허준로 139, 305동 105호 (가양동, 강변아파트)",,03,폐업,,,,,,,,,,,,
,,이자매 게스트하우스,,2016-12-30,,186182.325106052,449174.360978154,,외국인관광 도시민박업,2026-05-06 22:32:46,I,03,폐업,,,,,,,,,,,2017-01-16 17:26:19,,2015-06-03,157-010,서울특별시 강서구 화곡동 742-5 5층,CDFI3261142015000003,3150000,,"서울특별시 강서구 화곡로 220, 5층 (화곡동)",07721,03,폐업,,,,,,,,,,,,
,단독주택,에어포트 스테이 서울,,,,183452.673484388,450663.534615618,,외국인관광 도시민박업,2026-05-06 22:32:45,I,13,영업중,,,,40.91,41,3,,,,,2026-03-10 09:21:27,,2026-03-10,,서울특별시 강서구 공항동 654-10 B01호,CDFI2262212026000019,3150000,일반주거지역,"서울특별시 강서구 남부순환로11가길 100, B01호 (공항동)",07625,01,영업/정상,,,,,,,,4,1,,,
,다세대주택,유오스테이,,,,188457.645336167,449878.155248059,,외국인관광 도시민박업,2026-05-06 22:32:45,I,13,영업중,,,,44.3,44,6,,,,,2026-03-10 09:30:27,,2026-03-10,,서울특별시 강서구 염창동 266-16 리치웰강서 102동 302호,CDFI2262212026000020,3150000,준공업지역,"서울특별시 강서구 공항대로65가길 19-1, 102동 302호 (염창동, 리치웰강서)",07554,01,영업/정상,,,,,,,,6,,,,
,,스테이 지음,,,,183388.756111371,450722.475393041,,외국인관광 도시민박업,2026-05-06 22:32:45,I,13,영업중,,,,43.14,43,3,,,,,2026-03-10 09:32:58,,2026-03-10,,서울특별시 강서구 공항동 40-33 B01호,CDFI2262212026000021,3150000,일반주거지역,"서울특별시 강서구 공항대로8가길 2-16, B01호 (공항동)",07624,01,영업/정상,,,,,,,,4,1,,,
,,다온스테이(DAON STAY),,,,201310.270670162,460204.602339396,,외국인관광 도시민박업,2026-05-06 22:32:09,I,13,영업중,,,,31.22,31,,,,,,2026-04-01 15:50:17,,2026-03-13,,서울특별시 강북구 수유동 313-45 더하우스 201호,CDFI2262212026000009,3080000,일반주거지역,"서울특별시 강북구 삼양로119길 4, 201호 (수유동, 더하우스)",01030,01,영업/정상,,,,,,,,,,,,
,,아리스테이 서울(Ari Stay Seoul),,,,201896.919049558,460314.377349572,,외국인관광 도시민박업,2026-05-06 22:32:10,I,13,영업중,,,,38.9,39,,,,,,2026-04-15 17:21:18,,2026-03-17,,서울특별시 강북구 수유동 252-55 한신하이츠빌라 B01호,CDFI2262212026000010,3080000,,"서울특별시 강북구 노해로27길 19-6, 지층 B01호 (수유동, 한신하이츠빌라)",01048,01,영업/정상,,,,,,,,,,,,
,단독주택,인 웨스트,,,,185559.126341503,450244.190359293,,외국인관광 도시민박업,2026-05-06 22:32:45,I,13,영업중,,,,82.77,83,2,,,,,2026-04-08 14:12:18,,2026-04-08,,서울특별시 강서구 내발산동 669-7,CDFI2262212026000028,3150000,일반주거지역,"서울특별시 강서구 강서로 318-5, 2층 (내발산동)",07680,01,영업/정상,,,,,,,,3,1,,,
