영업소면적,사업장명,사업장구분명,업태구분명,폐업일자,위탁업체명,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,실험실면적,실험실반,실험실번지,실험실산,실험실지역코드,실험실도로명주소건물본번호,실험실도로명주소건물부번호,실험실도로명주소건물층구분,실험실도로명주소코드,실험실도로명주소읍면동코드,실험실도로명주소읍면동구분,실험실도로명주소시군구코드,실험실도로명주소우편번호,실험실도로명특수주소,실험실특수주소,실험실특수주소동,실험실특수주소호,실험실통,실험실호,실험실우편번호,최종수정시점,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,제이오에이(JOA),측정대행업,,2021-09-17,,206981.454072644,458960.471391303,2026-05-06 22:37:03,I,4,폐쇄,,,172,1,1135010300,232,,0,3005050,1135010300,1,11350,01811,서울과학기술대학교  제2창업보육센터동 2층 230호 (공릉동),서울과학기술대학교,제2창업보육센터,230,,,,2021-09-17 14:30:39,2019-11-25,,서울특별시 노원구 공릉동 172 서울과학기술대학교 제2창업보육센터동 230호,310000066201900001,3100000,"서울특별시 노원구 공릉로 232, 서울과학기술대학교  제2창업보육센터동 2층 230호 (공릉동)",01811,,04,취소/말소/만료/정지/중지,,,02-966-2607
,(주)삼우환경컨설탄트,측정대행업,,2013-06-05,,190528.450104488,442352.770364667,2026-05-06 22:47:32,I,4,폐쇄,134,,212,1,1153010200,271,,0,3000026,1153010200,1,11530,,(구로동),벽산디지털밸리3차,,802,,13,,2015-07-23 17:23:56,2012-07-19,,서울특별시 구로구 구로동 212-13 벽산3차디지털밸리 811/812호,316000066201200002,3160000,"서울특별시 구로구 디지털로 271, 811/812호 (구로동)",,,04,취소/말소/만료/정지/중지,,,66479194
,(주)켐토피아,측정대행업,,2019-01-03,,190624.049848735,442775.959212775,2026-05-06 22:47:32,I,4,폐쇄,,,170,1,1153010200,48,,0,4148340,1153010200,1,11530,,(구로동),,,,,10,,2019-02-14 14:57:58,2013-09-10,,서울특별시 구로구 구로동 170-11,316000066201300001,3160000,"서울특별시 구로구 디지털로33길 48, 1203,1204,1205,1206,405호 (구로동, 대륭포스트타워7차)",08377,,04,취소/말소/만료/정지/중지,,,02-826-9100
,(주)미래환경플랜건축사사무소,측정대행업,,2024-05-01,,205316.296326505,458732.958771992,2026-05-06 22:37:03,I,4,폐쇄,,,,,,370,,0,3107018,1135010200,1,11350,,(월계동),,,,,,,2025-02-12 10:52:26,2013-10-07,,,310000066201300001,3100000,서울특별시 노원구 월계로 370 (월계동),,,04,취소/말소/만료/정지/중지,,,
,(주)미래환경플랜건축사사무소,측정대행업,,,,205316.296326505,458732.958771992,2026-05-06 22:37:03,I,5,제외사항,,,321,1,1135010200,370,,0,3107018,1135010200,1,11350,,(월계동),,,,,2,,2018-11-14 11:30:23,2013-10-07,,,310000066201300002,3100000,서울특별시 노원구 월계로 370 (월계동),,,05,제외/삭제/전출,,,
,주식회사 어썸파트너스,측정대행업,실내건축 및 건축마무리 공사업,,,206266.717114822,457943.941481997,2026-05-06 22:37:03,I,BBBB,영업,,,492,1,1135010300,127,,0,4130168,1135010300,1,11350,01856,3층층 (공릉동),3층,,,,8,,2019-12-30 14:04:34,2019-12-26,,서울특별시 노원구 공릉동 492-8 3층,310000066201900002,3100000,"서울특별시 노원구 동일로173가길 127, 3층 (공릉동)",01856,,01,영업/정상,,,02-6951-2925
,유성NVC,측정대행업,,,,205457.262344455,461407.049044413,2026-05-06 22:37:03,I,BBBB,영업,,,716,1,1135010500,491,,0,3005047,1135010500,1,11350,01695,중앙빌딩 4층 (상계동),중앙빌딩,,,,3,,2026-01-15 12:03:28,2021-12-24,,서울특별시 노원구 상계동 716-3 중앙빌딩,310000066202100001,3100000,"서울특별시 노원구 노해로 491, 중앙빌딩 (상계동)",01695,,01,영업/정상,,,
,(주)삼우환경컨설탄트 서울구로지점,측정대행업,,,,190528.450104488,442352.770364667,2026-05-06 22:47:30,I,BBBB,영업,,,212,1,1153010200,271,,0,3000026,1153010200,1,11530,,"811호 (구로동, 벽산디지털밸리3차)",벽산디지털밸리3차,,811,,13,,2025-04-03 11:30:59,2008-01-28,,서울특별시 구로구 구로동 212-13 벽산디지털밸리3차 811호,316000066200800006,3160000,"서울특별시 구로구 디지털로 271, 811호 (구로동, 벽산디지털밸리3차)",,,01,영업/정상,,,02-866-7460
,(주)청룡환경,측정대행업,,,,190571.928127507,442598.144798533,2026-05-06 22:47:31,I,BBBB,영업,,,197,1,1153010200,20,,0,4148335,1153010200,1,11530,,(구로동),,,,,22,,2026-04-27 15:39:43,2010-03-23,,서울특별시 구로구 구로동 197-22 에이스테크노타워5차 209호,316000066201000003,3160000,"서울특별시 구로구 디지털로31길 20, 209호 (구로동, 에이스테크노타워5차)",,,01,영업/정상,,,02-851-3811
,(주)대명환경기술연구소,측정대행업,,,,190527.763560976,442532.319933427,2026-05-06 22:47:30,I,BBBB,영업,,,197,1,1153010200,19,,0,4148335,1153010200,1,11530,,(구로동),,,,,7,,2026-04-17 09:39:55,2010-03-24,,서울특별시 구로구 구로동 197-7 에이스타워 2차 401호,316000066201000004,3160000,"서울특별시 구로구 디지털로31길 19, 401호 (구로동)",,,01,영업/정상,,,02-854-3397
,(주)대원이씨티,측정대행업,,,,189047.773084017,444715.218537294,2026-05-06 22:47:30,I,BBBB,영업,0,,291,1,1153010100,16,,0,4148394,1153010100,1,11530,152886,(신도림동),,,,,43,152886,2025-04-07 11:22:10,2011-11-29,,서울특별시 구로구 구로동 611-26 오퍼스1 1025호,316000066201100001,3160000,"서울특별시 구로구 구로중앙로 207, 오퍼스1 1025호 (구로동)",08216,,01,영업/정상,,,02-2065-0150
,동문이엔티(주),측정대행업,,,,190741.158117503,442703.311770946,2026-05-06 22:47:33,I,BBBB,영업,50,,184,1,1153010200,12,,0,4148340,1153010200,1,11530,,"501호 (구로동, 우림이비지센터 2차)",우림이비지센터 2차,,501,,1,,2025-12-16 09:20:44,2014-12-03,,"서울특별시 구로구 구로동 184-1 우림이비지센터 2차 501,호",316000066201400002,3160000,"서울특별시 구로구 디지털로33길 12, 501, 503~505, 507호 (구로동, 우림이비지센터2차)",08377,,01,영업/정상,,,02-890-3591
,(주)청마,측정대행업,,,,190402.032127103,442203.137447127,2026-05-06 22:47:32,I,BBBB,영업,,,,,,244,,0,3000023,1153010200,1,11530,,"5층 (구로동, 동헌빌딩)",,,,,,,2022-06-20 16:28:21,2015-07-23,,"서울특별시 구로구 구로동 237 지하이시티 1401,호",316000066201500002,3160000,"서울특별시 구로구 디지털로 243, 지하이시티 1401,1402,1403,1404,1406,1407호 (구로동)",08382,,01,영업/정상,,,02-6346-2287
,(주)로스피코리아,측정대행업,,,,190447.424985193,442071.447779897,2026-05-06 22:47:32,I,BBBB,영업,,,851,1,1153010200,242,,0,3000026,1153010200,1,11530,,"710호 (구로동, 한화비즈메트로1차)",한화비즈메트로1차,,710,,,,2025-11-26 15:02:23,2015-07-29,,서울특별시 구로구 구로동 851 한화비즈메트로1차 710호,316000066201500003,3160000,"서울특별시 구로구 디지털로 242, 710호 (구로동, 한화비즈메트로1차)",,,01,영업/정상,,,02-866-0095
,케이웨더(주),측정대행업,,,,190504.7782409,442154.992807483,2026-05-06 22:47:33,I,BBBB,영업,,,235,1,1153010200,5,,0,4148327,1153010200,1,11530,08389,에이스하이엔드타워1차 401호 (구로동),에이스하이엔드타워1차,,,,2,,2023-03-13 16:38:07,2018-05-29,,서울특별시 구로구 구로동 235-2 에이스하이엔드타워 401호,316000066201800001,3160000,"서울특별시 구로구 디지털로26길 5, 401호 (구로동, 에이스하이엔드타워)",,,01,영업/정상,,,02-360-2225
,(사)대한산업안전협회,측정대행업,,,,190154.945,444555.93,2026-05-06 22:47:33,I,BBBB,영업,,,23,1,1153010200,70,,0,3116004,1153010200,1,11530,08289,대한산업안전협회 회관 1층 (구로동),대한산업안전협회 회관,,,,1,,2025-04-30 08:13:42,2018-11-23,,서울특별시 구로구 구로동 23-1 대한산업안전협회 회관,316000066201800002,3160000,"서울특별시 구로구 공원로 70, 대한산업안전협회 회관 (구로동)",08289,,01,영업/정상,,,
,주식회사 한국환경시스템연구원,측정대행업,,,,190571.928127507,442598.144798533,2026-05-06 22:47:33,I,BBBB,영업,87,,197,1,1153010200,20,,0,4148335,1153010200,1,11530,08380,에이스테크노타워5차 504호 (구로동),에이스테크노타워5차,,504,,22,,2025-04-30 15:50:25,2018-12-24,,서울특별시 구로구 구로동 197-22 에이스테크노타워5차 504호,316000066201800003,3160000,"서울특별시 구로구 디지털로31길 20, 에이스테크노타워5차 5층 504호 (구로동)",08380,,01,영업/정상,,,02-6959-9398
,(주)지와이컨설팅,측정대행업,,,,190402.032127103,442203.137447127,2026-05-06 22:47:33,I,BBBB,영업,,,237,1,1153010200,243,,0,3000026,1153010200,1,11530,08382,지하이시티 1611호 (구로동),지하이시티,,1611,,,,2025-04-18 17:25:59,2019-10-17,,서울특별시 구로구 구로동 237 지하이시티 1611호,316000066201900001,3160000,"서울특별시 구로구 디지털로 243, 지하이시티 1611호 (구로동)",08382,,01,영업/정상,,,070-4870-1100
,한성환경주식회사,측정대행업,,,,187471.842860979,443829.626109665,2026-05-06 22:47:27,I,BBBB,영업,94,,399,1,1153010100,228,,0,3116005,1153010100,1,11530,08205,기임빌딩 301호 (신도림동),기임빌딩,,,,,,2026-03-27 13:03:10,2021-05-10,,서울특별시 구로구 개봉동 170-33 금석빌딩 410호,316000066202100001,3160000,"서울특별시 구로구 경인로 352, 금석빌딩 410호 (개봉동)",,,01,영업/정상,,,02-2689-9890
,(주)이엔씨기술,측정대행업,,,,190612.779366379,442662.421914354,2026-05-06 22:47:26,I,BBBB,영업,,,197,1,1153010200,27,,0,4148340,1153010200,1,11530,08380,삼성IT밸리 1408호 (구로동),삼성IT밸리,,,,5,,2022-08-17 09:10:16,2022-08-17,,서울특별시 구로구 구로동 197-5 삼성IT밸리,316000066202200001,3160000,"서울특별시 구로구 디지털로33길 27, 삼성IT밸리 1408호 (구로동)",08380,,01,영업/정상,,,02-2028-1700
,(주)여러가지환경문제연구소,측정대행업,,,,190402.032127103,442203.137447127,2026-05-06 22:47:27,I,BBBB,영업,86,,237,1,1153010200,243,,0,3000026,1153010200,1,11530,08382,지하이시티 701~703호 (구로동),지하이시티,,,,,,2026-04-21 09:02:46,2024-02-01,,서울특별시 구로구 구로동 237 지하이시티,316000066202400001,3160000,"서울특별시 구로구 디지털로 243, 지하이시티 701~703호 (구로동)",08382,,01,영업/정상,,,02-2224-0002
,(주)여러가지환경문제연구소,측정대행업,,,,190402.032127103,442203.137447127,2026-05-06 22:47:29,I,5,제외사항,,,237,1,1153010200,243,,0,3000026,1153010200,1,11530,08382,지하이시티 701~703호 (구로동),지하이시티,,,,,,2025-09-30 10:48:53,2024-03-18,,서울특별시 구로구 구로동 237 지하이시티,316000066202400002,3160000,"서울특별시 구로구 디지털로 243, 지하이시티 701~703호 (구로동)",08382,,05,제외/삭제/전출,,,02-2224-0002
,주식회사 삼원디엔씨,측정대행업,환경 행정,,,190666.864354145,442750.016695612,2026-05-06 22:47:28,I,BBBB,영업,,,170,1,1153010200,28,,0,4148340,1153010200,1,11530,08377,우림이비지센터1차 503호 (구로동),우림이비지센터1차,,,,5,,2025-09-25 13:09:12,2025-09-25,,서울특별시 구로구 구로동 170-5 우림이비지센터1차,316000066202500001,3160000,"서울특별시 구로구 디지털로33길 28, 우림이비지센터1차 503호 (구로동)",08377,,01,영업/정상,,,
