건축연면적,건물용도명,사업장명,회의실별동시수용인원,폐업일자,자본금,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,영문상호주소,영문상호명,제작취급품목내용,시설면적,시설규모,지상층수,객실수,보험시작일자,보험종료일자,보험기관명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,좌석수,무대면적,주변환경명,기념품종류,휴업시작일자,휴업종료일자,소재지전화번호,총층수,관광숙박업상세명,지하층수,선박척수,선박제원,선박총톤수
,,VALUE PLACE HOSTEL,,,,199946.351089927,451335.415623115,,관광숙박업,2026-05-06 23:03:56,I,13,영업중,,,,451.22,451,,20,,,,2026-04-17 13:42:53,,2026-04-16,,서울특별시 중구 오장동 90-12 다인빌딩,CDFI2260032026000030,3010000,,"서울특별시 중구 마른내로 110, 다인빌딩 지상3층~지상4층 (오장동)",04559,01,영업/정상,,,,,,,,,호스텔업,,,,
,,크라운파크 호텔 서울 명동,,,,198232.003862907,451276.307297241,,관광숙박업,2026-05-06 23:03:55,I,13,영업중,TOURIST HOTEL,THE CROWN PARK HOTEL SEOUL MYEONGDONG,,10257.56,10258,16,,,,,2026-03-18 12:34:02,,2026-03-18,,서울특별시 중구 소공동 70 삼영빌딩,CDFI2260032026000018,3010000,일반상업지역,"서울특별시 중구 남대문로7길 19, 삼영빌딩 (소공동)",04532,01,영업/정상,,,,,,,,16,관광호텔업,2,,,
,,정동스테이25(JEONGDONG STAY 25),,,619000000,197755.195576878,451281.493188414,,관광숙박업,2026-05-06 23:03:55,I,13,영업중,,,,,,,15,,,,2026-03-27 09:09:07,,2026-03-18,,서울특별시 중구 서소문동 25,CDFI2260032026000019,3010000,,서울특별시 중구 서소문로 131 (서소문동),04515,01,영업/정상,,,,,,,,,호스텔업,,,,
5619,,여의도 관광호텔,,2020-06-10,,193321.88651945,447552.076521358,관광사업,관광숙박업,2026-05-06 22:30:21,I,03,폐업,,,,5619.46,5619,,107,,,,2020-06-10 19:13:18,,1975-03-18,,서울특별시 영등포구 여의도동 10-3,CDFI2260031975000001,3180000,,서울특별시 영등포구 은행로 62 (여의도동),07241,03,폐업,,,,,,,02-782-0121,,관광호텔업,,,,
,,영등포관광호텔,,2004-05-17,,190981.422688886,448051.590520012,관광사업,관광숙박업,2026-05-06 22:30:21,I,03,폐업,,,,,,,,,,,2004-05-17 10:45:14,,1988-09-06,150-045,서울특별시 영등포구 당산동5가 33-10,CDFI2260031988000001,3180000,,서울특별시 영등포구 선유동2로 72  (당산동5가),,03,폐업,,,,,,,,,,,,,
4357,,도도관광호텔,,2017-08-29,,192165.93453037,446508.000792709,관광사업,관광숙박업,2026-05-06 22:30:22,I,03,폐업,,,,4357.06,4357,,55,,,,2017-08-29 16:14:58,,1996-10-21,,서울특별시 영등포구 영등포동2가 94-154,CDFI2260031996000007,3180000,,"서울특별시 영등포구 버드나루로 23 (영등포동2가, 도도관광호텔)",07253,03,폐업,,,,,,,26723535,,관광호텔업,,,,
,,(주)래도호텔엔티마,,2004-12-10,,192866.856097244,447341.334688661,관광사업,관광숙박업,2026-05-06 22:30:22,I,03,폐업,,,,,,,,,,,2004-12-10 18:34:15,,2001-04-06,150-872,서울특별시 영등포구 여의도동 15-13,CDFI2260032001000003,3180000,,서울특별시 영등포구 국회대로68길 24  (여의도동),,03,폐업,,,,,,,21977231,,,,,,
,숙박시설,R 호텔,,2018-04-26,300000000,192151.220183716,446113.281907896,,관광숙박업,2026-05-06 22:30:22,I,03,폐업,,,,5827.26,5827,13,92,,,,2018-04-26 10:04:23,,2009-09-21,,서울특별시 영등포구 영등포동1가 121-6,CDFI2260032009000002,3180000,상업지역,"서울특별시 영등포구 경인로108길 14 (영등포동1가, 레인보우 관광호텔)",07306,03,폐업,,,기타,,,,02-2675-4800,16,관광호텔업,3,,,
3470,호텔,영등포 칸 관광호텔,,2021-02-05,990000000,191969.784420726,446983.129753485,,관광숙박업,2026-05-06 22:30:22,I,03,폐업,,,,3469.8,3470,17,59,,,,2021-02-16 15:45:43,,2015-05-18,150-037,서울특별시 영등포구 영등포동7가 94-93,CDFI2260032015000005,3180000,,서울특별시 영등포구 버드나루로 74 (영등포동7가),07248,03,폐업,,,,,,,26341700,20,관광호텔업,3,,,
7817,호텔,토브 호텔 앤 레지던스,,2020-04-13,,190256.76581931,448739.129269078,,관광숙박업,2026-05-06 22:30:22,I,03,폐업,,,,7817.08,7817,12,149,,,,2020-04-14 11:38:56,,2016-08-30,,서울특별시 영등포구 양평동6가 8,CDFI2260032016000001,3180000,준공업지역,서울특별시 영등포구 양평로28길 11 (양평동6가),07202,03,폐업,,,학교정화(상대),,,,,14,가족호텔업,2,,,
,,로스터블록,,,,199353.972647661,451539.691052825,,관광숙박업,2026-05-06 23:03:55,I,13,영업중,,,,,,,1,,,,2026-03-18 12:37:46,,2026-02-12,,서울특별시 중구 을지로3가 282-7,CDFI2260032026000010,3010000,,"서울특별시 중구 을지로16길 2-1, 지상3층 (을지로3가)",04549,01,영업/정상,,,,,,,,,호스텔업,,,,
,,엘림 호스텔,,,,200039.886363362,451861.645694086,,관광숙박업,2026-05-06 23:03:55,I,13,영업중,,,,,,,12,,,,2026-03-18 12:38:58,,2026-02-12,,서울특별시 중구 주교동 8-1,CDFI2260032026000009,3010000,,"서울특별시 중구 을지로35길 51-6, 지상2층~지상5층 (주교동)",04546,01,영업/정상,,,,,,,,,호스텔업,,,,
,,아스토리아호텔,,2015-07-31,,199161.680844774,450949.674631487,관광사업,관광숙박업,2026-05-06 23:03:36,I,03,폐업,,,,4170,4170,,,,,,2015-08-26 17:26:59,,1960-06-10,100-260,서울특별시 중구 남학동 13-2,CDFI2260031960000001,3010000,,서울특별시 중구 퇴계로 176 (남학동),,03,폐업,,,,,,,22687111,,관광호텔업,,,,
,,뉴국제호텔,,2023-05-31,,197984.6447186,451739.947695781,관광사업,관광숙박업,2026-05-06 23:03:38,I,03,폐업,,,,8814,8814,,142,,,3성,2023-05-30 18:22:49,,1977-02-28,100-101,서울특별시 중구 태평로1가 29-2,CDFI2260031977000001,3010000,,서울특별시 중구 세종대로22길 12 (태평로1가),,03,폐업,,,,,,,,,관광호텔업,,,,
,,뉴천지,,2011-06-22,,200225.983119633,451511.262755282,관광사업,관광숙박업,2026-05-06 23:03:39,I,03,폐업,,,,4665,4665,,,,,,2011-06-22 09:38:22,,1983-02-21,100-195,서울특별시 중구 을지로5가 133-1,CDFI2260031983000001,3010000,,서울특별시 중구 을지로38길 20  (을지로5가),,03,폐업,,,,,,,22656131,,,,,,
,,뉴오리엔탈관광호텔,,2018-11-27,,198491.235028989,450895.855106921,관광사업,관광숙박업,2026-05-06 23:03:40,I,03,폐업,Tourist Hotel,NEW ORIENTAL HOTEL,,3252,3252,,65,,,,2018-11-27 17:37:37,,1987-07-10,100-053,서울특별시 중구 회현동3가 10,CDFI2260031987000006,3010000,,서울특별시 중구 퇴계로14길 1 (회현동3가),,03,폐업,,,,,,,,,관광호텔업,,,,
,,(주)씨디엘호텔코리아(밀레니엄 힐튼 서울),,2022-12-31,,197762.501510022,450337.580626313,관광사업,관광숙박업,2026-05-06 23:03:40,I,03,폐업,Tourist Hotel,CDL HOTEL KOREA(MILLENNIUM HILTON SEOUL),,82856,82856,,680,,,5성,2023-01-03 16:58:17,,1989-05-04,100-802,서울특별시 중구 남대문로5가 395,CDFI2260031989000001,3010000,,서울특별시 중구 소월로 50 (남대문로5가),,03,폐업,,,,,,,,,관광호텔업,,,,
,호텔,호텔 파레스,,2018-07-01,,198164.258357664,450703.59926523,관광사업,관광숙박업,2026-05-06 23:03:40,I,03,폐업,Tourist Hotel,HOTEL PALACE,,2772.84,2773,8,52,,,,2018-08-09 14:24:32,,2006-09-15,100-873,서울특별시 중구 회현동1가 92-6,CDFI2260032006000001,3010000,준주거지역,서울특별시 중구 퇴계로8길 13 (회현동1가),,03,폐업,,,기타,,,,,8,관광호텔업,1,,,
,,이스트게이트 타워호텔,,2014-03-05,,200613.510297669,451817.515366883,,관광숙박업,2026-05-06 23:03:42,I,03,폐업,,,,5996.79,5997,,,,,,2014-03-05 11:19:00,,2009-05-22,,서울특별시 중구 을지로6가 17-2 케레스타 빌딩 18층~20층,CDFI2260032009000001,3010000,일반상업지역,"서울특별시 중구 장충단로13길 20  (을지로6가,케레스타 빌딩 18층~20층)",,03,폐업,,,기타,,,,34070700,,,,,,
,숙박시설,호텔아카시아,,2020-02-17,,200170.834204583,451577.602493325,,관광숙박업,2026-05-06 23:03:43,I,03,폐업,Tourist Hotel,HOTEL ACACIA,,8839.81,8840,12,134,,,,2020-03-06 14:17:33,,2009-09-22,100-195,서울특별시 중구 을지로5가 99,CDFI2260032009000002,3010000,상업지역,서울특별시 중구 동호로 360 (을지로5가),,03,폐업,,,기타,,,,22774917,15,관광호텔업,3,,,
,,라마다호텔 동대문,,2016-02-12,500000000,200161.192418006,451521.415517111,,관광숙박업,2026-05-06 23:03:43,I,03,폐업,,,,11378,11378,12,,,,,2016-02-12 16:49:43,,2012-01-19,100-195,서울특별시 중구 을지로5가 275-3,CDFI2260032012000001,3010000,,서울특별시 중구 동호로 354 (을지로5가),04561,03,폐업,,,,,,,21198974,,관광호텔업,4,,,
,,신신호텔1,,2014-09-12,110000000,198067.276635677,451115.055200121,,관광숙박업,2026-05-06 23:03:44,I,03,폐업,,,,1233.29,1233,11,,,,,2014-09-12 13:25:58,,2013-06-17,100-080,서울특별시 중구 북창동 93-37,CDFI2260032013000004,3010000,,서울특별시 중구 남대문로5길 21 (북창동),,03,폐업,,,,,,,21391000,,,2,,,
,,티마크호텔명동,,2022-05-02,8500000000,199273.815368546,451144.90452668,,관광숙박업,2026-05-06 23:03:44,I,03,폐업,Tourist Hotel,Tmark Hotel Myeongdong,,14965.47,14965,13,288,,,3성,2022-06-15 10:31:06,,2013-10-16,100-013,서울특별시 중구 충무로3가 43,CDFI2260032013000007,3010000,,서울특별시 중구 충무로 15 (충무로3가),04554,03,폐업,,,,,,,20982050,,관광호텔업,4,,,
,호텔,24게스트하우스동대문,,2021-12-31,530000000,200730.296204033,451454.338715818,,관광숙박업,2026-05-06 23:03:45,I,03,폐업,Tourist Hotel,24Guesthouse Dongdaemoon,,605.09,605,6,26,,,,2022-06-15 10:39:35,,2014-06-20,100-197,서울특별시 중구 을지로7가 58-1,CDFI2260032014000001,3010000,일반상업지역,서울특별시 중구 을지로 280-2 (을지로7가),04565,03,폐업,,,학교정화(상대),,,,21763659,6,호스텔업,,,,
7946,호텔,스타즈호텔 명동1호점,,2022-04-22,,199172.465802722,451638.530759379,,관광숙박업,2026-05-06 23:03:46,I,03,폐업,Tourist Hotel,Staz Hotel Myeongdong I,,7945.98,7946,10,150,,,3성,2022-04-22 12:17:23,,2015-01-12,100-846,서울특별시 중구 을지로3가 95-7,CDFI2260032015000001,3010000,일반상업지역,서울특별시 중구 충무로9길 20 (을지로3가),04543,03,폐업,,,,,,,20204040,,관광호텔업,4,,,
2575,호텔,플로라호텔 남산씨티,,2019-07-24,,198043.49823516,450616.474794295,,관광숙박업,2026-05-06 23:03:47,I,03,폐업,Tourist Hotel,FLORAL HOTEL Namsan City,,2574.87,2575,6,60,,,,2019-07-24 09:09:44,,2015-01-29,100-874,서울특별시 중구 회현동1가 194-30,CDFI2260032015000005,3010000,준주거지역,서울특별시 중구 퇴계로6길 3-6 (회현동1가),04634,03,폐업,,,학교정화(상대),,,,,,관광호텔업,2,,,
,,서울 엔 호스텔,,2023-03-21,,200114.588886239,451412.287586053,,관광숙박업,2026-05-06 23:03:47,I,03,폐업,HOSTEL,SEOUL N HOSTEL,,401.22,401,,20,,,,2023-03-22 18:15:49,,2015-02-12,100-310,서울특별시 중구 오장동 139-20,CDFI2260032015000006,3010000,일반상업지역,서울특별시 중구 동호로 343 (오장동),04547,03,폐업,,,,,,,070-8830-8160,,호스텔업,,,,
,,티마크그랜드호텔명동,,2023-02-28,,198043.635511275,450686.849956646,,관광숙박업,2026-05-06 23:03:49,I,03,폐업,Tourist Hotel,Tmark Grand Hotel Myeongdong,,27174.04,27174,,576,,,4성,2023-02-28 09:40:42,,2016-05-17,,서울특별시 중구 회현동1가 194-15,CDFI2260032016000008,3010000,,"서울특별시 중구 퇴계로 52 (회현동1가, 인송빌딩)",04634,03,폐업,,,,,,,22833000,,관광호텔업,,,,
,,아트뷰호텔,,2020-06-01,,199245.264836491,451184.789734499,,관광숙박업,2026-05-06 23:03:49,I,03,폐업,HOSTEL,ARTVIEW HOTEL,,363.57,364,,23,,,,2020-07-02 11:51:47,,2016-06-09,,서울특별시 중구 충무로3가 26-2,CDFI2260032016000009,3010000,,"서울특별시 중구 수표로6길 33, 2-5층 (충무로3가)",04555,03,폐업,,,,,,,22692262,,호스텔업,,,,
,,에이퍼스트호텔명동,,2020-05-20,,198260.880732247,451708.909162308,,관광숙박업,2026-05-06 23:03:49,I,03,폐업,Tourist Hotel,A FIRST HOTEL MYEONGDONG,,6313.74,6314,,,,,3성,2020-07-13 19:16:35,,2016-11-10,,서울특별시 중구 다동 130,CDFI2260032016000015,3010000,,서울특별시 중구 다동길 30 (다동),04522,03,폐업,,,,,,,,,관광호텔업,,,,
,,서울호스텔,,2024-01-24,,200647.159357664,451357.621131056,,관광숙박업,2026-05-06 23:03:50,I,03,폐업,Hostel,SEOUL HOSTEL,,313.28,313,,15,,,,2024-01-24 16:33:13,,2016-12-14,,서울특별시 중구 광희동2가 43-1 3~6층,CDFI2260032016000016,3010000,,"서울특별시 중구 퇴계로 329, 3~6층 (광희동2가)",04565,03,폐업,,,,,,,22647888,,호스텔업,,,,
421,,케이 스테이 2,,2021-03-17,,198614.550199488,450677.047277743,,관광숙박업,2026-05-06 23:03:52,I,03,폐업,Hostel,K Stay 2nd,,420.88,421,4,20,,,,2021-03-17 13:58:59,,2019-03-29,,서울특별시 중구 남산동2가 43-7,CDFI2260032019000002,3010000,일반주거지역,서울특별시 중구 소공로6길 38 (남산동2가),04630,03,폐업,,,,,,,02-587-5776,5,호스텔업,1,,,
12865,,(주)경남관광호텔,,2020-12-24,,206199.953197537,451997.934849601,,관광숙박업,2026-05-06 22:30:12,I,03,폐업,,,,12865.06,12865,10,80,,,,2020-12-28 17:01:08,,1982-11-10,130-840,서울특별시 동대문구 장안동 366-7,CDFI2260031982000001,3050000,,서울특별시 동대문구 장한로 110 (장안동),02639,03,폐업,,,,,,,22472500,,관광호텔업,2,,,
,호텔,부림관광호텔,,2016-03-04,,203897.922953036,453018.913708542,관광사업,관광숙박업,2026-05-06 22:30:12,I,03,폐업,,,,3144.88,3145,8,54,,,,2016-03-04 14:40:31,,1984-02-15,130-851,서울특별시 동대문구 전농동 620-27,CDFI2260031984000001,3050000,일반상업지역,서울특별시 동대문구 답십리로1길 39-5 (전농동),,03,폐업,,,,,,,,9,관광호텔업,1,,,
,,알프스관광호텔,,2004-02-04,,206117.295011037,451867.005076753,관광사업,관광숙박업,2026-05-06 22:30:12,I,03,폐업,,,,,,8,,,,,2004-02-04 11:34:20,,1999-07-26,130-840,서울특별시 동대문구 장안동 365-8,CDFI2260031999000001,3050000,,서울특별시 동대문구 장한로 96  (장안동),,03,폐업,,,,,,,,10,,2,,,
,,시티팔레스호텔,,2012-09-01,,204400.365537226,451854.716617007,관광사업,관광숙박업,2026-05-06 22:30:12,I,03,폐업,,,,,,,,,,,2012-09-28 12:30:28,,1999-01-01,130-805,서울특별시 동대문구 답십리동 497-23,CDFI2260031999000002,3050000,,서울특별시 동대문구 천호대로 257  (답십리동),,03,폐업,,,,,,,22442222,,,,,,
4471,숙박시설,드웰동대문(dwell Dongdaemun),,2023-04-10,8000000000,204945.801764162,454123.219581534,,관광숙박업,2026-05-06 22:30:12,I,03,폐업,TOURISM  BUSINESS CERTIFICATE OF REGISTRATION,dwell Dongdaemun,,4471,4471,10,117,,,,2023-04-10 15:50:26,,2013-04-18,,서울특별시 동대문구 휘경동 319-12,CDFI2260032013000001,3050000,준주거지역,서울특별시 동대문구 회기로 188-5 (휘경동),02446,03,폐업,,,,,,,,12,호스텔업,2,,,
236,숙박시설,BORJOMI  BOUTIQUE  SEOUL,,2017-04-27,,205852.292590362,451534.523558603,,관광숙박업,2026-05-06 22:30:12,I,03,폐업,,,,1912.64,1913,7,36,,,,2017-04-27 17:31:40,,2014-02-25,130-844,서울특별시 동대문구 장안동 429-1,CDFI2260032014000001,3050000,일반주거지역,서울특별시 동대문구 천호대로83길 98 (장안동),02629,03,폐업,,,,,,,22168885,9,관광호텔업,2,,,
3575,숙박시설,K City Hotel,,2019-05-13,300000000,203871.556031453,453032.727623015,,관광숙박업,2026-05-06 22:30:12,I,03,폐업,,,,3575.03,3575,7,60,,,,2019-05-13 16:43:57,,2014-02-27,130-851,서울특별시 동대문구 전농동 620-4,CDFI2260032014000002,3050000,일반상업지역,서울특별시 동대문구 왕산로 192-2 (전농동),02559,03,폐업,,,기타,,,,34731700,9,관광호텔업,2,,,
11589,숙박시설,라마다앙코르 동대문지점,,2016-02-01,500000000,202233.604900045,452654.5266264,,관광숙박업,2026-05-06 22:30:12,I,03,폐업,,,,11588.89,11589,20,332,,,,2016-02-01 13:23:08,,2014-07-11,130-811,서울특별시 동대문구 신설동 98-24,CDFI2260032014000004,3050000,일반상업지역,서울특별시 동대문구 왕산로 22 (신설동),02582,03,폐업,,,,,,,21166001,26,관광호텔업,6,,,
3250,숙박시설,동경호텔,,2019-02-22,,206023.596450826,451871.050539863,,관광숙박업,2026-05-06 22:30:12,I,03,폐업,,,,3249.75,3250,7,60,,,,2019-02-25 09:02:05,,2014-10-30,130-842,서울특별시 동대문구 장안동 373-4,CDFI2260032014000005,3050000,일반상업지역,서울특별시 동대문구 한천로24길 77 (장안동),02624,03,폐업,,,,,,,67473390,8,관광호텔업,1,,,
4682,숙박시설,골든씨티호텔,,2016-09-08,,205320.396297203,451122.642371749,,관광숙박업,2026-05-06 22:30:12,I,03,폐업,,,,4681.86,4682,14,116,,,,2016-09-08 17:59:06,,2014-11-28,130-843,서울특별시 동대문구 장안동 414-4,CDFI2260032014000006,3050000,,서울특별시 동대문구 천호대로 377 (장안동),02633,03,폐업,,,,,,,33949600,16,관광호텔업,2,,,
6177,,디 에블린,,2022-08-31,18000000000,205893.996035479,451049.960154453,,관광숙박업,2026-05-06 22:30:12,I,03,폐업,,,,6176.72,6177,,101,,,특수건물로 보험 제외,2022-08-31 11:26:37,,2017-05-12,,서울특별시 동대문구 장안동 465-4,CDFI2260032017000002,3050000,일반상업지역,서울특별시 동대문구 장한로2길 48 (장안동),02645,03,폐업,,,,,,,02-2248-9100,7,관광호텔업,2,,,
20670,호텔,로얄호텔,,2021-12-31,,174253.414845557,440415.917939273,관광사업,관광숙박업,2026-05-06 23:04:39,I,03,폐업,TOURIST HATEL,Royal Hotel,,20670.05,20670,9,138,,,,2022-01-03 13:48:03,,2003-04-07,405-803,인천광역시 남동구 간석동 173-4,CDFI2260032003000001,3530000,일반상업지역,인천광역시 남동구 백범로 367 (간석동),21544,03,폐업,,,유흥업소밀집지역,,,,032-421-3300,11,관광호텔업,2,,,
,호텔,호텔로버트,,2009-08-19,,174061.110657277,440408.06745954,관광사업,관광숙박업,2026-05-06 23:04:39,I,03,폐업,,,,10932.1,10932,9,,,,,2017-06-14 14:04:48,,2003-04-07,405-807,인천광역시 남동구 간석동 275-1,CDFI2260032003000002,3530000,일반상업지역,인천광역시 남동구 남동대로 931 (간석동),,03,폐업,,,유흥업소밀집지역,,,,,12,관광호텔업,3,,,
,숙박시설,첼시관광호텔,,2018-04-30,,174543.558762764,440248.072993363,관광사업,관광숙박업,2026-05-06 23:04:39,I,03,폐업,,,,3579,3579,6,,,,,2018-09-05 16:59:13,,2005-06-18,405-801,인천광역시 남동구 간석동 123-19,CDFI2260032005000001,3530000,일반상업지역,인천광역시 남동구 용천로153번길 30 (간석동),,03,폐업,,,유흥업소밀집지역,,,,,7,관광호텔업,1,,,
,,E4 Elly STAY,,,,199694.014881402,451739.842034728,,관광숙박업,2026-05-06 23:03:56,I,13,영업중,,,,296.16,296,,14,,,,2026-04-30 13:39:00,,2026-04-29,,서울특별시 중구 산림동 73 웅비빌딩,CDFI2260032026000031,3010000,,"서울특별시 중구 창경궁로5가길 21, 웅비빌딩 지상2~지상3층 (산림동)",04545,01,영업/정상,,,,,,,,,호스텔업,,,,
,,더 동대문,,,,200265.598194628,451446.234252256,,관광숙박업,2026-05-06 23:03:56,I,13,영업중,,,,194.59,195,,9,,,,2026-05-04 15:12:59,,2026-04-30,,서울특별시 중구 광희동1가 8-1 지상3층,CDFI2260032026000032,3010000,,"서울특별시 중구 동호로34길 21, 지상3층 (광희동1가)",04561,01,영업/정상,,,,,,,,,호스텔업,,,,
,,호스텔 소우재,,,9000000,201797.872285138,451628.469874125,,관광숙박업,2026-05-06 23:03:55,I,13,영업중,,,,,,,2,,,,2026-03-27 09:09:57,,2026-03-19,,서울특별시 중구 황학동 641,CDFI2260032026000020,3010000,,"서울특별시 중구 퇴계로87길 32, 2층 (황학동)",04575,01,영업/정상,,,,,,,,,호스텔업,,,,
,숙박시설,머룸스테이,,,,200074.730448901,451295.8738879,,관광숙박업,2026-05-06 23:03:55,I,13,영업중,,,,42.98,43,2,1,,,,2026-03-18 12:34:50,,2026-03-06,,서울특별시 중구 충무로5가 22-19,CDFI2260032026000017,3010000,,"서울특별시 중구 퇴계로51길 17-1, 지상2층 (충무로5가)",04559,01,영업/정상,,,,,,,,2,호스텔업,,,,
,숙박시설,제이빌스,,,,199444.847152847,451149.7429042,,관광숙박업,2026-05-06 23:03:55,I,13,영업중,,,,99.98,100,6,3,,,,2026-03-18 12:35:22,,2026-02-25,,서울특별시 중구 충무로4가 15-16 금사과빌딩,CDFI2260032026000014,3010000,,"서울특별시 중구 마른내로4가길 41, 금사과빌딩 지상2층 (충무로4가)",04556,01,영업/정상,,,,,,,,7,호스텔업,1,,,
,,고재 인 테라스,,,,199957.659044118,451651.967315334,,관광숙박업,2026-05-06 23:03:55,I,13,영업중,,,,79.79,80,4,2,,,,2026-04-17 09:30:17,,2026-04-15,,서울특별시 중구 주교동 258 지상4층,CDFI2260032026000029,3010000,,"서울특별시 중구 을지로33길 6, 지상4층 (주교동)",04546,01,영업/정상,,,,,,,,5,호스텔업,1,,,
,,STAY ON,,,,200596.599009783,451364.467609826,,관광숙박업,2026-05-06 23:03:55,I,13,영업중,,,,79.34,79,,2,,,,2026-03-27 09:10:50,,2026-03-26,,서울특별시 중구 광희동2가 12-1,CDFI2260032026000021,3010000,,"서울특별시 중구 장충단로 224, 지상3~지상4층 (광희동2가)",04565,01,영업/정상,,,,,,,,,호스텔업,,,,
