건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,제작취급품목내용,시설면적,지상층수,품목명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수
,참 엔터테인먼트,2019-07-18,192772.680238826,453266.496119049,,,2026-05-06 22:30:25,I,03,폐업,,,,,2019-07-18 17:35:28,,2015-06-04,,서울특별시 서대문구 북가좌동 *-** 웅진센스빌 ***호,CDFF3241092016000003,3120000,,"서울특별시 서대문구 증가로**나길 * (북가좌동, 웅진센스빌)",03671,03,폐업,,,,,,
,케스 뮤직컴퍼니,2017-12-27,194924.288601045,450733.513274328,,,2026-05-06 22:30:25,I,03,폐업,,,,,2017-12-27 13:57:43,,2016-04-21,,서울특별시 서대문구 대현동 **-**,CDFF3241092016000004,3120000,,"서울특별시 서대문구 신촌역로 **-*, *층 (대현동, 대국빌딩)",03766,03,폐업,,,,,,
,그랜드라인엔터테인먼트,2019-07-24,195314.09396012,454854.831582051,,,2026-05-06 22:30:25,I,03,폐업,,,,,2019-07-24 10:28:58,,2015-08-13,,서울특별시 서대문구 홍제동 ***-*,CDFF3241092018000003,3120000,,"서울특별시 서대문구 간호대로*길 **, *** (홍제동)",03619,03,폐업,,,,,,
,위브나인 주식회사,2019-10-01,193721.461388567,451795.216250499,,,2026-05-06 22:30:26,I,03,폐업,,,,,2019-10-01 11:49:36,,2018-10-31,,서울특별시 서대문구 연희동 ***-**,CDFF3241092018000007,3120000,,서울특별시 서대문구 연희로**라길 * (연희동),03703,03,폐업,,,,02-336-8726,,
,태웅캐스팅,2021-11-22,193406.483325564,453108.081360656,,,2026-05-06 22:30:26,I,03,폐업,,,,,2021-11-22 18:15:58,,2019-05-24,,서울특별시 서대문구 홍은동 ***-**,CDFF3241092019000004,3120000,,"서울특별시 서대문구 증가로**길 **, ***호 (홍은동)",03662,03,폐업,,,,,,
,주식회사 데이터블,2024-12-09,196801.661639204,451267.809661546,,,2026-05-06 22:30:26,I,03,폐업,,,,,2024-12-09 16:44:22,,2019-12-09,,서울특별시 서대문구 충정로*가 *** 골든타워빌딩,CDFF3241092019000010,3120000,,"서울특별시 서대문구 충정로 **, 골든타워빌딩 *층 ***-*호 (충정로*가)",03736,03,폐업,,,,,,
,임연희아트아카데미,2024-05-31,196092.743236094,451128.462263975,,,2026-05-06 22:30:26,I,03,폐업,,,,,2024-05-31 18:04:30,,2020-06-10,,서울특별시 서대문구 북아현동 *-**,CDFF3241092020000005,3120000,,서울특별시 서대문구 북아현로**길 **-* (북아현동),03750,03,폐업,,,,,,
,주식회사 파익스퍼밀,2022-01-06,194098.241327387,452127.853123508,,,2026-05-06 22:30:26,I,03,폐업,,,,,2022-01-07 15:38:04,,2020-09-29,,서울특별시 서대문구 연희동 **-**,CDFF3241092020000009,3120000,,서울특별시 서대문구 연희로 *** (연희동),03699,03,폐업,,,,,,
,스링,2024-01-25,193712.476983727,450637.010875398,,,2026-05-06 22:30:26,I,03,폐업,,,,,2024-01-24 17:40:00,,2021-08-02,,서울특별시 서대문구 창천동 ***-*,CDFF3241092021000010,3120000,,"서울특별시 서대문구 신촌로 **, *층 ****호 (창천동)",03785,03,폐업,,,,,,
,(주)멘사월드,2025-10-10,193712.476983727,450637.010875398,,,2026-05-06 22:30:26,I,03,폐업,,,,,2025-10-10 17:55:15,,2018-10-15,,서울특별시 서대문구 창천동 ***-*,CDFF3241092021000011,3120000,,"서울특별시 서대문구 신촌로 **, 상록빌딩 *층 ****호 (창천동)",03785,03,폐업,,,,,,
,케이액터스,2024-11-13,193712.476983727,450637.010875398,,,2026-05-06 22:30:26,I,03,폐업,,,,,2024-11-14 11:17:07,,2021-11-26,,서울특별시 서대문구 창천동 ***-*,CDFF3241092021000015,3120000,,"서울특별시 서대문구 신촌로 **, 상록빌딩 *층 ****호 (창천동)",03785,03,폐업,,,,,,
,주식회사 인터오리진,2024-08-02,194191.552230532,454194.693044027,,,2026-05-06 22:30:26,I,03,폐업,,,,,2024-08-05 08:59:18,,2020-01-16,,서울특별시 서대문구 홍은동 ***-**,CDFF3241092021000016,3120000,,"서울특별시 서대문구 연희로**가길 *, B*층 F**호 (홍은동)",03650,03,폐업,,,,,,
,주식회사 매니지먼트아우어,2025-08-22,193712.476983727,450637.010875398,,,2026-05-06 22:30:27,I,03,폐업,,,,,2025-08-22 14:33:25,,2024-09-10,,서울특별시 서대문구 창천동 ***-*,CDFF3241092024000009,3120000,,"서울특별시 서대문구 신촌로 **, *층 ****호 (창천동)",03785,03,폐업,,,,,,
,더포콤마,2025-07-04,193887.007623303,451798.960316437,,,2026-05-06 22:30:27,I,03,폐업,,,,,2025-07-04 17:23:07,,2024-09-26,,서울특별시 서대문구 연희동 ***-**,CDFF3241092024000010,3120000,,서울특별시 서대문구 연희맛로 **-* (연희동),03708,03,폐업,,,,,,
,레고리스엔터테인먼트,2020-06-05,206328.066671402,454557.460766165,,,2026-05-06 22:37:41,I,03,폐업,,,,,2021-02-02 13:42:34,,2015-08-03,,서울특별시 중랑구 중화동 ***-*,CDFF3241092015000004,3060000,,"서울특별시 중랑구 망우로 ***, *층 *호 (중화동, 삼성빌딩)",02115,03,폐업,,,,070-4028-0937,,
,크라운드 캣,,192772.680238826,453266.496119049,,,2026-05-06 22:30:27,I,13,영업중,,,,,2026-05-04 17:57:05,,2026-05-04,,서울특별시 서대문구 북가좌동 *-** 웅진센스빌,CDFF3241092026000002,3120000,,"서울특별시 서대문구 증가로**나길 *, ***호 (북가좌동, 웅진센스빌)",03671,01,영업/정상,,,,,,
,탑클라우드,,206490.861618757,454416.301689459,,,2026-05-06 22:37:41,I,03,폐업,,,,,2020-10-14 14:41:21,,2015-09-10,,서울특별시 중랑구 상봉동 *** 금강산아파트 ***호,CDFF3241092015000007,3060000,,"서울특별시 중랑구 중랑천로**길 **, ***호 (상봉동, 금강산아파트)",02119,03,폐업,,,,,,
,주식회사 제이씨이엔티,,207177.56790833,453490.550861824,,,2026-05-06 22:37:41,I,03,폐업,,,,,2020-01-10 10:30:31,,2018-12-06,,서울특별시 중랑구 면목동 ***-**,CDFF3241092018000003,3060000,,서울특별시 중랑구 사가정로**길 ** (면목동),02223,03,폐업,,,,,,
,하루에 모델(Harue Model),2026-01-03,207198.899373541,455158.034174483,유통관련업,대중문화예술기획업,2026-05-06 22:37:43,I,15,전출,매니저업,,,,2026-01-03 13:38:51,,2025-12-09,,서울특별시 중랑구 중화동 ***-** 세종디오빌,CDFF3241092025000003,3060000,,"서울특별시 중랑구 동일로***길 **, ***호 (중화동, 세종디오빌)",02094,05,제외/삭제/전출,,,,,,
