건물층수,사업장명,모유수유실면적,목욕실면적,폐업일자,취사부수,좌표X,좌표Y,조리원화장실면적,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,ETC_NOPE,미화원수,지상층수,영유아정원수,영유아실면적,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,간호조무사수,간호사수,영양사수,사무실면적,개방자치단체코드,임산부정원수,임산부실면적,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,급식시설면적,휴업시작일자,휴업종료일자,소재지전화번호,지하층수,세탁실면적
3,르베르쏘 산후조리원,,,2013-07-31,2,205766.531433892,444407.220534592,42,2026-04-27 22:00:43,I,03,폐업,,2,,16,35,2014-05-19 16:37:48,,2008-02-28,135-842,서울특별시 강남구 대치2동 984번지 로얄빌딩 3층,PHMB120083220033042100001,3,4,,,3220000,16,258,"서울특별시 강남구 도곡로99길 16 (대치동,로얄빌딩 3층)",,03,폐업,33,,,,,14
,드 라마 산후조리원,12,5,2011-07-15,1,204004.328388149,443597.980050957,68,2026-04-27 22:00:43,I,03,폐업,,2,,15,16,2017-03-06 11:14:00,,2008-06-04,135-515,서울특별시 강남구 역삼2동 785번지 12호,PHMB120083220033042100002,0,9,2,10,3220000,15,302,서울특별시 강남구 언주로 303 (역삼동),,03,폐업,45,,,02-2057-6432,,12
6,앙즐레 산후조리원,9,32,2021-04-30,1,202803.137561335,443189.823482655,35,2026-04-27 22:00:43,I,03,폐업,,2,6,15,30,2021-04-30 11:22:06,,2008-02-27,,서울특별시 강남구 역삼동 837번지 26호 삼일프라자오피스텔 3층 302호,PHMB120083220033042100003,3,4,1,,3220000,15,328,"서울특별시 강남구 도곡로1길 14, 삼일프라자오피스텔 3층 302호 (역삼동)",06253,03,폐업,14,2019-11-01,2019-11-28,02-554-6600,6,8
6,라마드레 산후조리원,15,23,2017-04-04,4,204049.984382448,444973.446470304,29,2026-04-27 22:00:43,I,03,폐업,2,2,6,18,49,2017-04-04 16:55:18,,2011-11-04,135-917,서울특별시 강남구 역삼1동 694번지 12호,PHMB120113220033042100001,6,3,,34,3220000,18,321,서울특별시 강남구 선릉로 535 (역삼동),06149,03,폐업,23,,,02-555-7166,,7
0,산후조리원 궁 (강남점),,,2016-06-09,1,,,97,2026-04-27 22:00:43,I,03,폐업,,1,,18,43,2016-06-09 15:44:02,,2012-04-26,,,PHMB120123220033042100003,5,3,,6,3220000,18,334,서울특별시 강남구 언주로107길 658-7 (역삼동),06136,03,폐업,66,,,,,
7,라펠리체 산후조리원,10,,2014-05-07,,202983.070885408,443022.20537814,,2026-04-27 22:00:43,I,03,폐업,,,7,15,63,2014-05-07 16:57:55,,2012-05-25,135-859,서울특별시 강남구 도곡1동 941번지 8호,PHMB120123220033042100004,6,7,,,3220000,15,361,서울특별시 강남구 도곡로6길 13 (도곡동),,03,폐업,28,,,02-575-7870,,5
3,청담베네크레산후조리원,19,44,2018-02-28,1,204855.579518894,446576.858605648,89,2026-04-27 22:00:43,I,03,폐업,2,2,3,29,74,2018-02-28 17:08:51,,2012-10-27,,서울특별시 강남구 청담동 71번지 3호 11~13층,PHMB120123220033042100005,2,5,1,23,3220000,29,669,"서울특별시 강남구 영동대로 71-3 (청담동, 튼튼병원빌딩)",06072,03,폐업,58,,,02-1899-2227,,18
3,알루베베산후조리원,,,2019-01-10,1,205766.531433892,444407.220534592,3,2026-04-27 22:00:43,I,03,폐업,1,1,3,17,35,2019-01-10 18:23:18,,2013-08-16,135-842,서울특별시 강남구 대치2동 984번지 로얄빌딩 3층,PHMB120133220033042100001,6,4,,,3220000,17,258,서울특별시 강남구 도곡로99길 16 (대치동),06189,03,폐업,33,2017-03-28,2017-09-30,,,14
,사임당산후조리원 송파점,,,2009-03-04,,209393.141585965,444350.722020836,,2026-04-27 22:00:45,I,03,폐업,,,,1,,2009-03-26 09:28:36,,2006-12-08,138-190,서울특별시 송파구 석촌동 277번지 1호,PHMB120063230034042100001,,,,,3230000,1,,서울특별시 송파구 가락로 99 (석촌동),,03,폐업,,,,,,
7,문산후조리원,,,2016-10-05,,210251.590527245,444061.408532921,,2026-04-27 22:00:45,I,03,폐업,4,,5,15,27,2016-10-17 11:11:38,,2006-09-08,138-804,서울특별시 송파구 가락본동 94번지 6호 2층-6층,PHMB120063230034042100002,11,7,,,3230000,15,194,"서울특별시 송파구 양재대로60길 3 (가락동, 2~6층)",05708,03,폐업,,,,,,
10,마이홈산후조리원,,,2012-09-27,,210155.048967852,444118.866229905,,2026-04-27 22:00:45,I,03,폐업,3,,2,17,28,2012-09-28 09:57:53,,2006-12-15,138-854,"서울특별시 송파구 송파2동 185번지 4호 6,7층",PHMB120063230034042100003,9,3,,,3230000,17,,"서울특별시 송파구 송파대로34길 33 (송파동, 6,7층)",,03,폐업,,,,,,
9,푸른잎산후조리원,,,2010-02-12,,211907.685267696,443924.875483069,,2026-04-27 22:00:45,I,03,폐업,3,,1,13,35,2012-03-13 15:16:17,,2006-12-20,138-810,서울특별시 송파구 가락2동 167번지 3호 6층,PHMB120063230034042100004,4,3,,,3230000,13,,"서울특별시 송파구 오금로 410 (가락동, 6층)",,03,폐업,,,,,,
6,참사랑산후조리원,,,2010-09-01,,211005.302324733,444601.789927777,,2026-04-27 22:00:45,I,03,폐업,2,,1,15,19,2012-03-13 15:15:17,,2007-02-08,138-800,서울특별시 송파구 가락본동 2번지 5호 3층,PHMB120073230034042100001,3,4,,,3230000,15,,"서울특별시 송파구 오금로 296 (가락동, 3층)",,03,폐업,,,,,,
6,더퀸산후조리원,14,33,2015-12-22,2,210151.390873614,445852.199143259,33,2026-04-27 22:00:45,I,03,폐업,,1,5,12,21,2015-12-22 16:18:25,,2009-12-29,138-830,"서울특별시 송파구 방이2동 180번지 18호 한우리빌딩 3층,4층,5층",PHMB120093230034042100002,7,3,,28,3230000,12,189,"서울특별시 송파구 백제고분로50길 7-7 (방이동, 한우리빌딩 3,4,5층)",,03,폐업,24,2015-07-31,2015-12-31,02-421-5590,1,3
0,라벨락산후조리원,21,3,2020-06-24,1,209445.582339381,445460.547369269,70,2026-04-27 22:00:45,I,03,폐업,1,1,,16,30,2020-06-22 11:03:29,,2010-09-06,138-171,서울특별시 송파구 송파1동 58번지 17호,PHMB120103230034042100002,3,3,,4,3230000,16,226,서울특별시 송파구 석촌호수로 296 (송파동),05618,03,폐업,34,,,02-415-7752,,8
0,맘스맘산후조리원,5,28,2022-05-31,1,209776.636655598,445347.787614549,,2026-04-27 22:00:45,I,03,폐업,,1,4,14,28,2022-06-09 11:42:34,,2014-10-31,,서울특별시 송파구 송파동 48번지 13호 연세빌딩 4층,PHMB120113230034042100002,5,3,,,3230000,14,258,"서울특별시 송파구 오금로 152 (송파동, 연세빌딩)",05620,03,폐업,28,,,02-412-8855,,
